"","team_id","season","player","ip","ha","bb","hb","so","hr_a","era","opp_avg","whip","fip"
"606",107,2022,"Sona Halajian",171.666666666667,178,64,10,119,22,"3.833",0.265,75.037,"3.973"
"607",261,2022,"Payton Shells",52.6666666666667,64,22,3,22,4,"4.386",0.292,26.215,"3.976"
"608",731,2022,"Mia Reynolds",129.333333333333,184,46,11,94,17,"5.088",0.332,58.423,"3.977"
"609",29,2022,"Madi Elish",77.3333333333333,103,17,2,39,11,"3.983",0.311,20.332,"3.978"
"610",253,2022,"Kastin Belogorska",128.666666666667,191,29,11,56,15,"5.440",0.335,41.484,"3.978"
"611",697,2022,"Emiley Kennedy",132.333333333333,114,62,15,102,14,"3.068",0.225,77.861,"3.979"
"612",697,2022,"Shaylee Ackerman",31.6666666666667,33,19,2,39,5,"3.979",0.26,22.042,"3.979"
"613",365,2022,"Shelby Wickersham",50,47,27,6,36,4,"3.220",0.245,33.94,"3.980"
"614",14927,2022,"Delayna Bryant",31,33,7,3,10,3,"2.258",0.256,11.065,"3.981"
"615",393,2022,"Ameenah Ballenger",85.3333333333333,101,51,4,41,4,"4.430",0.293,56.184,"3.982"
"616",692,2022,"Alyssa Arden",165,169,79,20,115,15,"4.073",0.259,100.024,"3.988"
"617",439,2022,"Kylie Gletow",152.666666666667,227,46,8,69,17,"4.264",0.341,55.487,"4.005"
"618",96,2022,"Marley Hanlon",84,120,15,4,39,12,"4.500",0.319,20.429,"4.007"
"619",539,2022,"Vanessa Oatley",28,30,11,4,13,2,"3.250",0.27,16.071,"4.007"
"620",2707,2022,"Mia Hoveland",121.333333333333,149,28,5,95,22,"3.865",0.294,34.228,"4.007"
"621",90,2022,"Krystyna Allman",108.666666666667,119,65,14,70,6,"3.543",0.281,80.095,"4.010"
"622",465,2022,"Jasmine Martin",66.3333333333333,66,30,2,53,9,"3.693",0.261,32.995,"4.013"
"623",654,2022,"Paytience Holman",81,99,29,1,51,11,"4.494",0.298,31.222,"4.017"
"624",587,2022,"Jaden Vickers",174.333333333333,170,81,21,181,26,"4.296",0.253,102.975,"4.018"
"625",502,2022,"Delaney Hull",21,44,5,2,13,3,"8.000",0.415,9.095,"4.019"
"626",14,2022,"Kate Powers",29,31,19,1,26,3,"3.138",0.258,21.069,"4.021"
"627",29,2022,"Jessie Fontes",27.6666666666667,19,11,4,26,4,"3.036",0.183,15.687,"4.027"
"628",368,2022,"Ella Harris",11.6666666666667,21,3,1,3,1,"5.400",0.389,5.8,"4.029"
"629",1068,2022,"Isley Duggins",64.3333333333333,40,42,6,39,3,"2.394",0.182,48.622,"4.032"
"630",346,2022,"Haila Linton",83,127,32,6,41,8,"5.145",0.343,39.53,"4.039"
"631",99,2022,"Samantha Fowler",137,94,88,29,128,10,"2.657",0.191,117.686,"4.042"
"632",102,2022,"Caroline Evans",28,34,11,4,19,3,"4.750",0.296,16.214,"4.043"
"633",792,2022,"Bella Roy",70,80,27,2,64,12,"4.500",0.275,30.143,"4.043"
"634",693,2022,"Reagan Lowrie",10.3333333333333,12,7,0,2,0,"4.742",0.3,8.161,"4.045"
"635",742,2022,"Mackenzie Osborne",10.3333333333333,8,6,0,7,1,"4.065",0.211,6.774,"4.045"
"636",365,2022,"Raelin Chaffin",56.3333333333333,64,9,2,48,12,"3.231",0.269,12.136,"4.051"
"637",67,2022,"Susannah Anderson",141,134,64,30,96,11,"2.830",0.243,94.95,"4.052"
"638",603,2022,"Angela Saric",59.6666666666667,89,31,6,32,4,"5.045",0.335,38.492,"4.059"
