"","team_name","team_id","division"
"1","Adrian","4","D-III"
"2","Agnes Scott","11324","D-III"
"3","Albertus Magnus","2798","D-III"
"4","Albion","15","D-III"
"5","Albright","16","D-III"
"6","Alfred","18","D-III"
"7","Alfred St.","30170","D-III"
"8","Allegheny","19","D-III"
"9","Alma","21","D-III"
"10","Alvernia","938","D-III"
"11","Alverno","28746","D-III"
"12","Amherst","24","D-III"
"13","Anderson (IN)","939","D-III"
"14","Anna Maria","26","D-III"
"15","Arcadia","966","D-III"
"16","Asbury","30243","D-III"
"17","Augsburg","38","D-III"
"18","Augustana (IL)","40","D-III"
"19","Aurora","42","D-III"
"20","Austin","953","D-III"
"21","Averett","44","D-III"
"22","Babson","45","D-III"
"23","Baldwin Wallace","46","D-III"
"24","Baruch","58","D-III"
"25","Bates","50","D-III"
"26","Belhaven","30197","D-III"
"27","Beloit","53","D-III"
"28","Benedictine (IL)","296","D-III"
"29","Berea","30171","D-III"
"30","Berry","973","D-III"
"31","Bethany (WV)","59","D-III"
"32","Bethany Lutheran","30038","D-III"
"33","Bethel (MN)","60","D-III"
"34","Birmingham-So.","28593","D-III"
"35","Blackburn","64","D-III"
"36","Bluffton","987","D-III"
"37","Bowdoin","69","D-III"
"38","Brandeis","73","D-III"
"39","Brevard","30094","D-III"
"40","Bridgewater (VA)","75","D-III"
"41","Bridgewater St.","76","D-III"
"42","Brooklyn","79","D-III"
"43","Buena Vista","84","D-III"
"44","Buffalo St.","85","D-III"
"45","CMSV","451","D-III"
"46","CWRU","122","D-III"
"47","Cabrini","88","D-III"
"48","Cairn","1305","D-III"
"49","Cal Lutheran","105","D-III"
"50","Calvin","114","D-III"
"51","Capital","117","D-III"
"52","Carleton","118","D-III"
"53","Carlow","30253","D-III"
"54","Carnegie Mellon","119","D-III"
"55","Carroll (WI)","120","D-III"
"56","Carthage","121","D-III"
"57","Catholic","124","D-III"
"58","Cedar Crest","14795","D-III"
"59","Centenary (LA)","125","D-III"
"60","Centenary (NJ)","12884","D-III"
"61","Central (IA)","126","D-III"
"62","Centre","132","D-III"
"63","Chapman","134","D-III"
"64","Chatham","10972","D-III"
"65","Chris. Newport","139","D-III"
"66","Claremont-M-S","142","D-III"
"67","Clark (MA)","145","D-III"
"68","Clarks Summit","958","D-III"
"69","Clarkson","146","D-III"
"70","Coast Guard","722","D-III"
"71","Cobleskill St.","30083","D-III"
"72","Coe","150","D-III"
"73","Colby","151","D-III"
"74","Colorado Col.","154","D-III"
"75","Concordia (TX)","24400","D-III"
"76","Concordia Chicago","160","D-III"
"77","Concordia Wisconsin","1036","D-III"
"78","Concordia-M'head","161","D-III"
"79","Cornell College","166","D-III"
"80","Cortland","168","D-III"
"81","Covenant","30111","D-III"
"82","Crown (MN)","30035","D-III"
"83","Curry","170","D-III"
"84","Dallas","1044","D-III"
"85","DePauw","177","D-III"
"86","DeSales","20","D-III"
"87","Dean","30219","D-III"
"88","Defiance","1050","D-III"
"89","Delaware Valley","179","D-III"
"90","Denison","182","D-III"
"91","Dickinson","185","D-III"
"92","Dominican (IL)","1332","D-III"
"93","Drew","190","D-III"
"94","Dubuque","192","D-III"
"95","Earlham","195","D-III"
"96","East Tex. Baptist","1062","D-III"
"97","East. Mennonite","203","D-III"
"98","Eastern","8968","D-III"
"99","Eastern Conn. St.","200","D-III"
"100","Eastern Nazarene","1064","D-III"
"101","Edgewood","1066","D-III"
"102","Elizabethtown","211","D-III"
"103","Elmhurst","212","D-III"
"104","Elmira","213","D-III"
"105","Elms","532","D-III"
"106","Emerson","214","D-III"
"107","Emmanuel (MA)","215","D-III"
"108","Emory","217","D-III"
"109","Endicott","8981","D-III"
"110","Eureka","218","D-III"
"111","FDU-Florham","221","D-III"
"112","Farmingdale St.","27892","D-III"
"113","Ferrum","225","D-III"
"114","Fitchburg St.","227","D-III"
"115","Fontbonne","11538","D-III"
"116","Framingham St.","238","D-III"
"117","Franciscan","30069","D-III"
"118","Franklin","2694","D-III"
"119","Franklin & Marshall","239","D-III"
"120","Fredonia","242","D-III"
"121","Gallaudet","245","D-III"
"122","Geneva","30084","D-III"
"123","George Fox","1094","D-III"
"124","Gettysburg","258","D-III"
"125","Gordon","1099","D-III"
"126","Greensboro","263","D-III"
"127","Greenville","1111","D-III"
"128","Grinnell","264","D-III"
"129","Grove City","265","D-III"
"130","Guilford","1112","D-III"
"131","Gust. Adolphus","266","D-III"
"132","Gwynedd Mercy","12399","D-III"
"133","Hamilton","267","D-III"
"134","Hamline","268","D-III"
"135","Hanover","1115","D-III"
"136","Hardin-Simmons","271","D-III"
"137","Hartford","272","D-III"
"138","Hartwick","273","D-III"
"139","Haverford","276","D-III"
"140","Heidelberg","278","D-III"
"141","Hendrix","1124","D-III"
"142","Hilbert","8398","D-III"
"143","Hiram","281","D-III"
"144","Hood","8404","D-III"
"145","Hope","286","D-III"
"146","Houghton","30160","D-III"
"147","Howard Payne","2741","D-III"
"148","Hunter","292","D-III"
"149","Huntingdon","1130","D-III"
"150","Husson","1133","D-III"
"151","Ill. Wesleyan","300","D-III"
"152","Illinois Col.","297","D-III"
"153","Immaculata","303","D-III"
"154","Ithaca","313","D-III"
"155","JWU (Providence)","22626","D-III"
"156","John Carroll","320","D-III"
"157","John Jay","321","D-III"
"158","Juniata","325","D-III"
"159","Kalamazoo","326","D-III"
"160","Kean","329","D-III"
"161","Keene St.","330","D-III"
"162","Kenyon","335","D-III"
"163","Keuka","1159","D-III"
"164","Keystone","30047","D-III"
"165","King's (PA)","336","D-III"
"166","Knox","337","D-III"
"167","La Roche","1163","D-III"
"168","La Verne","341","D-III"
"169","LaGrange","1162","D-III"
"170","Lake Forest","344","D-III"
"171","Lakeland","1164","D-III"
"172","Lancaster Bible","30085","D-III"
"173","Lasell","8486","D-III"
"174","Lawrence","348","D-III"
"175","LeTourneau","8490","D-III"
"176","Lebanon Valley","351","D-III"
"177","Lehman","279","D-III"
"178","Lesley","24317","D-III"
"179","Lewis & Clark","22235","D-III"
"180","Linfield","1179","D-III"
"181","Loras","364","D-III"
"182","Luther","372","D-III"
"183","Lycoming","373","D-III"
"184","Lynchburg","374","D-III"
"185","Lyon","22989","D-III"
"186","MCLA","486","D-III"
"187","MIT","398","D-III"
"188","MSOE","20220","D-III"
"189","MUW","431","D-III"
"190","Macalester","376","D-III"
"191","Maine Maritime","378","D-III"
"192","Manchester","1192","D-III"
"193","Manhattanville","382","D-III"
"194","Maranatha Baptist","1194","D-III"
"195","Marian (WI)","1196","D-III"
"196","Marietta","385","D-III"
"197","Martin Luther","8597","D-III"
"198","Mary Baldwin","389","D-III"
"199","Mary Hardin-Baylor","1203","D-III"
"200","Mary Washington","390","D-III"
"201","Marymount (VA)","394","D-III"
"202","Maryville (TN)","396","D-III"
"203","Marywood","397","D-III"
"204","Mass. Maritime","399","D-III"
"205","McDaniel","773","D-III"
"206","McMurry","8530","D-III"
"207","Me.-Farmington","379","D-III"
"208","Me.-Presque Isle","30040","D-III"
"209","Medgar Evers","403","D-III"
"210","Merchant Marine","724","D-III"
"211","Meredith","409","D-III"
"212","Messiah","411","D-III"
"213","Methodist","412","D-III"
"214","Middlebury","420","D-III"
"215","Millikin","424","D-III"
"216","Millsaps","426","D-III"
"217","Minn.-Morris","1226","D-III"
"218","Misericordia","16142","D-III"
"219","Mitchell","30042","D-III"
"220","Monmouth (IL)","438","D-III"
"221","Montclair St.","442","D-III"
"222","Moravian","443","D-III"
"223","Mount Aloysius","30036","D-III"
"224","Mount Holyoke","449","D-III"
"225","Mount Mary","30033","D-III"
"226","Mount Union","452","D-III"
"227","Mt. St. Joseph","8567","D-III"
"228","Mt. St. Mary (NY)","1468","D-III"
"229","Muhlenberg","453","D-III"
"230","Muskingum","455","D-III"
"231","N.C. Wesleyan","491","D-III"
"232","NJIT","471","D-III"
"233","NYU","479","D-III"
"234","Nazareth","461","D-III"
"235","Neb. Wesleyan","462","D-III"
"236","Neumann","1254","D-III"
"237","New England Col.","467","D-III"
"238","New Jersey City","319","D-III"
"239","Nichols","484","D-III"
"240","North Central (IL)","492","D-III"
"241","North Central (MN)","30039","D-III"
"242","North Park","496","D-III"
"243","Northland","1267","D-III"
"244","Northwestern-St. Paul","30031","D-III"
"245","Norwich","511","D-III"
"246","Notre Dame (MD)","8600","D-III"
"247","Oberlin","515","D-III"
"248","Occidental","516","D-III"
"249","Ohio Northern","517","D-III"
"250","Ohio Wesleyan","520","D-III"
"251","Old Westbury","524","D-III"
"252","Olivet","525","D-III"
"253","Oswego St.","530","D-III"
"254","Otterbein","531","D-III"
"255","Ozarks (AR)","23008","D-III"
"256","Pacific (OR)","2751","D-III"
"257","Pacific Lutheran","1297","D-III"
"258","Penn College","30190","D-III"
"259","Penn St Brandywine","30189","D-III"
"260","Penn St. Harrisburg","30081","D-III"
"261","Penn St.-Abington","30114","D-III"
"262","Penn St.-Altoona","25719","D-III"
"263","Penn St.-Behrend","538","D-III"
