"","team_id","season","player","ip","ha","bb","hb","so","hr_a","era","opp_avg","whip","fip"
"1",9,2021,"Olivia Valbak",18,11,2,0,24,0,"0.778",0.167,2.611,"0.067"
"2",418,2021,"Alex Storako",146,68,36,12,270,9,"1.055",0.138,48.466,"0.489"
"3",8,2021,"Montana Fouts",206.333333333333,136,48,9,338,11,"1.561",0.18,57.659,"0.646"
"4",497,2021,"Hope Trautwein",129.666666666667,80,40,8,235,8,"1.458",0.172,48.617,"0.688"
"5",651,2021,"Georgina Corrick",228.333333333333,120,51,22,333,5,"0.981",0.15,73.526,"0.727"
"6",497,2021,"Ariel Thompson",21.3333333333333,16,5,0,31,1,"1.969",0.19,5.75,"0.806"
"7",391,2021,"Courtney Coppersmith",151,62,45,7,249,10,"0.927",0.123,52.411,"0.996"
"8",756,2021,"Gabbie Plain",237.333333333333,146,49,13,337,13,"1.445",0.174,62.615,"1.056"
"9",8,2021,"Jaala Torrence",22.3333333333333,13,8,0,27,0,"0.940",0.151,8.582,"1.057"
"10",96,2021,"Hailey Dolcini",180.666666666667,109,34,11,259,11,"0.969",0.17,45.603,"1.072"
"11",418,2021,"Meghan Beaubien",147.333333333333,87,38,15,200,4,"1.283",0.168,53.59,"1.117"
"12",110,2021,"Megan Faraimo",131.333333333333,65,13,4,180,11,"1.119",0.142,17.495,"1.136"
"13",299,2021,"Morgan Day",163,107,35,3,247,14,"1.632",0.182,38.656,"1.185"
"14",147,2021,"Valerie Cagle",216.666666666667,148,55,9,267,7,"1.163",0.184,64.683,"1.242"
"15",317,2021,"Odicci Alexander",118,59,31,4,189,11,"1.186",0.141,35.5,"1.298"
"16",236,2021,"Devon Miller",95.6666666666667,47,37,12,155,5,"1.610",0.14,49.491,"1.376"
"17",414,2021,"Courtney Vierstra",182.333333333333,102,47,17,271,13,"1.766",0.158,64.559,"1.407"
"18",110,2021,"Rachel Garcia",125.333333333333,80,29,18,163,5,"1.285",0.177,47.638,"1.443"
