"","team_id","player_id","rank","player","h"
"1",149,25255,1,"Taty Forbes",104
"2",37,36471,2,"Tiffany Howard",96
"3",178,27675,3,"Nicole Gazzola",89
"4",487,13904,4,"Brooklynn Clark",88
"5",513,83105,4,"Karley Wester",88
"6",149,13496,6,"Bri Chiusano",86
"7",388,30165,6,"Kaelynn Greene",86
"8",107,37870,8,"Jazmyn Jackson",82
"9",257,22560,8,"Cortni Emanuel",82
"10",522,52858,8,"Erin Miller",82
"11",625,20768,8,"Megan Dowdy",82
"12",37,15466,12,"Kasey Cooper",79
"13",111,64973,12,"Madeline Richard",79
"14",294,10201,12,"Kacie Burnett",79
"15",406,53023,12,"Taylor Miller",79
"16",704,14112,12,"Courtney Clayton",79
"17",725,50454,12,"Kasey Mccravey",79
"18",101,28711,18,"Taylor Glover",78
"19",234,62284,18,"Alex Powers",78
"20",257,22564,18,"Sydni Emanuel",78
"21",37,11860,21,"Emily Carosone",77
"22",311,28981,21,"Brittany Gomez",77
"23",365,71967,21,"Sandra Simmons",77
"24",441,75044,21,"Sydney Stites",77
"25",650,53214,21,"Yvon Minogue",77
"26",244,38811,26,"Candace Johnson",76
"27",441,50825,26,"Makenna Mcgill",76
"28",513,83104,26,"Ali Wester",76
"29",646,52303,26,"Emily Messer",76
"30",702,52068,26,"Sandra Mendoza",76
"31",107,64176,31,"Kylie Reed",75
"32",257,19670,31,"Alyssa Dicarlo",75
"33",370,81033,31,"Meghan Von behren",75
"34",418,44327,31,"Sierra Lawrence",75
"35",464,31788,31,"Sydney Hames",75
"36",493,54249,31,"Logan Moreland",75
"37",521,47273,31,"Taylor Lynch",75
"38",651,82507,31,"Juli Weber",75
"39",697,53048,31,"Keeli Milligan",75
"40",716,5533,31,"Katie Benton",75
"41",28755,36776,31,"Kelsey Huff",75
"42",51,70181,42,"Jessica Scroggins",74
"43",110,5385,42,"Allexis Bennett",74
"44",315,19115,42,"Ella Denes",74
"45",433,47083,42,"Hailey Lunderman",74
"46",434,26543,42,"Taylor Gadbois",74
"47",459,77414,42,"Lindsay Thomas",74
"48",463,75135,42,"Kiki Stokes",74
"49",521,71399,42,"Vanessa Shippy",74
"50",655,43238,42,"Katie Lacour",74
"51",235,46519,51,"Amanda Lorenz",73
"52",418,66751,51,"Sierra Romero",73
"53",522,66753,51,"Sydney Romero",73
"54",725,63752,51,"Alee Rashenskas",73
"55",1014,21475,51,"Taylor Dupree",73
"56",30095,4343,51,"Janessa Bassett",73
"57",29,52139,57,"Mo Mercado",72
"58",68,85991,57,"Brittany Younan",72
"59",104,13971,57,"Kristen Clark",72
"60",371,55622,57,"Erica Nagel",72
"61",386,21089,57,"Maureen Duddy",72
"62",434,23427,57,"Sami Fagan",72
"63",625,49934,57,"Shelby Maze",72
"64",758,42985,57,"Alyson Kulp",72
"65",110,60360,65,"Kylee Perez",71
"66",202,39603,65,"Kayla Joyce",71
"67",234,82027,65,"Jessie Warren",71
"68",361,83079,65,"Whitney West",71
"69",365,5133,65,"Bianka Bell",71
"70",428,47504,65,"Sam Macken",71
"71",441,8478,65,"Lexie Brenneis",71
"72",487,71298,65,"Courtney Shields",71
"73",498,65824,65,"Rochelle Roberts",71
"74",522,41913,65,"Shay Knighten",71
"75",661,35311,65,"Haley Hodges",71
"76",7,574,76,"Laura Aguilar",70
"77",62,67778,76,"Jessica Rutherford",70
"78",116,71809,76,"Lindsey Silfer",70
"79",254,20866,76,"Ivie Drake",70
"80",346,66252,76,"Brittany Rodriguez",70
"81",487,56016,76,"Bailey Nelson",70
"82",497,69426,76,"Kelli Schkade",70
"83",671,33251,76,"Haley Hayden",70
"84",758,83536,76,"Aubrey Whitmer",70
"85",817,52669,76,"Cali Mikovich",70
"86",9,2683,86,"Caitlin Attfield",69
"87",220,24375,86,"Lauren Filicia",69
"88",365,38247,86,"Sahvanna Jaquish",69
"89",428,59350,86,"Danielle Parlich",69
"90",434,16344,86,"Emily Crane",69
"91",441,57816,86,"Bethany Olea",69
"92",697,80684,86,"Tori Vidales",69
"93",732,79559,86,"Anissa Urtez",69
"94",810,75977,86,"Honnah Susor",69
"95",1068,71631,86,"Kara Shutt",69
"96",8,17722,96,"Chandler Dare",68
"97",97,80001,96,"Samantha Vandiver",68
"98",191,79358,96,"Paula Ueno",68
"99",228,55786,96,"Jessica Nathan",68
"100",244,6328,96,"Sieara Bishop",68
"101",365,43651,96,"Bailey Landry",68
"102",509,63205,96,"Sabrina Rabin",68
"103",518,62341,96,"Cammi Prantl",68
"104",529,28366,96,"Alyssa Gillespie",68
"105",529,79353,96,"Nikki Udria",68
"106",646,78055,96,"Kaleigh Todd",68
"107",648,73120,96,"Kaylea Snaer",68
"108",703,74684,96,"Lindsey Stephens",68
"109",719,84813,96,"Maggie Withee",68
"110",817,12460,96,"Miranda Castiglione",68
"111",1356,7677,96,"Paige Bouska",68
"112",28600,22516,96,"Brittany Elmore",68
"113",28755,67024,96,"Alexis Ross",68
