"","team_id","player_id","rank","player","whip"
"1",601,69055,1,"Lindsey Thayer",0.637
"2",745,38227,2,"Kandis Kresinske",0.82
"3",21,67448,3,"Morgan Stratton",0.824
"4",30044,60216,4,"Jess Rozick",0.832
"5",783,62045,5,"Alexis Schengrund",0.87
"6",755,55027,6,"Annie Pitkin",0.92
"7",398,43647,7,"Alexandra Marshall",0.936
"8",805,9980,8,"Julia Camardo",0.979
"9",1468,13641,9,"Cindy Connoly",0.982
"10",313,42412,10,"Allison Macari",1.012
"11",778,69520,10,"Katie Thornton",1.012
"12",372,7496,10,"Samantha Bratland",1.012
"13",745,63865,13,"Mary Shipp",1.018
"14",330,14901,14,"Mariah Crisp",1.021
"15",622,47831,15,"Brooke Mizelle",1.022
"16",296,28063,16,"Holly Haberkorn",1.052
"17",622,7894,17,"Annah Brittingham",1.061
"18",382,21447,18,"Alycia Feeney",1.071
"19",22626,14173,19,"Jennifer Corona",1.074
"20",259,33512,20,"Beth Ann Hyland",1.077
"21",142,27869,21,"Anna Gurr",1.092
"22",808,18441,22,"Clare Doolin",1.094
"23",623,6181,23,"Kelsey Boarman",1.096
"24",597,40841,23,"Megan Lindenfelser",1.096
"25",28593,29005,25,"Taylor Harkins",1.099
"26",300,50836,26,"Jenna Noland",1.101
"27",30064,20295,27,"Samantha Emert",1.102
"28",438,31507,28,"Liz Hippen",1.115
"29",16142,62087,29,"Bailey Schies",1.121
"30",166,29027,29,"Haley Harmon",1.121
"31",715,74027,31,"Kaci Wellik",1.126
"32",225,60281,32,"Courtney Rudd",1.129
"33",139,30040,33,"Tara Heatwole",1.131
"34",806,77183,34,"Chelsea Zang",1.136
"35",217,21878,35,"Brittany File",1.137
"36",1454,40086,35,"Makayla Lefever",1.137
"37",1062,68848,37,"Raquel Tello",1.138
"38",803,76338,38,"Tori Workman",1.14
"39",793,5996,39,"Lauren Blasczyk",1.143
"40",76,44865,40,"Kelly McCarthy",1.153
"41",787,55217,41,"Allison Podmajersky",1.157
"42",531,52474,41,"Rachael Owens",1.157
"43",443,51051,43,"Josie Novak",1.16
"44",443,10507,44,"Amanda Carisone",1.161
"45",733,48057,45,"Abby Monroe",1.163
"46",564,8752,46,"Katrina Buczkowski",1.168
"47",23121,45887,46,"Lauren McLeod",1.168
"48",286,35338,48,"Sydney Jones",1.17
"49",59,73940,49,"Cassie Weiss",1.172
"50",8687,62651,49,"Patti Sciglimpaglia",1.172
"51",798,8498,49,"Sara Brunlieb",1.172
"52",785,65122,52,"Jade Smith",1.174
"53",588,62688,53,"Brittany Scott",1.179
"54",585,41235,54,"Taylor Lockhart",1.181
"55",730,75377,55,"Kaitlyn Willis",1.186
"56",341,36714,55,"Katherine Kibbe",1.186
"57",597,22510,55,"Krista Flugstad",1.186
"58",45,57598,58,"Ali Reilly",1.188
"59",344,46123,59,"Jenny McTague",1.191
"60",815,35569,60,"Melissa Jurkiewicz",1.192
"61",16,51299,60,"Sammi O'Connor",1.192
"62",344,74171,62,"Jessi Werner",1.198
"63",25719,9048,63,"Kate Burge",1.204
"64",538,47395,64,"Rachel Miller",1.205
"65",42,29469,65,"Vanessa Hartzell",1.209
"66",973,32669,66,"Kassie Howard",1.211
"67",124,42299,67,"Kelly Lynch",1.213
"68",30037,59085,68,"Justine Robles",1.214
"69",565,74729,69,"Candace Whittemore",1.216
"70",1434,46786,70,"Courtney Messenger",1.227
"71",517,40751,71,"Kirsten Lightel",1.23
"72",21830,72880,72,"Sarah Walker",1.233
"73",618,47834,73,"Chrisi Mizera",1.235
"74",461,46756,74,"Rachel Mertens",1.238
"75",656,52211,75,"Shannon Orton",1.242
"76",570,11379,76,"Stephanie Caudle",1.245
"77",168,22356,77,"Alexandrea Flint",1.246
"78",114,25082,78,"Anna Gernant",1.25
"79",1196,26449,79,"Emily Gorges",1.251
"80",966,75484,80,"Erin Wilson",1.252
"81",40,1484,81,"Ashley Anderson",1.258
"82",1451,22763,82,"Amber Forrest",1.261
"83",266,29953,82,"Hannah Heacox",1.261
"84",641,71594,84,"Abbie VanVleet",1.262
"85",789,49514,84,"Mackenzie Murphy",1.262
"86",775,27211,86,"Heidi Grieger",1.268
"87",1451,59573,87,"Jazmyn Rohrer",1.271
"88",8404,53403,88,"Kayli Paugh",1.273
"89",121,30872,89,"Katie Herron",1.276
"90",673,41259,90,"Talia Loda",1.277
"91",681,63900,91,"Samantha Shockey",1.281
"92",84,21134,92,"Jenna Falline",1.283
"93",313,56411,92,"Laura Quicker",1.283
"94",179,66682,94,"Jamie Stefani",1.288
"95",1159,73351,95,"Liz Warren",1.29
"96",239,74130,96,"Katie Wenger",1.292
"97",24,70989,97,"Lorena Ukanwa",1.293
"98",177,3124,98,"Emma Baldwin",1.294
"99",633,57755,99,"Morgan Rentzheimer",1.298
"100",227,36603,100,"Galen Kerr",1.301
