"","team_id","player_id","rank","player","whip"
"1",229,29233,1,"Kylee Hanson",0.676
"2",620,1624,2,"Kierstin Anderson-Glass",0.743
"3",317,26610,3,"Megan Good",0.784
"4",235,52227,4,"Aleshia Ocasio",0.849
"5",175,11247,5,"Manda Cash",0.895
"6",235,26926,6,"Delanie Gourley",0.905
"7",315,25784,7,"Whitney Gillespie",0.946
"8",234,9409,8,"Jessica Burroughs",0.956
"9",52,23139,9,"Ally Foster",0.959
"10",28755,57723,10,"Riley Randolph",0.972
"11",317,22991,11,"Jailyn Ford",0.999
"12",522,53749,12,"Paige Parker",1.008
"13",248,73324,13,"Marina Vitalich",1.014
"14",334,51826,14,"Kelsey Nunley",1.026
"15",30135,13328,15,"Ashley Coleman",1.033
"16",519,18744,16,"Savannah Jo Dorsey",1.047
"17",646,8300,17,"Devin Brown",1.052
"18",428,27790,17,"Sara Groenewegen",1.052
"19",670,61275,19,"Randi Rupp",1.063
"20",257,76028,20,"Chelsea Wilkinson",1.065
"21",402,73242,21,"Emily Vincent",1.066
"22",5,63834,22,"Erin Seiler",1.079
"23",10411,46402,23,"Holly McKinnon",1.08
"24",90,33955,24,"Sierra Hyland",1.082
"25",529,30136,25,"Cheridan Hawkins",1.094
"26",51,67513,26,"Heather Stearns",1.098
"27",659,35605,27,"Brianna Jones",1.112
"28",487,10823,28,"Hillary Carpenter",1.116
"29",107,52659,29,"Nisa Ontiveros",1.117
"30",1157,73109,30,"Logan Viers",1.126
"31",562,31314,31,"Casey Herzog",1.129
"32",29,52153,32,"Danielle O'Toole",1.13
"33",334,56775,32,"Meagan Prince",1.13
"34",1014,44434,34,"Sam Martin",1.14
"35",349,19843,35,"Alexis Eastman",1.142
"36",83,21675,35,"Amanda Fazio",1.142
"37",625,29241,35,"Mollie Hanson",1.142
"38",235,3675,38,"Kelly Barnhill",1.149
"39",454,59820,39,"Mason Robinson",1.151
"40",694,49651,39,"Matty Moss",1.151
"41",229,76451,41,"Amanda Wilson",1.154
"42",671,67874,42,"Alex Stewart",1.158
"43",725,56004,43,"Renee Poirier",1.163
"44",483,39608,44,"Megan Landry",1.17
"45",363,25125,45,"Sydney Gay",1.177
"46",483,30199,46,"Hannah Haydel",1.178
"47",367,4443,47,"Maryssa Becker",1.181
"48",386,52197,48,"Jayne Oberdorf",1.183
"49",30095,21749,49,"Aryn Feickert",1.185
"50",81,43231,50,"Elle Madsen",1.188
"51",277,31951,51,"Brittany Hitchcock",1.196
"52",528,50860,51,"Meehra Nelson",1.196
"53",529,37815,53,"Megan Kleist",1.198
"54",37,44407,54,"Makayla Martin",1.2
"55",97,26263,55,"Sydney Golden",1.205
"56",418,5360,56,"Megan Betsa",1.207
"57",540,62419,57,"Alexis Sargent",1.209
"58",810,64271,58,"Ashley Sharp",1.21
"59",302,30529,59,"Elaine Heflin",1.213
"60",695,36921,60,"Brooke Kennedy",1.216
"61",660,18833,61,"Baylee Douglass",1.229
"62",493,64018,62,"Jacquelyn Sertic",1.234
"63",202,22826,63,"Hayley Flynn",1.235
"64",328,23041,64,"Andie Formby",1.237
"65",563,49494,65,"Abby Morrow",1.238
"66",610,49645,65,"Katie Moss",1.238
"67",51,56382,65,"Kendall Potts",1.238
"68",400,13428,68,"Meg Colleran",1.239
"69",331,39250,69,"Ronnie Ladines",1.241
"70",694,24113,70,"Erin Gabriel",1.243
"71",402,1126,71,"Jamie Allred",1.248
"72",651,51828,72,"Erica Nunn",1.251
"73",219,22753,72,"Morgan Florey",1.251
"74",472,18620,74,"Karysta Donisthorpe",1.257
"75",99,12943,75,"Christina Clermont",1.267
"76",365,73955,76,"Allie Walljasper",1.271
"77",355,18155,77,"Julia DiMartino",1.274
"78",316,8492,77,"Victoria Brown",1.274
"79",68,61379,79,"Melanie Russell",1.279
"80",234,37506,80,"Meghan King",1.281
"81",678,54825,81,"Tori Perkins",1.285
"82",68,33972,82,"Lauren Hynes",1.288
"83",719,74491,83,"Emily Watson",1.289
"84",648,6221,84,"Nickie Blue",1.292
"85",352,10198,85,"Christine Campbell",1.294
"86",774,39073,86,"Allyson Kus",1.295
"87",366,993,87,"Bailey Allen",1.297
"88",418,19043,88,"Sara Driesenga",1.3
"89",433,52943,89,"Madi Osias",1.301
"90",664,59878,90,"Samantha Robles",1.302
"91",742,71867,91,"Maggie Tyler",1.307
"92",706,23280,92,"Lizzy Fox",1.308
"93",513,58779,93,"Allie Rhodes",1.311
"94",8,41635,94,"Sydney Littlejohn",1.313
"95",172,45410,95,"Morgan McCalmon",1.314
"96",8,52955,96,"Alexis Osorio",1.316
"97",519,67967,96,"Danielle Stiene",1.316
"98",646,73061,98,"Destin Vicknair",1.318
"99",388,18324,98,"Jordan Dixon",1.318
"100",627,61589,100,"Megan Sabbatini",1.32
"101",1157,65068,100,"Morgan Sikes",1.32
