"","team_id","player_id","rank","player","era"
"1",229,8393,1,"Kylee Hanson",0.76
"2",235,15053,2,"Aleshia Ocasio",0.765
"3",235,7702,3,"Delanie Gourley",0.799
"4",317,7611,4,"Megan Good",0.941
"5",317,6581,5,"Jailyn Ford",1.027
"6",315,7354,6,"Whitney Gillespie",1.088
"7",90,9811,7,"Sierra Hyland",1.189
"8",235,1059,8,"Kelly Barnhill",1.357
"9",334,14954,9,"Kelsey Nunley",1.365
"10",28755,16562,10,"Riley Randolph",1.386
"11",302,8799,11,"Elaine Heflin",1.434
"12",175,3171,12,"Manda Cash",1.47
"13",483,8686,13,"Hannah Haydel",1.528
"14",402,20999,14,"Emily Vincent",1.556
"15",37,12792,15,"Makayla Martin",1.569
"16",651,14955,16,"Erica Nunn",1.578
"17",522,15509,17,"Paige Parker",1.637
"18",670,17614,18,"Randi Rupp",1.638
"19",646,2336,19,"Devin Brown",1.66
"20",694,14322,20,"Matty Moss",1.682
"21",1157,20949,21,"Logan Viers",1.697
"22",529,8666,22,"Cheridan Hawkins",1.715
"23",810,18428,23,"Ashley Sharp",1.717
"24",229,22000,24,"Amanda Wilson",1.745
"25",248,21027,25,"Marina Vitalich",1.75
"26",365,21210,26,"Allie Walljasper",1.775
"27",483,11468,27,"Megan Landry",1.801
"28",83,6206,28,"Amanda Fazio",1.807
"29",402,350,29,"Jamie Allred",1.817
"30",97,22377,30,"Desiree Ybarra",1.824
"31",719,18636,31,"Caitlin Sill",1.839
"32",234,2647,32,"Jessica Burroughs",1.862
"33",418,1513,33,"Megan Betsa",1.881
"34",5,18321,34,"Erin Seiler",1.89
"35",660,5371,35,"Baylee Douglass",1.906
"36",671,19436,36,"Alex Stewart",1.909
"37",334,16304,37,"Meagan Prince",1.913
"38",659,10352,38,"Brianna Jones",1.924
"39",51,16201,39,"Kendall Potts",1.927
"40",257,21842,40,"Chelsea Wilkinson",1.931
"41",363,7175,40,"Sydney Gay",1.931
"42",219,6518,42,"Morgan Florey",1.951
"43",514,22538,43,"Haley Zemmer",1.961
"44",97,7501,44,"Sydney Golden",1.969
"45",703,4766,45,"Tiarra Davis",1.972
"46",1157,18625,45,"Morgan Sikes",1.972
"47",434,1195,47,"Danielle Baumgartner",1.985
"48",454,17181,48,"Mason Robinson",1.986
"49",386,15045,49,"Jayne Oberdorf",2.015
"50",428,7975,50,"Sara Groenewegen",2.028
"51",559,6211,51,"Lilly Fecho",2.052
"52",107,15171,52,"Nisa Ontiveros",2.054
"53",725,16109,53,"Renee Poirier",2.061
"54",400,3840,54,"Meg Colleran",2.071
"55",460,10465,55,"Peyton Jordan",2.095
"56",51,19339,56,"Heather Stearns",2.104
"57",202,6539,57,"Hayley Flynn",2.143
"58",695,10734,58,"Brooke Kennedy",2.16
"59",472,5310,59,"Karysta Donisthorpe",2.163
"60",277,9196,60,"Brittany Hitchcock",2.175
"61",504,17467,61,"Chelsea Ross",2.189
"62",563,14275,62,"Abby Morrow",2.201
"63",352,2856,63,"Christine Campbell",2.215
"64",367,1283,64,"Maryssa Becker",2.223
"65",68,9816,65,"Lauren Hynes",2.236
"66",418,5436,66,"Sara Driesenga",2.239
"67",328,6591,67,"Andie Formby",2.255
"68",493,18369,68,"Jacquelyn Sertic",2.259
"69",606,3650,69,"Maddison Clarke",2.265
"70",365,9430,70,"Carley Hoover",2.269
"71",503,6750,71,"Alex Frenz",2.271
"72",562,9023,72,"Casey Herzog",2.275
"73",719,21390,73,"Emily Watson",2.276
"74",519,19468,74,"Danielle Stiene",2.289
"75",540,17933,75,"Alexis Sargent",2.292
"76",1004,7534,76,"Kayla Gomness",2.294
"77",234,10895,77,"Meghan King",2.302
"78",275,7982,78,"Morgan Groom",2.303
"79",1104,14928,79,"Taylor Nowlin",2.309
"80",87,8121,80,"Kristin Gutierrez",2.323
"81",352,19101,80,"Emily Sorem",2.323
"82",439,20648,82,"Sydney Underhill",2.329
"83",68,17640,83,"Melanie Russell",2.354
"84",37,3003,84,"Kaylee Carlson",2.357
"85",529,10986,85,"Megan Kleist",2.358
"86",694,6863,86,"Erin Gabriel",2.36
"87",99,3690,87,"Christina Clermont",2.37
"88",8,15261,88,"Alexis Osorio",2.388
"89",128,20596,89,"Shelby Turnier",2.404
"90",706,6643,89,"Lizzy Fox",2.404
"91",8,12051,91,"Sydney Littlejohn",2.426
"92",625,8395,92,"Mollie Hanson",2.436
"93",28600,17861,93,"Tanner Sanders",2.449
"94",648,1781,94,"Nickie Blue",2.455
"95",742,20615,95,"Maggie Tyler",2.459
"96",178,2256,96,"Nicole Brock",2.464
"97",366,310,97,"Bailey Allen",2.465
"98",732,5320,98,"Katie Donovan",2.473
"99",367,8908,99,"Megan Hensley",2.477
"100",562,17147,100,"Sydney Robey",2.483
