"","team_id","player_id","rank","player","opp_avg"
"1",601,70012,1,"Lindsey Thayer",0.131
"2",622,7997,2,"Annah Brittingham",0.152
"3",973,33111,3,"Kassie Howard",0.155
"4",745,38738,4,"Kandis Kresinske",0.156
"5",372,7590,5,"Samantha Bratland",0.162
"6",21,68379,6,"Morgan Stratton",0.168
"7",30044,61046,7,"Jess Rozick",0.17
"8",755,55786,8,"Annie Pitkin",0.172
"9",217,22173,9,"Brittany File",0.177
"10",300,51520,9,"Jenna Noland",0.177
"11",783,62902,11,"Alexis Schengrund",0.178
"12",121,31293,12,"Katie Herron",0.184
"13",778,70481,13,"Katie Thornton",0.185
"14",300,44186,14,"Mackenzie Marquis",0.189
"15",11538,40894,15,"Madison Leonard",0.191
"16",30064,20566,16,"Samantha Emert",0.194
"17",313,42985,17,"Allison Macari",0.195
"18",166,29423,17,"Haley Harmon",0.195
"19",330,15095,17,"Mariah Crisp",0.195
"20",398,44243,20,"Alexandra Marshall",0.197
"21",622,48481,21,"Brooke Mizelle",0.198
"22",438,31933,21,"Liz Hippen",0.198
"23",8687,63518,21,"Patti Sciglimpaglia",0.198
"24",259,33963,24,"Beth Ann Hyland",0.199
"25",733,48713,25,"Abby Monroe",0.2
"26",805,10110,25,"Julia Camardo",0.2
"27",30037,59898,25,"Justine Robles",0.2
"28",443,51737,28,"Josie Novak",0.201
"29",753,4942,28,"Maddie Bennett",0.201
"30",806,78254,30,"Chelsea Zang",0.202
"31",1451,60397,31,"Jazmyn Rohrer",0.203
"32",296,28443,32,"Holly Haberkorn",0.204
"33",142,28247,33,"Anna Gurr",0.205
"34",286,35813,33,"Sydney Jones",0.205
"35",623,6257,35,"Kelsey Boarman",0.206
"36",597,41395,35,"Megan Lindenfelser",0.206
"37",588,63556,37,"Brittany Scott",0.207
"38",597,22812,37,"Krista Flugstad",0.207
"39",16142,62946,39,"Bailey Schies",0.209
"40",25719,9160,39,"Kate Burge",0.209
"41",641,22400,39,"Riley Fisher",0.209
"42",382,21737,42,"Alycia Feeney",0.211
"43",22626,14358,42,"Jennifer Corona",0.211
"44",341,37204,42,"Katherine Kibbe",0.211
"45",177,3166,45,"Emma Baldwin",0.213
"46",618,48484,46,"Chrisi Mizera",0.214
"47",1468,13818,46,"Cindy Connoly",0.214
"48",313,57190,46,"Laura Quicker",0.214
"49",745,64752,46,"Mary Shipp",0.214
"50",247,49040,46,"Mikayla Moore",0.214
"51",570,11527,46,"Stephanie Caudle",0.214
"52",808,18692,52,"Clare Doolin",0.215
"53",266,30362,52,"Hannah Heacox",0.215
"54",443,10641,54,"Amanda Carisone",0.216
"55",16,51990,54,"Sammi O'Connor",0.216
"56",76,45478,56,"Kelly McCarthy",0.218
"57",114,25419,57,"Anna Gernant",0.219
"58",684,77718,58,"Ali Yamakaitis",0.22
"59",21,45612,58,"Katie McClure",0.22
"60",517,41304,60,"Kirsten Lightel",0.221
"61",1454,40628,60,"Makayla Lefever",0.221
"62",712,55883,60,"Sam Platt",0.221
"63",344,46761,63,"Jenny McTague",0.222
"64",28593,29401,63,"Taylor Harkins",0.222
"65",426,17470,65,"Cassidy DeNoon",0.223
"66",1062,69802,65,"Raquel Tello",0.223
"67",681,64788,65,"Samantha Shockey",0.223
"68",803,77397,65,"Tori Workman",0.223
"69",787,55982,69,"Allison Podmajersky",0.224
"70",565,75765,69,"Candace Whittemore",0.224
"71",344,75199,69,"Jessi Werner",0.224
"72",715,75051,69,"Kaci Wellik",0.224
"73",730,76423,69,"Kaitlyn Willis",0.224
"74",511,35460,69,"Rachel Johnson",0.224
"75",713,66194,75,"Rachael Smith",0.225
"76",656,52922,75,"Shannon Orton",0.225
"77",168,22658,77,"Alexandrea Flint",0.226
"78",581,74828,77,"Eleni Wechsler",0.226
"79",538,48044,77,"Rachel Miller",0.226
"80",42,29870,77,"Vanessa Hartzell",0.226
"81",411,1009,81,"Courtney Allen",0.227
"82",215,37279,81,"Jill Kilcoyne",0.227
"83",793,6069,81,"Lauren Blasczyk",0.227
"84",20220,15703,84,"Shannon Curtis",0.228
"85",78,5101,85,"Jaime Berger",0.23
"86",24317,77668,85,"Kaera Wyse",0.23
"87",486,57122,85,"Rachel Quackenbush",0.23
"88",38,1606,85,"Sam Anderson",0.23
"89",161,29272,89,"Abigail Haraldson",0.231
"90",764,53643,89,"Susan Pardo",0.231
"91",225,61113,91,"Courtney Rudd",0.232
"92",785,66021,91,"Jade Smith",0.232
"93",1094,66632,91,"Madison Sorensen",0.232
"94",966,76531,94,"Erin Wilson",0.233
"95",276,11824,94,"Kendall Chambers",0.233
"96",2751,58328,94,"Marissa Reichard",0.233
"97",117,44483,97,"Amber Martinelli",0.235
"98",18,36582,97,"Kerri Keeler",0.235
"99",531,53186,99,"Rachael Owens",0.236
"100",88,25916,100,"Jess Giordano",0.237
"101",239,75156,100,"Katie Wenger",0.237
"102",566,11903,100,"Lindsey Chaney",0.237
"103",24,71971,100,"Lorena Ukanwa",0.237
"104",662,26635,100,"Samantha Goode",0.237
