"","home_team_logo","home_team_id","home_team","home_team_runs","away_team_logo","away_team_id","away_team","away_team_runs","game_id","season","game_date"
"1","http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30127.gif",30127,"Simon Fraser",10,"http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/929.gif",929,"Adams St.",9,"2365977",2023,"02/04/2023"
"2","http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/49.gif",49,"Barry",4,"http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/10.gif",10,"Alabama Huntsville",10,"2388649",2023,"02/04/2023"
"3","http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/49.gif",49,"Barry",2,"http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/10.gif",10,"Alabama Huntsville",5,"2366017",2023,"02/04/2023"
"4","http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/11740.gif",11740,"West Florida",1,"http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/13.gif",13,"Albany St. (GA)",10,"2365944",2023,"02/04/2023"
"5","http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/2697.gif",2697,"Hawaii Hilo",8,"http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/13.gif",13,"Albany St. (GA)",0,"2388620",2023,"02/04/2023"
"6","http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/568.gif",568,"Regis (CO)",1,"http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/25.gif",25,"Angelo St.",9,"2365951",2023,"02/04/2023"
"7","http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30179.gif",30179,"Okla. Christian",0,"http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/947.gif",947,"Arkansas Tech",3,"2365954",2023,"02/04/2023"
"8","http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30028.gif",30028,"UT Tyler",3,"http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/41.gif",41,"Augustana (SD)",2,"2365957",2023,"02/04/2023"
"9","http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/584.gif",584,"Rollins",9,"http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30093.gif",30093,"AUM",4,"2412295",2023,"02/04/2023"
"10","http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1010.gif",1010,"Central Wash.",0,"http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30146.gif",30146,"Azusa Pacific",19,"2365972",2023,"02/04/2023"
"11","http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/205.gif",205,"Mont. St. Billings",3,"http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30220.gif",30220,"Biola",11,"2366038",2023,"02/04/2023"
"12","http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/95.gif",95,"Chico St.",6,"http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30220.gif",30220,"Biola",4,"2365969",2023,"02/04/2023"
"13","http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/25.gif",25,"Angelo St.",9,"http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/291.gif",291,"Cal Poly Humboldt",1,"2365950",2023,"02/04/2023"
"14","http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30118.gif",30118,"Dominican (CA)",0,"http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/92.gif",92,"Cal St. Dom. Hills",3,"2366023",2023,"02/04/2023"
"15","http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/2697.gif",2697,"Hawaii Hilo",6,"http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/98.gif",98,"Cal St. East Bay",11,"2365970",2023,"02/04/2023"
"16","http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30146.gif",30146,"Azusa Pacific",2,"http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30055.gif",30055,"Cal St. Monterey Bay",0,"2365974",2023,"02/04/2023"
"17","http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1446.gif",1446,"Western Ore.",2,"http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30198.gif",30198,"Cal St. San Marcos",1,"2365975",2023,"02/04/2023"
