"","head_coach","division","coach_id"
"1","A.D. James","D-I",1
"2","AJ Daugherty","D-I",3
"3","Aaron Robinson","D-I",4
"4","Abigail Farler","D-I",7
"5","Adrian Gregory","D-I",10
"6","Adrienne Clark","D-I",17
"7","Aileen Morales","D-I",19
"8","Aimee DeVos","D-I",20
"9","Ajaye Pope","D-I",24
"10","Al Dirschberger","D-I",26
"11","Alex Hupp","D-I",41
"12","Alex Thomas Jr.","D-I",44
"13","Ali Brian","D-I",48
"14","Ali Higgs","D-I",51
"15","Ali Maloof","D-I",53
"16","Ali McCargo","D-I",54
"17","Alicia Abbott","D-I",57
"18","Alisa Goler","D-I",61
"19","Alisa Tasler","D-I",62
"20","Alyson Habetz","D-I",79
"21","Alyssa Ruiz","D-I",83
"22","Alyssa Smoke","D-I",84
"23","Alyssa Tiumalu","D-I",85
"24","Amanda Eberhart","D-I",92
"25","Amanda Ellis","D-I",93
"26","Amanda Lehotak","D-I",99
"27","Amber Bowman","D-I",110
"28","Amber Jackson","D-I",117
"29","Amy Cole-Fuller","D-I",127
"30","Amy Fuller","D-I",132
"31","Amy Hayes","D-I",138
"32","Amy Herrington","D-I",139
"33","Amy Hogue","D-I",140
"34","Amy Hooks","D-I",141
"35","Amy Klyse","D-I",143
"36","Amy Kvilhaug","D-I",144
"37","Amy Kyler","D-I",145
"38","Amy Tudor","D-I",153
"39","Andrea Browning","D-I",162
"40","Andrea Costa","D-I",163
"41","Andrea Farquhar","D-I",165
"42","Andrea Mangrum","D-I",168
"43","Andrea Wilson","D-I",172
"44","Andrew Rich","D-I",173
"45","Andy Lane","D-I",179
"46","Andy Russo","D-I",180
"47","Andy Van Etten","D-I",181
"48","Angel Santiago","D-I",184
"49","Angela Fedullo","D-I",191
"50","Angie Churchill","D-I",201
"51","Angie Jacobs","D-I",204
"52","Angie Nicholson","D-I",206
"53","Ann Pierson","D-I",216
"54","Anna Nagro","D-I",221
"55","Anne Campbell","D-I",225
"56","Annie Smith","D-I",235
"57","Antonio Smalls","D-I",244
"58","Artie LaGreca","D-I",260
"59","Ashley Chastain Woodard","D-I",262
"60","Ashley Cook","D-I",263
"61","Ashley Cozart","D-I",264
"62","Ashley Obrest","D-I",274
"63","Ashley Wade","D-I",282
"64","Ashley Waters","D-I",283
"65","Audrianna Johnson","D-I",292
"66","Bailey Wigness","D-I",298
"67","Barb Finke","D-I",302
"68","Barb Sauter","D-I",306
"69","Barb Sherwood","D-I",308
"70","Barbara Greenburg","D-I",312
"71","Barbara Hicks","D-I",313
"72","Barbara Jordan","D-I",314
"73","Barbara Reinalda","D-I",317
"74","Barry Haskell","D-I",320
"75","Beanie Ketcham","D-I",321
"76","Becca Mueller","D-I",323
"77","Becky Clark","D-I",327
"78","Becky Dicke","D-I",328
"79","Becky McMurtry","D-I",335
"80","Becky Norris","D-I",336
"81","Belinda Hendrix","D-I",341
"82","Ben Garcia","D-I",343
"83","Ben Sorden","D-I",347
"84","Bernita Alexander","D-I",350
"85","Beth Fulcher","D-I",355
"86","Beth Golitko","D-I",357
"87","Beth Keylon-Randolph","D-I",360
"88","Beth Kirchner","D-I",361
"89","Beth Krysiak","D-I",362
"90","Beth Mullins","D-I",364
"91","Beth Perine","D-I",365
"92","Beth Spoehr","D-I",367
"93","Beth Torina","D-I",368
"94","Betty Hayes","D-I",375
"95","Beverly Smith","D-I",383
"96","Bill Baber","D-I",385
"97","Bill Edwards","D-I",389
"98","Bill Galloway","D-I",390
"99","Bill Lajeunesse","D-I",399
"100","Bill R. Spieth","D-I",404
"101","Billie Harris","D-I",418
"102","Billy Wilson","D-I",422
"103","Blake Miller","D-I",425
"104","Bob Beretta","D-I",432
"105","Bob Brock","D-I",434
"106","Bob Bruno","D-I",436
"107","Bob Coolen","D-I",440
"108","Bob Emery","D-I",445
"109","Bob Guerriero","D-I",449
"110","Bob Heck","D-I",450
"111","Bob Neville","D-I",458
"112","Bob Pinto","D-I",460
"113","Bob Rupert","D-I",462
"114","Bob Shaw","D-I",463
"115","Bob Ullman","D-I",466
"116","Bob Wilkerson","D-I",467
"117","Bob Zito","D-I",469
"118","Bobby Holloway","D-I",472
"119","Bobby Reeves","D-I",473
"120","Bonnie Bynum Graham","D-I",475
"121","Bonnie Flynn","D-I",476
"122","Bonnie Jill Ferguson","D-I",477
"123","Bonnie Skrenta","D-I",479
"124","Bonnie Tholl","D-I",480
"125","Boo De Oliveira","D-I",482
"126","Brad Irwin","D-I",488
"127","Breanne Gleason","D-I",500
"128","Brenda Coldren","D-I",508
"129","Brenda Greene","D-I",509
"130","Brent Rincon","D-I",519
"131","Brent Vigness","D-I",521
"132","Brian Boulac","D-I",529
"133","Brian Campbell","D-I",530
"134","Brian Daley","D-I",532
"135","Brian Dunn","D-I",535
