"","head_coach","division","coach_id"
"1","A.J. Robinson","D-II",2
"2","Abby Arceneaux","D-II",5
"3","Adam Kirkpatrick","D-II",8
"4","Adrian Ochoa","D-II",11
"5","Adrian Pilkington","D-II",12
"6","Aisha Sueda","D-II",22
"7","Aja Scheuber","D-II",23
"8","Al Estoesta","D-II",27
"9","Al Thomas","D-II",31
"10","Alan Colglazier","D-II",33
"11","Alex Gomez","D-II",40
"12","Alex Oliver","D-II",43
"13","Alexis Durando","D-II",46
"14","Ali Ferrari","D-II",49
"15","Ali Meacham","D-II",55
"16","Alicia Reid","D-II",59
"17","Alison Mitchell","D-II",64
"18","Alison Van Scyoc","D-II",67
"19","Alissa Edwards","D-II",68
"20","Alleen Hawkins","D-II",69
"21","Allie Lyerly","D-II",70
"22","Allison Nihei","D-II",74
"23","Alvy Early","D-II",77
"24","Aly Boytz","D-II",78
"25","Alyssa Morris","D-II",81
"26","Amanda Bradberry","D-II",89
"27","Amanda Fefel","D-II",95
"28","Amanda Kamekona","D-II",98
"29","Amanda Reckamp","D-II",105
"30","Amanda Scott","D-II",106
"31","Amanda Went","D-II",107
"32","Amari Lawson","D-II",108
"33","Amber Barker","D-II",109
"34","Amber Daniel","D-II",112
"35","Amber Hallman","D-II",116
"36","Amber Sneed","D-II",121
"37","Amy Alderman","D-II",124
"38","Amy Bellisari","D-II",125
"39","Amy Coulter","D-II",129
"40","Amy Delmore","D-II",130
"41","Amy Gurney","D-II",136
"42","Amy Hardeman","D-II",137
"43","Amy Schmeckpeper","D-II",150
"44","Amy Suiter","D-II",152
"45","Amy Yates","D-II",155
"46","Ande Jones","D-II",158
"47","Andrea Gustafson","D-II",166
"48","Andrea Kenney","D-II",167
"49","Andrea Vaughn","D-II",171
"50","Andrew Zeger","D-II",174
"51","Andy Klaus","D-II",178
"52","Angel Shamblin","D-II",185
"53","Angela Corliss","D-II",188
"54","Angelina Mexicano","D-II",198
"55","Angie Eliason","D-II",202
"56","Angie Elwood","D-II",203
"57","Angie Morton","D-II",205
"58","Ann Just","D-II",213
"59","Anna Ball","D-II",217
"60","Annalyn Burch","D-II",224
"61","Anne Julian","D-II",227
"62","Anne Richter","D-II",228
"63","Annette Olenchick","D-II",230
"64","Annie Medico","D-II",234
"65","Annie Van Wetzinga","D-II",236
"66","Anthony Nesto","D-II",238
"67","Anthony Pearson","D-II",239
"68","Anthony Stone","D-II",240
"69","Anton Thomas","D-II",243
"70","Antonius Smith","D-II",245
"71","April Huddleston","D-II",247
"72","Armondo Quiroz","D-II",251
"73","Arnie Walters","D-II",252
"74","Aron Potter","D-II",253
"75","Art Gillis","D-II",254
"76","Art Phinney","D-II",256
"77","Art Tolfree","D-II",257
"78","Ashley Balazs","D-II",261
"79","Ashley Fleming","D-II",265
"80","Ashley Forshee","D-II",266
"81","Ashley Gustafson","D-II",269
"82","Ashley Hickman","D-II",270
"83","Ashley Reeves","D-II",276
"84","Ashley Schilling","D-II",277
"85","Ashliegh McLean","D-II",285
"86","Ashlyn Englehorn","D-II",286
"87","Ashton Corley","D-II",287
"88","Ashton Sangster","D-II",288
"89","AubreeAna Avila-Oropeza","D-II",289
"90","Aubrey Honeycutt","D-II",290
"91","Bailey Bouman","D-II",295
"92","Bailey Castro","D-II",296
"93","Bailey Gaspar","D-II",297
"94","Barb Russo","D-II",305
"95","Barbara Burnett","D-II",310
"96","Barbara Dearing","D-II",311
"97","Barbara Pierce","D-II",316
"98","Barbara Vano","D-II",318
"99","Becca Staton","D-II",324
"100","Becky Martinez","D-II",334
"101","Becky Pearl","D-II",337
"102","Becky Sciacca","D-II",338
"103","Becky Snow","D-II",339
"104","Ben Tyree","D-II",348
"105","Bertha Cummings","D-II",351
"106","Beth Collett","D-II",352
"107","Beth Jackson","D-II",359
"108","Beth Wade","D-II",369
"109","Beth Watson","D-II",370
"110","Betsy Dean","D-II",372
"111","Betty Kemna","D-II",377
"112","Bev Downing","D-II",379
"113","Beverly Agrella","D-II",381
"114","Bianca Duran","D-II",384
"115","Bill Gray","D-II",394
"116","Bill Haller","D-II",395
"117","Bill Hayes","D-II",396
"118","Bill Monstrola","D-II",401
"119","Bill Morris","D-II",402
"120","Bill Streets","D-II",414
"121","Bill Triplett","D-II",415
"122","Bill Vasko","D-II",416
"123","Bill Vermette","D-II",417
"124","Blake Bach","D-II",424
"125","Blanche Lamb","D-II",427
"126","Bo Kuntz","D-II",428
"127","Bob Allen","D-II",429
"128","Bob Baginski","D-II",430
"129","Bob Bartel","D-II",431
"130","Bob Brookens","D-II",435
"131","Bob Davis","D-II",443
"132","Bob DeGregorio","D-II",444
"133","Bob Houlihan","D-II",451
"134","Bob Pearson","D-II",459
"135","Bob Reall","D-II",461
"136","Bob Young","D-II",468
"137","Bobby Henderson","D-II",471
"138","Brad Horky","D-II",486
"139","Brad Huskisson","D-II",487
"140","Brady Tigert","D-II",491
"141","Brandon Duncan","D-II",495
"142","Brandy Kropp","D-II",498
"143","Bree Nasti","D-II",503
"144","Brenda Carlson","D-II",506
"145","Brenda Holaday","D-II",511
"146","Brent Kuker","D-II",517
"147","Brent Shaw","D-II",520
"148","Brett Vincent","D-II",527
"149","Brian De Witt","D-II",533
"150","Brian DeMasters","D-II",534
"151","Brian Madden","D-II",540
"152","Brie Campbell","D-II",556
"153","Britt Stender","D-II",560
"154","Brittanie Talley","D-II",562
"155","Brittany Bennett","D-II",564
"156","Brittany Gomez-Olson","D-II",565
"157","Brittany Johnson","D-II",567
"158","Brock Radaker","D-II",576
"159","Brooke Gajewski","D-II",580
"160","Brooke Lowry","D-II",582
"161","Brooke McCraw","D-II",583
"162","Brooke O'Hair","D-II",584
"163","Bruce Kirsh","D-II",590
"164","Bryan Howard","D-II",593
"165","Bryan Nakasone","D-II",595
"166","Bubba Cummings","D-II",597
"167","Buster Sturkie","D-II",600
"168","Callen Perreira","D-II",613
"169","Candace Abrams","D-II",615
"170","Candi Letts","D-II",617
"171","Cari Boe","D-II",621
"172","Carie Dever-Boaz","D-II",622
"173","Carl Triola","D-II",628
"174","Carla Passini","D-II",632
"175","Carly Adkins","D-II",634
"176","Carmelo Eleutiza","D-II",635
"177","Carol Miller","D-II",641
"178","Carol Tabor","D-II",645
"179","Caroline Hill","D-II",650
"180","Carolyn Palmer","D-II",654
"181","Carrie Byrd","D-II",656
"182","Carrie Roberts","D-II",660
"183","Carrie Webber","D-II",662
"184","Carson DuBose","D-II",663
"185","Casady Webb","D-II",664
"186","Casey Bourgoyne-Charles","D-II",665
"187","Casey Dickson","D-II",669
"188","Cassi Pickett","D-II",675
"189","Cassie Moore","D-II",679
"190","Cathy Monroe","D-II",689
"191","Chad Kerr","D-II",694
"192","Chanin Billings","D-II",700
"193","Chantiel Wilson","D-II",701
"194","Charlene Obert","D-II",705
"195","Charles Johnson","D-II",707
"196","Charles Steele","D-II",709
"197","Charles Walker","D-II",710
"198","Charlie Zeilman","D-II",718
"199","Chelsea Holliday","D-II",726
"200","Chelsey Mulligan","D-II",730
"201","Cherene Castillo","D-II",731
"202","Cheryl Peterson","D-II",745
"203","Chip Ransom","D-II",750
"204","Chris Bellotto","D-II",754
"205","Chris Elze","D-II",764
"206","Chris McKenzie","D-II",776
"207","Chris Turner","D-II",788
"208","Chris Vullo","D-II",790
"209","Christi Wade","D-II",798
"210","Christie Ambrosi","D-II",800
"211","Christie Koschke","D-II",801
"212","Christina Berardi","D-II",803
"213","Christina Coleman","D-II",804
"214","Christina Missildine","D-II",806
"215","Christina Plew-Whitlock","D-II",807
"216","Christine Core","D-II",811
"217","Christine Grenache","D-II",812
"218","Christine Korver","D-II",815
"219","Christine Rizzieri","D-II",820
"220","Christine Roser-LeFevers","D-II",821
"221","Christy Benner","D-II",825
"222","Christy Johnson","D-II",829
"223","Christy Warnock","D-II",831
"224","Christy Wiseman","D-II",832
"225","Chuck Sosnowski","D-II",835
"226","Cindi Hartman","D-II",838
"227","Cindy Manley","D-II",845
"228","Cindy Reese","D-II",847
"229","Cindy Snead","D-II",850
"230","Ciria Triplett","D-II",854
"231","Claire Sua-Amundson","D-II",857
"232","Claudette Charney","D-II",860
"233","Claudia Stabile","D-II",861
"234","Clay Ardeeser","D-II",863
"235","Clay Davis","D-II",864
"236","Codee Yeske","D-II",869
"237","Cody White","D-II",872
"238","Colleen Kelley","D-II",875
"239","Connor Moriarty","D-II",885
"240","Courtney Conley","D-II",897
"241","Courtney Miller","D-II",901
"242","Courtney Rogers","D-II",905
"243","Coy Adkins","D-II",907
"244","Craig Stevens","D-II",915
"245","Cristina Byrne","D-II",922
"246","Crystal Rosenthal","D-II",924
"247","Crystalrae States Fusaro","D-II",925
"248","Cyndi Raymond","D-II",931
"249","Dale Van Houten","D-II",936
"250","Dalton Kelley","D-II",937
"251","Dan Burns","D-II",940
"252","Dan Gierlak","D-II",942
"253","Dan Pollard","D-II",950
"254","Dan Simmons","D-II",954
"255","Dan Zimmer","D-II",959
"256","Dana Callihan","D-II",961
"257","Dana Goss","D-II",964
"258","Dana Lillard","D-II",967
"259","Dane Craig","D-II",970
"260","Danielle Brewer","D-II",978
"261","Danielle Easton","D-II",982
"262","Danielle L'Argent","D-II",985
"263","Danielle Lowe","D-II",986
"264","Daren Hays","D-II",993
"265","Darrell Toney","D-II",998
"266","Darryl Pearson","D-II",1003
"267","Dave Burwell","D-II",1005
"268","Dave Cole","D-II",1008
"269","Dave Kivett","D-II",1013
"270","Daven Bond","D-II",1019
"271","David Chadbourne","D-II",1022
"272","David Hanna","D-II",1024
"273","David Martinez","D-II",1030
"274","David Morton","D-II",1032
"275","David Philop","D-II",1033
"276","David Scott","D-II",1035
"277","David Trail","D-II",1040
"278","Dawn Castaneda","D-II",1045
"279","Dawn Langley","D-II",1046
"280","Dawn MacMillan","D-II",1047
"281","Dawn Payne","D-II",1049
"282","Dawn Spellman-Mara","D-II",1052
"283","Dawn Stearns","D-II",1053
"284","Dawn Thompson","D-II",1055
"285","Dawn Van Hall","D-II",1056
"286","DeAnn Mundinger","D-II",1058
"287","Dean Ehle","D-II",1059
"288","Dean Johnson","D-II",1061
"289","Dean Sullivan","D-II",1063
"290","Deanne Hughes","D-II",1070
"291","Deb Allyn","D-II",1071
"292","Deb Denbeck","D-II",1074
"293","Deb Robitaille","D-II",1080
"294","Debbie Arostigue","D-II",1087
"295","Debbie Fore","D-II",1092
"296","Debbie Holcombe","D-II",1095
"297","Debbie Raysin","D-II",1098
"298","Debra Larson","D-II",1101
"299","Dee Dee Taylor","D-II",1106
"300","Dee Gerlach","D-II",1107
"301","Dee Hargett","D-II",1108
"302","Dee Payan","D-II",1109
"303","Delanie Cruz","D-II",1113
"304","Demoonie Blanche","D-II",1115
"305","Denise Dietrich","D-II",1118
"306","Denise Legault","D-II",1121
"307","Denise Renfro","D-II",1124
"308","Denise Robinson","D-II",1125
"309","Dennis Furr","D-II",1130
"310","Derrick Grimes","D-II",1139
"311","Dervin Taylor","D-II",1140
"312","Destini Anderson","D-II",1141
"313","Dexkie Inman","D-II",1143
"314","DiShondra Goree","D-II",1144
"315","Diana Schwartz","D-II",1148
"316","Diane Kalliam","D-II",1151
"317","Diane Lokey","D-II",1153
"318","Diane Miller","D-II",1155
"319","Diane Potter","D-II",1158
"320","Dianne Baker","D-II",1162
"321","Dianthia Ford-Kee","D-II",1164
"322","Dic Doumanian","D-II",1165
"323","Dick Ballou","D-II",1167
"324","Dick Ewing","D-II",1170
"325","Dietrich Randle","D-II",1177
"326","Dina Kangas","D-II",1179
"327","Don Davisson","D-II",1185
"328","Don Huot","D-II",1192
"329","Don Justus","D-II",1193
"330","Don Kennedy","D-II",1194
"331","Don Loberg","D-II",1195
"332","Don Myers","D-II",1198
"333","Don Piccoli","D-II",1199
"334","Don Stopa","D-II",1200
"335","Donna Crone","D-II",1210
"336","Donna Fields","D-II",1213
"337","Donna Robertson","D-II",1219
"338","Donna Tanner","D-II",1221
"339","Donny Bruce","D-II",1225
"340","Doreen Zierer","D-II",1226
"341","Dorothy Neal","D-II",1228
"342","Doug Eastman","D-II",1233
"343","Doug Spears","D-II",1237
"344","Doug Woods","D-II",1239
"345","Dre Frantz","D-II",1242
"346","Duste Grawrock","D-II",1245
"347","Dustin Combs","D-II",1246
"348","Dwain Powe","D-II",1247
"349","Dwight Sanders","D-II",1248
"350","Dylan Hammons","D-II",1249
"351","Ed Deugan","D-II",1252
"352","Eddie Ward","D-II",1262
"353","Edith Gallagher","D-II",1264
"354","Edric Poitier","D-II",1265
"355","Edward Colvin","D-II",1267
"356","Edward Powell","D-II",1268
"357","Edward Wilkerson","D-II",1269
"358","Elizabeth Alms","D-II",1284
"359","Elizabeth Economon","D-II",1286
