"","season","team_name","division","conference","record","win_perc","team_id","coach_id"
"11695","2004","Sacramento St.","D-I","Pacific Coast Softball","32-28-0","0.533","102",160
"11696","2004","San Diego St.","D-I","Mountain West","37-23-0","0.617","626",1318
"11697","2004","Western Ill.","D-I","Summit League","28-29-0","0.491","771",14
"11698","2004","Knox","D-III","MWC","10-22-1","0.312","337",904
"11699","2004","CSU Bakersfield","D-II","CCAA","44-20-0","0.688","94",90
"11700","2004","Northern Ky.","D-II","GLVC","54-7-0","0.885","505",1566
"11701","2004","James Madison","D-I","CAA","30-32-0","0.484","317",874
"11702","2004","Columbia","D-I","Ivy League","25-26-0","0.490","158",2028
"11703","2004","Purdue Fort Wayne","D-I","-","10-31-1","0.244","308",1708
"11704","2004","Chris. Newport","D-III","USA South","36-7-0","0.837","139",2128
"11705","2004","Transylvania","","HCAC","21-10-0","0.677","28749",1741
"11706","2004","Lock Haven","D-II","PSAC","27-17-0","0.614","360",1684
"11707","2004","Wis.-Stevens Point","D-III","WIAC","20-21-0","0.488","802",2227
"11708","2004","Ripon","D-III","MWC","26-10-0","0.722","577",1002
"11709","2004","South Fla.","D-I","C-USA","60-14-0","0.811","651",1325
"11710","2004","Molloy","D-II","ECC","5-10-0","0.333","437",2173
"11711","2004","Bowie St.","D-II","CIAA","8-18-0","0.308","70",2117
"11712","2004","Valdosta St.","D-II","Gulf South","30-35-0","0.462","734",1881
"11713","2004","Le Moyne","D-II","NE10","34-10-0","0.773","349",1413
"11714","2004","East Tex. Baptist","D-III","ASC","41-5-0","0.891","1062",1253
"11715","2004","Jackson St.","D-I","SWAC","9-28-0","0.243","314",2156
"11716","2004","Old Westbury","D-III","Skyline","7-19-0","0.269","524",1967
"11717","2004","Ferris St.","D-II","GLIAC","24-21-1","0.533","224",1257
"11718","2004","Saint Joseph (CT)","D-III","Great Northeast","2-18-1","0.100","8687",2202
"11719","2004","Southern Ill.","D-I","MVC","45-17-0","0.726","659",1722
"11720","2004","Eastern N.M.","D-II","Lone Star","11-36-0","0.234","206",671
"11721","2004","Minn.-Crookston","D-II","NSIC","9-33-0","0.214","27854",2172
"11722","2004","UIW","D-II","-","7-34-0","0.171","2743",2220
"11723","2004","Randolph-Macon","D-III","ODAC","16-18-0","0.471","565",2078
"11724","2004","FIU","D-I","Sun Belt","30-34-0","0.469","231",1399
"11725","2004","New Mexico","D-I","Mountain West","30-35-0","0.462","473",1350
"11726","2004","Lawrence","D-III","MWC","19-15-0","0.559","348",906
"11727","2004","Rowan","D-III","NJAC","28-10-0","0.737","259",620
"11728","2004","South Dakota","D-II","NCC","23-38-0","0.377","650",1192
"11729","2004","Lehman","D-III","CUNYAC","10-15-0","0.400","279",2160
"11730","2004","Oregon St.","D-I","Pac-12","44-28-0","0.611","528",1051
"11731","2004","Williams","D-III","NESCAC","32-10-0","0.762","789",366
"11732","2004","Augustana (IL)","D-III","CCIW","36-9-0","0.800","40",1570
"11733","2004","Colorado Mesa","D-II","RMAC","30-22-0","0.577","11416",875
"11734","2004","Saint Vincent","","-","10-17-0","0.370","30064",215
"11735","2004","Cedar Crest","D-III","CSAC","11-17-0","0.393","14795",2025
"11736","2004","San Fran. St.","D-II","CCAA","41-25-0","0.621","628",1856
"11737","2004","Arkansas Tech","D-II","Gulf South","15-26-0","0.366","947",2017
"11738","2004","UC Santa Barbara","D-I","Big West","32-31-0","0.508","104",1596
"11739","2004","Rockford","D-III","NIIC","12-27-0","0.308","582",808
"11740","2004","Houston","D-I","C-USA","39-25-0","0.609","288",1803
"11741","2004","Truman St.","D-II","Mid-America Intercollegiate","44-12-0","0.786","499",2094
"11742","2004","Southeast Mo. St.","D-I","OVC","16-36-0","0.308","654",150
"11743","2004","JWU (Providence)","D-III","Great Northeast","13-25-0","0.342","22626",2155
"11744","2004","Neb. Wesleyan","D-III","-","28-12-0","0.700","462",1957
"11745","2004","Anderson (IN)","D-III","HCAC","12-24-0","0.333","939",155
"11746","2004","N.C. Central","D-II","CIAA","17-20-0","0.459","489",1955
"11747","2004","Skidmore","D-III","NYSWCAA","8-22-1","0.267","642",361
"11748","2004","Arizona","D-I","Pac-12","55-6-0","0.902","29",1258
"11749","2004","Winston-Salem","D-II","CIAA","22-11-0","0.667","791",2009
"11750","2004","Wis.-Parkside","D-II","GLVC","32-20-0","0.615","799",1169
"11751","2004","Bethune-Cookman","D-I","MEAC","44-28-0","0.611","61",1370
