"","head_coach","division","coach_id"
"158","Betsy Hada","D-III",373
"159","Betsy Hipple","D-III",374
"160","Betty Hoff","D-III",376
"161","Betty Streightiff","D-III",378
"162","Bev Holtsberg","D-III",380
"163","Beverly Robison","D-III",382
"164","Bill Curtis","D-III",386
"165","Bill Dumont","D-III",387
"166","Bill Earl","D-III",388
"167","Bill Glassman","D-III",391
"168","Bill Goc","D-III",392
"169","Bill Graham","D-III",393
"170","Bill Higley","D-III",397
"171","Bill Johnson","D-III",398
"172","Bill Limoncelli","D-III",400
"173","Bill Mulvihill","D-III",403
"174","Bill Recipko","D-III",405
"175","Bill Relyea","D-III",406
"176","Bill Rosner","D-III",407
"177","Bill Ross","D-III",408
"178","Bill Rude","D-III",409
"179","Bill Saar","D-III",410
"180","Bill Skelly","D-III",411
"181","Bill Smith","D-III",412
"182","Bill Spicer","D-III",413
"183","Billie Jo Blackwell","D-III",419
"184","Billy Manley","D-III",420
"185","Billy Stack","D-III",421
"186","Blair Moyer","D-III",423
"187","Blake Saperstein","D-III",426
"188","Bob Boucher","D-III",433
"189","Bob Bunnell","D-III",437
"190","Bob Castle","D-III",438
"191","Bob Clites","D-III",439
"192","Bob Crandall","D-III",441
"193","Bob D'Avanzo","D-III",442
"194","Bob Fitzsimmons","D-III",447
"195","Bob Ginsburg","D-III",448
"196","Bob Kurkjian","D-III",452
"197","Bob Leib","D-III",453
"198","Bob Long","D-III",454
"199","Bob Lowe","D-III",455
"200","Bob Lund","D-III",456
"201","Bob McKinley","D-III",457
"202","Bob Steenson","D-III",464
"203","Bob Timmons","D-III",465
"204","Bobby Wills","D-III",474
"205","Bonnie May","D-III",478
"206","Bonny Brown-Denico","D-III",481
"207","Brad Bowser","D-III",483
"208","Brad Brubaker","D-III",484
"209","Brad Duckworth","D-III",485
"210","Brad Jones","D-III",489
"211","Brad Posner","D-III",490
"212","Brady Tillotson","D-III",492
"213","Brandi Dolsen","D-III",493
"214","Brandi Gordon Bennett","D-III",494
"215","Brandon Elliott","D-III",496
"216","Brandon Johnson","D-III",497
"217","Bre Marcyoniak","D-III",499
"218","Breanne Shearin","D-III",501
"219","Bree Ferchen","D-III",502
"220","Bren Taylor","D-III",504
"221","Brenda Belcher","D-III",505
"222","Brenda Clements","D-III",507
"223","Brenda Hillman","D-III",510
"224","Brenda Meyers","D-III",512
"225","Brenda Palmer","D-III",513
"226","Brenda Smerigan","D-III",514
"227","Brenda Volk","D-III",515
"228","Brenna Morrissey","D-III",516
"229","Brent Matthias","D-III",518
"230","Brett Banker","D-III",522
"231","Brett Cline","D-III",523
"232","Brett Prosek","D-III",524
"233","Brett Shimek","D-III",525
"234","Brett Swip","D-III",526
"235","Brian Bodine","D-III",528
"236","Brian Claypool","D-III",531
"237","Brian Hensley","D-III",536
"238","Brian Keill","D-III",537
"239","Brian Reinhard","D-III",541
"240","Brian Shearer","D-III",542
"241","Brian Simmons","D-III",543
"242","Brian Speck","D-III",544
"243","Brian Stufflet","D-III",545
"244","Brian Volkman","D-III",546
"245","Brian Wolverton","D-III",547
"246","Brianna Strickland","D-III",550
"247","Bridget Rafter","D-III",554
"248","Bridgette Quimpo","D-III",555
"249","Brie Carmack","D-III",557
"250","Britt Stewart","D-III",561
"251","Brittany Grimm","D-III",566
"252","Brittany Jurek","D-III",568
"253","Brittany Robinson","D-III",570
"254","Brittany Stroop","D-III",571
"255","Brittney Cannavino","D-III",572
"256","Brittney Harvey","D-III",573
"257","Brook Capello","D-III",577
"258","Brooke Donovan","D-III",579
"259","Brooke Kalman","D-III",581
"260","Bruce Addison","D-III",586
"261","Bruce Anderson","D-III",587
"262","Bruce Gendron","D-III",589
"263","Bruce McConkey","D-III",591
"264","Bruce Weckworth","D-III",592
"265","Bryan Mariner","D-III",594
"266","Bryce Baston","D-III",596
"267","Bud Pellerin","D-III",598
"268","Buddy Foster","D-III",599
"269","Butch McLaren","D-III",602
"270","Butch Zike","D-III",604
"271","Cagla Boz","D-III",606
"272","Caitlin Hitchcock","D-III",607
"273","Caitlin Luquet","D-III",609
"274","Caitlyn Seamster","D-III",610
"275","Caitlynn Dykes","D-III",612
"276","Cara Hoyt","D-III",619
"277","Caressa DeRossett","D-III",620
"278","Carissa Cicolini","D-III",623
"279","Carl Teeter","D-III",627
"280","Carlie Hamel","D-III",633
"281","Carol Enke","D-III",637
"282","Carol Grubb","D-III",638
"283","Carol Oberhelman","D-III",642
"284","Carole Templon","D-III",647
"285","Caroline Cubbage","D-III",648
"286","Caroline DeLoach","D-III",649
"287","Caroline Zimmerman","D-III",651
"288","Carolyn Biel","D-III",652
"289","Carolyn Carr","D-III",653
"290","Carrah Fisk Hennessey","D-III",655
"291","Carrie Consalvi","D-III",657
"292","Carrie Hollis","D-III",659
"293","Carrie Rodman","D-III",661
"294","Casey Chrietzberg","D-III",667
"295","Casey Cromwell","D-III",668
"296","Casey Hipp","D-III",670
"297","Casey Price","D-III",671
"298","Casey Pursell","D-III",672
"299","Casey Wilson","D-III",673
"300","Cassie Arroyo","D-III",676
"301","Cassie Crabtree","D-III",677
"302","Cassie Cunningham","D-III",678
"303","Cassie Young","D-III",680
"304","Cat Alves","D-III",681
"305","Cathy Jacobs","D-III",686
"306","Cathy Kurczak","D-III",687
"307","Cathy Lirgg","D-III",688
"308","Cathy Packer","D-III",690
"309","Caytlin Friis","D-III",691
"310","Celia Mosier","D-III",692
"311","Chad Buchmann","D-III",693
"312","Chad Muise","D-III",695
"313","Chad Nelson","D-III",696
"314","Chad Slyter","D-III",697
"315","Charissa Duncan","D-III",702
"316","Charity Camire","D-III",704
"317","Charles Gibson","D-III",706
"318","Charles Martinez","D-III",708
"319","Charlie Beach","D-III",711
"320","Charlie Dobbins","D-III",712
"321","Charlie Dunn","D-III",713
"322","Charlie Kennedy","D-III",715
"323","Charlie Mason","D-III",716
"324","Charlotte Labate","D-III",719
"325","Charlotte Slocum","D-III",721
"326","Charlyn Robert","D-III",722
"327","Chelle Fuss","D-III",723
"328","Chelsea Korp","D-III",727
"329","Chelsea Sheehan","D-III",728
"330","Cheri Goetcheus","D-III",733
"331","Cheri Johns","D-III",734
"332","Cheri Swineford","D-III",736
"333","Cherith Bevers","D-III",737
"334","Cherry Bennett","D-III",738
"335","Cheryl Aschenbach","D-III",739
"336","Cheryl Condon","D-III",740
"337","Cheryl Coronado","D-III",741
"338","Cheryl Kerr-Kobus","D-III",742
"339","Cheryl Merritt","D-III",743
"340","Chip Abernathy","D-III",749
"341","Chris Blum","D-III",755
"342","Chris Brown","D-III",756
"343","Chris Brunson","D-III",757
"344","Chris Chapdelaine","D-III",759
"345","Chris Comino","D-III",761
"346","Chris Cummings","D-III",762
"347","Chris Eaton","D-III",763
"348","Chris Gross","D-III",767
"349","Chris Helixon","D-III",769
"350","Chris Hipa","D-III",770
"351","Chris Hudson","D-III",772
"352","Chris Iliopoulos","D-III",773
"353","Chris McKnight","D-III",777
"354","Chris Mooney","D-III",779
"355","Chris Parsons","D-III",780
"356","Chris Petroski","D-III",781
"357","Chris Pier","D-III",782
"358","Chris Protesto","D-III",783
"359","Chris Stainer","D-III",784
"360","Chris Starke","D-III",785
"361","Chris Viers","D-III",789
"362","Chrissy Lambie","D-III",792
"363","Chrissy Pearson","D-III",793
"364","Chrissy Semler","D-III",795
"365","Christen Ditzler","D-III",796
"366","Christian Novak","D-III",799
"367","Christina Finch","D-III",805
"368","Christine Bouffard","D-III",809
"369","Christine Carr","D-III",810
"370","Christine King","D-III",814
"371","Christine Lombardo-Zaun","D-III",816
"372","Christine McBride","D-III",817
"373","Christine McCarey","D-III",818
"374","Christine Medwig","D-III",819
"375","Christine Steines","D-III",822
"376","Christine VanHook","D-III",823
"377","Christy Shelton","D-III",830
"378","Chuck Myers","D-III",834
"379","Chyrisse Conte","D-III",836
"380","Cindy Elliott","D-III",842
"381","Cindy Henson","D-III",843
"382","Cindy Jacobelli","D-III",844
"383","Cindy McKnight","D-III",846
"384","Cindy Schuppert","D-III",849
"385","Cindy Suess","D-III",851
"386","Cindy Walz","D-III",852
"387","Cindy Zelinsky","D-III",853
"388","Claire Emplit","D-III",855
"389","Claire Roll","D-III",856
"390","Clarence ""Fuzzy"" Buckenberger","D-III",858
"391","Claudio Barbieri","D-III",862
"392","Clement Meccia","D-III",865
"393","Clyde Washburne","D-III",868
"394","Cody Tesch","D-III",870
"395","Coley Ries Welter","D-III",873
"396","Colleen Bannister","D-III",874
"397","Colleen Moyer","D-III",876
"398","Colleen Nasis","D-III",877
"399","Colleen O'Brien","D-III",878
"400","Colleen Powers","D-III",879
"401","Colleen Stuppy","D-III",880
"402","Connie Tilley","D-III",884
"403","Conrad Parker","D-III",886
"404","Cora Zackrison","D-III",888
"405","Corey Heulitt","D-III",889
"406","Corey Parr","D-III",891
"407","Cori Collinsworth","D-III",892
"408","Cori Thiermann","D-III",893
"409","Corrie Hill","D-III",894
"410","Courtney Knight","D-III",899
"411","Courtney Moyer","D-III",902
"412","Courtney Orr","D-III",904
"413","Courtney Tucker","D-III",906
"414","Craig Arendt","D-III",908
"415","Craig Billings","D-III",909
"416","Craig Potts","D-III",912
"417","Craig Rand","D-III",913
"418","Craig Walston","D-III",916
"419","Craig Wojszwillo","D-III",917
"420","Cristen Nichols","D-III",921
"421","Cristina Lukas","D-III",923
"422","Curt Smyth","D-III",927
"423","Curtis Johnson","D-III",928
"424","Cyndi Gramlich-Covello","D-III",929
"425","Cyndi Pratt","D-III",930
"426","Dale Garlick","D-III",934
"427","Dale Martin","D-III",935
"428","Damian Williams","D-III",938
"429","Dan Bantin","D-III",939
"430","Dan Gooris","D-III",943
"431","Dan Lazorka","D-III",944
"432","Dan Letellier","D-III",945
"433","Dan Nessler","D-III",946
"434","Dan Opera","D-III",947
"435","Dan Santerre","D-III",952
"436","Dan Sheppard","D-III",953
"437","Dan Timm","D-III",956
"438","Dana Brown","D-III",960
"439","Dana DeSimone","D-III",962
"440","Dana Munchinski","D-III",968
"441","Dana Wiezorek","D-III",969
"442","Dani Bishop","D-III",971
"443","Dani Spaulding","D-III",973
"444","Daniella Pillar","D-III",975
"445","Danielle Barack","D-III",976
"446","Danielle Barrett","D-III",977
"447","Danielle DeStaso","D-III",979
"448","Danielle DelPonte","D-III",980
"449","Danielle Delude","D-III",981
"450","Danielle Fazzolare","D-III",983
"451","Danielle Stines","D-III",988
"452","Danni Glixman","D-III",989
"453","Danny Fish","D-III",990
"454","Dante Fedeli","D-III",991
"455","Darcy Earley","D-III",992
"456","Darin Thompson","D-III",994
"457","Darla Wack","D-III",995
"458","Darren Ambrose","D-III",1000
"459","Darrick Brown","D-III",1002
"460","Dave Canan","D-III",1006
"461","Dave Caputi","D-III",1007
"462","Dave Fontaine","D-III",1010
"463","Dave Halloran","D-III",1012
"464","Dave Labbe","D-III",1014
"465","Dave McGuigan","D-III",1016
"466","Dave Morissette","D-III",1017
"467","Dave Pisano","D-III",1018
"468","David Alshay","D-III",1020
"469","David Hicks","D-III",1025
"470","David Hoch","D-III",1026
"471","David Hogan","D-III",1027
"472","David Majewski","D-III",1029
"473","David McNally","D-III",1031
"474","David Salvatore","D-III",1034
"475","David Snyder","D-III",1037
"476","David Sylvester","D-III",1038
"477","David Thielen","D-III",1039
"478","David Wright","D-III",1042
"479","Dawn McCrumb","D-III",1048
"480","Dawn Politz","D-III",1050
"481","Dawn Simmons","D-III",1051
"482","Dawn Strout","D-III",1054
"483","Dean Ferrington","D-III",1060
"484","Deanna Kingsbury","D-III",1066
