"","team_id","player_id","rank","player","slg"
"1",264,83228,1,"Darice Wheeler","1.093"
"2",1192,43271,2,"Laurren Ladwig","0.990"
"3",542,71258,3,"Vada blue Sherrill","0.984"
"4",30037,25597,3,"Kaylee Fox","0.984"
"5",160,3509,5,"Melissa Balkema","0.953"
"6",1111,39169,6,"Kate Jolliff rosado","0.922"
"7",125,21373,7,"Anna Dunn","0.920"
"8",987,50707,8,"Josie Mcelroy","0.905"
"9",279,19627,9,"Maranda Diaz","0.898"
"10",789,17187,10,"Lexi Curt","0.883"
"11",300,5627,11,"Sam Berghoff","0.880"
"12",809,19387,12,"Sydney Despres","0.877"
"13",987,36764,12,"Brittany Huff","0.877"
"14",30064,72476,14,"Alona Sleith","0.856"
"15",139,57749,15,"Patty maye Ohanian","0.852"
"16",1454,71850,15,"Michelle Silva","0.852"
"17",532,58033,17,"Elizabeth Olszewski","0.839"
"18",24317,18260,18,"Jordan Day","0.836"
"19",411,16493,19,"Erin Cressman","0.822"
"20",12399,13886,20,"Amanda Clark","0.817"
"21",30160,71804,21,"Taylor Sile","0.812"
"22",525,6813,22,"Kinslea Blouin","0.809"
"23",789,55328,23,"Mackenzie Murphy","0.806"
"24",1094,52405,23,"Allison Meyer","0.806"
"25",684,86701,25,"Ashley Zulla","0.804"
"26",30064,56773,25,"Shelby Noel","0.804"
"27",296,13486,27,"Emily Chitwood","0.796"
"28",303,4280,28,"Annemarie Bartow","0.794"
"29",770,57076,28,"Kayla Nowak","0.794"
"30",1112,12237,30,"Makayla Carver","0.793"
"31",64,28816,31,"Hannah Goett","0.789"
"32",684,76331,32,"Delaney Sylvester","0.788"
"33",420,48170,33,"Melanie Mandell","0.785"
"34",168,23939,34,"Hannah Feldman","0.781"
"35",286,64474,35,"Hayley Reitsma","0.779"
"36",443,73879,36,"Kat Spilman","0.773"
"37",750,25380,36,"Mara Forsyth","0.773"
"38",531,50716,38,"Bailey Mcelwain","0.764"
"39",778,77726,38,"Kelly Thornton","0.764"
"40",139,1854,40,"Leah Andrews","0.761"
"41",784,26852,41,"Christina Gambino","0.760"
"42",1254,69605,42,"Jackie Schneider","0.759"
"43",179,74529,43,"Jamie Stefani","0.756"
"44",28593,44722,44,"Savannah Lee","0.753"
"45",160,79851,45,"Marita Van dyke","0.752"
"46",1133,72973,45,"Olivia Smith","0.752"
"47",76,30532,47,"Shannon Grindle","0.750"
"48",279,80824,47,"Diamond Villegas","0.750"
"49",442,62299,47,"Kaylee Powers","0.750"
"50",809,73065,47,"Dakota Smith-porter","0.750"
"51",1062,68232,51,"Sabrina Salts","0.748"
"52",781,626,52,"Marialena Ahern","0.747"
"53",1064,14173,53,"Lauren Clements","0.746"
"54",1179,58098,53,"Melanie Oord","0.746"
"55",1112,16412,55,"Makayla Crawford","0.743"
"56",2798,25404,55,"Gillian Fortier","0.743"
"57",20220,73189,57,"Emily Snow","0.742"
"58",22626,15735,58,"Jennifer Corona","0.740"
"59",296,7864,59,"Jenna Boyajian","0.739"
"60",21,8951,60,"Mary Brooks","0.738"
"61",8688,21303,60,"Makenzie Duncan","0.738"
"62",549,18469,62,"Izzy Deatherage","0.737"
"63",150,57236,63,"Allie O'brien","0.736"
"64",1400,58769,64,"Haley Padilla","0.735"
"65",451,33728,65,"Rachel Heizer","0.734"
"66",303,35030,66,"Keani Hindle","0.732"
"67",12399,5030,67,"Jessica Behr","0.730"
"68",281,31400,68,"Kaitlyn Hager","0.729"
"69",348,44012,68,"Ceara Larson","0.729"
"70",622,61278,70,"Annie Pietanza","0.728"
"71",1111,57807,70,"Becca Oldham","0.728"
"72",1254,23536,72,"Kierstin Fallers","0.727"
"73",1094,8347,73,"Roni Braun","0.726"
"74",88,1294,74,"Marissa Alpaugh","0.725"
"75",22235,56981,74,"Ateisha Norton","0.725"
"76",24317,197,76,"Ashleigh Acker","0.723"
"77",30037,32815,76,"Makenna Hartline","0.723"
"78",455,36879,78,"Krissy Hughes","0.721"
"79",16142,10498,78,"Amanda Butera","0.721"
"80",684,76335,80,"Payton Sylvester","0.720"
"81",808,6192,81,"Ama Biney","0.719"
"82",21830,40784,81,"Mariann Kennison","0.719"
"83",722,37375,83,"Emma Hvozdovich","0.717"
"84",8530,65417,84,"Rachel Ripley","0.716"
"85",259,1651,85,"Carly Anderson","0.715"
"86",215,10072,86,"Olivia Burgos","0.714"
"87",382,19803,86,"Dolores Diemicke","0.714"
"88",973,49427,88,"Bayleigh Masterson","0.712"
"89",182,70301,89,"Lauren Secaras","0.711"
"90",808,85094,89,"Caraline Wood","0.711"
"91",385,58930,91,"Jordan Pallay","0.709"
"92",673,20972,91,"Kristen Drobiak","0.709"
"93",745,36525,91,"Cassetty Howerin","0.709"
"94",795,69542,94,"Mia Schmidtke","0.707"
"95",211,80166,95,"Emma Varrato","0.705"
"96",374,47367,95,"Taylor Mabry","0.705"
"97",809,22722,95,"Kaiulani Ennis","0.705"
"98",303,64642,98,"Ashley Rey","0.702"
"99",276,73578,99,"Emma Souter","0.699"
"100",1124,48060,99,"Jordan Mallard","0.699"
"101",1340,2167,99,"Kristen Arbiter","0.699"
