"","team_id","player_id","rank","player","so"
"1",745,36961,1,"Hanna Hull",376
"2",601,77208,2,"Lindsey Thayer",323
"3",615,29716,3,"Julie Graf",260
"4",1451,66584,4,"Jazmyn Rohrer",254
"5",286,39442,5,"Sydney Jones",240
"6",1064,69231,6,"Elisabeth Schaffer",232
"7",300,83682,7,"Ally Wiegand",229
"8",973,36440,8,"Kassie Howard",203
"9",1468,15152,9,"Cindy Connoly",198
"10",114,27969,10,"Anna Gernant",194
"11",372,8327,11,"Samantha Bratland",189
"12",120,58446,12,"Amanda Osterhus",185
"13",122,31827,13,"Ilissa Hamilton",184
"14",1255,5846,14,"Sydnee Bessler",183
"15",443,57044,15,"Josie Novak",181
"16",30038,61443,16,"Anna Pipenhagen",178
"17",28749,54683,17,"Renae Morton",177
"18",815,45329,18,"Ginger Lewis",175
"19",259,18609,19,"Jesse Dedomenico",170
"20",1062,1689,19,"Jordan Anderson",170
"21",8911,47868,21,"Abby Mahsem",169
"22",1305,21777,21,"Krista Earl",169
"23",1133,39316,23,"Jen Jones",167
"24",24317,18260,24,"Jordan Day",165
"25",30044,67313,25,"Jess Rozick",162
"26",279,80824,26,"Diamond Villegas",161
"27",1094,73464,26,"Madison Sorensen",161
"28",531,38861,28,"Gabby Johnson",160
"29",804,32200,29,"Macy Hanson",157
"30",24,79385,30,"Lorena Ukanwa",155
"31",20220,61931,30,"Lorrin Pondo",155
"32",18,83775,32,"Jessica Wilcox",151
"33",712,55683,33,"Alanna Namit",150
"34",800,35375,33,"Ashton Hoeppner",150
"35",217,73932,35,"Jacqueline Spizizen",149
"36",549,66134,35,"Liz Rodarte",149
"37",22626,15735,37,"Jennifer Corona",146
"38",717,79881,38,"Kristi Van meter",145
"39",28593,16819,39,"Haley Crumpton",143
"40",398,55778,39,"Ravenne Nasser",143
"41",565,83580,41,"Candace Whittemore",142
"42",263,16150,41,"Cheyanne Cox",142
"43",789,21310,41,"Rebecca Duncan",142
"44",438,35140,44,"Liz Hippen",141
"45",517,45513,45,"Kirsten Lightel",138
"46",1115,30419,46,"Sydney Griffin",134
"47",38,1761,47,"Sam Anderson",131
"48",121,30821,47,"Stefanie Guercio",131
"49",150,57976,49,"Alyssa Olson",130
"50",390,19258,49,"Kara Deppe",130
"51",2694,59526,49,"Olivia Paszek",130
"52",538,56436,52,"Aj Nichols",129
"53",484,24195,52,"Alexis Ferris",129
"54",238,31019,52,"Kelsi Gunarathne",129
"55",1400,63922,55,"Maitlin Raycroft",128
"56",278,54022,56,"Kaitlyn Moore",127
"57",565,64834,57,"Madie Rhoads",124
"58",396,72849,58,"Katlyn Smith",123
"59",1450,62520,59,"Katie Price",122
"60",398,11190,60,"Colleen Campbell",120
"61",775,41565,61,"Aimee Kistner",119
"62",177,3467,61,"Emma Baldwin",119
"63",8688,63936,61,"Morgan Raymer",119
"64",467,3784,61,"Taylor Barbour",119
"65",313,24817,65,"Beth Fleming",117
"66",44,628,65,"Kaitlyn Aherron",117
"67",30190,34177,65,"Morgan Heritage",117
"68",179,74529,68,"Jamie Stefani",116
"69",805,11083,68,"Julia Camardo",116
"70",59,6209,68,"Sam Binkley",116
"71",730,84313,71,"Kaitlyn Willis",115
"72",166,32392,72,"Haley Harmon",114
"73",623,56010,73,"Andi Nelson",113
"74",303,6285,73,"Emma Bischoff",113
"75",45,64384,75,"Ali Reilly",112
"76",50,60079,75,"Kirsten Pelletier",112
"77",142,31075,77,"Anna Gurr",111
"78",1196,63851,78,"Paige Rauhut",109
"79",577,64254,79,"Lexi Reetz",108
"80",8567,53004,79,"Sarah Miller",108
"81",805,49641,81,"Bella Matthias",107
"82",24400,67686,81,"Jorden Russell",107
"83",548,52827,83,"Caitlyn Miller",106
"84",24,58797,83,"Gina Pagan",106
"85",30041,3873,83,"Miranda Barker",106
"86",641,5147,86,"Emily Bell",105
"87",633,76176,86,"Jennifer Sweeney",105
"88",566,13047,86,"Lindsey Chaney",105
"89",679,11496,86,"Marissa Cappello",105
"90",409,37940,90,"Taylor Jackson",104
"91",21830,21964,91,"Melissa Eckman",102
"92",633,64559,91,"Morgan Rentzheimer",102
"93",775,79391,91,"Paige Uliase",102
"94",8398,1163,91,"Rachel Allen",102
"95",8746,52410,95,"Bailey Meyer",101
"96",215,41049,95,"Megan Kieselback",101
"97",12973,62161,95,"Megan Potter",101
"98",200,7092,95,"Morgan Bolduk",101
"99",185,52693,99,"Madison Milaszewski",100
"100",344,19786,99,"Missy Dieckman-meyer",100
"101",168,79849,99,"Sam Van dorn",100
"102",182,34350,99,"Sarah Herold",100
"103",1179,69082,99,"Shelby Saylors",100
