"","first","last","team"
"2205","Quierra","Bradford","Hampton"
"2206","Vanessa","Bradford","Alabama St."
"2207","Allie","Bradian","Fordham"
"2208","Jenna","Bradish","Merrimack"
"2209","Amani","Bradley","California"
"2210","Amani","Bradley","Minnesota"
"2211","Jenna","Bradley","Massachusetts"
"2212","Kylie","Bradley","Centenary (LA)"
"2213","Mecolett","Bradley","Xavier (LA)"
"2214","Meghan","Bradley","Penn St."
"2215","Olivia","Bradley","Bradley"
"2216","Samantha","Bradley","Louisiana"
"2217","Samantha","Bradley","Abilene Christian"
"2218","Savannah","Bradley","Harvard"
"2219","Taylor","Bradley","Georgia St."
"2220","Tori","Bradley","Southeast Mo. St."
"2221","Charli","Bradshaw","Jacksonville"
"2222","Sarah","Bradshaw","Corban"
"2223","Karlie","Brady","LIU"
"2224","Lexie","Brady","Ole Miss"
"2225","Maya","Brady","UCLA"
"2226","Mckenna","Braegelmann","San Diego"
"2227","Julia","Bragado","Seattle U"
"2228","Anna","Brait","Holy Cross"
"2229","Taeler","Braithwaite","Texas Southern"
"2230","Marissa","Braito","Binghamton"
"2231","Adie","Brake","Nicholls"
"2232","Alex","Brake","Tennessee"
"2233","Gabby","Bram","Rider"
"2234","Kassie","Brammer","James Madison"
"2235","Danica","Bramschreiber","Wis.-Parkside"
"2236","Emma","Bramson","New Mexico"
"2237","Kaci","Branch","Ohio"
"2238","Makenna","Branch","Lincoln (MO)"
"2239","Hunter","Brancifort","Kent St."
"2240","Skylar","Brandemarte","Stonehill"
"2241","Eyrika","Brandenburg","Southern Ill."
"2242","Hope","Brandner","Oregon St."
"2243","Hope","Brandner","Minnesota"
"2244","Baylea","Brandon","LSU"
"2245","Baylea","Brandon","Texas"
"2246","Lindsay","Brandon","Detroit Mercy"
"2247","Trinity","Brandon","San Diego St."
"2248","Carlie","Brandt","Minnesota"
"2249","Courtney","Brandt","Stetson"
"2250","Allison","Brandvold","Georgia Tech"
"2251","Peyton","Branham","Houston-Victoria"
"2252","Jennifer","Brann","Penn"
"2253","Jennifer","Brann","Maryland"
"2254","Sidney","Brannam","CWRU"
"2255","Shianne","Brannan","Cal St. Fullerton"
"2256","Kaitlyn","Brannstrom","Purdue"
"2257","Kaitlyn","Brannstrom","Grand Canyon"
"2258","Raegan","Branon","Bradley"
"2259","Maclai","Branson","Kentucky"
"2260","Maclai","Branson","Miami (OH)"
"2261","Ariana","Branstiter","FGCU"
"2262","Shalee","Brantley","Oklahoma St."
"2263","Amanda","Brashear","Maryland"
"2264","Erica","Brasher","Lafayette"
"2265","Mackenzie","Brasher","South Alabama"
"2266","Bella","Brass","Toledo"
"2267","Booth","Braswell","UNCW"
"2268","Harleigh","Braswell","Arizona St."
"2269","Harleigh","Braswell","Oregon St."
"2270","Victoria","Bratcher","Col. of Charleston"
"2271","Victoria","Bratcher","UIW"
"2272","Allison","Bratek","Jacksonville"
"2273","Madison","Bratek","Jacksonville"
"2274","Victoria","Bratton","Benedict"
"2275","Sammie","Brauckmiller","Warner Pacific"
"2276","Adele","Braun","Mercer"
"2277","Adele","Braun","LMU (CA)"
"2278","Dani","Braun","Washington"
"2279","Savannah","Braun","New Mexico"
"2280","Abby","Braundmeier","SIUE"
"2281","Logan","Braundmeier","Murray St."
"2282","Haley","Bravo","Coppin St."
"2283","Jade","Bravo","Dartmouth"
"2284","Julianna","Bravo","Alderson Broaddus"
"2285","Marissa","Bravo","BYU"
"2286","Shaelynn","Braxton","Marshall"
"2287","Anniston","Bray","Western Ky."
"2288","Taryn","Braz","Providence"
"2289","Camryn","Brazile","App State"
"2290","Elayna","Brdecka","Dayton"
"2291","Hailey","Breakwell","Idaho St."
"2292","Ashley","Breal","Alcorn"
"2293","Aja","Brechtel,","Army West Point"
"2294","Ava","Bredwell","Nebraska"
"2295","Sam","Breed","SIUE"
"2296","Alex","Breeden","South Alabama"
"2297","Allysen","Breeden","Rider"
"2298","Hannah","Breeden","Cleveland St."
"2299","Ashley","Breeding","Bradley"
"2300","Raegan","Breedlove","Oregon"
"2301","Kelly","Breen","Syracuse"
"2302","Kelsey","Breer","Idaho St."
"2303","Holly","Brehm","Ohio"
"2304","Quinn","Breidenbach","Massachusetts"
"2305","Taylor","Breidt","Radford"
"2306","Kaylyn","Breitbach","Saint Louis"
"2307","Bradleigh","Breland","George Washington"
"2308","Briielle","Breland","Grand Canyon"
"2309","Briielle","Breland","BYU"
"2310","Brooke","Breland","New Mexico"
"2311","Cassidy","Brendtke","Western Mich."
"2312","Alexis","Brengle","Morgan St."
"2313","Emma","Brennan","Hofstra"
"2314","Hannah","Brennan","Yale"
"2315","Kelsey","Brennan","Manhattan"
"2316","Kristen","Brennan","Saint Peter's"
"2317","Payton","Brennan","Green Bay"
"2318","Lexie","Brenneis","Montana"
"2319","Abby","Brenowitz","UMBC"
"2320","Hannah","Brenton","Spring Hill"
"2321","Megan","Brenton","Evansville"
"2322","Casey","Brescia","App State"
"2323","Alyson","Bressie","A&M-Corpus Christi"
"2324","Jenny","Bressler","UNLV"
"2325","Jenny","Bressler","Virginia"
"2326","Chloe","Brett","Savannah St."
"2327","Sarah","Bretti","MSU Denver"
"2328","Grace","Bretveld","SIUE"
"2329","Victoria","Bretz","Niagara"
"2330","Chelsea","Brew","MSU Denver"
"2331","Alyssa","Brewer","Green Bay"
"2332","Amber","Brewer","Carroll (MT)"
"2333","Brittany","Brewer","Bowie St."
"2334","Cassady","Brewer","UCF"
"2335","Destinee","Brewer","Lipscomb"
"2336","Kara","Brewer","Western Ky."
"2337","Kayla","Brewer","Western Caro."
"2338","Laura","Brewer","Drake"
"2339","Brooklynn","Brewington","Charleston So."
"2340","Brooklynn","Brewington","Western Caro."
"2341","Jaclyn","Brewster","Holy Cross"
"2342","Amanda","Bricker","California Baptist"
"2343","Olivia","Bricker","Wright St."
"2344","Olivia","Bricker","Bellarmine"
"2345","Chaley","Brickey","Kansas"
"2346","Demone","Brickhouse","Virginia St."
"2347","Katelyn","Bridgeman","Utah Valley"
"2348","Caroline","Bridges","LMU (CA)"
"2349","Devon","Bridges","Boise St."
"2350","Jamie","Bridges","Ark.-Pine Bluff"
"2351","Tristan","Bridges","Tarleton St."
"2352","Allie","Bridgman","Fairfield"
"2353","Holly","Bridgman","Drexel"
"2354","Paris","Brienesse","UT Arlington"
"2355","Sarah","Briers","Tulsa"
"2356","Ciara","Briggs","LSU"
"2357","Jayl","Briggs","Texas Southern"
"2358","Kari","Briggs","Tulsa"
"2359","Kelsi","Briggs","East Carolina"
"2360","Queen","Briggs","Jackson St."
"2361","Taylor","Briggs","Rhode Island"
"2362","Amy","Bright","Manhattan"
"2363","Katie","Bright","Florida St."
"2364","Kelly","Bright","Fordham"
"2365","Katie","Brignac","Memphis"
"2366","Kb","Briley","Louisiana Tech"
"2367","Jessica","Brill","Stonehill"
"2368","Teann","Bringle","Indiana St."
"2369","Taylor","Brink","Pacific"
"2370","Emmalyn","Brinka","New Mexico"
"2371","Gracie","Brinkerhoff","Purdue Fort Wayne"
"2372","Mckinley","Brinkerhoff","Weber St."
"2373","Abby","Brinkmeier","Green Bay"
"2374","Haylee","Brinlee","McNeese"
"2375","Taylor","Brintzenhoff","Louisiana Tech"
"2376","Demiree","Briones","N.C. Central"
"2377","Justine","Briones","Long Beach St."
"2378","Amanda","Briskin","Samford"
"2379","Callie","Brister","Samford"
"2380","Alyssa","Brito","Oregon"
"2381","Alyssa","Brito","Oklahoma"
"2382","Leah","Brito","UC Riverside"
"2383","Thiana","Brito","Merrimack"
"2384","Anisa","Britt","Alabama A&M"
"2385","Kelly","Britt","UAB"
"2386","Madison","Britt","Alabama St."
"2387","Morgan","Britt","UNCW"
"2388","Sicili","Brittingham","Biola"
"2389","Caitlyn","Britton","Central Mich."
"2390","Rachel","Britton","Memphis"
"2391","Carissa","Brizzi","UConn"
"2392","Ryan","Brizzo","California Baptist"
"2393","Emma","Broadfoot","North Ala."
"2394","Emma","Broadfoot","Alabama"
"2395","Kelsey","Broadus","Boise St."
"2396","Kelsey","Broadus","Texas A&M"
"2397","Cour","Brochu","Stonehill"
"2398","Courtney","Brochu","Stonehill"
"2399","Danielle","Brochu","Arkansas"
"2400","Danielle","Brochu","Illinois"
"2401","Allie","Brock","Montana"
"2402","Alyssa","Brock","Bellarmine"
"2403","Annie","Brock","Army West Point"
"2404","Hannah","Brock","Marist"
"2405","Lauren","Brock","UAB"
"2406","Nicole","Brock","Delaware St."
"2407","Scarlett","Brock","Southern U."
"2408","Jamison","Brockenbrough","Tennessee"
"2409","Makena","Brocki","San Diego St."
"2410","Emma","Brockmann","Northern Colo."
"2411","Caitlyn","Brockway","Houston Christian"
"2412","Caitlyn","Brockway","UTEP"
"2413","Taylor","Broddick","Memphis"
"2414","Taylor","Broddick","ULM"
"2415","Sydney","Broderick","BYU"
"2416","Sydney","Broderick","Florida St."
"2417","Sydney","Broderick","New Mexico"
"2418","Emily","Brodner","Illinois"
"2419","Emily","Brodner","Fresno St."
"2420","Mara","Brody","Bethune-Cookman"
"2421","Bailey","Broemmer","Murray St."
"2422","Haley","Brogden","Western Caro."
"2423","Megan","Brogden","Coppin St."
"2424","Seriah","Brokenborough","Florida A&M"
"2425","Samantha","Broking","UAlbany"
"2426","Madison","Bromley","Rhodes"
"2427","Andie","Broniewicz","Loyola Chicago"
"2428","Sierra","Bronkey","Arkansas"
"2429","Hannah","Brooke","Columbia Int'l"
"2430","Blakeli","Brookreson","Abilene Christian"
"2431","Blaise","Brooks","Jacksonville"
"2432","Brianna","Brooks","Charleston So."
"2433","Cait","Brooks","Notre Dame"
"2434","Caitlin","Brooks","Sacramento St."
"2435","Holly","Brooks","Campbell"
"2436","Jayla","Brooks","Delaware"
"2437","Jenni","Brooks","Wichita St."
"2438","Jordyn","Brooks","Prairie View"
"2439","Katie","Brooks","Kansas"
"2440","Kindell","Brooks","UTSA"
"2441","Lauren","Brooks","Central Ark."
"2442","Lauryn","Brooks","Hampton"
"2443","Lisa","Brooks","Grambling"
"2444","Mallory","Brooks","Stetson"
"2445","Olivia","Brooks","UNI"
"2446","Rejane","Brooks","Howard"
"2447","Rylie","Brooks","Nevada"
"2448","Sabriya","Brooks","Benedict"
"2449","Skyler","Brooks","North Carolina"
"2450","Victoria","Brooks","Southwest Minn. St."
"2451","Anna","Brooks pacha","Georgetown"
"2452","Suzy","Brookshire","Sacramento St."
"2453","Suzy","Brookshire","San Jose St."
"2454","Suzy","Brookshire","Long Beach St."
"2455","Abby","Broome","Ga. Southern"
"2456","Mallory","Broome","Western Caro."
"2457","Alyson","Broschk","Cleveland St."
"2458","Valeri","Broschk","Cleveland St."
"2459","Hannah","Broseman","Texas Tech"
"2460","Macy","Brotherton","Arkansas"
"2461","Amari","Broughton","Ark.-Pine Bluff"
"2462","Lexi","Broussard","La. Christian"
"2463","Miah","Broussard","La. Christian"
"2464","Schuylar","Broussard","Fresno St."
"2465","Riley","Browder","Baylor"
"2466","Mikaela","Browdy","Morgan St."
"2467","Courtney","Brower","Austin Peay"
"2468","Abby","Brown","Loyola Chicago"
"2469","Abby","Brown","Georgia St."
"2470","Abigail","Brown","FIU"
"2471","Alex","Brown","North Ala."
"2472","Alex","Brown","North Carolina"
"2473","Alexus","Brown","Grambling"
"2474","Alicia","Brown","LMU (CA)"
"2475","Allison","Brown","Ole Miss"
"2476","Allison","Brown","Lafayette"
"2477","Amity","Brown","Tennessee Tech"
"2478","Andralyn","Brown","Kentucky St."
"2479","April","Brown","Utah St."
"2480","Armani","Brown","Marshall"
"2481","Ashley","Brown","Hardin-Simmons"
"2482","Ava","Brown","Idaho St."
"2483","Aydenne","Brown","New Mexico St."
"2484","Brianna","Brown","Penn"
"2485","Brooke","Brown","Carroll (MT)"
"2486","Brooke","Brown","Southern Utah"
"2487","Carley","Brown","BYU"
"2488","Carley","Brown","Nevada"
"2489","Cayla","Brown","Coppin St."
"2490","Courtney","Brown","SFA"
"2491","Daija","Brown","Tuskegee"
"2492","Dani","Brown","Loyola Chicago"
"2493","Dani","Brown","Mount St. Mary's"
"2494","Darien","Brown","Talladega"
"2495","Destini","Brown","Southern Miss."
"2496","Devan","Brown","Kennesaw St."
"2497","Devan","Brown","Chattanooga"
"2498","Devin","Brown","South Alabama"
"2499","Dyamond","Brown","Tuskegee"
"2500","Eliisa","Brown","Alabama"
"2501","Emily","Brown","Georgia St."
"2502","Emily","Brown","UT Martin"
"2503","Erin","Brown","UNCW"
"2504","Erin","Brown","St. John's (NY)"
"2505","Erin","Brown","Towson"
"2506","Hannah","Brown","Jacksonville St."
"2507","Hayden","Brown","LSU"
"2508","Holly","Brown","Mississippi Val."
"2509","Janae","Brown","Florida A&M"
"2510","Jasmine","Brown","Tennessee St."
"2511","Jenna","Brown","Dartmouth"
"2512","Jessie","Brown","North Ala."
"2513","Jessie","Brown","Lipscomb"
"2514","Jordan","Brown","Mississippi Val."
"2515","Kailey","Brown","Belmont"
"2516","Kalea","Brown","Southern U."
"2517","Kaley","Brown","Mississippi Val."
"2518","Kamaya","Brown","Prairie View"
"2519","Karroni","Brown","Grambling"
"2520","Kassie","Brown","Indiana St."
"2521","Kati ray","Brown","Houston"
"2522","Katie","Brown","Presbyterian"
"2523","Kayla","Brown","Fort Valley St."
"2524","Kayla","Brown","N.C. A&T"
"2525","Keala","Brown","Fresno St."
"2526","Keala","Brown","New Mexico St."
"2527","Kelsey","Brown","ETSU"
"2528","Kelsey","Brown","James Madison"
"2529","Kelsey","Brown","Virginia Tech"
"2530","Kendall","Brown","Houston"
"2531","Kendall","Brown","Pittsburgh"
"2532","Kenedi","Brown","UC Davis"
"2533","Kennedy","Brown","UT Martin"
"2534","Kenzie","Brown","Arizona St."
"2535","Kimberlynn","Brown","Coppin St."
"2536","Kristen","Brown","North Carolina"
"2537","Kristen","Brown","Lafayette"
"2538","Kyaira","Brown","Florida A&M"
"2539","Kyrsten","Brown","UT Martin"
"2540","Lainee","Brown","Wichita St."
"2541","Laurann","Brown","Harris-Stowe"
"2542","Lauren","Brown","McNeese"
"2543","Lauren","Brown","North Dakota"
"2544","Leah","Brown","Mary Hardin-Baylor"
"2545","Lexus","Brown","N.C. Central"
"2546","Libby","Brown","Houston Christian"
"2547","Macey","Brown","UTEP"
"2548","Maci","Brown","Oakland"
"2549","Mackenzie","Brown","UMES"
"2550","Mackenzie","Brown","Lamar University"
"2551","Madi","Brown","Col. of Charleston"
"2552","Makenzie","Brown","Tulsa"
"2553","Makenzie","Brown","Arizona St."
"2554","Mallie","Brown","USC Upstate"
"2555","Mary kate","Brown","Central Ark."
"2556","Maycin","Brown","UNC Greensboro"
"2557","Megan","Brown","Southern Ill."
"2558","Meredith","Brown","Princeton"
"2559","Mikayla","Brown","Northwestern St."
"2560","Morgan","Brown","Georgia St."
"2561","Morgan","Brown","Wagner"
"2562","Morgan","Brown","Albany St. (GA) <i> - Exhibition contest for this institution</i>"
"2563","Mylee","Brown","Weber St."
"2564","Nodika","Brown","Texas Col."
"2565","Olivia","Brown","Alabama St."
"2566","Rian","Brown","UAB"
"2567","Riley","Brown","Lipscomb"
"2568","Sanaa","Brown","Delaware St."
"2569","Sarah","Brown","Charleston So."
"2570","Savanna","Brown","Wright St."
"2571","Savannah","Brown","USC Upstate"
"2572","Shaquandra","Brown","Virginia Union"
"2573","Tahlia","Brown","Fairfield"
"2574","Tatiarra","Brown","Miles"
"2575","Tatum","Brown","South Dakota"
"2576","Taylor","Brown","Abilene Christian"
"2577","Taylor","Brown","Iona"
"2578","Taylor","Brown","North Ala."
"2579","Taylor","Brown","Army West Point"
"2580","Tiffany","Brown","Radford"
"2581","Tori jo","Brown","UMES"
"2582","Tyjanae","Brown","Albany St. (GA) <i> - Exhibition contest for this institution</i>"
"2583","Vanessa","Brown","Ithaca"
"2584","Victoria","Brown","Jacksonville"
"2585","Victoria","Brown","St. Bonaventure"
"2586","Victoria","Brown","Louisiana"
"2587","Victoria","Brown","Howard"
"2588","Whitney","Brown","Alderson Broaddus"
"2589","Katie","Browne","Georgia"
"2590","Marisa","Browne","Drexel"
"2591","Marisa","Browne","Delaware"
"2592","Jenna","Brownell","North Florida"
"2593","Bailey","Brownfield","Kent St."
"2594","Brenna","Brownfield","Kent St."
"2595","Antonia","Browning","Monmouth"
"2596","Aquana","Brownlee","Mississippi St."
"2597","Caroline","Brownlee","Georgia St."
"2598","Liz","Broyles","Wichita St."
"2599","Brittany","Bruce","Campbell"
"2600","Grier","Bruce","Samford"
"2601","Landyn","Bruce","Ole Miss"
"2602","Morgan","Bruce","Ole Miss"
"2603","Morgan","Bruce","Georgia Tech"
"2604","Emily","Brucelas","UC Santa Barbara"
"2605","Kayleigh","Brueck","N.C. Central"
"2606","Amber","Brugger","Kutztown"
"2607","Alyssa","Brumelow","Georgia St."
"2608","Mary beth","Brumit","Tennessee"
"2609","Bailey","Brumley","Kansas City"
"2610","Taylor","Brummell","Northern Ky."
"2611","Cammie","Brummitt","Oakland"
"2612","Madeline","Brunck","Saint Joseph's"
"2613","Leah","Brundidge","Troy"
"2614","Kendall","Brundrett","Quinnipiac"
"2615","Ally","Bruner","UT Martin"
"2616","Bayley","Bruner","Oregon"
"2617","Sydney","Bruner","Quinnipiac"
"2618","Madeline","Brungardt","Saint Louis"
"2619","Anamarie","Bruni","South Fla."
"2620","Katie","Brunner","Rider"
"2621","Marissa","Bruno","Portland St."
"2622","Olivia","Bruno","Kansas"
"2623","Alex","Brunson","North Florida"
"2624","Haylie","Brunson","Pittsburgh"
"2625","Kimberly","Brunson","N.C. A&T"
"2626","Mackenzie","Brunswick","Ohio"
"2627","Sabria","Bruton","Akron"
"2628","Molly","Bruyns","Central Conn. St."
"2629","Ciara","Bryan","Georgia"
"2630","Ciara","Bryan","Louisiana"
"2631","Hannah","Bryan","Ohio St."
"2632","Kelsey","Bryan","UNCW"
"2633","Mackenzie","Bryan","NIU"
"2634","Addison","Bryant","Ill. Springfield"
"2635","Breanna","Bryant","UAlbany"
"2636","Bri","Bryant","Campbell"
"2637","Brianna","Bryant","Texas Southern"
"2638","Danika","Bryant","Ark.-Pine Bluff"
"2639","Delainey","Bryant","Illinois St."
"2640","Delayna","Bryant","Belmont"
"2641","Denver","Bryant","Auburn"
"2642","Hallie","Bryant","South Fla."
"2643","Jaiden","Bryant","Akron"
"2644","Jessi","Bryant","St. John's (NY)"
"2645","Jojo","Bryant","Saint Mary's (CA)"
"2646","Madison","Bryant","Army West Point"
"2647","Madison","Bryant","IUPUI"
"2648","Meredith","Bryant","Manhattan"
"2649","Mikayla","Bryant","UMBC"
"2650","Rindy","Bryant","Nebraska"
"2651","Rindy","Bryant","North Florida"
"2652","Jayda","Bryant-bonarrigo","UAlbany"
"2653","Stephanie","Bryden","UNC Greensboro"
"2654","Haeli","Bryson","Tennessee Tech"
"2655","Jaunna","Bryson","Rust"
"2656","Juanna","Bryson","Rust"
"2657","Lauren","Bryson","Santa Clara"
"2658","Makayla","Brzezinski","St. Bonaventure"
"2659","Ryan","Brzozoski","Samford"
"2660","Cassidy","Brzozowski","Coastal Carolina"
"2661","Lauren","Brzykcy","UCLA"
"2662","Sarah","Bubier","UC Santa Barbara"
"2663","Angela","Buccilli","Coastal Carolina"
"2664","Alyssa","Buchanan","UNI"
"2665","Chelsey","Buchanan","Tennessee St."
"2666","Courtney","Buchanan","Western Caro."
"2667","Lauren","Buchanan","Colorado St."
"2668","Mackenzie","Buchelt","Valparaiso"
"2669","Keira","Bucher","Maryland"
"2670","Alexis","Buchman","South Fla."
"2671","Courtney","Buchman","UTSA"
"2672","Brianna","Buck","Iona"
"2673","Emily","Buck","Georgia St."
"2674","Jacelyn","Buck","ULM"
"2675","Ryleigh","Buck","Wichita St."
"2676","Holly","Buckel","Mount St. Mary's"
"2677","Maggie","Buckholz","New Mexico"
"2678","Kate","Buckland","Mercer"
"2679","Emma","Buckles","Saint Louis"
"2680","Jaclyn","Buckley","UMBC"
"2681","Kendra","Buckley","Montevallo"
"2682","Tatum","Buckley","Fla. Atlantic"
"2683","Teagan","Buckley","Simmons"
"2684","Tylan","Buckley","Mississippi Col."
"2685","Delani","Buckner","App State"
"2686","Kira","Buckner","LIU"
"2687","Autumn","Buczek","Arkansas"
"2688","Danielle","Budden","Hampton"
"2689","Alexis","Buddenhagen","New Mexico"
"2690","Alyssa","Buddle","James Madison"
"2691","Emily","Budelli","Pacific"
"2692","Kailee","Budicin","Dayton"
"2693","Mackenzie","Budinger","Coastal Carolina"
"2694","Mackenzie","Budinger","California Baptist"
"2695","Val","Buehler","La Salle"
"2696","Evelyn","Buehlman","Morgan St."
"2697","Evelyn","Buehlman","Bowie St."
"2698","Evvie","Buehlman","UMBC"
"2699","Mia","Bueno","Boston College"
"2700","Myranda","Bueno","UNLV"
"2701","Stephanie","Buenrostro","Houston Christian"
"2702","Alyssa","Buentello","Lyon"
"2703","Abby","Buettner","Maryland"
"2704","Abby","Buettner","Tennessee Tech"
"2705","Kayla","Bufardeci","San Diego St."
"2706","Kaitlin","Buff","George Washington"
"2707","Carolina","Buffaloe","Colorado St."
"2708","Mia","Buffano","Florida"
"2709","Elle","Buffenbarger","Youngstown St."
"2710","Hannah","Buffington","Jacksonville St."
"2711","Shannon","Buffington","Norfolk St."
"2712","Haydi","Bugarin","Arkansas"
"2713","Abby","Buie","Drake"
"2714","Alera","Buie","Fort Valley St."
"2715","Brianna","Buie","West Ala."
"2716","Morgan","Buie","Lamar University"
"2717","Kassidie","Bukoski","Warner Pacific"
"2718","Criza","Bulanadi","George Washington"
"2719","Kylie","Bulinski","Rhode Island"
"2720","Mckenna","Bull","BYU"
"2721","Megan","Bull","Southern Utah"
"2722","Kori","Bullard","Lincoln (MO)"
"2723","Lacie","Bullard","Kansas City"
"2724","Riley","Bullen","Houston Christian"
"2725","Addy","Bullis","Dayton"
"2726","Addy","Bullis","East Carolina"
"2727","Allie","Bullock","Saint Mary's (CA)"
"2728","Jordan","Bullock","Jacksonville St."
"2729","Morgan","Bullock","Tex. A&M-Texarkana"
"2730","Amber","Bumbalough","NIU"
"2731","Briana","Bumbalough","Western Mich."
"2732","Abby","Bumcrot","Boise St."
"2733","Julia","Bumford","UTSA"
"2734","Tess","Bumiller","Utah St."
"2735","Mckenzie","Bump","UAlbany"
"2736","Mckenzie","Bump","Ohio St."
"2737","Taylor","Bump","Michigan"
"2738","Desiree","Bumpers","Ark.-Pine Bluff"
"2739","Gracie","Bumpurs","UT Arlington"
"2740","Katie","Bunch","Murray St."
"2741","Kelsey","Bunch","Sam Houston"
"2742","Kelsey","Bunch","Sam Houston"
"2743","Sammey","Bunch","UNI"
"2744","Karly","Bunderson","UNLV"
"2745","Karly","Bunderson","Utah Valley"
"2746","Olivia","Bundschuh","Cornell"
"2747","Madison","Bundy","CSU Bakersfield"
"2748","Allee","Bunker","Oregon"
"2749","Hannah","Bunker","Massachusetts"
"2750","Kennedy","Bunker","Fresno St."
"2751","Briana","Bunner","Robert Morris"
"2752","Gretchen","Bunovsky","Yale"
"2753","Alex","Bunton","San Diego St."
"2754","Brooke","Burback","UAB"
"2755","Brooke","Burback","North Ala."
"2756","Deanna","Burbridge","Fordham"
"2757","Adriana","Burcar","Rutgers"
"2758","Blakely","Burch","USC Upstate"
"2759","Blakely","Burch","Marshall"
"2760","Lexi","Burchfield","Omaha"
"2761","Brianna","Burchianti","UT Arlington"
"2762","Mia","Burd","Cornell"
"2763","Haley","Burda","Nevada"
"2764","Chance","Burden","Oregon St."
"2765","Ali","Burdette","Marshall"
"2766","Alli","Burdette","Elon"
"2767","Taylor","Burdette","UC Riverside"
"2768","Kaitlyn","Burdick","Pittsburgh"
"2769","Kelly","Burdick","Washington"
"2770","Payton","Buresch","James Madison"
"2771","Payton","Buresch","Ohio St."
"2772","Katie","Burge","UCF"
"2773","Mckenzie","Burge","Saint Francis (PA)"
"2774","Brianna","Burger","Alderson Broaddus"
"2775","Taylor","Burger","Bryant"
"2776","Alana","Burges","San Jose St."
"2777","Anndrea","Burgess","St. Bonaventure"
"2778","Brittany","Burgess","Bradley"
"2779","Carissa","Burgess","Utah Tech"
"2780","Hannah","Burgess","Colgate"
"2781","Lindsey","Burgess","Tennessee St."
"2782","Summer","Burgess","Middle Tenn."
"2783","Brandi","Burgin","Bryant"
"2784","Emilee","Buringa","North Dakota St."
"2785","Alyssa","Burk","Portland St."
"2786","Bailey","Burk","Troy"
"2787","Jessica","Burk","Maine"
"2788","Marissa","Burk","UC Riverside"
"2789","Sydney","Burk","St. Bonaventure"
"2790","Addi","Burke","Valparaiso"
"2791","Breana","Burke","UNLV"
"2792","Breana","Burke","Lipscomb"
"2793","Kaitlyn","Burke","Fla. Atlantic"
"2794","Kylie","Burke","Col. of Charleston"
"2795","Lauren","Burke","Oregon"
"2796","Lauren","Burke","Texas"
"2797","Lindsay","Burke","Purdue Fort Wayne"
"2798","Samantha","Burke","A&M-Corpus Christi"
"2799","Shawna","Burke","Boise St."
"2800","Shawna","Burke","Oregon St."
"2801","Skyler","Burke","Lyon"
"2802","Jessalyn","Burkett","Houston-Victoria"
"2803","Madysen","Burkey","Canisius"
"2804","Ashley","Burkhardt","Purdue"
"2805","Kristina","Burkhardt","North Carolina"
"2806","Kristina","Burkhardt","Michigan"
"2807","Lexi","Burkhardt","Omaha"
"2808","Rachel","Burkhardt","Syracuse"
"2809","Mikaelah","Burkland","SFA"
"2810","Alexis","Burks","Missouri"
"2811","Cherish","Burks","Oregon"
"2812","Whitney","Burks","Stanford"
"2813","Jesse","Burleson","Winthrop"
"2814","Erin","Burner","St. John's (NY)"
"2815","Alyssa","Burnett","Houston Christian"
"2816","Breezy","Burnett","Minnesota"
"2817","Canaan","Burnett","Stetson"
"2818","Chani","Burnett","Jarvis Christian"
"2819","Hannah","Burnett","Grand Canyon"
"2820","Kacie","Burnett","Idaho St."
"2821","Lauren","Burnett","Georgia"
"2822","Tabitha","Burnett","Houston Christian"
"2823","Madison","Burnite","Delaware St."
"2824","Arianna","Burns","Cal St. Fullerton"
"2825","Bailey","Burns","Colgate"
"2826","Bragan","Burns","Southern Miss."
"2827","Brooke","Burns","North Carolina"
"2828","Brooke","Burns","Marshall"
"2829","Casey","Burns","Radford"
"2830","Danielle","Burns","Tulsa"
"2831","Demitra","Burns","Purdue Fort Wayne"
"2832","Emma","Burns","Minnesota"
"2833","Kalena","Burns","Iowa"
"2834","Madison","Burns","Hofstra"
"2835","Priscilla","Burns","Southern Miss."
"2836","Savannah","Burns","Gardner-Webb"
"2837","Taylor","Burns","Santa Clara"
"2838","Braxton","Burnside","Missouri"
"2839","Braxton","Burnside","Arkansas"
"2840","Jessica","Burnside","LeMoyne-Owen"
"2841","Kylee","Burnside","MSU Denver"
"2842","Sydney","Burr","Holy Cross"
"2843","Jaelah","Burrell","New Mexico St."
"2844","Kendal","Burrell","Savannah St."
"2845","Kendal","Burrell","Miles"
"2846","Calie","Burris","Abilene Christian"
"2847","Corey","Burrough","Penn"
"2848","Christy","Burroughs","N.C. Central"
"2849","Jessica","Burroughs","Florida St."
"2850","Laurel","Burroughs","Austin Peay"
"2851","Lindsey","Burroughs","FIU"
"2852","Meredith","Burroughs","NC State"
"2853","Meredith","Burroughs","East Carolina"
"2854","Olivia","Burroughs","Rider"
"2855","Sylvia","Burroughs","Furman"
"2856","Bryn","Burrows","San Diego"
"2857","Kelsie","Burrows","Ill. Springfield"
"2858","Maddie","Burrows","Villanova"
"2859","Kerissa","Burruel","Hampton"
"2860","Veronica","Burse","Florida A&M"
"2861","Cianna","Burt","South Carolina St."
"2862","Kaylynn","Burt","CSU Bakersfield"
"2863","Makala","Burt","Alabama St."
"2864","Ambrelle","Burton","Southern U."
"2865","Breezy","Burton","Houston"
"2866","Er'ron","Burton","Longwood"
"2867","Heaven","Burton","Texas Tech"
