"","last_team","player_id","player","teams","seasons","first","last","...1","team_id","division"
"2519","Pacific",15206,"Avery Croxall","Pacific","2021+2022+2023+2024","Avery","Croxall",204,534,"D-I"
"2520","Mount St. Mary's",18053,"Avery Dinges","Mount St. Mary's","2024","Avery","Dinges",168,450,"D-I"
"2521","Longwood",18833,"Avery Drake","Houston Christian + Longwood","2020+2021+2022+2023+2024","Avery","Drake",139,363,"D-I"
"2522","N.C. A&T",20965,"Avery Evans","N.C. A&T","2024","Avery","Evans",170,488,"D-I"
"2523","Michigan",21310,"Avery Fantucci","Michigan","2023+2024","Avery","Fantucci",156,418,"D-I"
"2524","Tennessee Tech",22377,"Avery Flatford","Tennessee Tech","2023","Avery","Flatford",267,692,"D-I"
"2525","LMU (CA)",23191,"Avery Francis","LMU (CA)","2023+2024","Avery","Francis",128,370,"D-I"
"2526","Georgetown",25008,"Avery Geehr","Georgetown","2016","Avery","Geehr",93,251,"D-I"
"2527","Florida",25984,"Avery Goelz","Florida","2021+2022+2023+2024","Avery","Goelz",83,235,"D-I"
"2528","UT Arlington",27517,"Avery Grimes","UT Arlington","2017+2018+2019+2020","Avery","Grimes",299,702,"D-I"
"2529","Iowa",28134,"Avery Guy","Iowa","2020+2021","Avery","Guy",115,312,"D-I"
"2530","Washington",31798,"Avery Hobson","Oklahoma St. + Washington","2021+2022+2023+2024","Avery","Hobson",315,756,"D-I"
"2531","Oklahoma",31829,"Avery Hodge","Oklahoma","2023+2024","Avery","Hodge",197,522,"D-I"
"2532","Iowa",34099,"Avery Jackson","Iowa","2023+2024","Avery","Jackson",115,312,"D-I"
"2533","Fresno St.",39890,"Avery Lawley","Fresno St.","2023","Avery","Lawley",87,96,"D-I"
"2534","Le Moyne",41189,"Avery Linn","Le Moyne","2024+2023","Avery","Linn",133,349,"D-I"
"2535","Longwood",47518,"Avery Miller","Longwood","2024","Avery","Miller",139,363,"D-I"
"2536","Abilene Christian",47804,"Avery Miloch","Abilene Christian","2021+2022+2023+2024","Avery","Miloch",2,2,"D-I"
"2537","Tarleton St.",49547,"Avery Mullendore","Tarleton St.","2016+2017","Avery","Mullendore",263,1395,"D-I"
"2538","Saint Francis (PA)",50080,"Avery Nagle","Saint Francis (PA)","2020+2021","Avery","Nagle",226,600,"D-I"
"2539","Mount St. Mary's",50603,"Avery Neuhart","Mount St. Mary's","2019+2020+2021+2022+2023","Avery","Neuhart",168,450,"D-I"
"2540","Indiana",53306,"Avery Parker","Indiana","2023+2024","Avery","Parker",112,306,"D-I"
"2541","Detroit Mercy",53734,"Avery Paul","Detroit Mercy","2023+2024","Avery","Paul",66,184,"D-I"
"2542","A&M-Corpus Christi",57422,"Avery Ratcliff","A&M-Corpus Christi","2018+2020","Avery","Ratcliff",1,26172,"D-I"
"2543","Utah Valley",61942,"Avery Sapp","Utah Valley","2024","Avery","Sapp",307,30024,"D-I"
"2544","Santa Clara",63599,"Avery Seva","Santa Clara","2024","Avery","Seva",237,631,"D-I"
"2545","Tarleton St.",66093,"Avery Songer","Tarleton St.","2024","Avery","Songer",263,1395,"D-I"
"2546","Holy Cross",70252,"Avery Toddings","Holy Cross","2024","Avery","Toddings",104,285,"D-I"
"2547","Sam Houston",71155,"Avery Tumey","Sam Houston","2021+2022","Avery","Tumey",231,624,"D-I"
"2548","Rhode Island",71711,"Avery Vale-cruz","Rhode Island","2024","Avery","Vale-cruz",218,572,"D-I"
"2549","FGCU",72518,"Avery Viancos","FGCU","2022+2023+2024","Avery","Viancos",79,28755,"D-I"
"2550","Cornell",73095,"Avery Wagner","Cornell","2022+2023","Avery","Wagner",59,167,"D-I"
"2551","Lindenwood",73626,"Avery Wapp","Lindenwood","2023+2024","Avery","Wapp",136,30136,"D-I"
"2552","Florida St.",74385,"Avery Weisbrook","Florida St.","2023","Avery","Weisbrook",85,234,"D-I"
"2553","Campbell",74858,"Avery Wheatley","App State + Campbell","2018+2019","Avery","Wheatley",41,115,"D-I"
"2554","Robert Morris",76109,"Avery Winchell","Robert Morris","2020+2021+2022+2023+2024","Avery","Winchell",220,579,"D-I"
"2555","Georgetown",76297,"Avery Wissmar","Georgetown","2022+2023+2024","Avery","Wissmar",93,251,"D-I"
"2556","St. Thomas (MN)",77011,"Avery Wukawitz","St. Thomas (MN)","2023+2024","Avery","Wukawitz",257,620,"D-I"
"2557","North Dakota St.",77095,"Avery Wysong","North Dakota St.","2019+2020+2021+2022","Avery","Wysong",185,493,"D-I"
"2558","Arizona St.",16242,"Avianna Davis","Arizona St.","2016+2017","Avianna","Davis",10,28,"D-I"
"2559","Coppin St.",54659,"Avianna Peterson","Niagara + Coppin St.","2020+2021+2022+2023+2024","Avianna","Peterson",58,165,"D-I"
"2560","Youngstown St.",62922,"Avrey Schumacher","Youngstown St.","2020+2021+2022+2023","Avrey","Schumacher",328,817,"D-I"
"2561","Illinois",67158,"Avrey Steiner","Illinois","2019+2020+2021+2022+2023","Avrey","Steiner",110,301,"D-I"
"2562","Saint Mary's (CA)",76505,"Avrey Wolverton","Saint Mary's (CA)","2022+2023+2024","Avrey","Wolverton",229,610,"D-I"
"2563","UT Martin",6196,"Avry Blume","Bradley + UT Martin","2020+2021+2022+2023+2024","Avry","Blume",300,695,"D-I"
"2564","Auburn",47409,"Axe Milanowski","Auburn","2023+2024","Axe","Milanowski",15,37,"D-I"
"2565","Gardner-Webb",5395,"Ayana Bezares","Gardner-Webb","2022","Ayana","Bezares",90,1092,"D-I"
"2566","Northwestern",41131,"Ayana Lindsey","Northwestern","2022+2023+2024","Ayana","Lindsey",191,509,"D-I"
"2567","Howard",61394,"Ayana Sallee","Howard","2019+2020+2021+2022","Ayana","Sallee",107,290,"D-I"
"2568","Mississippi Val.",69081,"Ayana Taylor","Mississippi Val.","2019+2020+2021","Ayana","Taylor",161,432,"D-I"
"2569","Jackson St.",34688,"Ayanna Jennings","Jackson St.","2024","Ayanna","Jennings",117,314,"D-I"
"2570","Oregon",63858,"Ayanna Shaw","Oregon","2024","Ayanna","Shaw",202,529,"D-I"
"2571","Tex. A&M-Commerce",75577,"Ayanna Williams","Tex. A&M-Commerce","2023+2022","Ayanna","Williams",268,199,"D-I"
"2572","Arizona St.",989,"Ayden Allen","Houston + Arizona St.","2023+2024","Ayden","Allen",10,28,"D-I"
"2573","FDU",67662,"Ayden Stone","Fairleigh Dickinson + FDU","2023+2024","Ayden","Stone",78,222,"D-I"
"2574","SFA",8215,"Aydenne Brown","New Mexico St. + SFA","2023+2024","Aydenne","Brown",222,676,"D-I"
"2575","UIW",26218,"Ayla Gonzales","UIW","2024","Ayla","Gonzales",288,2743,"D-I"
"2576","Southern U.",52677,"Aylani Ottley","Southern U.","2023+2024","Aylani","Ottley",252,665,"D-I"
"2577","Kansas",41155,"Aynslee Linduff","Kansas","2023+2024","Aynslee","Linduff",121,328,"D-I"
"2578","Ole Miss",23867,"Aynslie Furbush","Ole Miss","2021+2022+2023+2024","Aynslie","Furbush",200,433,"D-I"
"2579","Coppin St.",58528,"Aysha Richardson","Virginia Tech + Coppin St.","2017+2018","Aysha","Richardson",58,165,"D-I"
"2580","Alcorn",55684,"Aysia Pollard","Alcorn","2023+2024","Aysia","Pollard",7,17,"D-I"
"2581","Bethune-Cookman",26297,"Aysiah Gonzalez","New Mexico + Bethune-Cookman","2022+2024","Aysiah","Gonzalez",22,61,"D-I"
"2582","N.C. A&T",34002,"Azaria Isbell","N.C. A&T","2018","Azaria","Isbell",170,488,"D-I"
"2583","Morehead St.",41003,"Azea Lightbody","Morehead St.","2024","Azea","Lightbody",166,444,"D-I"
"2584","UConn",34352,"Aziah James","UConn","2019+2020+2021+2022+2023","Aziah","James",286,164,"D-I"
"2585","Iowa St.",59627,"Aziza Rodriguez","Iowa St.","2024","Aziza","Rodriguez",116,311,"D-I"
"2586","Drexel",57720,"Baeley Reed","Drexel","2016+2017","Baeley","Reed",68,191,"D-I"
"2587","Belmont",20566,"Baie Ensio","Belmont","2022+2023+2024","Baie","Ensio",21,14927,"D-I"
"2588","Illinois St.",6360,"Bailah Bognar","Illinois St.","2023+2024","Bailah","Bognar",111,299,"D-I"
"2589","UTSA",3136,"Bailee Baldwin","UTSA","2016+2017+2018+2019","Bailee","Baldwin",303,706,"D-I"
"2590","Robert Morris",5225,"Bailee Bertani","Robert Morris","2022+2023+2024","Bailee","Bertani",220,579,"D-I"
"2591","Evansville",6815,"Bailee Bostic","Evansville","2016+2017+2018+2019","Bailee","Bostic",77,219,"D-I"
"2592","Texas St.",10953,"Bailee Carter","Texas St.","2017+2018+2019+2020","Bailee","Carter",272,670,"D-I"
"2593","Cleveland St.",27005,"Bailee Gray","Cleveland St.","2016+2017+2018+2019","Bailee","Gray",52,148,"D-I"
"2594","South Fla.",40435,"Bailee Leistl","South Fla.","2020+2021+2022+2023","Bailee","Leistl",246,651,"D-I"
"2595","Wichita St.",50873,"Bailee Nickerson","Wichita St.","2018+2019+2020+2021","Bailee","Nickerson",321,782,"D-I"
"2596","Portland St.",51139,"Bailee Noland","Portland St.","2023","Bailee","Noland",208,550,"D-I"
"2597","Evansville",55847,"Bailee Porter","Evansville","2018","Bailee","Porter",77,219,"D-I"
"2598","Southern Ill.",56600,"Bailee Pulley","Southern Ill.","2017+2018+2019","Bailee","Pulley",249,659,"D-I"
"2599","Louisville",58529,"Bailee Richardson","Georgia St. + Louisville","2020+2021+2022+2023+2024","Bailee","Richardson",142,367,"D-I"
"2600","Tarleton St.",58741,"Bailee Riggs","Tarleton St.","2021+2022","Bailee","Riggs",263,1395,"D-I"
"2601","Tennessee Tech",66733,"Bailee Stack","Tennessee Tech","2023+2024","Bailee","Stack",267,692,"D-I"
"2602","Ohio St.",68130,"Bailee Sturgeon","Ohio St.","2016+2017+2018","Bailee","Sturgeon",196,518,"D-I"
"2603","Utah St.",70681,"Bailee Trapp","Utah St.","2016+2017+2018+2019","Bailee","Trapp",305,731,"D-I"
"2604","Marshall",73534,"Bailee Walters","Marshall","2024","Bailee","Walters",148,388,"D-I"
"2605","Texas St.",74558,"Bailee Welsh","Texas St.","2022+2023+2024","Bailee","Welsh",272,670,"D-I"
"2606","East Carolina",75927,"Bailee Wilson","Ga. Southern + East Carolina","2020+2021+2022+2023","Bailee","Wilson",72,196,"D-I"
"2607","Georgia Tech",77768,"Bailee Zeitler","Georgia Tech","2019+2020+2021+2022","Bailee","Zeitler",96,255,"D-I"
"2608","Chattanooga",55391,"Baileigh Pitts","Ga. Southern + Chattanooga","2023+2024","Baileigh","Pitts",48,693,"D-I"
"2609","Canisius",708,"Bailey Alatorre","Canisius","2023+2024","Bailey","Alatorre",42,116,"D-I"
"2610","Louisiana Tech",990,"Bailey Allen","Louisiana Tech","2016+2017+2018","Bailey","Allen",141,366,"D-I"
"2611","Purdue Fort Wayne",4831,"Bailey Benefiel","Indiana St. + Purdue Fort Wayne","2016+2017+2018","Bailey","Benefiel",214,308,"D-I"
"2612","Grand Canyon",5098,"Bailey Bergman","Grand Canyon","2016","Bailey","Bergman",98,1104,"D-I"
"2613","South Carolina",5315,"Bailey Betenbaugh","South Carolina","2020+2021+2022+2023","Bailey","Betenbaugh",242,648,"D-I"
"2614","Notre Dame",5523,"Bailey Bigler","Notre Dame","2016+2017","Bailey","Bigler",193,513,"D-I"
"2615","Campbell",5770,"Bailey Bjorson","Campbell","2016+2017","Bailey","Bjorson",41,115,"D-I"
"2616","Maryland",7137,"Bailey Boyd","Towson + Maryland","2016+2017+2018+2019","Bailey","Boyd",149,392,"D-I"
"2617","Rutgers",7826,"Bailey Briggs","Rutgers","2024","Bailey","Briggs",221,587,"D-I"
"2618","Murray St.",8024,"Bailey Broemmer","Murray St.","2023+2024","Bailey","Broemmer",169,454,"D-I"
"2619","Kent St.",8452,"Bailey Brownfield","Kent St.","2016+2017+2018+2019","Bailey","Brownfield",125,331,"D-I"
"2620","Kansas City",8518,"Bailey Brumley","Kansas City","2023+2024","Bailey","Brumley",122,2707,"D-I"
"2621","Colgate",9273,"Bailey Burns","Colgate","2020+2021+2022+2023","Bailey","Burns",55,153,"D-I"
"2622","Southern Ill.",11507,"Bailey Caylor","Southern Ill.","2021+2022+2023+2024","Bailey","Caylor",249,659,"D-I"
"2623","Georgia Tech",11844,"Bailey Chapin","Georgia Tech","2022+2023+2024","Bailey","Chapin",96,255,"D-I"
"2624","Holy Cross",11997,"Bailey Chavez","Holy Cross","2019+2020+2021+2022","Bailey","Chavez",104,285,"D-I"
"2625","Fresno St.",12884,"Bailey Clifton","Fresno St.","2019+2021+2022","Bailey","Clifton",87,96,"D-I"
"2626","Bethune-Cookman",13704,"Bailey Conner","Bethune-Cookman","2016+2017","Bailey","Conner",22,61,"D-I"
"2627","Oregon",13857,"Bailey Cook","Oregon","2019","Bailey","Cook",202,529,"D-I"
"2628","Western Ky.",15548,"Bailey Curry","Toledo + Louisiana + Western Ky.","2018+2019+2020+2021+2022","Bailey","Curry",319,772,"D-I"
"2629","Texas Southern",15973,"Bailey Daniels","Texas Southern","2018+2019","Bailey","Daniels",271,699,"D-I"
"2630","Fresno St.",18321,"Bailey Doherty","Cal Poly + Fresno St.","2021+2023","Bailey","Doherty",87,96,"D-I"
"2631","Alabama",18758,"Bailey Dowling","Alabama","2021+2022+2023+2024","Bailey","Dowling",4,8,"D-I"
"2632","South Fla.",18868,"Bailey Drapola","Akron + Pittsburgh + South Fla.","2020+2021+2022+2023+2024","Bailey","Drapola",246,651,"D-I"
"2633","Wagner",19726,"Bailey Eaton","Wagner","2018","Bailey","Eaton",314,748,"D-I"
"2634","NC State",19939,"Bailey Edwards","NC State","2023+2024","Bailey","Edwards",172,490,"D-I"
"2635","Fordham",20546,"Bailey Enoch","Fordham","2021+2022+2023+2024","Bailey","Enoch",86,236,"D-I"
"2636","Idaho St.",22984,"Bailey Foster","Idaho St.","2016","Bailey","Foster",109,294,"D-I"
"2637","Utah Tech",23978,"Bailey Gaffin","Utah Tech","2016+2017+2018+2019","Bailey","Gaffin",306,30095,"D-I"
"2638","Alabama St.",27229,"Bailey Greenlee","Missouri St. + Alabama St.","2019+2020+2021+2022+2023","Bailey","Greenlee",6,7,"D-I"
"2639","FIU",27665,"Bailey Grossenbacher","FIU","2021+2022+2023+2024","Bailey","Grossenbacher",80,231,"D-I"
"2640","Seattle U",28275,"Bailey Haddock","Seattle U","2020+2021","Bailey","Haddock",238,1356,"D-I"
"2641","Saint Peter's",29620,"Bailey Hartmann","Saint Peter's","2020+2021","Bailey","Hartmann",230,617,"D-I"
"2642","Alabama",30508,"Bailey Hemphill","Alabama","2017+2018+2019+2020+2021","Bailey","Hemphill",4,8,"D-I"
"2643","Ga. Southern",32132,"Bailey Holland","Ga. Southern","2023+2024","Bailey","Holland",89,253,"D-I"
"2644","Western Caro.",33409,"Bailey Huneycutt","Western Caro.","2019+2020+2021+2022+2023","Bailey","Huneycutt",317,769,"D-I"
"2645","New Mexico",37625,"Bailey Klitzke","Wichita St. + New Mexico","2017+2018+2019+2020","Bailey","Klitzke",176,473,"D-I"
"2646","Southeastern La.",38534,"Bailey Krolczyk","Southeastern La.","2022+2023+2024","Bailey","Krolczyk",248,655,"D-I"
"2647","LSU",39334,"Bailey Landry","LSU","2016+2017","Bailey","Landry",129,365,"D-I"
"2648","Wichita St.",39410,"Bailey Lange","UNI + Wichita St.","2016+2017+2018+2019+2020+2021","Bailey","Lange",321,782,"D-I"
"2649","Lafayette",39436,"Bailey Langford","Lafayette","2021+2022+2023+2024","Bailey","Langford",131,342,"D-I"
"2650","Mercer",40186,"Bailey Ledvina","East Carolina + Mercer","2019+2020+2021+2022+2023","Bailey","Ledvina",153,406,"D-I"
"2651","Saint Mary's (CA)",41968,"Bailey Lotz","Saint Mary's (CA)","2016+2017+2018+2019","Bailey","Lotz",229,610,"D-I"
"2652","Purdue Fort Wayne",43507,"Bailey Manos","Purdue Fort Wayne","2023+2024","Bailey","Manos",214,308,"D-I"
"2653","Indiana St.",44024,"Bailey Martin","Indiana St.","2016+2017+2018+2019","Bailey","Martin",113,305,"D-I"
"2654","North Carolina",45067,"Bailey Mccachren","Tennessee + North Carolina","2021+2022+2023+2024","Bailey","Mccachren",183,457,"D-I"
"2655","Merrimack",45524,"Bailey Mcdermott","Merrimack","2023+2024","Bailey","Mcdermott",154,410,"D-I"
"2656","Santa Clara",46112,"Bailey Mclaughlin","Oregon St. + Santa Clara","2019+2020+2021+2022+2023+2024","Bailey","Mclaughlin",237,631,"D-I"
"2657","Colgate",47979,"Bailey Misken","Colgate","2020+2021+2022+2023+2024","Bailey","Misken",55,153,"D-I"
"2658","North Ala.",50433,"Bailey Nelson","North Ala.","2016+2017+2018","Bailey","Nelson",182,487,"D-I"
"2659","Penn St.",53485,"Bailey Parshall","Penn St.","2019+2020+2021+2022+2023","Bailey","Parshall",206,539,"D-I"
"2660","Southern U.",57329,"Bailey Rankin","Southern U.","2016+2017","Bailey","Rankin",252,665,"D-I"
"2661","Central Ark.",58268,"Bailey Reynolds","Central Ark.","2016+2017","Bailey","Reynolds",43,1004,"D-I"
"2662","Charlotte",58381,"Bailey Rhoney","Charlotte","2016+2018","Bailey","Rhoney",47,458,"D-I"
"2663","SFA",58487,"Bailey Richards","SFA","2019+2020+2021","Bailey","Richards",222,676,"D-I"
"2664","Southern U.",60178,"Bailey Roque","Southern U.","2024","Bailey","Roque",252,665,"D-I"
"2665","Portland St.",60242,"Bailey Rose","Portland St.","2021+2023","Bailey","Rose",208,550,"D-I"
"2666","Bradley",61481,"Bailey Sample","Bowling Green + Bradley","2022+2023+2024","Bailey","Sample",28,72,"D-I"
"2667","Omaha",62852,"Bailey Schulenberg","Omaha","2016","Bailey","Schulenberg",201,464,"D-I"
"2668","Green Bay",62875,"Bailey Schultz","Green Bay","2017+2018+2019+2020+2021","Bailey","Schultz",99,794,"D-I"
"2669","Weber St.",63315,"Bailey Seek","Weber St.","2016","Bailey","Seek",316,758,"D-I"
"2670","Austin Peay",64350,"Bailey Shorter","Austin Peay","2018+2019+2020+2021+2022","Bailey","Shorter",16,43,"D-I"
"2671","Belmont",64884,"Bailey Sims","Belmont","2017+2018+2019+2020","Bailey","Sims",21,14927,"D-I"
"2672","Southern Ind.",65248,"Bailey Slivka","Southern Ind.","2017","Bailey","Slivka",250,661,"D-I"
"2673","Jacksonville St.",65312,"Bailey Smart","Jacksonville St.","2019+2020","Bailey","Smart",119,315,"D-I"
"2674","Niagara",67027,"Bailey Stayner","Niagara","2018+2019+2020+2021","Bailey","Stayner",179,482,"D-I"
"2675","Southern Miss.",67622,"Bailey Stokes","Southern Miss.","2016+2017","Bailey","Stokes",251,664,"D-I"
"2676","Fla. Atlantic",67754,"Bailey Story","Fla. Atlantic","2020+2021","Bailey","Story",82,229,"D-I"
"2677","Furman",68923,"Bailey Tanner","LMU (CA) + Furman","2019+2020+2021+2022","Bailey","Tanner",88,244,"D-I"
"2678","Fairfield",69083,"Bailey Taylor","Troy + Clemson + Fairfield","2018+2019+2020+2021+2022+2023+2024","Bailey","Taylor",81,220,"D-I"
"2679","ULM",69531,"Bailey Thibodeaux","ULM","2016+2017+2018+2019","Bailey","Thibodeaux",289,498,"D-I"
"2680","UIW",69593,"Bailey Thomas","UIW","2017+2018","Bailey","Thomas",288,2743,"D-I"
"2681","UAB",70147,"Bailey Tindell","North Texas + UAB","2019+2020+2021+2022+2023","Bailey","Tindell",278,9,"D-I"
"2682","Western Caro.",70728,"Bailey Treadway","Western Caro.","2020+2021+2022+2023","Bailey","Treadway",317,769,"D-I"
"2683","ETSU",71201,"Bailey Turnbow","ETSU","2021+2022","Bailey","Turnbow",71,198,"D-I"
"2684","Wichita St.",71538,"Bailey Urban","Wichita St.","2020+2021+2022+2023+2024","Bailey","Urban",321,782,"D-I"
"2685","Charlotte",72018,"Bailey Vannoy","Charlotte","2019+2020+2021+2022+2023","Bailey","Vannoy",47,458,"D-I"
"2686","Virginia",72203,"Bailey Vaughn","Virginia","2017","Bailey","Vaughn",312,746,"D-I"
"2687","Kentucky",72536,"Bailey Vick","Kentucky","2017+2018+2019+2020","Bailey","Vick",126,334,"D-I"
"2688","Winthrop",73777,"Bailey Warren","Winthrop","2021+2022+2023+2024","Bailey","Warren",322,792,"D-I"
"2689","Presbyterian",73931,"Bailey Watkins","Presbyterian","2021+2022+2023","Bailey","Watkins",210,1320,"D-I"
"2690","Sam Houston",73969,"Bailey Watson","Sam Houston","2016","Bailey","Watson",231,624,"D-I"
"2691","South Alabama",74442,"Bailey Welch","South Alabama","2021+2022+2023+2024","Bailey","Welch",241,646,"D-I"
"2692","NIU",74824,"Bailey Whalen","NIU","2019","Bailey","Whalen",173,503,"D-I"
"2693","Delaware",74962,"Bailey White","Sam Houston + Delaware","2018+2019+2020+2022","Bailey","White",64,180,"D-I"
"2694","Virginia",76198,"Bailey Winscott","Virginia","2019+2020+2021+2022","Bailey","Winscott",312,746,"D-I"
"2695","Louisiana Tech",76891,"Bailey Wright","Louisiana Tech","2020+2021+2022+2023","Bailey","Wright",141,366,"D-I"
"2696","Nevada",12589,"Bailie Clark","Nevada","2024","Bailie","Clark",175,466,"D-I"
"2697","Southern Utah",50434,"Bailie Nelson","Southern Utah","2016","Bailie","Nelson",253,667,"D-I"
"2698","Central Ark.",60803,"Bailie Runner","Oklahoma St. + Central Ark.","2023+2024","Bailie","Runner",43,1004,"D-I"
"2699","SIUE",13599,"Bailley Concatto","SIUE","2018+2019+2020+2021+2022","Bailley","Concatto",223,660,"D-I"
"2700","Colgate",35644,"Baillie Jorth","Colgate","2016+2017+2018+2019","Baillie","Jorth",55,153,"D-I"
"2701","Northwestern St.",56989,"Baillie Ragsdale","Northwestern St.","2022+2023+2024","Baillie","Ragsdale",192,508,"D-I"
"2702","South Dakota St.",34462,"Baily Janssen","South Dakota St.","2016+2017+2018+2019","Baily","Janssen",245,649,"D-I"
"2703","Northwestern St.",25887,"Baleigh Glover","Northwestern St.","2018","Baleigh","Glover",192,508,"D-I"
"2704","Missouri",37954,"Baleigh Koester","Missouri","2019","Baleigh","Koester",162,434,"D-I"
"2705","Saint Peter's",72458,"Barbara Verrastro","Saint Peter's","2018+2019","Barbara","Verrastro",230,617,"D-I"
"2706","Oklahoma St.",5512,"Barbie Biggerstaff","Oklahoma St.","2017","Barbie","Biggerstaff",199,521,"D-I"
"2707","Utah Valley",56735,"Basia Query","Utah Valley","2017+2018+2019+2020+2021","Basia","Query",307,30024,"D-I"
"2708","Texas",7452,"Baylea Brandon","LSU + Texas","2022+2023","Baylea","Brandon",269,703,"D-I"
"2709","Tex. A&M-Commerce",31344,"Baylea Higgs","Tex. A&M-Commerce","2016+2017+2018","Baylea","Higgs",268,199,"D-I"
"2710","Seton Hall",1082,"Baylee Allender","Seton Hall","2018+2019+2020+2021+2022","Baylee","Allender",239,635,"D-I"
"2711","Belmont",13859,"Baylee Cook","Belmont","2016+2017+2018+2019","Baylee","Cook",21,14927,"D-I"
"2712","McNeese",14102,"Baylee Corbello","LSU + McNeese","2016+2017","Baylee","Corbello",151,402,"D-I"
"2713","DePaul",14376,"Baylee Cosgrove","DePaul","2022+2023+2024","Baylee","Cosgrove",63,176,"D-I"
"2714","Syracuse",18703,"Baylee Douglass","SIUE + Syracuse","2016+2017+2018","Baylee","Douglass",262,688,"D-I"
"2715","Charleston So.",19727,"Baylee Eaton","Charleston So.","2021+2022","Baylee","Eaton",46,48,"D-I"
"2716","CSU Bakersfield",24685,"Baylee Garrett","CSU Bakersfield","2020","Baylee","Garrett",34,94,"D-I"
"2717","Florida",25941,"Baylee Goddard","Florida","2020+2021+2023+2024","Baylee","Goddard",83,235,"D-I"
"2718","FGCU",28335,"Baylee Haggard","FGCU","2023","Baylee","Haggard",79,28755,"D-I"
"2719","Utah Tech",32958,"Baylee Howley","North Dakota + Utah Tech","2023+2024","Baylee","Howley",306,30095,"D-I"
"2720","Washington",37618,"Baylee Klingler","Texas A&M + Washington","2019+2020+2021+2022+2023","Baylee","Klingler",315,756,"D-I"
"2721","UIW",40496,"Baylee Lemons","Texas St. + UIW","2021+2023+2024","Baylee","Lemons",288,2743,"D-I"
"2722","App State",49204,"Baylee Morton","App State","2018+2019+2020+2021+2022","Baylee","Morton",8,27,"D-I"
"2723","FDU",55902,"Baylee Ports","Fairleigh Dickinson + FDU","2017+2018+2019","Baylee","Ports",78,222,"D-I"
"2724","Weber St.",57836,"Baylee Reeves","Weber St.","2016","Baylee","Reeves",316,758,"D-I"
"2725","Georgia St.",63644,"Baylee Sexton","Georgia St.","2017+2018+2019+2020+2021","Baylee","Sexton",95,254,"D-I"
"2726","Northwestern St.",64062,"Baylee Shephard","Northwestern St.","2016","Baylee","Shephard",192,508,"D-I"
"2727","Gardner-Webb",64338,"Baylee Short","Gardner-Webb","2021+2022","Baylee","Short",90,1092,"D-I"
"2728","Memphis",65404,"Baylee Smith","Memphis","2018+2019+2020+2021","Baylee","Smith",152,404,"D-I"
"2729","Abilene Christian",70699,"Baylee Travers","Abilene Christian","2016+2017","Baylee","Travers",2,2,"D-I"
"2730","Lipscomb",75580,"Baylee Williams","Lipscomb","2016","Baylee","Williams",137,28600,"D-I"
"2731","UC Riverside",30368,"Bayleigh Heineman","UC Riverside","2018+2019","Bayleigh","Heineman",281,111,"D-I"
"2732","N.C. A&T",37337,"Bayleigh Kirby","N.C. A&T","2018+2019+2020+2021","Bayleigh","Kirby",170,488,"D-I"
"2733","Niagara",45460,"Bayleigh Mccullough","Niagara","2022+2023+2024","Bayleigh","Mccullough",179,482,"D-I"
"2734","Memphis",76283,"Bayleigh Wisher","Memphis","2016+2017+2018+2019","Bayleigh","Wisher",152,404,"D-I"
"2735","Wofford",5334,"Bayley Betsill","Wofford","2024","Bayley","Betsill",324,2915,"D-I"
"2736","Oregon",8539,"Bayley Bruner","Oregon","2019","Bayley","Bruner",202,529,"D-I"
"2737","South Carolina",4615,"Bayli Belger","South Carolina","2022","Bayli","Belger",242,648,"D-I"
"2738","Tennessee Tech",15241,"Bayli Cruse","Tennessee Tech","2016+2017+2018","Bayli","Cruse",267,692,"D-I"
"2739","Lamar University",13541,"Baylie Comeaux","Lamar University","2016","Baylie","Comeaux",132,346,"D-I"
"2740","Northern Colo.",35887,"Baylie Kakallis","Northern Colo.","2023+2024","Baylie","Kakallis",189,502,"D-I"
"2741","Queens (NC)",19276,"Baylor Dunlap","Queens (NC)","2020+2021+2022","Baylor","Dunlap",215,11504,"D-I"
"2742","Drake",3613,"Becca Barnett","Drake","2019","Becca","Barnett",67,189,"D-I"
"2743","North Ala.",4997,"Becca Benton","North Ala.","2023+2024","Becca","Benton",182,487,"D-I"
"2744","Western Ky.",10125,"Becca Campbell","Western Ky.","2024","Becca","Campbell",319,772,"D-I"
"2745","Ball St.",12554,"Becca Clanton","Ball St.","2019+2020","Becca","Clanton",18,47,"D-I"
"2746","Morehead St.",14847,"Becca Crawford","Furman + Morehead St.","2020+2021+2022+2023+2024","Becca","Crawford",166,444,"D-I"
"2747","Lipscomb",16637,"Becca Dean","Lipscomb","2016","Becca","Dean",137,28600,"D-I"
"2748","SIUE",19406,"Becca Duran","SIUE","2021","Becca","Duran",223,660,"D-I"
"2749","Purdue",19940,"Becca Edwards","Green Bay + Purdue","2020+2021+2022+2023","Becca","Edwards",213,559,"D-I"
"2750","North Florida",20576,"Becca Enter","North Florida","2018","Becca","Enter",186,2711,"D-I"
"2751","Ohio St.",24930,"Becca Gavin","Ohio St.","2016+2017+2018","Becca","Gavin",196,518,"D-I"
"2752","Troy",29577,"Becca Hartley","Troy","2016+2017","Becca","Hartley",276,716,"D-I"
"2753","Fla. Atlantic",35351,"Becca Jones","Purdue + Fla. Atlantic","2019+2020+2021+2023+2024","Becca","Jones",82,229,"D-I"
