"","player_id","rank","player","ops","seasons"
"1",18260,1,"Jordan Day","1.52","2018-2022"
"2",79404,2,"Haley Ullrich","1.48","2019-2022"
"3",83228,3,"Darice Wheeler","1.47","2018-2021"
"4",34848,4,"Debbie Hill","1.45","2023-2025"
"5",19387,5,"Sydney Despres","1.45","2016-2018"
"6",47412,6,"Abby Mace","1.41","2020-2024"
"7",71536,7,"Arizona Shreck","1.40","2021-2023"
"8",48964,8,"Lexi Martin","1.38","2021-2024"
"9",33021,9,"Kaitlyn Hasty","1.38","2019-2022"
"10",25380,10,"Mara Forsyth","1.35","2016-2018"
"11",56773,11,"Shelby Noel","1.34","2016-2018"
"12",35030,12,"Keani Hindle","1.34","2018-2021"
"13",36525,13,"Cassetty Howerin","1.33","2016-2018"
"14",32878,14,"Ashleigh Hartwig","1.33","2019-2022"
"15",60368,15,"Lizbeth Perez","1.32","2022-2025"
"16",59842,16,"Raelyn Payne","1.32","2019-2022"
"17",57749,17,"Patty maye Ohanian","1.32","2018-2021"
"18",59108,18,"Arianna Papas","1.32","2021-2023"
"19",33728,19,"Rachel Heizer","1.32","2016-2018"
"20",4280,20,"Annemarie Bartow","1.31","2016-2018"
"21",21488,21,"Kerrigan Dura","1.30","2016-2018"
"22",5627,22,"Sam Berghoff","1.30","2017-2020"
"23",63130,23,"Carly Quint","1.30","2022-2024"
"24",10905,24,"Annabelle Calderon","1.28","2022-2025"
"25",62856,25,"Jill Pulek","1.28","2016-2023"
"26",44722,26,"Savannah Lee","1.27","2016-2024"
"27",26755,27,"Maleea Gallaspy","1.27","2022-2025"
"28",62317,28,"Jess Pozezinski","1.27","2022-2025"
"29",74529,29,"Jamie Stefani","1.26","2016-2019"
"30",49781,30,"Hadley May","1.26","2022-2025"
"31",3509,31,"Melissa Balkema","1.25","2016-2019"
"32",44815,32,"Madelyn Lehigh","1.25","2022-2025"
"33",41326,33,"Lauren King","1.25","2019-2021"
"34",49150,34,"Kaylee Martinez","1.25","2016-2018"
"35",25597,35,"Kaylee Fox","1.25","2016-2018"
"36",71258,36,"Vada blue Sherrill","1.25","2016-2019"
"37",76331,37,"Delaney Sylvester","1.25","2016-2018"
"38",50707,38,"Josie Mcelroy","1.25","2016-2018"
"39",5030,39,"Jessica Behr","1.25","2016-2018"
"40",68468,40,"Rylea Sandel","1.24","2022-2025"
"41",45983,41,"Shannon Lloyd","1.24","2017-2021"
"42",81259,42,"Eriana Wagner","1.24","2022-2025"
"43",11253,43,"Taylor Campbell","1.24","2018-2021"
"44",68949,44,"Karson Saunders","1.23","2021-2023"
"45",32359,45,"Sarah Harker","1.23","2020-2024"
"46",16412,46,"Makayla Crawford","1.22","2016-2019"
"47",72679,47,"Bri Smith","1.22","2018-2021"
"48",75488,48,"Anna Strien","1.22","2016-2018"
"49",46226,49,"Jessica Long","1.22","2016-2017"
"50",61256,50,"Becky Pieroni","1.22","2020-2023"
"51",23843,51,"Cameryn Feathers","1.22","2022-2024"
"52",60351,52,"Jayme Perez","1.22","2016-2017"
"53",44012,53,"Ceara Larson","1.21","2018-2021"
"54",26254,54,"Morgan Frye","1.21","2021-2024"
"55",12032,55,"Kristyn Carroll","1.21","2023-2025"
"56",37091,56,"Jaydan Hunt","1.21","2018-2021"
"57",44496,57,"Jesse Leatherwood","1.21","2021-2024"
"58",30037,58,"Brooke Greaver","1.21","2022-2025"
"59",64612,59,"Clare Rettler","1.21","2023-2025"
"60",47597,60,"Tristen Maddox","1.20","2021-2025"
"61",21315,61,"Susan Duncan","1.20","2020-2023"
"62",45668,62,"Lacey Lindsey","1.20","2016-2017"
"63",36622,63,"Kalin Hubble","1.20","2019-2022"
"64",42288,64,"Sara Koonce","1.20","2022-2024"
"65",23811,65,"Adrianna Favreau","1.20","2018-2021"
"66",8248,66,"Taylor Brandt","1.20","2020-2023"
"67",44487,67,"Kaylee Learman","1.20","2019-2022"
"68",68321,68,"Tiffany Samsoe","1.19","2016-2017"
"69",14870,69,"Marie Collop","1.19","2016-2017"
"70",81442,70,"Elaine Walker","1.19","2016-2019"
"71",60189,71,"Makenzie Pennell","1.19","2017-2021"
"72",45505,72,"Giovanna Liggett","1.19","2019-2022"
"73",40216,73,"Rachel Kazmirski","1.19","2021-2025"
"74",35224,74,"Hannah Hoban","1.19","2016-2019"
"75",38932,75,"Kaylynn Johnson","1.19","2022-2025"
"76",64369,76,"Steph Reider","1.19","2021-2023"
"77",73803,77,"Gabby Spencer","1.19","2020-2023"
"78",74550,78,"Mikayla Steffes","1.19","2024-2025"
"79",5401,79,"Chloe Bennett","1.18","2023-2025"
"80",17187,80,"Lexi Curt","1.18","2016-2018"
"81",7304,81,"Kelsey Booker","1.18","2023-2025"
"82",39939,82,"Darian Kanno","1.18","2022-2025"
"83",48170,83,"Melanie Mandell","1.18","2017-2021"
"84",626,84,"Marialena Ahern","1.18","2016-2018"
"85",35414,85,"Elena Hoffman","1.18","2019-2022"
"86",25404,86,"Gillian Fortier","1.18","2016-2018"
"87",73447,87,"Megan Sooy","1.17","2021-2023"
"88",628,88,"Kaitlyn Aherron","1.17","2017-2021"
"89",16493,89,"Erin Cressman","1.17","2016-2019"
"90",12237,90,"Makayla Carver","1.17","2016-2019"
"91",39294,91,"Haley Jones","1.17","2016-2019"
"92",48543,92,"Kendall Marinesi","1.17","2017-2020"
"93",85094,93,"Caraline Wood","1.17","2016-2020"
"94",83723,94,"Lindsey Wiggins","1.17","2016-2017"
"95",33531,95,"Olivia Hebert","1.17","2022-2025"
"96",74213,96,"Gabbie Stallbaum","1.17","2022-2025"
"97",70869,97,"Juno Shantz","1.17","2022-2024"
"98",74720,98,"Sarah Stepnowski","1.17","2021-2024"
"99",44094,99,"Mackenzie Latess","1.17","2020-2024"
"100",51797,100,"Hannah Mehrle","1.17","2016-2017"
