"","player_id","rank","player","sb","seasons"
"1",39700,1,"Kelly Jurden",220,"2018-2022"
"2",13907,2,"Caelee Clark",200,"2023-2025"
"3",71258,3,"Vada blue Sherrill",193,"2016-2019"
"4",67566,4,"Jillian Runyon",183,"2016-2019"
"5",46978,5,"Ashley Lugo",163,"2019-2023"
"6",23797,6,"Allie Fauth",140,"2018-2023"
"7",65051,7,"Kiersten Richardson",135,"2016-2018"
"8",39072,8,"Sarah Johnson",131,"2019-2023"
"9",48065,9,"Samantha Mallen",120,"2022-2025"
"10",43852,10,"Amanda Lanyon",117,"2022-2025"
"11",55374,10,"Nina Murphy-cook",117,"2016-2018"
"12",6551,12,"Rylee Blake",114,"2021-2024"
"13",14156,12,"Phoebe Clemens",114,"2021-2025"
"14",40183,12,"Annie Kay",114,"2023-2025"
"15",28941,15,"Jessica Goldyn",113,"2019-2021"
"16",66066,16,"Liz Roby-miklus",112,"2016-2019"
"17",76525,16,"Sara Tallman",112,"2017-2022"
"18",68042,18,"Haley Sainato",111,"2016-2019"
"19",28620,19,"Madison Glaubke",107,"2017-2021"
"20",37522,19,"Sydney Illg",107,"2019-2023"
"21",44470,19,"Linzee Leal",107,"2022-2025"
"22",47597,19,"Tristen Maddox",107,"2021-2025"
"23",60368,23,"Lizbeth Perez",106,"2022-2025"
"24",33485,24,"Grace Heath",105,"2020-2023"
"25",1991,25,"Bryele Anthony",104,"2022-2025"
"26",47412,25,"Abby Mace",104,"2020-2024"
"27",11222,27,"Laci Campbell",103,"2023-2025"
"28",56233,28,"Kaci Neveling",100,"2021-2025"
"29",26593,29,"Emily Gagne",99,"2020-2024"
"30",37234,29,"Maddie Hurst",99,"2020-2023"
"31",42529,31,"Kaela Kraemer",98,"2020-2022"
"32",35676,32,"Jenna Hollar",96,"2016-2018"
"33",74014,32,"Kaylie Springer",96,"2021-2024"
"34",74535,32,"Brooke Stefankiewicz",96,"2021-2024"
"35",79264,32,"Brittany Tuttle",96,"2016-2018"
"36",4998,36,"Lauren Begg",95,"2022-2024"
"37",25139,36,"Michaela Foisy",95,"2017-2020"
"38",60567,36,"Molli Perry",95,"2021-2024"
"39",67985,36,"Naomi Sadler",95,"2022-2025"
"40",78995,36,"Alehia Tucker",95,"2018-2021"
"41",12178,41,"Taylor Carter",94,"2016-2019"
"42",19056,41,"Kate Deming",94,"2016-2019"
"43",41146,41,"Ally Kim",94,"2022-2024"
"44",54103,44,"Sara Moore",93,"2022-2025"
"45",57264,44,"Molly O'brien",93,"2016-2024"
"46",62705,44,"Sarah Prosser",93,"2023-2025"
"47",64612,44,"Clare Rettler",93,"2023-2025"
"48",74563,44,"Rebekah Stegmayer",93,"2019-2022"
"49",24762,49,"Maddie Flanery",91,"2023-2025"
"50",64430,49,"Sarah Reinert",91,"2018-2022"
"51",6192,51,"Ama Biney",90,"2016-2018"
"52",77346,51,"Chelsea Thomas",90,"2016-2018"
"53",53289,53,"Ariana Mirenda",89,"2022-2024"
"54",61439,54,"Julia Piotrowski",88,"2021-2025"
"55",82919,54,"Alyssa Wenger",88,"2021-2024"
"56",29354,56,"Destiny Goodnight",87,"2022-2025"
"57",59695,56,"Baily Paul",87,"2020-2023"
"58",80210,56,"Lindsey Vasquez",87,"2016-2017"
"59",83924,56,"Kelsey Wilkinson",87,"2018-2021"
"60",10273,60,"Sam Burns",86,"2021-2024"
"61",10990,60,"Jocelyn Callahan",86,"2021-2025"
"62",80739,60,"Marit Vike",86,"2016-2019"
"63",31503,63,"Katelyn Halbach",85,"2020-2024"
"64",77154,63,"Madison Teta",85,"2021-2025"
"65",6042,65,"Hannah Biddlecom",84,"2019-2023"
"66",13677,65,"Ashley Chu",84,"2023-2025"
"67",13940,65,"Hannah Clark",84,"2016-2019"
"68",30647,65,"Kaili Gross",84,"2021-2024"
"69",36178,65,"Jennifer Hornberger",84,"2016-2018"
"70",18480,70,"Lexi Debace",83,"2019-2024"
"71",65101,70,"Sofie Richland",83,"2023-2025"
"72",71122,70,"Molly Shelley",83,"2024-2025"
"73",803,73,"Avery Alberghini",82,"2016-2019"
"74",52946,73,"Madi Miller",82,"2016-2025"
"75",67137,75,"Kerstin Roth",81,"2016-2019"
"76",11887,76,"Julia Carpenter",80,"2016-2020"
"77",48902,76,"Casey Martin",80,"2019-2022"
"78",49195,76,"Nicole Martinez",80,"2018-2021"
"79",3803,79,"Brooklyn Bard",79,"2023-2025"
"80",57100,79,"Delaney Nuckols",79,"2019-2024"
"81",75597,79,"Kenna Strunsee",79,"2022-2025"
"82",6177,82,"Jackie Bilotti",78,"2016-2019"
"83",31722,82,"Meg Halloran",78,"2019-2023"
"84",36879,82,"Krissy Hughes",78,"2016-2019"
"85",46226,82,"Jessica Long",78,"2016-2017"
"86",21684,86,"Hannah Dyer",77,"2022-2025"
"87",31859,86,"Keri Hamlett",77,"2018-2021"
"88",36249,86,"Ally Horvath",77,"2016-2017"
"89",52664,86,"Taylor Mikolajczak",77,"2022-2025"
"90",82702,86,"Allyson Weiss",77,"2018-2021"
"91",83344,86,"Courtney White",77,"2022-2024"
"92",8675,92,"Kayla Briles",76,"2018-2021"
"93",40022,92,"Amanda Karnatz",76,"2017-2021"
"94",74517,92,"Ashlyn Steen",76,"2023-2025"
"95",85154,92,"Savannah Wood",76,"2017-2019"
"96",22814,96,"Sydney Erdmann",75,"2020-2024"
"97",24658,96,"Alexia Fitzgerald",75,"2023-2025"
"98",34925,96,"Shelby Hill",75,"2017-2025"
"99",61357,96,"Avery Pinder",75,"2019-2022"
"100",68067,96,"Grace Salaja",75,"2020-2023"
