"","player_id","rank","player","opp_avg","seasons"
"1",56343,1,"Nicole Newman","0.128","2017-2019"
"2",4031,2,"Kelly Barnhill","0.132","2017-2019"
"3",11319,3,"Nijaree Canady","0.135","2023-2024"
"4",58417,4,"Alexis Osorio","0.136","2017-2018"
"5",15550,5,"Courtney Coppersmith","0.138","2019-2023"
"6",66480,6,"Ashley Rogers","0.147","2019-2023"
"7",3158,7,"Jordyn Bahl","0.151","2022-2025"
"8",41879,8,"Tori Kniesche","0.152","2021-2024"
"9",6941,9,"Dawn Bodrug","0.154","2020-2022"
"10",29284,10,"Megan Good","0.155","2017-2019"
"11",15787,11,"Georgina Corrick","0.155","2018-2022"
"12",43443,12,"Kandra Lamb","0.156","2019-2023"
"13",75242,13,"Alex Storako","0.158","2019-2023"
"14",49765,14,"Kelly Maxwell","0.158","2020-2024"
"15",23592,15,"Megan Faraimo","0.159","2019-2023"
"16",68035,16,"Shannon Saile","0.160","2017-2021"
"17",51330,17,"Chelsea Mcmanaway","0.161","2017-2018"
"18",80571,18,"Grace Vesco","0.161","2020-2024"
"19",6095,19,"Christina Biggerstaff","0.165","2018-2019"
"20",66090,20,"Keely Rochard","0.165","2018-2022"
"21",59296,21,"Paige Parker","0.165","2017-2018"
"22",27172,22,"Rachel Garcia","0.166","2017-2021"
"23",61152,23,"Karlyn Pickens","0.167","2023-2025"
"24",39629,24,"Giselle Juarez","0.168","2017-2021"
"25",33395,25,"Cambrie Hazel","0.168","2018-2020"
"26",36039,26,"Carley Hoover","0.169","2017-2018"
"27",27421,27,"Megan Garst","0.170","2018-2021"
"28",29606,28,"Payton Gottshall","0.173","2020-2024"
"29",52429,29,"Kamryn Meyer","0.174","2020-2024"
"30",60226,30,"Maddie Penta","0.174","2021-2024"
"31",4759,31,"Meghan Beaubien","0.175","2018-2022"
"32",22508,32,"Summer Ellyson","0.175","2017-2021"
"33",61582,33,"Gabbie Plain","0.176","2018-2022"
"34",39007,34,"Maya Johnson","0.176","2023-2025"
"35",43227,35,"Olivia Lackie","0.177","2021-2024"
"36",85739,36,"Brooke Yanez","0.177","2018-2023"
"37",17107,37,"Cassidy Curd","0.177","2023-2025"
"38",51535,38,"Taylor Mcquillin","0.177","2017-2019"
"39",34452,39,"Robyn Herron","0.177","2023-2025"
"40",5462,40,"Allison Benning","0.178","2022-2025"
"41",25535,41,"Montana Fouts","0.178","2019-2023"
"42",22339,42,"Miranda Elish","0.178","2017-2022"
"43",64888,43,"Kasey Ricard","0.179","2023-2025"
"44",6107,44,"Eden Bigham","0.179","2023-2025"
"45",60352,45,"Jenna Perez","0.179","2021-2024"
"46",38969,46,"Leanna Johnson","0.180","2019-2023"
"47",63902,47,"Morgan Ray","0.180","2017-2019"
"48",72105,48,"Faith Sims","0.181","2017-2019"
"49",78557,49,"Hope Trautwein","0.181","2018-2022"
"50",41677,50,"Megan Kleist","0.182","2017-2020"
"51",5776,51,"Lindsey Bert","0.183","2017-2018"
"52",40631,52,"Izzy Kemp","0.183","2023-2025"
"53",16034,53,"Autumn Courtney","0.183","2023-2025"
