"","player_id","rank","player","xbh","seasons"
"1",1274,1,"Jocelyn Alo",170,"2018-2022"
"2",38506,2,"Tiare Jennings",156,"2021-2024"
"3",84206,3,"Sami Williams",154,"2017-2021"
"4",73647,4,"Karli Spaid",153,"2021-2024"
"5",32447,5,"Jessie Harper",146,"2017-2021"
"6",17880,6,"Mia Davidson",140,"2018-2022"
"7",56102,7,"Morgan Nelson",136,"2016-2024"
"8",6296,8,"Amber Bishop",133,"2017-2021"
"9",29447,8,"Kate Gordon",133,"2017-2021"
"10",67619,10,"Linda Rush",131,"2017-2021"
"11",80055,10,"Bailey Vannoy",131,"2019-2023"
"12",3912,12,"Addison Barnard",130,"2021-2024"
"13",11452,12,"Georgia Capell",130,"2018-2022"
"14",15042,12,"Jenna Cone",130,"2017-2021"
"15",29852,15,"Megan Grant",129,"2020-2025"
"16",19670,16,"Alyssa Dicarlo",128,"2016-2019"
"17",59000,16,"Alyssa Palomino",128,"2017-2021"
"18",19128,18,"Natalie Denhartog",127,"2019-2023"
"19",71257,19,"Sydney Sherrill",126,"2018-2022"
"20",8138,20,"Maya Brady",124,"2020-2024"
"21",37853,20,"Emma Jackson",124,"2023-2025"
"22",41743,20,"Baylee Klingler",124,"2019-2023"
"23",63848,20,"Paige Rauch",124,"2018-2022"
"24",17017,24,"Allie Cummins",122,"2020-2024"
"25",10803,25,"Valerie Cagle",121,"2020-2024"
"26",29130,25,"Alyssa Gonzalez",121,"2017-2023"
"27",28131,27,"Danielle Gibson",120,"2018-2022"
"28",38402,28,"Aaliyah Jenkins",119,"2022-2025"
"29",40442,28,"Katie Keller",119,"2019-2023"
"30",66753,28,"Sydney Romero",119,"2016-2019"
"31",67189,28,"Rachel Roupe",119,"2022-2025"
"32",72965,28,"Morgan Smith",119,"2016-2024"
"33",24331,33,"Kristin Fifield",118,"2020-2024"
"34",45395,33,"Rachel Lewis",118,"2018-2022"
"35",50312,33,"Rachel Mccollum",118,"2016-2021"
"36",79965,33,"Sara Vanderford",118,"2020-2024"
"37",9888,37,"Sammey Bunch",117,"2017-2021"
"38",81601,37,"Skylar Wallace",117,"2019-2024"
"39",8971,39,"Suzy Brookshire",116,"2017-2021"
"40",36242,39,"Kelsey Horton",116,"2016-2019"
"41",45598,39,"Kendyl Lindaman",116,"2017-2021"
"42",53206,39,"Taylor Minnick",116,"2022-2025"
"43",60508,39,"Madison Perrigan",116,"2017-2021"
"44",19974,44,"Kristi Dimeo",115,"2018-2022"
"45",53071,44,"Kiki Milloy",115,"2020-2024"
"46",23849,46,"Alysen Febrey",114,"2017-2021"
"47",24997,46,"Morganne Flores",114,"2016-2021"
"48",54749,48,"Sara Mosley",113,"2020-2024"
"49",39094,49,"Taylor Johnson",112,"2018-2025"
"50",46519,49,"Amanda Lorenz",112,"2016-2019"
"51",60325,49,"Briana Perez",112,"2018-2022"
"52",6671,52,"Holly Blaska",111,"2020-2024"
"53",34525,52,"Morgan Hess",111,"2020-2025"
"54",74849,52,"Mya Stevenson",111,"2019-2023"
"55",82564,52,"Kayla Wedl",111,"2017-2021"
"56",21921,56,"Charla Echols",110,"2019-2023"
"57",32291,57,"Kalei Harding",109,"2021-2024"
"58",82027,57,"Jessie Warren",109,"2016-2018"
"59",6967,59,"Mackenzie Boesel",108,"2017-2021"
"60",44651,59,"Haley Lee",108,"2019-2023"
"61",58591,59,"Autumn Owen",108,"2019-2024"
"62",6299,62,"Autumn Bishop",107,"2017-2021"
"63",14424,62,"Erin Coffel",107,"2021-2024"
"64",38544,62,"Rylee Jensen",107,"2017-2021"
"65",39472,62,"Aaliyah Jordan",107,"2018-2023"
"66",84804,62,"Delanie Wisz",107,"2018-2022"
