"","player_id","rank","player","k_bb","seasons"
"1",34619,1,"Lindsey Hibbs","9.3","2021-2024"
"2",20554,2,"Makaleigh Dooley","6.3","2017-2019"
"3",80590,3,"Hannah Vet","5.7","2017-2018"
"4",70534,4,"Ashlan Sensing","5.4","2022-2025"
"5",45773,5,"Allison Lipovsky","5.2","2017-2019"
"6",62976,6,"Ellie Quaethem","5.2","2021-2024"
"7",10626,7,"Kelsey Byers","5.0","2019-2024"
"8",2300,8,"Mckayla Armbruster","5.0","2020-2024"
"9",54148,9,"Andrea Morales","4.9","2018-2022"
"10",86423,10,"Cyrena Zemaitis","4.8","2018-2021"
"11",27218,11,"Delaney Garden","4.8","2022-2025"
"12",26678,12,"Mariah Galhouse","4.8","2020-2025"
"13",45225,13,"Chloe Leverington","4.7","2022-2025"
"14",65012,14,"Samantha Richards","4.7","2020-2023"
"15",18611,15,"Alix Dedreu","4.7","2017-2019"
"16",27072,16,"Gisselle Garcia","4.6","2022-2025"
"17",31361,17,"Ali Haesele","4.6","2017-2018"
"18",458,18,"Avery Adkins","4.5","2021-2023"
"19",6218,19,"Anna Biondo","4.2","2017-2019"
"20",18954,20,"Gianna Delorenzo","4.2","2021-2024"
"21",67685,21,"Joni Russell","4.1","2022-2025"
"22",59768,22,"Liz Pautz","4.1","2019-2022"
"23",5917,23,"Kayla Betts","4.0","2020-2024"
"24",18921,24,"Carissa Della vecchia","4.0","2019-2023"
"25",26198,25,"Emma Frost","4.0","2020-2024"
"26",60639,26,"Paige Petefish","4.0","2020-2024"
"27",4476,27,"Danielle Bauer","4.0","2020-2023"
"28",9932,28,"Katie Burawski","4.0","2020-2022"
"29",72880,29,"Kylee Smith","3.9","2017-2021"
"30",69193,30,"Alex Schaefer","3.8","2021-2024"
"31",48645,31,"Brandy Marlett","3.8","2017-2018"
"32",20158,32,"Lauren Dixon","3.8","2021-2024"
"33",28325,33,"Mikayla Gilgert","3.7","2019-2022"
"34",60568,34,"Morgan Perry","3.7","2017-2021"
"35",34425,35,"Kimbri Herring","3.6","2017-2019"
"36",41362,36,"Carly Kingery","3.6","2017-2019"
"37",36306,37,"Amanda Houck","3.6","2017-2018"
"38",31891,38,"Grace Hammer","3.6","2020-2024"
"39",8251,39,"Taylor Brandts","3.6","2017-2018"
"40",65475,39,"Terin Ritz","3.6","2022-2025"
"41",60613,41,"Jessica Perucki","3.5","2020-2024"
"42",39339,42,"Kayleigh Jones","3.5","2020-2024"
"43",72450,43,"Bekah Slattery","3.5","2017-2019"
"44",4025,44,"Maci Barnhart","3.5","2021-2024"
"45",18930,45,"Lauren Dellett","3.5","2021-2024"
"46",4056,46,"Maddy Barone","3.4","2017-2020"
"47",77862,47,"Andee Tiffee","3.4","2017-2020"
"48",41681,48,"Jordyn Kleman","3.4","2017-2021"
"49",29927,49,"Haley Gravish","3.4","2022-2025"
"50",75958,50,"Mckenzie Surface","3.4","2017-2019"
"51",81883,51,"Mackenzie Ward","3.3","2018-2022"
"52",40055,52,"Anna Kasner","3.3","2017-2021"
"53",8431,53,"Holly Brehm","3.3","2022-2024"
"54",76595,54,"Lily Tanski","3.3","2020-2023"
"55",34668,55,"Haile Hicks","3.3","2021-2024"
"56",60253,56,"Stephanie Pepper","3.3","2017-2019"
"57",3179,57,"Bridget Bailey","3.3","2019-2022"
"58",40617,58,"Shelby Keltner","3.2","2020-2024"
"59",76888,59,"Victoria Taylor","3.2","2017-2021"
"60",17252,60,"Raechel Cutcher","3.2","2020-2024"
"61",25182,61,"Claire Fon","3.2","2020-2023"
"62",36857,62,"Emma Hughes","3.2","2017-2021"
"63",13097,63,"Mallory Chapman","3.2","2017-2018"
