"","player_id","rank","player","ip","seasons"
"1",54148,1,"Andrea Morales",899.7,"2018-2022"
"2",72880,2,"Kylee Smith",856.4,"2017-2021"
"3",81883,3,"Mackenzie Ward",831.7,"2018-2022"
"4",75270,4,"Lexie Storrer",754.8,"2017-2021"
"5",41681,5,"Jordyn Kleman",746,"2017-2021"
"6",52573,6,"Ashley Mickschl",740.7,"2018-2022"
"7",46257,7,"Sydney Long",712.5,"2019-2025"
"8",4755,8,"Hannah Beatus",711.5,"2018-2023"
"9",13084,9,"Hailey Chapman",706.6,"2017-2021"
"10",86041,10,"Gail Young",700.1,"2018-2022"
"11",60568,11,"Morgan Perry",691.5,"2017-2021"
"12",15577,12,"Hannah rose Corbin",679.9,"2019-2023"
"13",65375,13,"Lacie Rinus",675.9,"2017-2021"
"14",16337,14,"Kali Crandall",675.1,"2019-2023"
"15",65012,15,"Samantha Richards",672.9,"2020-2023"
"16",30220,16,"Abby Greer",639.7,"2017-2022"
"17",23911,17,"Hayley Fein",633.6,"2017-2020"
"18",20554,18,"Makaleigh Dooley",631.5,"2017-2019"
"19",58029,19,"Taylor Olson",630.9,"2017-2021"
"20",57792,20,"Alyssa Olague",618.7,"2018-2023"
"21",35957,21,"Lauren Honkomp",615.3,"2017-2020"
"22",72866,22,"Kenzee Smith",610.5,"2021-2024"
"23",30176,23,"Shannon Greene",598.8,"2017-2021"
"24",25715,24,"Taylor Franco",598.1,"2019-2023"
"25",45773,25,"Allison Lipovsky",596.3,"2017-2019"
"26",11000,26,"Alyssa Callans",596,"2017-2021"
"27",41362,27,"Carly Kingery",592.5,"2017-2019"
"28",55325,28,"Layton Murphy",591.9,"2018-2022"
"29",27072,29,"Gisselle Garcia",591.8,"2022-2025"
"30",76888,30,"Victoria Taylor",590.8,"2017-2021"
"31",35045,31,"Bethany Hines",587.7,"2017-2021"
"32",82620,32,"Dana Weidinger",585.1,"2017-2021"
"33",36705,33,"Hannah Hudson",583.5,"2019-2023"
"34",72450,34,"Bekah Slattery",581.5,"2017-2019"
"35",30157,35,"Courtney Greene",577,"2018-2022"
"36",59996,36,"Sam Pederson",572.9,"2019-2023"
"37",2756,37,"Paige Austin",572.7,"2018-2022"
"38",57129,38,"Callie Nunes",568.4,"2018-2023"
"39",25751,39,"Shayna Frank",567.8,"2018-2022"
"40",64223,40,"Aubrey Reep",567.6,"2017-2021"
"41",83487,41,"Caitlyn Whiteside",562.1,"2017-2019"
"42",85374,42,"Ashley Worrell",560.6,"2019-2024"
"43",19034,43,"Kennedy Dematteis",558.3,"2018-2022"
"44",28325,44,"Mikayla Gilgert",550.6,"2019-2022"
"45",66730,45,"Jennifer Romero",549,"2018-2022"
"46",1498,46,"Makenzie Amend",543.8,"2018-2022"
"47",26678,47,"Mariah Galhouse",539.1,"2020-2025"
"48",39339,48,"Kayleigh Jones",536.6,"2020-2024"
"49",28496,49,"Jaycee Ginter",534.7,"2021-2024"
"50",30979,50,"Megan Guitar",531.5,"2017-2019"
"51",50805,51,"Darby Mcghee",531.1,"2017-2021"
"52",18921,52,"Carissa Della vecchia",529.6,"2019-2023"
"53",26198,53,"Emma Frost",529,"2020-2024"
"54",43981,54,"Brooke Larsen",528.6,"2018-2022"
"55",2324,55,"Taylor Armitage",526.9,"2017-2021"
"56",5784,56,"Becky Berth",526,"2018-2022"
"57",67685,57,"Joni Russell",525.3,"2022-2025"
"58",16978,58,"Mariah Culver",521.5,"2019-2023"
"59",54964,58,"Ellie Muilenburg",521.5,"2018-2022"
"60",4056,60,"Maddy Barone",519.6,"2017-2020"
"61",7358,61,"Sidney Booth",516.7,"2020-2024"
"62",73617,62,"Callie Sowers",515.5,"2022-2025"
"63",10626,63,"Kelsey Byers",515.4,"2019-2024"
"64",81709,64,"Amberlyn Walsworth",514.7,"2020-2024"
"65",10393,65,"Abbey Busby",511.7,"2018-2021"
"66",21284,66,"Harlie Duncan",508.9,"2018-2022"
"67",59768,67,"Liz Pautz",508.7,"2019-2022"
"68",81661,68,"Brooke Walser",508.7,"2017-2021"
"69",16481,69,"Braelyne Crenshaw",505.6,"2019-2023"
"70",27218,70,"Delaney Garden",505.5,"2022-2025"
"71",54489,71,"Gabby Morris",502.9,"2017-2021"
"72",82160,72,"Hallie Waters",499.6,"2018-2021"
"73",72675,73,"Breanna Smith",496.1,"2017-2021"
"74",70534,74,"Ashlan Sensing",491.2,"2022-2025"
"75",31029,75,"Kylee Gunkle",490.7,"2022-2025"
"76",79846,76,"Kaitlyn Van der zwaag",487.7,"2019-2023"
"77",36324,77,"Hannah Houge",486.4,"2018-2021"
"78",63252,78,"Sydney Rader",485.4,"2021-2025"
"79",31652,79,"Raygn Hall",484.5,"2017-2021"
"80",18611,80,"Alix Dedreu",484.4,"2017-2019"
"81",80266,81,"Jodie Vaughn",483,"2019-2022"
"82",22694,82,"Avery English",479.7,"2017-2020"
"83",36306,83,"Amanda Houck",474.4,"2017-2018"
"84",68492,84,"Dara Sanders",469.5,"2017-2019"
"85",19238,85,"Emily Depew",468.6,"2020-2024"
"86",24595,86,"Jamie Fisher",468.3,"2017-2019"
"87",63455,87,"Amanda Ramirez",467.4,"2017-2019"
"88",17490,88,"Lauren Dale",463.6,"2017-2019"
"89",55042,89,"Ally Muller",463.5,"2018-2021"
"90",17064,90,"Kara Cunningham",459.7,"2017-2019"
"91",3505,91,"Hannah rose Balke",457.9,"2017-2021"
"92",31877,92,"Raegen Hamm",457.1,"2019-2022"
"93",12512,93,"Saidi Castillo",456.5,"2019-2022"
"94",34619,94,"Lindsey Hibbs",453.5,"2021-2024"
"95",28174,95,"Shannon Gibson",453.4,"2017-2021"
"96",721,96,"Kiley Akey",453.1,"2019-2023"
"97",76158,97,"Kelsey Sweatt",452.8,"2019-2022"
"98",67766,98,"Caroline Ruth",452.6,"2019-2023"
"99",6218,99,"Anna Biondo",452.2,"2017-2019"
"100",13097,100,"Mallory Chapman",451.3,"2017-2018"
