"","player_id","rank","player","era","seasons"
"1",11319,1,"Nijaree Canady","0.731","2023-2024"
"2",15787,2,"Georgina Corrick","1.053","2018-2022"
"3",56343,3,"Nicole Newman","1.065","2017-2019"
"4",29284,4,"Megan Good","1.072","2017-2019"
"5",4031,5,"Kelly Barnhill","1.157","2017-2019"
"6",59296,6,"Paige Parker","1.171","2017-2018"
"7",1783,7,"Kierstin Anderson-glass","1.216","2019-2021"
"8",67586,8,"Randi Rupp","1.254","2017-2018"
"9",3158,9,"Jordyn Bahl","1.297","2022-2025"
"10",30589,10,"Maddia Groff","1.358","2024-2025"
"11",11750,11,"Kaylee Carlson","1.377","2017-2018"
"12",15550,12,"Courtney Coppersmith","1.393","2019-2023"
"13",27172,13,"Rachel Garcia","1.398","2017-2021"
"14",81637,14,"Allie Walljasper","1.398","2017-2018"
"15",61152,15,"Karlyn Pickens","1.400","2023-2025"
"16",41339,16,"Meghan King","1.408","2017-2019"
"17",23592,17,"Megan Faraimo","1.408","2019-2023"
"18",36039,18,"Carley Hoover","1.422","2017-2018"
"19",82235,19,"Emily Watson","1.426","2017-2018"
"20",66480,20,"Ashley Rogers","1.472","2019-2023"
"21",27421,21,"Megan Garst","1.487","2018-2021"
"22",41677,22,"Megan Kleist","1.504","2017-2020"
"23",68475,23,"Kathryn Sandercock","1.509","2019-2023"
"24",6095,24,"Christina Biggerstaff","1.564","2018-2019"
"25",22339,25,"Miranda Elish","1.569","2017-2022"
"26",61582,26,"Gabbie Plain","1.579","2018-2022"
"27",15342,27,"Megan Cook","1.583","2017-2018"
"28",4788,28,"Kayla Beaver","1.589","2020-2024"
"29",6869,29,"Allison Boaz","1.593","2020-2024"
"30",33588,30,"Savannah Heebner","1.598","2017-2019"
"31",48976,31,"Makayla Martin","1.622","2017-2019"
"32",21042,32,"Ali Dubois","1.625","2018-2023"
"33",58417,33,"Alexis Osorio","1.630","2017-2018"
"34",19965,34,"Julia Dimartino","1.632","2017-2019"
"35",75242,35,"Alex Storako","1.633","2019-2023"
"36",41088,36,"Lexi Kilfoyl","1.637","2020-2024"
"37",22508,37,"Summer Ellyson","1.652","2017-2021"
"38",63673,38,"Riley Randolph","1.653","2017-2019"
"39",68035,39,"Shannon Saile","1.659","2017-2021"
"40",25535,40,"Montana Fouts","1.663","2019-2023"
"41",63227,41,"Morgan Rackel","1.664","2018-2019"
"42",1411,42,"Taran Alvelo","1.664","2017-2019"
"43",49765,43,"Kelly Maxwell","1.666","2020-2024"
"44",4759,44,"Meghan Beaubien","1.671","2018-2022"
"45",51535,45,"Taylor Mcquillin","1.673","2017-2019"
