"","player_id","rank","player","k_7","seasons"
"1",56343,1,"Nicole Newman","12.4","2017-2019"
"2",39007,2,"Maya Johnson","11.6","2023-2025"
"3",15550,3,"Courtney Coppersmith","11.6","2019-2023"
"4",6941,4,"Dawn Bodrug","11.2","2020-2022"
"5",11319,5,"Nijaree Canady","11.1","2023-2024"
"6",75242,6,"Alex Storako","11.0","2019-2023"
"7",58417,7,"Alexis Osorio","10.8","2017-2018"
"8",4031,8,"Kelly Barnhill","10.6","2017-2019"
"9",51330,9,"Chelsea Mcmanaway","10.3","2017-2018"
"10",23592,10,"Megan Faraimo","10.2","2019-2023"
"11",49765,11,"Kelly Maxwell","10.0","2020-2024"
"12",41879,12,"Tori Kniesche","10.0","2021-2024"
"13",66090,13,"Keely Rochard","10.0","2018-2022"
"14",3158,14,"Jordyn Bahl"," 9.9","2022-2025"
"15",25535,15,"Montana Fouts"," 9.9","2019-2023"
"16",29606,16,"Payton Gottshall"," 9.7","2020-2024"
"17",52429,17,"Kamryn Meyer"," 9.7","2020-2024"
"18",68035,18,"Shannon Saile"," 9.6","2017-2021"
"19",25016,19,"Morgan Florey"," 9.6","2017-2019"
"20",34603,20,"Samantha Heyer"," 9.6","2020-2024"
"21",82235,21,"Emily Watson"," 9.6","2017-2018"
"22",27172,22,"Rachel Garcia"," 9.5","2017-2021"
"23",60226,23,"Maddie Penta"," 9.5","2021-2024"
"24",44939,24,"Emma Lemley"," 9.4","2022-2025"
"25",15787,25,"Georgina Corrick"," 9.4","2018-2022"
"26",43443,26,"Kandra Lamb"," 9.3","2019-2023"
"27",84048,27,"Danielle Williams"," 9.3","2019-2023"
"28",69108,28,"Andrea Scali"," 9.2","2019-2022"
"29",71555,29,"Brooklyn Shroyer"," 9.2","2024-2025"
"30",70551,30,"Ana Serafinko"," 9.2","2023-2025"
"31",80709,31,"Courtney Vierstra"," 9.2","2018-2022"
"32",40631,32,"Izzy Kemp"," 9.2","2023-2025"
"33",61582,33,"Gabbie Plain"," 9.1","2018-2022"
"34",39629,34,"Giselle Juarez"," 9.1","2017-2021"
"35",66480,35,"Ashley Rogers"," 9.1","2019-2023"
"36",60352,36,"Jenna Perez"," 8.9","2021-2024"
"37",61152,37,"Karlyn Pickens"," 8.9","2023-2025"
"38",66715,38,"Alexa Romero"," 8.9","2017-2021"
"39",70617,39,"Jacquelyn Sertic"," 8.8","2017-2018"
"40",44517,40,"Alyssa Leblanc"," 8.8","2020-2022"
"41",34452,41,"Robyn Herron"," 8.8","2023-2025"
"42",22339,42,"Miranda Elish"," 8.8","2017-2022"
"43",85739,43,"Brooke Yanez"," 8.8","2018-2023"
"44",6095,44,"Christina Biggerstaff"," 8.7","2018-2019"
"45",17107,45,"Cassidy Curd"," 8.7","2023-2025"
"46",66812,46,"Rachel Rook"," 8.7","2018-2022"
"47",74976,47,"Danielle Stiene"," 8.6","2017-2018"
"48",59296,48,"Paige Parker"," 8.6","2017-2018"
"49",78557,49,"Hope Trautwein"," 8.6","2018-2022"
"50",12742,50,"Jada Cecil"," 8.6","2022-2025"
"51",5776,51,"Lindsey Bert"," 8.6","2017-2018"
"52",86379,52,"Kara Zazzaro"," 8.5","2019-2023"
"53",69700,53,"Meghan Schorman"," 8.5","2019-2023"
"54",38969,54,"Leanna Johnson"," 8.5","2019-2023"
"55",37021,55,"Alissa Humphrey"," 8.5","2021-2024"
"56",51535,56,"Taylor Mcquillin"," 8.4","2017-2019"
"57",67586,57,"Randi Rupp"," 8.4","2017-2018"
"58",56061,58,"Kelly Nelson"," 8.4","2019-2022"
"59",9554,59,"Stephanie Bryden"," 8.3","2017-2019"
"60",47252,60,"Kelley Lynch"," 8.3","2020-2024"
"61",4759,61,"Meghan Beaubien"," 8.3","2018-2022"
"62",3500,62,"Maggie Balint"," 8.3","2017-2022"
"63",44157,63,"Alexis Laudenslager"," 8.3","2020-2025"
"64",63227,64,"Morgan Rackel"," 8.3","2018-2019"
"65",68995,65,"Alayna Savaglio"," 8.3","2020-2023"
"66",58016,66,"Marybeth Olson"," 8.3","2018-2022"
"67",65136,67,"Karli Ricketts"," 8.3","2019-2022"
"68",64888,68,"Kasey Ricard"," 8.3","2023-2025"
"69",30295,69,"Lyndsey Grein"," 8.3","2023-2025"
"70",43227,70,"Olivia Lackie"," 8.3","2021-2024"
"71",30589,71,"Maddia Groff"," 8.2","2024-2025"
"72",34684,72,"Lauryn Hicks"," 8.2","2020-2024"
"73",29903,73,"Alyssa Graves"," 8.2","2018-2022"
"74",52473,74,"Ruby Meylan"," 8.2","2023-2025"
"75",74097,75,"Peyton St george"," 8.2","2018-2022"
"76",83757,76,"Kassidy Wilbur"," 8.2","2019-2022"
"77",51291,77,"Lindsey Mcleod"," 8.2","2017-2019"
"78",84061,78,"Emily Williams"," 8.2","2018-2021"
"79",1411,79,"Taran Alvelo"," 8.1","2017-2019"
"80",25684,80,"Loreley Francia"," 8.1","2023-2025"
"81",18275,81,"Morgan Day"," 8.1","2018-2022"
"82",44507,82,"Jessica Lebeau"," 8.1","2021-2024"
"83",33395,83,"Cambrie Hazel"," 8.1","2018-2020"
"84",30162,84,"Jenna Greene"," 8.1","2020-2024"
