"","player_id","rank","player","sb","seasons"
"1",18865,1,"Megan Delgadillo",187,"2020-2025"
"2",63542,2,"Jaquelyn Ramon",184,"2016-2019"
"3",58972,3,"Madisyn Palmer",164,"2016-2019"
"4",53048,4,"Keeli Milligan",163,"2016-2019"
"5",70521,5,"Chelie Senini",162,"2020-2024"
"6",81601,6,"Skylar Wallace",146,"2019-2024"
"7",1832,7,"Aliyah Andrews",145,"2017-2021"
"8",17386,8,"Elicia D'orazio",142,"2016-2018"
"9",53071,9,"Kiki Milloy",138,"2020-2024"
"10",44162,10,"Denver Lauer",136,"2022-2025"
"11",9111,11,"Eliisa Brown",134,"2017-2021"
"12",82318,11,"Lexi Watts",134,"2016-2019"
"13",19272,13,"Kindall Deramus",133,"2020-2024"
"14",67654,14,"Sam Russ",132,"2018-2022"
"15",22560,15,"Cortni Emanuel",128,"2016-2018"
"16",29328,15,"Cameron Goodman",128,"2020-2024"
"17",33012,15,"Lexi Hastings",128,"2022-2025"
"18",86028,18,"Damali Young",127,"2016-2019"
"19",19154,19,"Haley Denning",123,"2020-2024"
"20",32738,19,"Cali Harrod",123,"2016-2019"
"21",62540,19,"Sarah Price",123,"2019-2023"
"22",83800,22,"Jenna Wildeman",122,"2020-2023"
"23",23497,23,"Kendra Falby",118,"2022-2025"
"24",59304,24,"Tyra Parker",115,"2022-2025"
"25",84502,24,"Mckenzie Wilson",115,"2019-2024"
"26",22650,26,"Morgan Eng",113,"2022-2025"
"27",28464,27,"Ansley Gilstrap",112,"2016-2021"
"28",38986,27,"Macy Johnson",112,"2018-2022"
"29",51061,27,"Sydney Mckay",112,"2016-2019"
"30",9103,30,"Destini Brown",110,"2018-2022"
"31",59143,30,"Kara Paradowski",110,"2018-2021"
"32",19412,32,"Anna Dethlefson",109,"2021-2024"
"33",69919,32,"Emma Schutter",109,"2022-2025"
"34",47130,34,"Kai Luschar",108,"2022-2025"
"35",25315,35,"Jenna Foreman",107,"2016-2019"
"36",41603,36,"Morgan Klaevemann",106,"2016-2018"
"37",74687,36,"Mari Stephens",106,"2022-2025"
"38",45395,38,"Rachel Lewis",104,"2018-2022"
"39",19804,39,"Lexi Diemmanuele",103,"2016-2019"
"40",47483,39,"Alexis Mack",103,"2016-2021"
"41",55414,39,"Leah Murray",103,"2016-2019"
"42",16835,42,"Kayla Crutchmer",102,"2017-2020"
"43",67244,42,"Johneisha Rowe",102,"2020-2024"
"44",17621,44,"Emily Daniel",101,"2018-2024"
"45",18108,44,"Mihyia Davis",101,"2023-2025"
"46",49366,44,"Aeriyl Mass",101,"2018-2022"
"47",63205,44,"Sabrina Rabin",101,"2016-2018"
"48",72116,44,"Leslie Sims",101,"2017-2021"
"49",84214,44,"Shelby Williams",101,"2016-2019"
"50",24734,50,"Devyn Flaherty",100,"2020-2024"
"51",38726,50,"Alexis Johns",100,"2019-2022"
"52",4343,52,"Janessa Bassett",99,"2016-2018"
"53",9421,52,"Anamarie Bruni",99,"2017-2021"
"54",27683,52,"Leanna Gearhart",99,"2016-2018"
"55",31916,52,"Jazzmaine Hammond",99,"2018-2022"
"56",57142,52,"Ciera Nunez",99,"2016-2019"
"57",67956,52,"Sierra Sacco",99,"2022-2025"
"58",34761,58,"Baylea Higgs",98,"2016-2018"
"59",46014,58,"Emily Lochten",98,"2016-2018"
"60",47569,58,"Kelsi Maday",98,"2016-2018"
