"","player_id","rank","player","so","seasons"
"1",72880,1,"Kylee Smith",1175,"2017-2021"
"2",81883,2,"Mackenzie Ward",1075,"2018-2022"
"3",54148,3,"Andrea Morales",972,"2018-2022"
"4",45773,4,"Allison Lipovsky",887,"2017-2019"
"5",41681,5,"Jordyn Kleman",865,"2017-2021"
"6",27072,6,"Gisselle Garcia",824,"2022-2025"
"7",59768,7,"Liz Pautz",796,"2019-2022"
"8",65012,8,"Samantha Richards",795,"2020-2023"
"9",60568,9,"Morgan Perry",775,"2017-2021"
"10",15577,10,"Hannah rose Corbin",758,"2019-2023"
"11",4755,11,"Hannah Beatus",740,"2018-2023"
"12",57129,12,"Callie Nunes",736,"2018-2023"
"13",34619,13,"Lindsey Hibbs",735,"2021-2024"
"14",39339,14,"Kayleigh Jones",734,"2020-2024"
"15",1498,15,"Makenzie Amend",722,"2018-2022"
"16",18921,16,"Carissa Della vecchia",708,"2019-2023"
"17",16337,17,"Kali Crandall",702,"2019-2023"
"18",67685,18,"Joni Russell",694,"2022-2025"
"19",72866,19,"Kenzee Smith",680,"2021-2024"
"20",72450,20,"Bekah Slattery",668,"2017-2019"
"21",76888,21,"Victoria Taylor",662,"2017-2021"
"22",2756,22,"Paige Austin",654,"2018-2022"
"23",41362,23,"Carly Kingery",644,"2017-2019"
"24",28496,24,"Jaycee Ginter",615,"2021-2024"
"25",65375,25,"Lacie Rinus",611,"2017-2021"
"26",43981,26,"Brooke Larsen",607,"2018-2022"
"27",52573,27,"Ashley Mickschl",594,"2018-2022"
"28",63375,28,"Lauren Rakes",589,"2020-2024"
"29",9932,29,"Katie Burawski",584,"2020-2022"
"30",7358,30,"Sidney Booth",581,"2020-2024"
"31",13084,31,"Hailey Chapman",575,"2017-2021"
"32",73617,32,"Callie Sowers",573,"2022-2025"
"33",20158,33,"Lauren Dixon",556,"2021-2024"
"34",36324,34,"Hannah Houge",552,"2018-2021"
"35",20554,35,"Makaleigh Dooley",547,"2017-2019"
"36",19021,36,"Darby Demarest",543,"2017-2019"
"37",10626,37,"Kelsey Byers",539,"2019-2024"
"38",64223,37,"Aubrey Reep",539,"2017-2021"
"39",77862,39,"Andee Tiffee",537,"2017-2020"
"40",26198,40,"Emma Frost",536,"2020-2024"
"41",36705,41,"Hannah Hudson",535,"2019-2023"
"42",75270,42,"Lexie Storrer",531,"2017-2021"
"43",46257,43,"Sydney Long",526,"2019-2025"
"44",11000,44,"Alyssa Callans",520,"2017-2021"
"45",82160,44,"Hallie Waters",520,"2018-2021"
"46",25715,46,"Taylor Franco",516,"2019-2023"
"47",25751,47,"Shayna Frank",514,"2018-2022"
"48",1737,48,"Meghan Anderson",512,"2020-2023"
"49",62976,49,"Ellie Quaethem",509,"2021-2024"
"50",55042,50,"Ally Muller",508,"2018-2021"
"51",54964,51,"Ellie Muilenburg",498,"2018-2022"
"52",27218,52,"Delaney Garden",496,"2022-2025"
"53",28325,52,"Mikayla Gilgert",496,"2019-2022"
"54",60253,54,"Stephanie Pepper",495,"2017-2019"
"55",40055,55,"Anna Kasner",493,"2017-2021"
"56",35957,56,"Lauren Honkomp",490,"2017-2020"
"57",81709,57,"Amberlyn Walsworth",489,"2020-2024"
"58",84542,58,"Taryn Wilson",486,"2017-2019"
"59",18611,59,"Alix Dedreu",485,"2017-2019"
"60",85374,59,"Ashley Worrell",485,"2019-2024"
"61",22401,61,"Amber Elliott",481,"2018-2022"
"62",19238,62,"Emily Depew",480,"2020-2024"
"63",63252,63,"Sydney Rader",476,"2021-2025"
"64",65222,63,"Coley Ries",476,"2017-2017"
"65",61058,65,"Lakyn Phillips",475,"2022-2025"
"66",54489,66,"Gabby Morris",474,"2017-2021"
"67",48645,67,"Brandy Marlett",473,"2017-2018"
"68",5917,68,"Kayla Betts",464,"2020-2024"
"69",57792,69,"Alyssa Olague",462,"2018-2023"
"70",5910,70,"Kristina Bettis",455,"2022-2024"
"71",86041,71,"Gail Young",454,"2018-2022"
"72",31891,72,"Grace Hammer",453,"2020-2024"
"73",35045,73,"Bethany Hines",446,"2017-2021"
"74",66730,73,"Jennifer Romero",446,"2018-2022"
"75",70534,73,"Ashlan Sensing",446,"2022-2025"
"76",19313,76,"Cameron Derr",445,"2018-2021"
"77",4476,77,"Danielle Bauer",444,"2020-2023"
"78",76158,78,"Kelsey Sweatt",442,"2019-2022"
"79",19062,79,"Megan Demler",441,"2018-2022"
"80",26845,80,"Taylor Galyean",437,"2019-2023"
"81",30979,81,"Megan Guitar",435,"2017-2019"
"82",1702,82,"Kelsi Anderson",434,"2021-2024"
"83",37188,82,"Alexsa Hurd",434,"2022-2025"
"84",39693,84,"Trinity Junker",433,"2020-2023"
"85",4056,85,"Maddy Barone",431,"2017-2020"
"86",4962,86,"Morgan Beeler",428,"2020-2023"
"87",56919,87,"Tiaria Norman",427,"2017-2018"
"88",17824,88,"Sarah Davenport",426,"2024-2025"
"89",75958,89,"Mckenzie Surface",423,"2017-2019"
"90",8431,90,"Holly Brehm",422,"2022-2024"
"91",22173,91,"Savanah Egger",421,"2022-2025"
"92",43368,91,"Kyra Lair",421,"2019-2023"
"93",86423,93,"Cyrena Zemaitis",420,"2018-2021"
"94",4025,94,"Maci Barnhart",419,"2021-2024"
"95",59558,95,"Annie Paterson",418,"2019-2022"
"96",9156,96,"Katelyn Brown",416,"2017-2018"
"97",12512,96,"Saidi Castillo",416,"2019-2022"
"98",50805,98,"Darby Mcghee",415,"2017-2021"
"99",57980,99,"Bryanna Olson",413,"2020-2023"
"100",3179,100,"Bridget Bailey",412,"2019-2022"
