"","player_id","rank","player","xbh","seasons"
"1",47597,1,"Tristen Maddox",128,"2021-2025"
"2",47412,2,"Abby Mace",127,"2020-2024"
"3",29430,3,"Allie Gordon",125,"2019-2024"
"4",62856,4,"Jill Pulek",122,"2016-2023"
"5",35778,5,"Jordan Holman",108,"2020-2025"
"6",36488,6,"Olivia Howe",104,"2019-2024"
"7",61051,6,"Katie Phillips",104,"2019-2023"
"8",83375,8,"Katie White",103,"2016-2024"
"9",62317,9,"Jess Pozezinski",101,"2022-2025"
"10",62155,10,"Kamryn Potter",99,"2020-2024"
"11",70275,10,"Claire Seats",99,"2022-2025"
"12",60189,12,"Makenzie Pennell",98,"2017-2021"
"13",81442,13,"Elaine Walker",97,"2016-2019"
"14",71258,14,"Vada blue Sherrill",95,"2016-2019"
"15",18260,15,"Jordan Day",94,"2018-2022"
"16",72185,15,"Julia Sinnett",94,"2018-2022"
"17",50911,17,"Erin Mcgrath",93,"2019-2023"
"18",53004,17,"Sarah Miller",93,"2018-2021"
"19",32788,19,"Aarin Hartenstein",92,"2016-2019"
"20",44094,20,"Mackenzie Latess",91,"2020-2024"
"21",24849,21,"Sydney Fleming",90,"2022-2025"
"22",78153,21,"Sharon Tomei",90,"2022-2025"
"23",3509,23,"Melissa Balkema",89,"2016-2019"
"24",10905,23,"Annabelle Calderon",89,"2022-2025"
"25",26254,25,"Morgan Frye",88,"2021-2024"
"26",34848,25,"Debbie Hill",88,"2023-2025"
"27",44722,25,"Savannah Lee",88,"2016-2024"
"28",33531,28,"Olivia Hebert",87,"2022-2025"
"29",48964,29,"Lexi Martin",86,"2021-2024"
"30",55328,29,"Mackenzie Murphy",86,"2016-2019"
"31",5627,31,"Sam Berghoff",85,"2017-2020"
"32",43927,31,"Kyra Lard",85,"2022-2025"
"33",48470,31,"Grayce Marcum",85,"2022-2025"
"34",628,34,"Kaitlyn Aherron",84,"2017-2021"
"35",35224,34,"Hannah Hoban",84,"2016-2019"
"36",40216,34,"Rachel Kazmirski",84,"2021-2025"
"37",80140,34,"Savannah Vargas",84,"2017-2021"
"38",4280,38,"Annemarie Bartow",83,"2016-2018"
"39",26755,38,"Maleea Gallaspy",83,"2022-2025"
"40",37823,38,"Anna Jackson",83,"2021-2024"
