"","player_id","rank","player","hr","seasons"
"1",47412,1,"Abby Mace",58,"2020-2024"
"2",24849,2,"Sydney Fleming",53,"2022-2025"
"3",33021,2,"Kaitlyn Hasty",53,"2019-2022"
"4",47597,2,"Tristen Maddox",53,"2021-2025"
"5",78153,5,"Sharon Tomei",51,"2022-2025"
"6",44722,6,"Savannah Lee",50,"2016-2024"
"7",68557,7,"Sydney Sandifer",47,"2022-2025"
"8",25597,8,"Kaylee Fox",46,"2016-2018"
"9",29430,8,"Allie Gordon",46,"2019-2024"
"10",34848,8,"Debbie Hill",46,"2023-2025"
"11",62317,11,"Jess Pozezinski",45,"2022-2025"
"12",13488,12,"Mackenzie Chitwood",43,"2016-2019"
"13",70275,12,"Claire Seats",43,"2022-2025"
"14",25505,14,"Claire Fountain",42,"2019-2023"
"15",26254,15,"Morgan Frye",41,"2021-2024"
"16",62155,15,"Kamryn Potter",41,"2020-2024"
"17",71258,15,"Vada blue Sherrill",41,"2016-2019"
"18",60189,18,"Makenzie Pennell",40,"2017-2021"
"19",28306,19,"Samantha Gildersleeve",39,"2021-2025"
"20",50911,19,"Erin Mcgrath",39,"2019-2023"
"21",80140,19,"Savannah Vargas",39,"2017-2021"
"22",77421,22,"Maddy Thomas",38,"2019-2022"
"23",40988,23,"Ava Khoury",37,"2022-2025"
"24",42879,23,"Sarah Kubik",37,"2016-2019"
"25",57749,23,"Patty maye Ohanian",37,"2018-2021"
"26",62856,23,"Jill Pulek",37,"2016-2023"
"27",49681,27,"Brooke Matyasovsky",36,"2019-2022"
"28",71797,27,"Marcie Silberman",36,"2023-2025"
"29",82603,27,"Brooke Wehr",36,"2018-2022"
"30",83228,27,"Darice Wheeler",36,"2018-2021"
"31",1115,31,"Emily Allen",35,"2016-2020"
"32",30037,31,"Brooke Greaver",35,"2022-2025"
"33",38932,31,"Kaylynn Johnson",35,"2022-2025"
"34",11939,34,"Kailey Carrano",34,"2021-2024"
"35",16493,34,"Erin Cressman",34,"2016-2019"
"36",32788,34,"Aarin Hartenstein",34,"2016-2019"
"37",56022,34,"Brynn Nelson",34,"2022-2025"
"38",60959,34,"Jocelyn Pfleiger",34,"2022-2025"
"39",4502,39,"Rilee Baughan",33,"2020-2024"
"40",5627,39,"Sam Berghoff",33,"2017-2020"
"41",14173,39,"Lauren Clements",33,"2016-2019"
"42",15223,39,"Olivia Conti",33,"2021-2024"
"43",17016,39,"Tauryn Cummings",33,"2021-2025"
"44",25380,39,"Mara Forsyth",33,"2016-2018"
"45",32815,39,"Makenna Hartline",33,"2017-2019"
"46",55328,39,"Mackenzie Murphy",33,"2016-2019"
"47",83375,39,"Katie White",33,"2016-2024"
"48",8347,48,"Roni Braun",32,"2017-2020"
"49",10905,48,"Annabelle Calderon",32,"2022-2025"
"50",19387,48,"Sydney Despres",32,"2016-2018"
"51",45077,48,"Kallista Leonardos",32,"2016-2019"
"52",55758,48,"Haley Nash",32,"2021-2025"
"53",76176,48,"Jennifer Sweeney",32,"2018-2022"
"54",626,54,"Marialena Ahern",31,"2016-2018"
"55",16412,54,"Makayla Crawford",31,"2016-2019"
"56",18260,54,"Jordan Day",31,"2018-2022"
"57",75237,54,"Skyler Stookey",31,"2020-2024"
"58",81259,54,"Eriana Wagner",31,"2022-2025"
"59",17187,59,"Lexi Curt",30,"2016-2018"
"60",32353,59,"Alyssa Harhigh",30,"2019-2023"
"61",36525,59,"Cassetty Howerin",30,"2016-2018"
"62",37823,59,"Anna Jackson",30,"2021-2024"
"63",47367,59,"Taylor Mabry",30,"2017-2019"
"64",72368,59,"Taylor Skraba",30,"2019-2023"
"65",78328,59,"Evonne Torres",30,"2016-2019"
"66",81152,59,"Devin Waddell",30,"2022-2025"
"67",9589,67,"Desiree Buboi",29,"2016-2019"
"68",35778,67,"Jordan Holman",29,"2020-2025"
"69",39279,67,"Ellie Jones",29,"2022-2025"
"70",45705,67,"Ella Link",29,"2021-2024"
"71",65752,67,"Bailey Roberts",29,"2019-2022"
"72",67610,67,"Cassie Ruscz",29,"2016-2017"
"73",73447,67,"Megan Sooy",29,"2021-2023"
"74",74213,67,"Gabbie Stallbaum",29,"2022-2025"
"75",81442,67,"Elaine Walker",29,"2016-2019"
"76",3509,76,"Melissa Balkema",28,"2016-2019"
"77",43271,76,"Laurren Ladwig",28,"2016-2018"
"78",46924,76,"Maddie Luderman",28,"2021-2024"
"79",52405,76,"Allison Meyer",28,"2017-2020"
"80",53004,76,"Sarah Miller",28,"2018-2021"
"81",58907,76,"Colleen Palczynski",28,"2019-2022"
"82",80318,76,"Annie Veatch",28,"2016-2018"
"83",135,83,"Jacqui Abogado",27,"2022-2025"
"84",628,83,"Kaitlyn Aherron",27,"2017-2021"
"85",9140,83,"Jess Brown",27,"2021-2024"
"86",22973,83,"Amaya Esparza",27,"2021-2024"
"87",36622,83,"Kalin Hubble",27,"2019-2022"
"88",41286,83,"Diana King",27,"2016-2019"
"89",44094,83,"Mackenzie Latess",27,"2020-2024"
"90",45668,83,"Lacey Lindsey",27,"2016-2017"
"91",45983,83,"Shannon Lloyd",27,"2017-2021"
"92",76331,83,"Delaney Sylvester",27,"2016-2018"
"93",82994,83,"Sophie Wery",27,"2022-2025"
"94",11253,94,"Taylor Campbell",26,"2018-2021"
"95",21884,94,"Rachel Eberling",26,"2016-2019"
"96",41763,94,"Allie Klonowski",26,"2020-2023"
"97",45427,94,"Jacey Leyvas",26,"2022-2025"
"98",61051,94,"Katie Phillips",26,"2019-2023"
"99",73350,94,"Daniella Solis",26,"2018-2021"
"100",75080,94,"Emily Stockman",26,"2022-2025"
