"","player_id","rank","player","rc","seasons"
"1",47412,1,"Abby Mace",259.1,"2020-2024"
"2",18260,2,"Jordan Day",244.82,"2018-2022"
"3",36488,3,"Olivia Howe",232.85,"2019-2024"
"4",62856,4,"Jill Pulek",231.27,"2016-2023"
"5",47597,5,"Tristen Maddox",229.07,"2021-2025"
"6",71258,6,"Vada blue Sherrill",224.34,"2016-2019"
"7",29430,7,"Allie Gordon",217.65,"2019-2024"
"8",81442,8,"Elaine Walker",213.98,"2016-2019"
"9",83375,9,"Katie White",205.97,"2016-2024"
"10",48964,10,"Lexi Martin",194.13,"2021-2024"
"11",62317,11,"Jess Pozezinski",191.42,"2022-2025"
"12",36525,12,"Cassetty Howerin",189.84,"2016-2018"
"13",26254,13,"Morgan Frye",186.73,"2021-2024"
"14",19387,14,"Sydney Despres",186.48,"2016-2018"
"15",65467,15,"Hannah Ritter",186.1,"2016-2024"
"16",35778,16,"Jordan Holman",185.8,"2020-2025"
"17",61051,17,"Katie Phillips",185.17,"2019-2023"
"18",70275,18,"Claire Seats",182.4,"2022-2025"
"19",44815,19,"Madelyn Lehigh",181.47,"2022-2025"
"20",68468,20,"Rylea Sandel",179.23,"2022-2025"
"21",60189,21,"Makenzie Pennell",178.61,"2017-2021"
"22",3509,22,"Melissa Balkema",177.74,"2016-2019"
"23",5627,23,"Sam Berghoff",175.9,"2017-2020"
"24",628,24,"Kaitlyn Aherron",174.5,"2017-2021"
"25",34848,25,"Debbie Hill",173.97,"2023-2025"
"26",1651,26,"Carly Anderson",172.85,"2016-2019"
"27",44722,27,"Savannah Lee",169.38,"2016-2024"
"28",78153,28,"Sharon Tomei",168.27,"2022-2025"
"29",45983,29,"Shannon Lloyd",166.7,"2017-2021"
"30",35224,30,"Hannah Hoban",165.78,"2016-2019"
"31",40216,31,"Rachel Kazmirski",165.5,"2021-2025"
"32",62155,32,"Kamryn Potter",165.25,"2020-2024"
"33",14156,33,"Phoebe Clemens",164.96,"2021-2025"
"34",39939,34,"Darian Kanno",164.35,"2022-2025"
"35",57749,35,"Patty maye Ohanian",164.26,"2018-2021"
"36",12237,36,"Makayla Carver",162.84,"2016-2019"
"37",33021,37,"Kaitlyn Hasty",161.93,"2019-2022"
"38",43927,38,"Kyra Lard",160.87,"2022-2025"
"39",26755,39,"Maleea Gallaspy",160.4,"2022-2025"
"40",56022,40,"Brynn Nelson",160.38,"2022-2025"
"41",83352,41,"Emily White",160.25,"2016-2022"
"42",17016,42,"Tauryn Cummings",160.13,"2021-2025"
"43",16493,43,"Erin Cressman",159.86,"2016-2019"
"44",1115,44,"Emily Allen",159.16,"2016-2020"
"45",82603,45,"Brooke Wehr",158.91,"2018-2022"
"46",53004,46,"Sarah Miller",158.43,"2018-2021"
"47",33531,47,"Olivia Hebert",158.32,"2022-2025"
"48",13488,48,"Mackenzie Chitwood",158.28,"2016-2019"
"49",32359,49,"Sarah Harker",158.18,"2020-2024"
"50",9589,50,"Desiree Buboi",157.26,"2016-2019"
"51",14173,51,"Lauren Clements",156.83,"2016-2019"
"52",73189,52,"Emily Snow",155.93,"2016-2019"
"53",83228,53,"Darice Wheeler",154.41,"2018-2021"
"54",25597,54,"Kaylee Fox",154.15,"2016-2018"
"55",6177,55,"Jackie Bilotti",153.88,"2016-2019"
"56",73879,56,"Kat Spilman",153.86,"2016-2019"
"57",32788,57,"Aarin Hartenstein",153.66,"2016-2019"
"58",55328,58,"Mackenzie Murphy",153.41,"2016-2019"
"59",39279,59,"Ellie Jones",152.29,"2022-2025"
"60",75488,60,"Anna Strien",152.02,"2016-2018"
"61",4280,61,"Annemarie Bartow",151.83,"2016-2018"
"62",38932,62,"Kaylynn Johnson",151.65,"2022-2025"
"63",37823,63,"Anna Jackson",151.4,"2021-2024"
"64",50911,64,"Erin Mcgrath",150.92,"2019-2023"
"65",44094,65,"Mackenzie Latess",150.53,"2020-2024"
"66",57236,66,"Allie O'brien",150.16,"2016-2019"
"67",39072,67,"Sarah Johnson",149.17,"2019-2023"
"68",72368,68,"Taylor Skraba",148.92,"2019-2023"
"69",53265,69,"Alexis Miranda",148.68,"2021-2024"
"70",67742,70,"Isabella Russo",148.55,"2016-2025"
"71",32353,71,"Alyssa Harhigh",148.4,"2019-2023"
"72",10905,72,"Annabelle Calderon",148.22,"2022-2025"
"73",81152,73,"Devin Waddell",148.14,"2022-2025"
"74",36879,74,"Krissy Hughes",147.41,"2016-2019"
"75",24849,75,"Sydney Fleming",145.94,"2022-2025"
"76",68631,76,"Julia Sangiovanni",145.88,"2019-2024"
"77",72185,77,"Julia Sinnett",145.2,"2018-2022"
"78",23797,78,"Allie Fauth",144.51,"2018-2023"
"79",30568,79,"Jennifer Groat",144.1,"2016-2019"
"80",4502,80,"Rilee Baughan",143.67,"2020-2024"
"81",53998,81,"Emily Moore",143.55,"2017-2023"
"82",55553,82,"Mackenzie Myers",143.13,"2017-2025"
"83",19056,83,"Kate Deming",143.02,"2016-2019"
"84",41286,84,"Diana King",142.91,"2016-2019"
"85",21488,85,"Kerrigan Dura",142.73,"2016-2018"
"86",14824,86,"Leanne Collins",142.51,"2016-2018"
"87",85579,87,"Stella Wulker",142.25,"2021-2024"
"88",48470,88,"Grayce Marcum",142.22,"2022-2025"
"89",84019,89,"Brecca Williams",142.19,"2022-2025"
"90",76331,90,"Delaney Sylvester",142.18,"2016-2018"
"91",67915,91,"Kaili Saathoff",141.86,"2022-2025"
"92",39294,92,"Haley Jones",141.79,"2016-2019"
"93",43852,92,"Amanda Lanyon",141.79,"2022-2025"
"94",72965,94,"Morgan Smith",141.78,"2016-2025"
"95",30037,95,"Brooke Greaver",141.52,"2022-2025"
"96",32878,96,"Ashleigh Hartwig",141.44,"2019-2022"
"97",56773,97,"Shelby Noel",141.35,"2016-2018"
"98",76176,98,"Jennifer Sweeney",141.14,"2018-2022"
"99",16412,99,"Makayla Crawford",140.91,"2016-2019"
"100",54417,100,"Kaija Mork",140.83,"2022-2025"
