"","player_id","rank","player","h","seasons"
"1",32552,1,"Emily Harris",369,"2017-2022"
"2",46414,2,"Lauren Lopez",339,"2018-2025"
"3",39094,3,"Taylor Johnson",333,"2016-2020"
"4",64461,4,"Christa Reisinger",331,"2016-2019"
"5",34909,5,"Morgan Hill",329,"2016-2024"
"6",57656,6,"Makray Odom",327,"2017-2021"
"7",58686,7,"Mckenzie Paap",322,"2016-2019"
"8",28737,8,"Lydia Goble",320,"2019-2023"
"9",26982,9,"Bri Garber",318,"2017-2021"
"10",51959,10,"Madison Melvin",317,"2020-2024"
"11",17809,11,"Meredith Daunhauer",316,"2016-2019"
"12",4010,12,"Haley Barnette",315,"2016-2020"
"13",62513,13,"Hannah Price",294,"2016-2019"
"14",28427,14,"Taylor Gillis",290,"2016-2024"
"15",55571,15,"Taylor Myers",287,"2021-2024"
"16",72623,15,"Alexis Smith",287,"2016-2024"
"17",10376,17,"Rosa'lynn Burton",282,"2017-2020"
"18",66940,18,"Hannah Rose",281,"2021-2024"
"19",48840,19,"Hannah Marsteller",279,"2019-2023"
"20",79906,19,"Lani Van zyl",279,"2016-2019"
"21",76152,21,"Emma Swearingen",277,"2016-2025"
"22",22131,22,"Sami Edwards",275,"2020-2024"
"23",54274,22,"Gabby Moreno",275,"2017-2025"
"24",53110,24,"Peyton Mills",274,"2016-2019"
"25",33217,25,"Sydni Hawkins",272,"2019-2023"
"26",7306,26,"Shelby Booker",271,"2018-2022"
"27",23115,26,"Jasmin Estrada",271,"2019-2023"
"28",15413,28,"Courtlynn Cooney",270,"2021-2024"
"29",57305,28,"Emily O'connor",270,"2020-2024"
"30",49023,30,"Taylor Martin",268,"2016-2020"
"31",36470,31,"Teala Howard",266,"2019-2022"
"32",40570,31,"Loren Kelly",266,"2018-2022"
"33",45924,31,"Melissa Livermore",266,"2016-2019"
"34",62917,31,"Nicole Purtell",266,"2019-2023"
"35",68267,31,"Ruby Salzman",266,"2019-2023"
"36",52595,36,"Kenzie Middleton",265,"2021-2024"
"37",40337,37,"Sara Keeny",264,"2016-2019"
"38",5387,38,"Anna Bennett",263,"2016-2024"
"39",12834,38,"Jory Cervantes",263,"2019-2023"
"40",13719,38,"Torri Chute",263,"2020-2024"
"41",18281,38,"Stephanie Day",263,"2017-2021"
"42",48478,38,"Julia Mardigian",263,"2022-2025"
"43",52822,38,"Brooke Miller",263,"2017-2024"
"44",66357,38,"Maya Rodriguez",263,"2018-2023"
"45",72776,38,"Hannah Smith",263,"2016-2025"
"46",54119,46,"Savannah Moorefield",262,"2018-2022"
"47",11317,47,"Caitlyn Canady",261,"2020-2024"
"48",35205,47,"Abbie Hlas",261,"2021-2024"
"49",37446,49,"Gianni Iannantone",260,"2018-2022"
"50",55334,49,"Maggie Murphy",260,"2016-2020"
"51",7318,51,"Erin Boone",259,"2016-2019"
"52",13823,51,"Joanna Cirrincione",259,"2019-2023"
"53",42258,51,"Kaitlyn Konopka",259,"2016-2019"
"54",52984,51,"Rachel Miller",259,"2017-2025"
"55",23050,55,"Carly Esselman",258,"2017-2021"
"56",39072,55,"Sarah Johnson",258,"2016-2022"
"57",58408,57,"Jenna Osikowicz",257,"2018-2022"
"58",27218,58,"Delaney Garden",256,"2022-2025"
"59",61658,58,"Courtney Plocheck",256,"2021-2024"
"60",18611,60,"Alix Dedreu",254,"2016-2019"
"61",32755,61,"Carlie Hart",253,"2016-2019"
"62",62812,61,"Hazel Puempel",253,"2017-2021"
"63",76730,63,"Ashleigh Tavaska",252,"2022-2025"
"64",44013,64,"Clara Larson",251,"2017-2021"
"65",84845,64,"Jenna Witt",251,"2017-2021"
"66",28875,66,"Ty-kella Goins",250,"2017-2021"
"67",60322,66,"Ashley Perez",250,"2018-2022"
"68",82442,66,"Emma Webb",250,"2018-2022"
"69",68929,69,"Mahina Sauer",249,"2017-2021"
"70",79156,70,"Caroline Turner",248,"2016-2023"
"71",16604,71,"Katie Crogan",246,"2018-2022"
"72",57071,71,"Alison Nowak",246,"2017-2021"
"73",70128,71,"Maggie Scott",246,"2017-2022"
"74",75077,71,"Brianna Stocklin",246,"2022-2025"
"75",40255,75,"Maya Keating",244,"2017-2021"
"76",46607,75,"Kayla Louie",244,"2017-2021"
"77",50052,77,"Shanna Mcbroom",243,"2017-2021"
"78",51590,77,"Marrit Mead",243,"2021-2024"
"79",35784,79,"Nikoma Holmen",242,"2018-2021"
"80",54049,79,"Lexi Moore",242,"2021-2024"
"81",80626,81,"Reilly Vicendese",241,"2021-2024"
"82",11291,82,"Miia Campos",240,"2022-2025"
"83",27211,82,"Erin Garczynski",240,"2016-2019"
"84",49372,82,"Megan Massa",240,"2019-2023"
"85",20809,85,"Braxton Downs",239,"2020-2024"
"86",53232,85,"Jacee Minter",239,"2021-2024"
"87",55134,85,"Adriana Mungo",239,"2021-2024"
"88",58431,85,"Kate Ostaszewski",239,"2019-2023"
"89",84664,85,"Taylor Winkelman",239,"2016-2019"
"90",33489,90,"Jobi Heath",238,"2016-2019"
"91",4029,91,"Courtney Barnhill",237,"2017-2021"
"92",23643,91,"Hanna Farmer",237,"2016-2019"
"93",40557,91,"Kacie Kelly",237,"2017-2021"
"94",82233,91,"Elexis Watson",237,"2018-2022"
"95",51801,95,"Jess Meidl",236,"2016-2018"
"96",63823,95,"Morgan Ratliff",236,"2016-2019"
"97",65015,95,"Torey Richards",236,"2018-2022"
"98",4968,98,"Katie Beeman",235,"2018-2022"
"99",29355,98,"Megan Goodnight",235,"2016-2019"
"100",39296,98,"Hanna Jones",235,"2019-2023"
