"","player_id","rank","player","so","seasons"
"1",15787,1,"Georgina Corrick",1293,"2018-2022"
"2",25535,2,"Montana Fouts",1140,"2019-2023"
"3",84048,3,"Danielle Williams",1101,"2019-2023"
"4",66090,4,"Keely Rochard",1097,"2018-2022"
"5",29606,5,"Payton Gottshall",1078,"2020-2024"
"6",61582,6,"Gabbie Plain",1059,"2018-2022"
"7",38969,7,"Leanna Johnson",1058,"2019-2023"
"8",52429,8,"Kamryn Meyer",1031,"2020-2024"
"9",4031,9,"Kelly Barnhill",1030,"2017-2019"
"10",46433,10,"Mariah Lopez",1028,"2017-2024"
"11",15550,11,"Courtney Coppersmith",1017,"2019-2023"
"12",75242,12,"Alex Storako",1000,"2019-2023"
"13",80709,13,"Courtney Vierstra",999,"2018-2022"
"14",23592,14,"Megan Faraimo",979,"2019-2023"
"15",27172,15,"Rachel Garcia",970,"2017-2021"
"16",24549,16,"Amber Fiser",933,"2017-2021"
"17",60226,16,"Maddie Penta",933,"2021-2024"
"18",85739,18,"Brooke Yanez",917,"2018-2023"
"19",43227,19,"Olivia Lackie",908,"2021-2024"
"20",41879,20,"Tori Kniesche",890,"2021-2024"
"21",4759,21,"Meghan Beaubien",878,"2018-2022"
"22",45093,22,"Jennifer Leonhardt",870,"2017-2021"
"23",49940,23,"Mariah Mazon",862,"2018-2022"
"24",22508,24,"Summer Ellyson",858,"2017-2021"
"25",49765,25,"Kelly Maxwell",854,"2020-2024"
"26",68035,26,"Shannon Saile",852,"2017-2021"
"27",56175,27,"Sydney Nester",851,"2019-2023"
"28",83757,28,"Kassidy Wilbur",848,"2019-2022"
"29",44939,29,"Emma Lemley",834,"2022-2025"
"30",78557,30,"Hope Trautwein",821,"2018-2022"
"31",31369,31,"Mary Haff",819,"2018-2022"
"32",10803,32,"Valerie Cagle",818,"2020-2024"
"33",55071,33,"Jessica Mullins",815,"2021-2024"
"34",20333,34,"Hailey Dolcini",804,"2018-2022"
"35",39007,35,"Maya Johnson",798,"2023-2025"
"36",66480,36,"Ashley Rogers",790,"2019-2023"
"37",39629,37,"Giselle Juarez",788,"2017-2021"
"38",80571,38,"Grace Vesco",787,"2020-2024"
"39",66715,39,"Alexa Romero",786,"2017-2021"
"40",43751,40,"Sierra Lange",782,"2018-2022"
"41",86379,41,"Kara Zazzaro",781,"2019-2023"
"42",59420,42,"Bailey Parshall",778,"2019-2023"
"43",38109,43,"Hannah James",773,"2019-2023"
"44",22339,44,"Miranda Elish",771,"2017-2022"
"45",70138,45,"Morgan Scott",752,"2020-2024"
"46",3053,46,"Sydney Backstrom",750,"2018-2022"
"47",56335,47,"Josie Newman",745,"2022-2025"
"48",56343,48,"Nicole Newman",744,"2017-2019"
"49",1411,49,"Taran Alvelo",742,"2017-2019"
"50",9768,50,"Elle Buffenbarger",733,"2018-2022"
"51",61164,50,"Brittany Pickett",733,"2017-2021"
"52",20547,52,"Allison Doocy",727,"2017-2021"
"53",9170,53,"Kenedi Brown",722,"2020-2024"
"54",18275,54,"Morgan Day",719,"2018-2022"
"55",59932,55,"Autumn Pease",715,"2019-2023"
"56",64888,55,"Kasey Ricard",715,"2023-2025"
"57",30162,57,"Jenna Greene",712,"2020-2024"
"58",3500,58,"Maggie Balint",710,"2017-2022"
"59",58735,59,"Kailyn Packard",708,"2019-2023"
"60",71664,59,"Sydney Sickels",708,"2019-2023"
"61",60247,61,"Peyton Pepkowski",703,"2022-2025"
"62",40895,62,"Billie Kerwood",702,"2022-2025"
"63",4788,63,"Kayla Beaver",696,"2020-2024"
