"","player_id","rank","player","avg","seasons"
"1",64612,1,"Clare Rettler","0.560","2023-2025"
"2",18260,2,"Jordan Day","0.550","2018-2022"
"3",32878,3,"Ashleigh Hartwig","0.521","2019-2022"
"4",48964,4,"Lexi Martin","0.509","2021-2024"
"5",19387,5,"Sydney Despres","0.504","2016-2018"
"6",59842,6,"Raelyn Payne","0.491","2019-2022"
"7",26755,7,"Maleea Gallaspy","0.488","2022-2025"
"8",59108,8,"Arianna Papas","0.487","2021-2023"
"9",71536,9,"Arizona Shreck","0.483","2021-2023"
"10",60368,10,"Lizbeth Perez","0.481","2022-2025"
"11",4998,11,"Lauren Begg","0.480","2022-2024"
"12",72679,12,"Bri Smith","0.480","2018-2021"
"13",23843,13,"Cameryn Feathers","0.480","2022-2024"
"14",21488,14,"Kerrigan Dura","0.477","2016-2018"
"15",86025,15,"Cassie Young","0.474","2016-2018"
"16",44815,16,"Madelyn Lehigh","0.474","2022-2025"
"17",12032,17,"Kristyn Carroll","0.473","2023-2025"
"18",74529,18,"Jamie Stefani","0.473","2016-2019"
"19",64369,19,"Steph Reider","0.469","2021-2023"
"20",68468,20,"Rylea Sandel","0.466","2022-2025"
"21",32359,21,"Sarah Harker","0.464","2020-2024"
"22",31896,22,"Jessie Hammers","0.462","2017-2019"
"23",13677,23,"Ashley Chu","0.461","2023-2025"
"24",803,24,"Avery Alberghini","0.461","2016-2019"
"25",76331,25,"Delaney Sylvester","0.457","2016-2018"
"26",56773,26,"Shelby Noel","0.456","2016-2018"
"27",51797,27,"Hannah Mehrle","0.456","2016-2017"
"28",33728,28,"Rachel Heizer","0.454","2016-2018"
"29",51005,29,"Mackenzie Mcintire","0.453","2018-2021"
"30",33545,30,"Jordyn Heckendorf","0.453","2021-2024"
"31",36525,31,"Cassetty Howerin","0.451","2016-2018"
"32",25574,32,"Ally Fox","0.451","2017-2019"
"33",14824,33,"Leanne Collins","0.451","2016-2018"
"34",63130,34,"Carly Quint","0.450","2022-2024"
"35",20831,35,"Mackenzie Doyle","0.450","2021-2023"
"36",12237,36,"Makayla Carver","0.449","2016-2019"
"37",67938,37,"Emily Sabo","0.448","2016-2017"
"38",74517,38,"Ashlyn Steen","0.447","2023-2025"
"39",42529,39,"Kaela Kraemer","0.447","2020-2022"
"40",4280,40,"Annemarie Bartow","0.446","2016-2018"
"41",8248,41,"Taylor Brandt","0.445","2020-2023"
"42",68949,42,"Karson Saunders","0.445","2021-2023"
"43",46226,43,"Jessica Long","0.445","2016-2017"
"44",6042,44,"Hannah Biddlecom","0.445","2019-2023"
"45",62856,45,"Jill Pulek","0.445","2016-2023"
"46",45505,46,"Giovanna Liggett","0.445","2019-2022"
"47",57749,47,"Patty maye Ohanian","0.444","2018-2021"
"48",19298,48,"Amelia Derosa","0.444","2023-2024"
"49",23752,49,"Megan Fast","0.444","2019-2022"
"50",41326,50,"Lauren King","0.444","2019-2021"
"51",64383,51,"Alaina Reilly","0.443","2022-2025"
"52",40022,52,"Amanda Karnatz","0.442","2017-2021"
"53",70887,53,"Amaria Sharon","0.441","2017-2019"
"54",83228,54,"Darice Wheeler","0.441","2018-2021"
"55",81442,55,"Elaine Walker","0.441","2016-2019"
"56",14156,56,"Phoebe Clemens","0.439","2021-2025"
"57",44012,57,"Ceara Larson","0.439","2018-2021"
"58",16786,58,"Katie Croxall","0.439","2022-2024"
"59",11887,59,"Julia Carpenter","0.438","2016-2020"
"60",49150,60,"Kaylee Martinez","0.438","2016-2018"
"61",35030,61,"Keani Hindle","0.438","2018-2021"
"62",37770,62,"Jadyn Iverson","0.437","2022-2025"
"63",79404,63,"Haley Ullrich","0.437","2019-2022"
"64",50227,64,"Olivia Mcclammy","0.437","2022-2024"
"65",47412,65,"Abby Mace","0.436","2020-2024"
"66",22775,66,"Kaitlyn Epler","0.436","2017-2020"
"67",35392,67,"Lisa Hoffer","0.436","2021-2024"
"68",75488,67,"Anna Strien","0.436","2016-2018"
"69",44496,69,"Jesse Leatherwood","0.435","2021-2024"
"70",73189,70,"Emily Snow","0.435","2016-2019"
"71",5030,71,"Jessica Behr","0.435","2016-2018"
"72",39072,72,"Sarah Johnson","0.433","2019-2023"
"73",2199,73,"Rebecca Archibald","0.433","2023-2025"
"74",3873,74,"Miranda Barker","0.433","2018-2020"
"75",40115,75,"Avery Katz","0.432","2021-2024"
"76",31722,76,"Meg Halloran","0.430","2019-2023"
"77",2651,77,"Brooke Atkins","0.430","2020-2023"
"78",86188,78,"Kelly Yusko","0.430","2016-2018"
"79",14133,79,"Mackenzie Clee","0.430","2022-2025"
"80",27516,80,"Carianna Gasdia","0.429","2016-2018"
"81",69592,81,"Molly Schnaubelt","0.429","2016-2018"
"82",45983,82,"Shannon Lloyd","0.429","2017-2021"
"83",64430,83,"Sarah Reinert","0.429","2018-2022"
"84",5627,84,"Sam Berghoff","0.428","2017-2020"
"85",6177,85,"Jackie Bilotti","0.427","2016-2019"
"86",74550,86,"Mikayla Steffes","0.427","2024-2025"
"87",51107,87,"Courtney Mckenna","0.427","2017-2023"
"88",40216,88,"Rachel Kazmirski","0.426","2021-2025"
"89",68321,88,"Tiffany Samsoe","0.426","2016-2017"
"90",36879,90,"Krissy Hughes","0.426","2016-2019"
"91",80166,91,"Emma Varrato","0.426","2016-2019"
"92",25380,92,"Mara Forsyth","0.426","2016-2018"
"93",48436,93,"Dayna Marchant","0.425","2016-2018"
"94",24162,94,"Chrissy Ferraro","0.425","2016-2018"
"95",25404,94,"Gillian Fortier","0.425","2016-2018"
"96",5843,96,"Kenzie Bessette","0.425","2023-2025"
"97",5401,97,"Chloe Bennett","0.424","2023-2025"
"98",85579,98,"Stella Wulker","0.424","2021-2024"
"99",49938,99,"Katie Mazierski","0.423","2016-2018"
"100",55374,100,"Nina Murphy-cook","0.423","2016-2018"
