"","player_id","rank","player","hr","seasons"
"1",1274,1,"Jocelyn Alo",120,"2018-2022"
"2",73647,2,"Karli Spaid",102,"2021-2024"
"3",3912,3,"Addison Barnard",93,"2021-2024"
"4",17880,4,"Mia Davidson",91,"2018-2022"
"5",32447,4,"Jessie Harper",91,"2017-2021"
"6",38506,4,"Tiare Jennings",91,"2021-2024"
"7",22440,7,"Bri Ellis",74,"2022-2025"
"8",15042,8,"Jenna Cone",73,"2017-2021"
"9",8138,9,"Maya Brady",71,"2020-2024"
"10",29447,9,"Kate Gordon",71,"2017-2021"
"11",19128,11,"Natalie Denhartog",70,"2019-2023"
"12",44861,11,"Ulufa Leilua",70,"2016-2021"
"13",45598,11,"Kendyl Lindaman",70,"2017-2021"
"14",46452,11,"Ramsay Lopez",70,"2020-2024"
"15",74849,11,"Mya Stevenson",70,"2019-2023"
"16",53071,16,"Kiki Milloy",69,"2020-2024"
"17",58891,16,"Sharlize Palacios",69,"2020-2024"
"18",6296,18,"Amber Bishop",68,"2017-2021"
"19",17017,18,"Allie Cummins",68,"2020-2024"
"20",19670,18,"Alyssa Dicarlo",68,"2016-2019"
"21",36242,18,"Kelsey Horton",68,"2016-2019"
"22",59000,18,"Alyssa Palomino",68,"2017-2021"
"23",67619,18,"Linda Rush",68,"2017-2021"
"24",54997,24,"Dejah Mulipola",67,"2017-2021"
"25",80055,24,"Bailey Vannoy",67,"2019-2023"
"26",10803,26,"Valerie Cagle",66,"2020-2024"
"27",28943,26,"Jenna Golembiewski",66,"2022-2025"
"28",29130,26,"Alyssa Gonzalez",66,"2017-2023"
"29",84206,26,"Sami Williams",66,"2017-2021"
"30",11452,30,"Georgia Capell",65,"2018-2022"
"31",14424,30,"Erin Coffel",65,"2021-2024"
"32",45395,30,"Rachel Lewis",65,"2018-2022"
"33",54749,30,"Sara Mosley",65,"2020-2024"
"34",63848,30,"Paige Rauch",65,"2018-2022"
"35",33829,35,"Bailey Hemphill",64,"2017-2021"
"36",82027,35,"Jessie Warren",64,"2016-2018"
"37",66065,37,"Taylor Roby",63,"2019-2023"
"38",68494,37,"Dj Sanders",63,"2016-2018"
"39",2782,39,"Huntyr Ava",62,"2020-2024"
"40",8971,39,"Suzy Brookshire",62,"2017-2021"
"41",41743,39,"Baylee Klingler",62,"2019-2023"
"42",56102,39,"Morgan Nelson",62,"2016-2024"
"43",67189,39,"Rachel Roupe",62,"2022-2025"
"44",1835,44,"Billie Andrews",61,"2021-2024"
"45",44651,44,"Haley Lee",61,"2019-2023"
"46",82986,44,"Kimberly Wert",61,"2018-2022"
"47",9072,47,"Ava Brown",60,"2023-2025"
"48",18269,47,"Lewa Day",60,"2020-2024"
"49",24331,47,"Kristin Fifield",60,"2020-2024"
"50",24997,47,"Morganne Flores",60,"2016-2021"
