"team_id","player_id","season","player","ip","ha","bb","hb","so","hr_a","era","opp_avg","whip","fip","team"
742,66068,2020,"Keely Rochard",119.1,71,24,5,183,9,"1.526",0.164,0.838,"1.042","Virginia Tech"
61,31221,2020,"Victoria Guzman",115.2,125,45,14,58,10,"3.751",0.254,1.59,"4.051","Bethune-Cookman"
528,49926,2020,"Mariah Mazon",111.2,64,25,3,130,9,"1.192",0.157,0.824,"1.871","Oregon St."
678,76968,2020,"Chloe Temples",108,81,19,12,84,9,"1.944",0.198,1.037,"2.789","Stetson"
306,29307,2020,"Emily Goodin",107.1,71,31,1,111,5,"1.763",0.176,0.961,"1.831","Indiana"
1320,30156,2020,"Jenna Greene",107,52,48,13,128,5,"1.243",0.14,1.056,"2.325","Presbyterian"
2814,31870,2020,"Raegen Hamm",106.3,94,41,9,115,2,"1.833",0.222,1.347,"1.895","Washburn"
428,24544,2020,"Amber Fiser",99.1,68,36,7,145,5,"2.185",0.186,1.118,"1.433","Minnesota"
627,33742,2020,"Delaney Heller",97.1,85,29,1,77,7,"2.590",0.223,1.182,"2.677","San Diego"
651,15784,2020,"Georgina Corrick",95.2,67,27,10,127,6,"1.317",0.181,1.087,"1.721","South Fla."
30180,54133,2020,"Andrea Morales",95,68,15,5,120,16,"2.284",0.194,0.926,"2.695","Rogers St."
689,53143,2020,"Corynn Miner",94.2,66,18,6,91,1,"0.962",0.185,0.951,"1.375","Tampa"
457,27844,2020,"Hannah George",94,99,38,8,60,12,"3.496",0.261,1.541,"4.249","North Carolina"
24639,34494,2020,"Emily Hess",93.1,76,31,9,59,2,"2.026",0.214,1.243,"2.700","Nova Southeastern"
716,38960,2020,"Leanna Johnson",92.2,49,31,3,137,6,"1.663",0.148,0.896,"1.385","Troy"
30045,10393,2020,"Abbey Busby",91,70,11,5,61,1,"1.460",0.197,0.944,"1.730","Palm Beach Atl."
694,79128,2020,"Callie Turner",89.3,80,53,7,72,2,"2.728",0.224,1.559,"3.090","Tennessee"
110,23587,2020,"Megan Faraimo",89.1,49,5,4,149,7,"0.861",0.151,0.649,"0.387","UCLA"
739,63828,2020,"Paige Rauch",89.1,73,27,8,97,11,"2.349",0.213,1.208,"3.004","Villanova"
649,28586,2020,"Grace Glanzer",89,71,24,4,74,5,"1.730",0.211,1.112,"2.411","South Dakota St."
147,10803,2020,"Valerie Cagle",88.2,84,16,4,87,3,"2.215",0.23,1.175,"1.553","Clemson"
636,43224,2020,"Mckenzie Lacount",88.1,179,22,5,19,12,"8.095",0.371,2.336,"4.656","Shaw"
539,59404,2020,"Bailey Parshall",87.2,82,18,3,129,8,"2.554",0.23,1.174,"1.362","Penn St."
628,53215,2020,"Natalie Minteer",87.1,93,49,4,44,11,"3.524",0.266,1.67,"4.849","San Fran. St."
1092,60523,2020,"Brooke Perry",87.1,54,38,6,104,3,"1.764",0.171,1.123,"1.976","Gardner-Webb"
12810,86009,2020,"Gail Young",87,72,33,6,72,3,"1.287",0.216,1.276,"2.538","Northeastern St."
796,52095,2020,"Kaitlyn Menz",86.1,73,17,1,56,7,"2.030",0.222,1.056,"2.783","Wisconsin"
1085,22357,2020,"Katelyn Ellard",86,62,19,4,104,2,"1.953",0.186,0.988,"1.086","Francis Marion"
68,21038,2020,"Ali Dubois",85.2,68,27,4,95,3,"1.470",0.202,1.155,"1.723","Boston U."
71,29600,2020,"Payton Gottshall",85.2,56,37,8,128,4,"1.963",0.176,1.18,"1.594","Bowling Green"
270,20180,2020,"Noelle Doan",85.2,81,34,1,56,11,"2.535",0.236,1.355,"3.989","Hampton"
67,1775,2020,"Susannah Anderson",85.1,71,22,16,76,2,"1.808",0.218,1.279,"2.259","Boston College"
490,56160,2020,"Sydney Nester",85.1,65,32,9,89,16,"3.279",0.196,1.241,"4.192","NC State"
559,4412,2020,"Sydney Bates",85.1,83,18,1,73,7,"2.380",0.239,1.196,"2.423","Purdue"
466,26140,2020,"Kendall Fritz",83.2,75,31,10,72,2,"2.599",0.231,1.389,"2.460","Nevada"
108,40983,2020,"Katie Kibby",83.1,73,31,7,57,11,"3.609",0.221,1.331,"4.115","UC Davis"
703,22334,2020,"Miranda Elish",83.1,47,17,4,96,3,"1.261",0.155,0.816,"1.320","Texas"
83,27725,2020,"Raeanne Geffert",83,91,14,2,107,9,"3.032",0.254,1.288,"1.810","Bucknell"
9011,13082,2020,"Hailey Chapman",83,99,40,9,78,8,"4.296",0.277,1.781,"3.543","Fort Hays St."
513,35740,2020,"Alexis Holloway",82.2,61,30,3,72,2,"1.103",0.188,1.139,"2.170","Notre Dame"
696,12510,2020,"Saidi Castillo",82.2,79,20,2,67,5,"1.697",0.24,1.224,"2.364","Tex. A&M-Kingsville"
465,8515,2020,"Jenny Bressler",81.2,51,30,8,89,7,"1.288",0.172,1.092,"2.731","UNLV"
11276,14394,2020,"Caroline Cockrell",81.2,64,31,2,100,3,"1.804",0.206,1.19,"1.639","USC Aiken"
99,83350,2020,"Kellie White",81.1,68,26,4,78,3,"1.980",0.213,1.205,"2.068","Long Beach St."
244,76556,2020,"Bailey Tanner",80.3,103,37,4,36,4,"4.245",0.296,1.782,"3.675","Furman"
709,37073,2020,"Erin Hunt",80.2,61,28,12,96,1,"2.087",0.197,1.255,"1.667","Toledo"
459,70115,2020,"Morgan Scott",79.2,74,27,4,106,8,"3.078",0.229,1.319,"2.212","UNC Greensboro"
497,78531,2020,"Hope Trautwein",79.2,47,35,5,121,7,"1.671",0.165,1.093,"2.011","North Texas"
518,10013,2020,"Payton Buresch",79.2,73,13,3,49,9,"2.023",0.23,1.118,"3.242","Ohio St."
11504,59899,2020,"Courtney Pearson",79.2,82,32,6,73,13,"4.485",0.241,1.508,"4.121","Queens (NC)"
29,19119,2020,"Alyssa Denham",79.1,49,25,10,76,5,"1.940",0.168,1.058,"2.627","Arizona"
235,46969,2020,"Natalie Lugo",79,48,26,11,102,5,"1.684",0.167,1.076,"2.046","Florida"
441,190,2020,"Tristin Achenbach",79,79,25,10,76,8,"2.655",0.246,1.441,"3.121","Montana"
1072,36315,2020,"Hannah Houge",79,85,26,10,81,2,"3.009",0.257,1.53,"2.046","Erskine"
43,55054,2020,"Harley Mullins",78.2,101,31,12,49,15,"4.714",0.294,1.83,"5.272","Austin Peay"
244,72941,2020,"Morgan Smith",78.1,107,39,1,33,14,"4.023",0.3,1.877,"5.414","Furman"
363,3053,2020,"Sydney Backstrom",78.1,61,28,4,66,5,"1.969",0.202,1.189,"2.771","Longwood"
626,3500,2020,"Maggie Balint",78.1,53,40,10,101,10,"2.500",0.181,1.314,"3.395","San Diego St."
9011,56086,2020,"Michaelanne Nelson",78.1,62,31,10,86,4,"1.880",0.196,1.317,"2.438","Fort Hays St."
202,59716,2020,"Mollie Paulick",78,46,17,1,108,5,"1.077",0.16,0.821,"1.156","Eastern Ky."
30052,72856,2020,"Kylee Smith",78,31,12,5,131,0,"0.359",0.116,0.615,"-0.305","North Georgia"
128,83284,2020,"Alea White",77.2,51,31,5,91,5,"1.892",0.175,1.12,"2.284","UCF"
700,22048,2020,"Erin Edmoundson",77.2,51,14,10,93,4,"1.445",0.175,0.968,"1.600","Texas Tech"
772,672,2020,"Kelsey Aikey",77.2,61,33,0,116,4,"1.894",0.203,1.211,"1.356","Western Ky."
316,83574,2020,"Skylar Whitty",77.1,61,35,10,70,2,"2.261",0.199,1.37,"2.671","Jacksonville"
