"team_id","player_id","season","player","ip","ha","bb","hb","so","hr_a","era","opp_avg","whip","fip","team"
756,61564,2021,"Gabbie Plain",235.2,146,49,13,337,13,"1.455",0.172,0.882,"1.047","Washington"
676,83727,2021,"Kassidy Wilbur",231.3,146,95,13,274,7,"1.087",0.175,1.096,"1.826","SFA"
742,66068,2021,"Keely Rochard",226,120,63,19,327,19,"1.239",0.151,0.894,"1.688","Virginia Tech"
651,15784,2021,"Georgina Corrick",225.3,120,51,22,333,5,"0.991",0.148,0.854,"0.710","South Fla."
694,66457,2021,"Ashley Rogers",216.1,99,50,22,296,20,"1.326",0.131,0.79,"1.864","Tennessee"
147,10803,2021,"Valerie Cagle",214,148,55,9,267,7,"1.177",0.183,0.99,"1.228","Clemson"
709,37073,2021,"Erin Hunt",209.2,233,95,35,187,25,"3.642",0.267,1.733,"4.028","Toledo"
363,3053,2021,"Sydney Backstrom",207,147,78,16,189,19,"2.569",0.188,1.164,"3.129","Longwood"
8,25530,2021,"Montana Fouts",203.3,136,48,9,338,11,"1.578",0.179,0.946,"0.625","Alabama"
257,2795,2021,"Mary wilson Avant",200.3,178,78,24,196,24,"2.789",0.223,1.394,"3.525","Georgia"
528,49926,2021,"Mariah Mazon",200.2,164,58,10,204,17,"2.339",0.208,1.157,"2.485","Oregon St."
71,29600,2021,"Payton Gottshall",199,131,67,12,282,17,"1.899",0.181,1.055,"1.868","Bowling Green"
1157,5441,2021,"Melanie Bennett",198.2,168,67,21,165,16,"2.009",0.215,1.289,"3.115","Kennesaw St."
128,83284,2021,"Alea White",197.3,150,56,11,156,15,"1.769",0.195,1.097,"2.824","UCF"
674,80265,2021,"Alana Vawter",197.3,164,47,10,155,10,"1.556",0.212,1.117,"2.355","Stanford"
77,53519,2021,"Autumn Moffat-korth",197.1,175,40,18,175,6,"2.130",0.226,1.182,"1.903","BYU"
262,4755,2021,"Hannah Beatus",197.1,150,51,19,201,3,"1.278",0.201,1.116,"1.624","Grand Valley St."
7,75857,2021,"Skyler Sullvan",195.3,233,50,18,112,16,"3.253",0.28,1.537,"3.360","Alabama St."
306,29307,2021,"Emily Goodin",194.2,152,49,3,173,9,"1.584",0.202,1.049,"2.025","Indiana"
31,31363,2021,"Mary Haff",192.2,138,39,12,198,18,"1.600",0.188,0.982,"2.353","Arkansas"
441,190,2021,"Tristin Achenbach",191.1,222,104,22,186,26,"4.796",0.272,1.82,"4.199","Montana"
489,37201,2021,"Kiara Hurley",191,210,47,14,99,23,"3.626",0.258,1.418,"3.886","N.C. Central"
646,43215,2021,"Olivia Lackie",190.3,128,81,25,250,19,"2.273",0.184,1.226,"2.740","South Alabama"
459,70115,2021,"Morgan Scott",190.2,145,68,8,210,12,"2.202",0.2,1.159,"2.211","UNC Greensboro"
659,32412,2021,"Sarah Harness",188.2,160,49,12,210,14,"1.820",0.219,1.172,"2.108","Southern Ill."
30137,10626,2021,"Kelsey Byers",188.1,166,18,6,236,14,"1.970",0.222,1.009,"1.242","Malone"
2707,36381,2021,"Mia Hoveland",187.1,201,62,7,193,27,"3.216",0.257,1.442,"3.319","Kansas City"
30135,80873,2021,"Kerisa Viramontes",187.1,188,91,13,153,14,"3.326",0.245,1.559,"3.404","California Baptist"
249,43739,2021,"Sierra Lange",186,163,23,15,201,10,"1.806",0.225,1.081,"1.551","George Washington"
734,64990,2021,"Samantha Richards",184.3,141,19,9,221,16,"1.288",0.199,0.915,"1.588","Valdosta St."
383,81854,2021,"Mackenzie Ward",184.2,101,57,9,315,7,"0.911",0.153,0.905,"0.552","Minnesota St."
41,52559,2021,"Ashley Mickschl",183.2,133,27,8,139,13,"2.020",0.193,0.915,"2.378","Augustana (SD)"
30180,54133,2021,"Andrea Morales",183.2,131,35,13,232,16,"1.754",0.192,0.975,"1.790","Rogers St."
30119,46244,2021,"Sydney Long",183,162,45,12,150,2,"2.027",0.224,1.197,"1.837","Ohio Dominican"
196,85134,2021,"Kama Woodall",182.1,197,73,18,103,15,"3.458",0.262,1.581,"3.838","East Carolina"
437,30151,2021,"Courtney Greene",180.3,162,33,16,120,8,"1.780",0.227,1.166,"2.461","Molloy"
782,43724,2021,"Bailey Lange",180.1,151,66,28,137,17,"3.108",0.214,1.36,"3.671","Wichita St."
