"","team_id","player_id","season","player","ip","ha","bb","hb","so","hr_a","era","opp_avg","whip","fip","team"
"52",464,30564,2025,"Maddia Groff",151.2,93,18,2,210,7,"1.340",0.171,0.746,"0.624","Omaha"
"53",202,67700,2025,"Maddi Rutan",149.3,97,46,10,215,14,"2.150",0.175,1.021,"1.866","Eastern Ky."
"54",94,10480,2025,"Bailee Bustos",149.2,160,79,14,36,13,"3.463",0.26,1.691,"4.913","CSU Bakersfield"
"55",2915,2850,2025,"Margaret Axelson",149.2,133,26,5,88,5,"1.964",0.226,1.096,"2.280","Wofford"
"56",30138,36619,2025,"Sami Huck",149.2,147,26,13,203,9,"2.385",0.243,1.242,"1.251","McKendree"
"57",41,28567,2025,"Grace Glanzer",149,113,21,4,173,8,"1.268",0.199,0.926,"1.279","Augustana (SD)"
"58",201,58359,2025,"McKenzie Oslanzi",149,162,37,9,92,5,"2.676",0.259,1.395,"2.527","Eastern Ill."
"59",179,39992,2025,"Madison Karns",148.3,141,26,11,87,5,"2.210",0.234,1.195,"2.413","Delaware Valley"
"60",457,63868,2025,"Makenna Raye Dark",148.3,158,46,9,118,13,"3.481",0.256,1.431,"3.059","North Carolina"
"61",9630,75037,2025,"Kendall Stoffel",148.3,146,61,4,127,8,"2.819",0.24,1.416,"2.702","West Va. Wesleyan"
"62",30202,70724,2025,"Jaycee Shaffer",148.1,155,45,6,136,11,"2.598",0.255,1.39,"2.562","Okla. Baptist"
"63",630,64716,2025,"Mia Reynolds",148,135,49,23,113,9,"3.261",0.227,1.398,"3.122","San Jose St."
"64",707,43577,2025,"Becca Landis",147.2,128,38,5,157,4,"2.322",0.22,1.158,"1.500","Thiel"
"65",10411,48147,2025,"Sierra Maness",147.2,129,53,13,114,4,"1.992",0.221,1.321,"2.549","USC Upstate"
"66",262,37575,2025,"Nevaeh Ingram",147.1,140,41,12,101,15,"2.802",0.234,1.309,"3.431","Grand Valley St."
"67",765,13760,2025,"Danielle Ciliberto",147.1,154,17,16,96,6,"1.710",0.244,1.269,"2.298","West Chester"
"68",2696,77583,2025,"Taylor Thompson",147,165,50,14,90,11,"3.379",0.267,1.557,"3.454","Hawaii Pacific"
"69",2,67682,2025,"Lina Russo",146.2,140,59,15,90,13,"3.483",0.239,1.459,"3.838","Abilene Christian"
"70",1245,35267,2025,"Linda Hodge",146.2,131,42,20,97,18,"2.722",0.231,1.317,"3.942","Mount Olive"
"71",1348,13845,2025,"Sarah Clancy",146.2,148,39,13,95,8,"3.201",0.251,1.365,"2.878","St. Thomas Aquinas"
"72",61,29150,2025,"Halyne Gonzalez",146.1,172,68,8,98,10,"3.639",0.278,1.696,"3.508","Bethune-Cookman"
"73",159,25754,2025,"Julianna Franklin",146.1,109,33,11,117,3,"1.676",0.187,1.047,"1.969","Columbus St."
"74",12830,208,2025,"Megan Ackerman",146,182,26,13,116,38,"4.695",0.285,1.513,"4.994","Tusculum"
"75",30052,3062,2025,"Angelina Badalament",145.3,144,73,18,81,10,"3.742",0.241,1.611,"4.052","North Georgia"
"76",112,10928,2025,"India Caldwell",145.2,173,53,13,108,15,"3.029",0.281,1.641,"3.616","UC San Diego"
"77",1085,62069,2025,"Alyssa Poston",145.2,112,22,23,158,11,"1.875",0.201,1.078,"2.139","Francis Marion"
"78",393,58014,2025,"Kassidy Oneail",145,220,90,5,72,13,"5.938",0.332,2.172,"4.538","UMES"
"79",709,41870,2025,"Sophia Knight",145,153,78,16,90,18,"4.007",0.25,1.703,"4.717","Toledo"
"80",28755,73617,2025,"Allison Sparkman",144.1,125,71,10,78,6,"2.282",0.222,1.429,"3.544","FGCU"
"81",11276,61004,2025,"Lakyn Phillips",143.3,133,55,4,162,10,"2.434",0.23,1.335,"2.282","USC Aiken"
"82",20794,62501,2025,"Madison Prickett",143.3,117,74,11,143,5,"2.382",0.205,1.403,"2.636","Lynn"
"83",463,3154,2025,"Jordyn Bahl",143.2,84,55,16,207,13,"1.754",0.159,1.079,"2.177","Nebraska"
"84",693,29383,2025,"Peja Goold",143.2,82,60,9,190,9,"1.462",0.157,1.052,"2.010","Chattanooga"
"85",1289,1441,2025,"Catie Amador",143.2,160,49,9,95,21,"3.997",0.264,1.518,"4.190","Ouachita Baptist"
"86",221,72068,2025,"Erin Sinatra",143.1,119,39,13,184,2,"1.954",0.213,1.193,"1.102","FDU-Florham"
"87",310,36074,2025,"Allison Hoppe",143.1,135,34,13,92,12,"2.540",0.237,1.27,"3.189","Iona"
"88",465,71212,2025,"Yanina Sherwood",143.1,177,69,12,88,19,"4.204",0.287,1.802,"4.593","UNLV"
"89",609,35234,2025,"Taylor Hochman",143.1,121,78,2,90,9,"2.151",0.223,1.404,"3.636","Saint Louis"
"90",700,11312,2025,"NiJaree Canady",143.1,77,27,16,209,7,"0.830",0.154,0.837,"1.018","Texas Tech"
"91",27,54684,2025,"Sophie Moshos",142.3,144,52,9,122,17,"3.480",0.249,1.436,"3.520","App State"
"92",308,39160,2025,"Alanah Jones",142.1,158,48,18,101,22,"3.837",0.267,1.574,"4.382","Purdue Fort Wayne"
"93",374,20555,2025,"Kailey Dorcsis",142.1,112,23,8,126,4,"1.230",0.204,1.005,"1.648","Lynchburg"
"94",691,12500,2025,"Reina Castillo",142.1,164,37,12,58,13,"3.343",0.274,1.496,"3.804","Tennessee St."
"95",790,5574,2025,"Jayda Berg",142.1,159,3,4,57,4,"2.166",0.269,1.167,"2.112","Winona St."
"96",30244,21497,2025,"Keivana Durand",142.1,90,41,13,201,5,"1.969",0.17,1.013,"1.169","Edward Waters"
"97",111,33658,2025,"Maddie Heinlin",142,126,37,14,102,7,"2.465",0.225,1.246,"2.682","UC Riverside"
"98",8597,36132,2025,"Jessica Horn",142,359,32,17,30,14,"8.818",0.436,2.871,"4.293","Martin Luther"
"99",30050,4238,2025,"Rosie Bartletti",142,141,29,3,191,5,"2.463",0.244,1.217,"0.845","Ill. Springfield"
"100",492,49646,2025,"Juliana Maude",141.3,142,77,6,136,5,"2.666",0.242,1.587,"2.696","North Central (IL)"
"101",542,9833,2025,"Emma Bullin",141.3,142,18,7,99,16,"2.370",0.244,1.178,"2.999","Pfeiffer"
"102",603,25662,2025,"Loreley Francia",141.3,108,41,16,174,11,"1.827",0.198,1.164,"2.160","St. John's (NY)"
"103",137,33575,2025,"Paige Heffke",141.2,123,24,4,106,17,"2.620",0.222,1.066,"3.057","UChicago"
"104",358,85424,2025,"Madison Wright",141.2,114,31,7,112,14,"2.174",0.205,1.073,"2.908","West Ala."
"105",24639,81490,2025,"Gracelyn Wallace",141.2,106,58,7,135,4,"1.778",0.199,1.207,"2.238","Nova Southeastern"
"106",92,57644,2025,"Ashley Ogata",141.1,161,22,3,63,14,"3.369",0.265,1.316,"3.327","Cal St. Dom. Hills"
"107",147,4308,2025,"Reese Basinger",141.1,137,39,15,108,22,"3.020",0.239,1.351,"4.041","Clemson"
"108",30262,34989,2025,"Alexandria Himes",141.1,184,19,7,65,6,"3.322",0.302,1.487,"2.584","Jessup"
"109",947,24407,2025,"Alexis Findley",141,114,50,19,147,15,"3.225",0.206,1.297,"3.165","Arkansas Tech"
"110",8956,4555,2025,"Emily Baxter",140.3,153,38,6,141,8,"2.685",0.263,1.399,"2.073","Dominican (NY)"
"111",56,61415,2025,"Riley Piromalli",140.2,141,73,9,117,4,"2.537",0.246,1.585,"2.855","Bentley"
"112",418,19268,2025,"Lauren Derkowski",140.2,111,56,13,139,20,"2.935",0.203,1.279,"3.743","Michigan"
"113",590,42452,2025,"Sam Kowalski",140.2,104,69,10,149,6,"2.290",0.194,1.302,"2.521","Sacred Heart"
"114",394,19079,2025,"Bailey Demusz",140.1,161,74,8,92,9,"4.693",0.269,1.733,"3.677","Marymount (VA)"
"115",622,491,2025,"Sydney Adolfson",140.1,117,14,4,83,1,"0.949",0.219,0.963,"1.694","Salisbury"
"116",8366,9939,2025,"Caitlyn Burch",140.1,100,36,12,153,0,"1.698",0.188,1.056,"1.245","Goldey-Beacom"
"117",1098,9998,2025,"Kylie Burdick",139.3,113,46,1,98,9,"1.753",0.208,1.144,"2.843","Glenville St."
"118",37,27989,2025,"SJ Geurin",139.2,151,38,15,83,10,"3.161",0.257,1.462,"3.282","Auburn"
"119",231,10647,2025,"Kennedy Byrd",139.2,160,75,11,65,23,"4.065",0.273,1.763,"5.461","FIU"
"120",253,38957,2025,"Maddie Johnson",139.2,111,37,5,109,9,"1.855",0.209,1.096,"2.579","Ga. Southern"
"121",748,86269,2025,"Karson Zavala",139.2,119,74,34,160,4,"3.462",0.22,1.627,"2.801","Wagner"
"122",8736,52851,2025,"Karlie Miller",139.2,156,56,13,99,7,"2.956",0.263,1.611,"3.116","Southwest Minn. St."
"123",354,84969,2025,"Allie Wondrasek",139.1,125,46,0,127,10,"2.159",0.224,1.227,"2.500","Lewis"
"124",767,7921,2025,"Emilee Boyer",139.1,102,30,4,195,11,"1.961",0.193,0.977,"1.358","West Tex. A&M"
"125",44,86112,2025,"Hannah Zabik",138.3,129,52,2,78,3,"2.318",0.233,1.317,"2.724","Averett"
"126",643,37159,2025,"Alexsa Hurd",138.2,115,99,15,215,6,"2.879",0.213,1.652,"2.328","Slippery Rock"
"127",121,36544,2025,"Olivia Hristov",138.1,168,39,9,51,4,"3.039",0.284,1.563,"3.080","Carthage"
"128",280,67621,2025,"Joni Russell",138.1,81,38,4,187,1,"0.607",0.161,0.889,"0.701","Hillsdale"
"129",30123,80167,2025,"Kayla Vaughan",138.1,150,82,14,62,13,"4.001",0.265,1.78,"4.810","Academy of Art"
"130",650,22062,2025,"Clara Edwards",137.3,152,23,2,81,4,"2.845",0.267,1.284,"2.146","South Dakota"
"131",9011,22152,2025,"Savanah Egger",137.3,150,35,8,120,11,"3.807",0.262,1.4,"2.632","Fort Hays St."
"132",528,36950,2025,"Logan Hulon",137.2,144,37,8,138,12,"2.999",0.25,1.373,"2.509","Oregon St."
"133",28,9166,2025,"Kenzie Brown",137.1,84,51,15,237,7,"1.223",0.165,1.092,"1.054","Arizona St."
"134",96,55939,2025,"Serayah Neiss",137.1,137,32,9,107,14,"2.447",0.238,1.296,"3.063","Fresno St."
"135",104,38967,2025,"Malaya Johnson",137.1,151,39,15,88,9,"3.110",0.264,1.493,"3.150","UC Santa Barbara"
"136",719,54024,2025,"Maura Moore",137.1,179,44,16,85,18,"4.286",0.304,1.742,"4.178","Tulsa"
"137",703,40126,2025,"Teagan Kavan",137,104,36,12,177,12,"1.940",0.199,1.109,"2.006","Texas"
"138",30193,25343,2025,"Carly Forrester",137,194,39,7,46,4,"4.595",0.319,1.751,"3.115","Emmanuel (GA)"
"139",413,66681,2025,"Natalie Romero",136.3,116,33,13,85,3,"1.740",0.216,1.184,"2.451","MSU Denver"
"140",437,54789,2025,"Natalie Moussa",136.3,202,80,11,77,13,"5.518",0.322,2.139,"4.502","Molloy"
"141",638,3509,2025,"Alicia Ball",136.3,110,68,20,148,3,"2.405",0.206,1.447,"2.451","Shippensburg"
"142",792,62209,2025,"Megan Powell",136.3,105,71,9,112,9,"2.403",0.197,1.351,"3.372","Winthrop"
"143",430,12891,2025,"Raelin Chaffin",136.2,128,36,9,154,12,"2.718",0.234,1.267,"2.275","Mississippi St."
"144",716,23454,2025,"Alyssa Faircloth",136.1,101,80,25,140,5,"2.775",0.194,1.512,"3.134","Troy"
"145",196,26181,2025,"Kendall Frost",135.2,159,43,13,94,14,"4.339",0.279,1.587,"3.596","East Carolina"
"146",529,30270,2025,"Lyndsey Grein",135.2,73,52,11,180,8,"1.341",0.149,1.002,"1.906","Oregon"
"147",546,72884,2025,"Mia Smith",134.3,177,78,6,100,10,"5.345",0.299,1.935,"3.749","Pitt.-Johnstown"
"148",1199,25901,2025,"Blyth Freeman",134.2,156,67,18,69,29,"5.309",0.278,1.792,"6.073","Mars Hill"
"149",30220,76273,2025,"DJ Symons",134.2,105,23,7,105,5,"1.612",0.204,1.003,"1.991","Biola"
"150",108,68963,2025,"Ashley Sawai",134.1,155,22,14,89,18,"3.906",0.265,1.421,"3.620","UC Davis"
"151",181,22612,2025,"Emma Enderud",134.1,176,43,21,100,7,"4.326",0.29,1.787,"3.018","Delta St."
"152",220,82571,2025,"Alyssa Weinberg",134.1,115,49,9,143,10,"2.243",0.224,1.289,"2.534","Fairfield"
"153",229,16019,2025,"Autumn Courtney",134.1,75,44,23,144,8,"1.981",0.156,1.057,"2.527","Fla. Atlantic"
"154",30179,19738,2025,"Jill Dickson",134.1,102,73,17,161,10,"3.232",0.198,1.43,"2.981","Okla. Christian"
"155",80,30875,2025,"Alexis Guevara",134,109,27,7,131,7,"1.618",0.212,1.066,"1.885","Brown"
"156",722,81359,2025,"Dana Walker",134,117,32,4,137,0,"1.672",0.217,1.142,"1.161","Coast Guard"
"157",302,50961,2025,"Alyssa McIntosh",133.3,185,49,5,47,20,"5.594",0.302,1.785,"4.850","UIC"
"158",565,22428,2025,"Gracie Ellis",133.2,58,14,6,192,4,"0.524",0.122,0.584,"0.364","Randolph-Macon"
"159",193,20956,2025,"Dani Drogemuller",133.1,130,31,8,78,13,"2.731",0.242,1.268,"3.375","Duke"
"160",929,17927,2025,"Aubree Davis",133.1,267,115,20,72,16,"10.135",0.393,3.016,"5.918","Adams St."
"161",427,47073,2025,"Allison Luoma",133,155,49,13,101,3,"3.418",0.271,1.63,"2.573","Minn. Duluth"
"162",489,18006,2025,"Jaden Davis",132.3,135,58,6,104,8,"3.845",0.236,1.497,"3.062","N.C. Central"
"163",1320,21288,2025,"Peyton Duncan",132.3,132,79,6,105,8,"3.634",0.239,1.633,"3.521","Presbyterian"
"164",47,83466,2025,"Ella Whitney",132.2,127,44,9,70,10,"3.170",0.233,1.358,"3.525","Ball St."
"165",516,18266,2025,"Zada Day-Adams",132.2,117,117,25,73,3,"4.596",0.229,1.955,"4.808","Occidental"
"166",1402,66792,2025,"Kylie Ropp",132.2,146,28,14,70,4,"3.693",0.261,1.417,"2.686","Thomas More"
"167",2814,81432,2025,"Sadie Walker",132.2,140,33,13,117,8,"3.592",0.25,1.404,"2.460","Washburn"
"168",30178,39303,2025,"Kathryn Jones",132.2,200,46,15,62,15,"5.596",0.325,1.968,"4.316","Northwestern Okla."
"169",299,52243,2025,"Hannah Meshnick",132.1,141,51,3,68,17,"3.389",0.253,1.475,"4.268","Illinois St."
"170",9680,54590,2025,"Shelby Morse",132.1,120,22,13,59,4,"1.533",0.231,1.171,"2.695","Embry-Riddle (FL)"
"171",30190,82329,2025,"MacKenzie Weaver",132.1,103,15,16,113,1,"1.271",0.196,1.014,"1.492","Penn College"
"172",466,51209,2025,"Hailey McLean",132,96,66,27,150,7,"2.544",0.19,1.431,"2.930","Nevada"
"173",30093,12639,2025,"Reese Cauley",132,80,33,6,95,11,"1.485",0.167,0.902,"2.930","AUM"
"174",30166,81266,2025,"Harley Wakeman",132,343,42,13,50,5,"11.614",0.432,3.015,"3.385","Valley Forge"
"175",208,64652,2025,"Brandilyn Reymer",131.3,114,42,14,172,3,"2.231",0.214,1.29,"1.361","Eckerd"
"176",427,83907,2025,"Allyssa Williams",131.3,131,63,7,111,4,"2.919",0.247,1.524,"2.703","Minn. Duluth"
"177",775,39887,2025,"Riley Kane",131.3,143,29,6,68,4,"2.284",0.252,1.351,"2.559","Western New Eng."
"178",74,86240,2025,"Vise Zarate",131.2,137,30,13,67,1,"2.768",0.258,1.369,"2.461","Bridgeport"
"179",2720,38106,2025,"McKenna James",131.2,142,51,2,96,10,"3.085",0.261,1.482,"3.137","CSU Pueblo"
"180",598,13967,2025,"Macey Clark",131.1,125,29,10,109,6,"2.346",0.236,1.249,"2.225","St. Cloud St."
"181",661,56286,2025,"Josie Newman",131.1,145,69,7,182,14,"4.212",0.268,1.683,"2.750","Southern Ind."
"182",1179,51416,2025,"Tyler McNeley",131.1,113,19,3,137,10,"2.504",0.216,1.027,"1.806","Linfield"
"183",1116,28707,2025,"Brooklyn Gobble",130.2,84,43,2,157,9,"2.253",0.17,0.989,"1.925","Harding"
"184",30263,83941,2025,"Brianna Williams",130.2,113,16,6,92,6,"2.142",0.218,1.033,"2.094","Vanguard"
"185",307,85985,2025,"Kendall Young",130.1,130,29,10,100,22,"3.226",0.251,1.298,"3.959","Indiana (PA)"
"186",681,78444,2025,"Nerina Tramp",130.1,81,15,10,139,3,"1.344",0.169,0.814,"1.140","Stockton"
"187",625,59393,2025,"Jordyn Partain",130,129,48,14,58,13,"3.390",0.244,1.468,"4.237","Samford"
"188",679,24515,2025,"Kyra Fischer",129.3,167,35,4,71,7,"3.451",0.292,1.587,"2.908","Stevens"
"189",1170,84412,2025,"Madison Wilson",129.3,138,73,13,141,11,"4.099",0.256,1.726,"3.317","Lenoir-Rhyne"
"190",9012,61099,2025,"Kiki Pickens",129.3,81,36,6,148,6,"1.564",0.164,0.948,"1.691","Mo. Southern St."
"191",98,63101,2025,"Marissa Quintero",129.2,85,35,31,75,2,"1.080",0.179,1.165,"2.971","Cal St. East Bay"
"192",74,9925,2025,"Kaite Burawski",129.1,81,47,15,149,3,"1.734",0.174,1.107,"1.835","Bridgeport"
"193",30137,66890,2025,"Mia Rose",129.1,110,35,12,127,6,"2.707",0.223,1.214,"2.129","Malone"
"194",156,83557,2025,"Reagan Wick",129,168,48,4,89,18,"5.043",0.299,1.704,"4.042","Colorado St."
"195",291,27048,2025,"Gaige Garcia",129,138,36,12,72,3,"2.442",0.255,1.442,"2.702","Cal Poly Humboldt"
"196",8935,45655,2025,"Riley Lingerfelt",128.2,132,75,13,128,23,"4.576",0.249,1.712,"4.789","Converse"
"197",434,50068,2025,"Marissa McCann",128.1,135,41,5,102,24,"4.037",0.251,1.411,"4.317","Missouri"
"198",2711,5458,2025,"Allison Benning",128.1,78,41,5,141,5,"1.417",0.167,0.966,"1.785","North Florida"
"199",30221,83202,2025,"Hailey Whisman",128.1,162,40,6,80,12,"4.095",0.29,1.622,"3.445","Davenport"
"200",739,26722,2025,"Kat Gallant",128,150,27,6,95,13,"3.661",0.282,1.429,"3.009","Villanova"
"201",51,81411,2025,"Lillie Walker",127.3,123,34,7,80,12,"2.625",0.24,1.281,"3.330","Baylor"
"202",277,8214,2025,"Macy Brandl",127.3,131,39,11,71,22,"3.557",0.256,1.415,"4.699","Hawaii"
"203",497,68928,2025,"Skylar Savage",127.3,127,74,5,84,9,"3.773",0.246,1.609,"3.853","North Texas"
"204",561,15045,2025,"Kaelyn Conger",127.3,159,97,9,67,10,"5.195",0.293,2.07,"4.853","Quincy"
