"","team_id","player_id","season","player","ip","ha","bb","hb","so","hr_a","era","opp_avg","whip","fip"
"2348",276,55003,2023,"Susie Pieper",44.1,74,34,4,17,5,"6.493",0.343,2.534,"5.681"
"2349",359,3521,2023,"Stephanie Barksdale",44.1,91,33,7,40,8,"10.429",0.374,2.957,"5.651"
"2350",641,54550,2023,"Madeline Petersen",44.1,44,38,4,37,2,"4.257",0.228,1.937,"4.157"
"2351",697,56139,2023,"Madison Preston",44.1,45,29,10,62,2,"2.686",0.234,1.896,"2.829"
"2352",711,8242,2023,"Erin Brown",44.1,47,22,5,15,3,"3.002",0.258,1.67,"4.432"
"2353",761,41302,2023,"Megan Litzenber",44.1,150,49,23,23,3,"18.131",0.481,5,"7.107"
"2354",1222,5556,2023,"Christine Billmeier",44.1,52,28,0,17,5,"4.730",0.281,1.802,"4.990"
"2355",1461,67837,2023,"Alexis Stringfellow",44.1,67,21,2,19,2,"5.688",0.31,2.032,"3.687"
"2356",24400,9075,2023,"Krista Burg",44.1,77,9,1,9,0,"5.045",0.353,1.959,"2.670"
"2357",26172,32930,2023,"Sydney Hoyt",44.1,49,27,4,28,4,"4.266",0.25,1.806,"4.409"
"2358",30199,51350,2023,"Callie Nunes",44.1,26,14,4,66,1,"0.948",0.16,0.993,"0.933"
"2359",30244,15515,2023,"Shai-Ann Currie",44.1,54,11,2,11,2,"2.523",0.29,1.509,"3.368"
"2360",796,61304,2023,"Gabi Salo",44,40,5,3,36,2,"1.909",0.217,1.091,"1.900"
"2361",1156,60206,2023,"Madison Rosenthal",44,42,71,6,46,5,"7.000",0.226,2.705,"7.036"
"2362",69,5413,2023,"Ava Biasotti",43.3,70,19,5,36,1,"4.635",0.324,2.146,"2.697"
"2363",101,44098,2023,"Alexis Martinez",43.3,52,25,2,15,4,"3.995",0.271,1.804,"4.752"
"2364",234,18966,2023,"Ali Dubois",43.3,58,13,3,42,0,"3.037",0.286,1.689,"1.578"
"2365",414,17363,2023,"Laurelai DePew",43.3,69,20,3,17,6,"6.059",0.335,2.096,"4.974"
"2366",1199,24084,2023,"Kayla Gallagher",43.3,61,24,7,46,4,"5.274",0.295,2.1,"3.610"
"2367",1438,54367,2023,"Brooke Perri",43.3,76,17,2,16,2,"4.954",0.347,2.169,"3.564"
"2368",84,12751,2023,"Kennedi Claycomb",43.2,59,28,5,27,3,"5.286",0.298,2.105,"4.322"
"2369",197,56293,2023,"Maddy Pritchard",43.2,50,16,2,34,1,"2.092",0.262,1.563,"2.377"
