"team_id","player_id","season","player","ip","ha","bb","hb","so","hr_a","era","opp_avg","whip","fip","team"
693,36688,2019,"Celie Hudson",165.3,153,67,15,143,11,"2.321",0.231,1.417,"3.021","Chattanooga"
9004,28319,2019,"Mikayla Gilgert",165.3,145,48,4,125,13,"1.731",0.22,1.188,"2.852","Georgian Court"
200,7092,2019,"Morgan Bolduk",165.1,112,24,2,120,3,"1.229",0.179,0.835,"1.655","Eastern Conn. St."
277,35165,2019,"Brittany Hitchcock",165.1,147,24,11,108,9,"1.694",0.223,1.101,"2.436","Hawaii"
696,72654,2019,"Breanna Smith",165.1,147,46,7,137,17,"2.117",0.225,1.21,"3.041","Tex. A&M-Kingsville"
13028,60236,2019,"Kayla Pepper",165.1,161,46,27,151,19,"3.178",0.242,1.416,"3.393","Anderson (SC)"
156,37352,2019,"Bridgette Hutton",165,148,84,9,94,9,"2.630",0.232,1.461,"3.661","Colorado St."
67,1775,2019,"Susannah Anderson",164.3,190,93,46,98,12,"4.160",0.261,1.995,"4.686","Boston College"
95,43970,2019,"Brooke Larsen",164.3,115,73,12,150,7,"1.911",0.183,1.214,"2.679","Chico St."
18,83749,2019,"Jessica Wilcox",164.2,155,37,9,154,7,"2.509",0.234,1.221,"1.920","Alfred"
340,39589,2019,"Cailey Joyce",164.2,231,45,13,91,18,"4.420",0.312,1.755,"3.772","La Salle"
670,41327,2019,"Meagan King",164.2,159,33,7,85,17,"2.807",0.237,1.209,"3.439","Texas St."
8911,47856,2019,"Abby Mahsem",164,161,25,4,154,6,"1.835",0.241,1.159,"1.528","Wis. Lutheran"
11740,28255,2019,"Grace Gilbert",164,125,34,11,90,8,"1.792",0.203,1.036,"2.760","West Florida"
472,19637,2019,"Samaria Diaz",163.3,124,67,21,222,14,"2.007",0.199,1.293,"2.412","New Mexico St."
682,63936,2019,"Katherine Rayner",163.3,164,31,8,112,9,"2.862",0.244,1.239,"2.461","Stonehill"
2814,31870,2019,"Raegen Hamm",163.3,152,70,14,108,13,"2.393",0.227,1.441,"3.652","Washburn"
12973,62145,2019,"Megan Potter",163.3,150,18,3,202,5,"2.350",0.227,1.044,"0.715","Wilson"
30095,33387,2019,"Cambrie Hazel",163.3,104,52,31,215,17,"2.007",0.171,1.141,"2.644","Utah Tech"
650,19453,2019,"Alexis Devers",163.2,187,81,10,87,12,"3.806",0.273,1.698,"3.958","South Dakota"
1009,51179,2019,"Bailey Mckittrick",163.2,147,46,7,98,9,"2.011",0.225,1.222,"2.889","Central Okla."
433,37996,2019,"Molly Jacobsen",163.1,145,36,4,165,10,"2.102",0.226,1.134,"1.910","Ole Miss"
549,66115,2019,"Liz Rodarte",163.1,151,33,14,144,10,"2.228",0.232,1.212,"2.296","Pomona-Pitzer"
159,19017,2019,"Darby Demarest",163,77,105,20,247,9,"1.804",0.134,1.239,"2.388","Columbus St."
1448,70445,2019,"Makinlee Sellevold",163,164,55,4,144,13,"2.706",0.247,1.368,"2.756","Western Wash."
1314,8683,2019,"Halle Brin",162.3,159,74,18,131,15,"3.096",0.237,1.542,"3.684","Pittsburg St."
339,3179,2019,"Bridget Bailey",162.2,141,38,3,177,10,"2.455",0.216,1.12,"1.778","Kutztown"
542,53104,2019,"Kiana Millsaps",162.2,146,24,0,87,3,"1.938",0.227,1.046,"2.012","Pfeiffer"
258,14076,2019,"Morgan Clauser",162.1,165,59,11,131,5,"2.759",0.25,1.447,"2.480","Gettysburg"
30221,77143,2019,"Mallory Teunissen",162.1,164,63,21,148,10,"2.978",0.248,1.529,"2.930","Davenport"
1013,79132,2019,"Carly Turner",161.3,158,59,14,155,10,"2.551",0.242,1.427,"2.641","Charleston (WV)"
30202,46221,2019,"Katie Long",161.3,203,62,8,118,26,"4.151",0.289,1.686,"4.327","Okla. Baptist"
133,75066,2019,"Madelyn Stockslager",161.2,165,67,8,102,9,"2.514",0.252,1.486,"3.254","Chaminade"
742,66071,2019,"Keely Rochard",161.2,97,40,24,193,14,"1.820",0.166,0.997,"2.326","Virginia Tech"
9680,37859,2019,"Jayla Jackson",161.2,160,47,21,117,13,"2.902",0.245,1.411,"3.260","Embry-Riddle (FL)"
503,9480,2019,"Mackenzie Bryan",161.1,166,81,9,124,12,"2.864",0.251,1.587,"3.504","NIU"
734,79811,2019,"Caylie Van auken",161.1,132,21,4,181,16,"1.650",0.211,0.974,"1.910","Valdosta St."
30126,86521,2019,"Mckenzie Zigmont",161,201,70,11,108,12,"3.217",0.28,1.752,"3.537","Notre Dame (OH)"
126,26147,2019,"Mariah Fritz",160.3,212,79,12,69,16,"3.831",0.302,1.884,"4.533","Central (IA)"
9630,36696,2019,"Hannah Hudson",160.3,177,58,11,125,11,"3.000",0.261,1.528,"3.021","West Va. Wesleyan"
246,5056,2019,"Madi Beining",160.2,160,19,16,103,9,"2.483",0.246,1.213,"2.500","Gannon"
328,53203,2019,"Brynn Minor",160.2,184,63,18,69,12,"3.964",0.274,1.649,"4.024","Kansas"
371,39343,2019,"Kiley Jones",160.2,169,68,7,76,6,"3.358",0.256,1.52,"3.341","Loyola Chicago"
539,59405,2019,"Bailey Parshall",160.2,158,46,8,182,16,"3.227",0.235,1.321,"2.437","Penn St."
707,40467,2019,"Jessica Kelley",160.1,188,68,3,49,5,"3.758",0.278,1.617,"3.524","Thiel"
1130,37102,2019,"Madison Hunt",160.1,179,28,0,95,7,"2.444",0.268,1.291,"2.306","Huntingdon"
1402,18607,2019,"Alix Dedreu",160.1,138,23,4,190,7,"1.398",0.219,1.03,"1.102","Thomas More"
643,71580,2019,"Camie Shumaker",159.3,181,39,24,108,7,"2.538",0.273,1.525,"2.800","Slippery Rock"
309,35948,2019,"Lauren Honkomp",159.1,136,57,6,130,10,"2.418",0.216,1.25,"2.771","UIndy"
1348,7474,2019,"Colleen Borum",159.1,188,23,6,50,8,"3.078",0.276,1.363,"2.972","St. Thomas Aquinas"
24639,69558,2019,"Miriam Schmoll",159.1,123,58,7,81,3,"1.186",0.202,1.179,"2.852","Nova Southeastern"
1376,81180,2019,"Sydney Wader",159,128,34,9,129,4,"1.496",0.203,1.075,"1.916","Southern Ark."
301,71644,2019,"Sydney Sickels",158.3,160,81,10,125,32,"3.524",0.242,1.58,"5.163","Illinois"
351,84587,2019,"Alexa Windsor",158.1,173,40,4,99,2,"2.431",0.256,1.37,"2.147","Lebanon Valley"
1116,35129,2019,"Jenna Hipp",158,162,63,9,96,10,"2.479",0.25,1.48,"3.374","Harding"
176,17508,2019,"Krista Dalgarn",157.2,174,72,16,106,18,"3.640",0.262,1.661,"4.214","DePaul"
2707,58720,2019,"Kailyn Packard",157.1,154,77,12,143,13,"2.805",0.24,1.546,"3.354","Kansas City"
633,76155,2019,"Jennifer Sweeney",156.2,138,89,12,111,7,"2.814",0.222,1.525,"3.498","Scranton"
1062,43890,2019,"Beatriz Lara",156.2,97,53,15,166,7,"1.563",0.169,1.053,"2.164","East Tex. Baptist"
556,1380,2019,"Daniela Alvarez",156.1,134,33,16,134,16,"2.241",0.216,1.172,"2.957","Providence"
30095,10050,2019,"Carissa Burgess",156.1,140,26,11,85,7,"2.506",0.224,1.132,"2.605","Utah Tech"
111,7100,2019,"Jacy Boles",156,170,67,14,108,27,"4.260",0.255,1.608,"4.822","UC Riverside"
367,82207,2019,"Danielle Watson",156,138,94,12,164,11,"3.901",0.22,1.563,"3.252","Louisville"
30050,16369,2019,"Jaycee Craver",156,183,53,11,112,5,"3.318",0.268,1.582,"2.611","Ill. Springfield"
562,9406,2019,"Kendall Brundrett",155.3,192,92,6,89,13,"4.532",0.286,1.859,"4.227","Quinnipiac"
765,27679,2019,"Reilly Gearhart",155.3,147,53,17,104,10,"2.381",0.231,1.393,"3.247","West Chester"
168,79826,2019,"Sam Van dorn",155.2,149,29,9,79,2,"1.753",0.236,1.201,"2.284","Cortland"
401,30190,2019,"Jess Greenspan",155.2,161,52,14,77,12,"3.106",0.251,1.46,"3.686","UMass Boston"
288,33580,2019,"Savannah Heebner",155.1,125,36,4,115,10,"1.669",0.208,1.063,"2.529","Houston"
516,67652,2019,"Delaney Russell",155,243,41,35,46,12,"6.409",0.337,2.057,"4.283","Occidental"
107,21324,2019,"Kamalani Dung",154.3,119,72,5,157,10,"2.350",0.201,1.265,"2.703","California"
792,82236,2019,"Madyson Watson",154.3,162,41,15,118,16,"2.847",0.256,1.407,"3.304","Winthrop"
31,31363,2019,"Mary Haff",154.2,112,32,29,180,14,"1.948",0.185,1.12,"2.432","Arkansas"
77,33846,2019,"Arissa Henderson",154.2,145,69,7,118,16,"2.851",0.238,1.429,"3.693","BYU"
361,79720,2019,"Elena Valenzuela",154.2,136,52,16,80,5,"2.129",0.224,1.32,"3.106","LIU"
564,24700,2019,"Erin Fitzsimmons",154.2,134,43,19,101,10,"1.811",0.216,1.268,"3.137","Ramapo"
1068,3854,2019,"Abby Barker",154.2,152,60,4,73,16,"2.670",0.243,1.396,"4.042","Elon"
150,57961,2019,"Alyssa Olson",154.1,106,30,2,201,12,"1.725",0.183,0.895,"1.427","Coe"
454,38100,2019,"Hannah James",154.1,159,29,8,120,16,"2.630",0.251,1.269,"2.912","Murray St."
613,63801,2019,"Torie Rathwell",154.1,207,55,11,93,13,"4.352",0.297,1.768,"3.572","Saint Michael's"
470,24682,2019,"Ava Fitzmaurice",154,157,45,10,64,9,"2.544",0.248,1.376,"3.399","New Haven"
30038,47913,2019,"Bria Majeski",154,135,26,4,152,9,"2.273",0.221,1.071,"1.770","Bethany Lutheran"
36,57073,2019,"Mia Nowicki",153.3,128,77,4,121,2,"2.500",0.215,1.357,"2.575","Assumption"
275,21287,2019,"Kathleen Duncan",153.3,182,57,16,104,5,"2.822",0.278,1.658,"2.894","Harvard"
161,27638,2019,"Megan Gavin",153.2,157,70,12,148,6,"3.279",0.245,1.555,"2.582","Concordia-M'head"
329,19860,2019,"Taryn Digiacomo",153.2,139,25,11,96,15,"2.643",0.225,1.139,"3.123","Kean"
711,39062,2019,"Sara Johnson",153.2,157,55,24,145,17,"3.464",0.255,1.536,"3.494","Towson"
11276,62497,2019,"Hannah Price",153.2,176,47,7,113,6,"3.372",0.269,1.497,"2.491","USC Aiken"
185,52679,2019,"Madison Milaszewski",153,99,35,12,152,3,"1.189",0.173,0.954,"1.590","Dickinson"
628,73519,2019,"Karla Soto",152.3,187,47,2,44,14,"2.976",0.285,1.543,"3.976","San Fran. St."
674,44621,2019,"Carolyn Lee",152.3,156,44,15,108,19,"3.434",0.245,1.406,"3.760","Stanford"
46,11082,2019,"Nikki Camarati",152.2,101,69,13,197,7,"1.329",0.179,1.198,"2.027","Baldwin Wallace"
149,30951,2019,"Ashley Guillette",152.1,155,82,17,132,14,"3.261",0.25,1.667,"3.811","Coastal Carolina"
402,24935,2019,"Alexsandra Flores",152.1,147,55,9,64,14,"2.943",0.239,1.386,"4.016","McNeese"
563,36792,2019,"Kayla Huffman",152.1,150,38,23,94,17,"3.309",0.244,1.385,"3.818","Radford"
1071,52282,2019,"Montana Mesler",152.1,168,45,7,150,17,"3.769",0.259,1.445,"2.906","Emporia St."
386,61082,2019,"Calista Phippen",152,106,38,2,184,6,"1.336",0.187,0.961,"1.282","Marist"
38,1761,2019,"Sam Anderson",151.3,142,51,12,186,9,"2.813",0.23,1.35,"1.965","Augsburg"
184,55312,2019,"Liz Murphy",151.3,152,58,9,134,9,"2.627",0.239,1.442,"2.729","Detroit Mercy"
290,74483,2019,"Mackenzie Steele",151.2,192,64,14,101,17,"5.726",0.282,1.781,"4.069","Howard"
408,61254,2019,"Tori Pierucci",151.2,172,65,14,92,10,"4.063",0.256,1.656,"3.607","Mercyhurst"
623,55996,2019,"Andi Nelson",151.2,124,48,1,152,2,"1.755",0.206,1.141,"1.536","Salve Regina"
11276,14394,2019,"Caroline Cockrell",151.2,162,64,18,110,15,"3.784",0.258,1.608,"3.857","USC Aiken"
30179,16334,2019,"Kali Crandall",151.2,125,76,14,155,9,"2.309",0.208,1.418,"2.908","Okla. Christian"
796,52096,2019,"Kaitlyn Menz",151.1,141,69,8,104,14,"2.083",0.236,1.442,"3.756","Wisconsin"
30124,2169,2019,"Morgan Arbogast",151.1,146,50,10,136,6,"2.498",0.238,1.362,"2.307","Cedarville"
568,2324,2019,"Taylor Armitage",151,224,44,14,85,13,"4.494",0.327,1.866,"3.545","Regis (CO)"
548,52813,2019,"Caitlyn Miller",150.3,140,25,22,92,2,"2.042",0.232,1.24,"2.287","Plymouth St."
363,27651,2019,"Sydney Gay",150.2,131,89,9,91,15,"2.977",0.223,1.522,"4.440","Longwood"
1028,69667,2019,"Cartney Schoolcraft",150.2,151,42,1,166,12,"2.603",0.246,1.288,"2.088","Concord"
10870,75064,2019,"Taylor Stocks",150.2,102,44,5,185,6,"1.579",0.182,1.002,"1.438","Shepherd"
11416,34416,2019,"Kimbri Herring",150.2,117,33,12,129,15,"2.462",0.203,1.075,"2.878","Colorado Mesa"
177,34019,2019,"Cami Henry",150.1,121,62,17,184,11,"3.027",0.208,1.331,"2.480","DePauw"
531,38852,2019,"Gabby Johnson",150,143,82,22,142,8,"3.407",0.24,1.647,"3.280","Otterbein"
692,2217,2019,"Alyssa Arden",150,128,77,16,119,16,"2.985",0.219,1.472,"4.059","Tennessee Tech"
1170,59305,2019,"Brandi Parks",150,154,61,5,109,15,"3.498",0.251,1.466,"3.566","Lenoir-Rhyne"
299,18271,2019,"Morgan Day",149.3,139,69,8,156,15,"3.127",0.234,1.44,"3.160","Illinois St."
783,38328,2019,"Kait Jaworski",149.3,148,45,5,82,7,"2.664",0.244,1.322,"2.914","Widener"
2711,49672,2019,"Sydney Matzko",149.3,142,45,32,104,3,"2.522",0.236,1.461,"2.814","North Florida"
11740,76137,2019,"Kelsey Sweatt",149.3,94,41,10,131,12,"1.775",0.171,0.967,"2.714","West Florida"
366,18335,2019,"Krystal De la cruz",149.2,129,46,29,132,11,"2.199",0.219,1.364,"3.095","Louisiana Tech"
966,69983,2019,"Kylee Schwind",149.2,106,44,13,126,9,"1.872",0.191,1.09,"2.641","Arcadia"
30013,60183,2019,"Shonna Penney",149.2,208,88,14,50,20,"5.244",0.313,2.074,"5.517","Lee"
436,77839,2019,"Andee Tiffee",149,109,46,4,204,13,"1.831",0.192,1.066,"1.803","Mo.-St. Louis"
790,59753,2019,"Liz Pautz",148.2,104,58,4,224,6,"0.894",0.19,1.116,"1.163","Winona St."
352,7907,2019,"Parker Boyd",148,172,48,16,135,10,"3.498",0.273,1.594,"2.751","Lehigh"
30164,32398,2019,"Megan Harmon",148,193,125,8,78,12,"5.014",0.295,2.203,"5.096","Southern Va."
342,29462,2019,"Stacy Gordon",147.3,185,37,18,97,26,"4.638",0.295,1.623,"4.489","Lafayette"
