"team_id","player_id","season","player","ip","ha","bb","hb","so","hr_a","era","opp_avg","whip","fip","team"
651,15784,2022,"Georgina Corrick",270.1,114,34,18,409,12,"0.518",0.121,0.614,"0.527","South Fla."
60,71867,2022,"Kayla Simacek",268,200,22,16,349,7,"1.044",0.199,0.888,"0.561","Bethel (MN)"
30180,54133,2022,"Andrea Morales",253.2,157,37,5,317,18,"1.186",0.171,0.784,"1.320","Rogers St."
71,29600,2022,"Payton Gottshall",249.2,156,53,25,370,30,"1.711",0.169,0.938,"1.935","Bowling Green"
459,70115,2022,"Morgan Scott",244.3,198,74,8,286,26,"2.316",0.208,1.144,"2.449","UNC Greensboro"
640,12457,2022,"Maddie Castigliego",241.1,224,58,9,188,12,"2.641",0.235,1.206,"2.321","Simmons"
509,84018,2022,"Danielle Williams",238.1,155,76,45,323,20,"1.881",0.18,1.159,"2.303","Northwestern"
734,64990,2022,"Samantha Richards",232.2,186,62,14,289,16,"1.806",0.204,1.127,"1.789","Valdosta St."
670,55056,2022,"Jessica Mullins",231.2,183,53,16,247,21,"1.814",0.205,1.089,"2.340","Texas St."
249,43739,2022,"Sierra Lange",228.3,191,59,15,223,22,"2.417",0.217,1.158,"2.671","George Washington"
388,56160,2022,"Sydney Nester",226.2,174,68,16,294,15,"2.379",0.199,1.139,"1.778","Marshall"
2814,28490,2022,"Jaycee Ginter",226.1,173,63,22,287,9,"1.825",0.202,1.14,"1.507","Washburn"
674,80265,2022,"Alana Vawter",224,177,40,18,162,16,"1.937",0.207,1.049,"2.659","Stanford"
363,3053,2022,"Sydney Backstrom",222.3,127,95,18,287,14,"1.697",0.156,1.077,"2.162","Longwood"
518,32007,2022,"Lexie Handley",220.3,182,85,6,271,24,"2.631",0.211,1.236,"2.595","Ohio St."
383,81854,2022,"Mackenzie Ward",219.3,98,64,18,314,5,"0.924",0.129,0.819,"0.958","Minnesota St."
92,57776,2022,"Alyssa Olague",215.1,215,51,3,189,19,"2.732",0.243,1.25,"2.544","Cal St. Dom. Hills"
514,11250,2022,"Sydney Campbell",215,202,35,8,164,10,"2.245",0.231,1.139,"2.079","Oakland"
74,9932,2022,"Katie Burawski",214.1,144,70,9,349,13,"1.796",0.183,1.04,"1.038","Bridgeport"
1064,55167,2022,"Jennelle Munoz",214,289,33,7,106,12,"3.466",0.303,1.537,"2.699","Eastern Nazarene"
790,59752,2022,"Liz Pautz",211.3,151,52,11,361,26,"2.312",0.189,1.01,"1.480","Winona St."
808,48934,2022,"Katie Martin",211.2,193,45,6,170,9,"1.953",0.232,1.154,"2.069","WPI"
366,61145,2022,"Audrey Pickett",210.3,212,45,13,109,18,"2.588",0.248,1.28,"3.300","Louisiana Tech"
465,8515,2022,"Jenny Bressler",209,150,64,15,216,12,"1.674",0.192,1.095,"2.213","UNLV"
796,69931,2022,"Maddie Schwartz",208.3,214,53,11,130,6,"2.548",0.251,1.331,"2.448","Wisconsin"
539,59404,2022,"Bailey Parshall",208.2,153,32,15,211,19,"1.711",0.195,0.959,"2.237","Penn St."
676,83727,2022,"Kassidy Wilbur",207.1,166,93,18,237,14,"2.465",0.207,1.336,"2.598","SFA"
10411,36315,2022,"Hannah Houge",205.3,136,66,10,292,18,"1.700",0.18,1.03,"1.807","USC Upstate"
1057,5910,2022,"Kristina Bettis",205.1,97,60,33,263,1,"0.852",0.135,0.925,"1.261","Drury"
30055,47878,2022,"Jensen Main",205.1,216,60,9,117,4,"1.908",0.248,1.388,"2.522","Cal St. Monterey Bay"
817,9768,2022,"Elle Buffenbarger",200.2,178,105,32,224,7,"2.792",0.23,1.57,"2.669","Youngstown St."
742,66068,2022,"Keely Rochard",199.2,121,54,17,326,18,"1.647",0.166,0.961,"1.373","Virginia Tech"
609,82883,2022,"Chloe Wendling",199.1,238,64,16,128,12,"3.057",0.281,1.596,"3.103","Saint Louis"
703,20329,2022,"Hailey Dolcini",199,130,63,20,212,27,"2.426",0.173,1.07,"3.284","Texas"
519,42125,2022,"Mackensie Kohl",198.3,245,83,10,136,35,"4.505",0.29,1.699,"4.723","Ohio"
315,12131,2022,"Kat Carter",197.2,197,55,14,124,19,"3.190",0.248,1.347,"3.443","Jacksonville St."
1009,47243,2022,"Kylee Lynch",197.2,158,30,15,97,12,"1.914",0.21,1.028,"2.891","Central Okla."
664,44858,2022,"Morgan Leinstock",196.1,194,58,11,161,10,"2.390",0.244,1.34,"2.476","Southern Miss."
418,75218,2022,"Alex Storako",195.3,117,64,13,300,22,"1.751",0.162,0.99,"1.976","Michigan"
716,38960,2022,"Leanna Johnson",194.3,127,98,22,242,15,"2.192",0.178,1.268,"2.764","Troy"
9004,28319,2022,"Mikayla Gilgert",194.2,151,30,7,176,9,"1.691",0.198,0.966,"1.763","Georgian Court"
37,60210,2022,"Maddie Penta",193.2,126,53,13,269,14,"1.699",0.176,0.992,"1.584","Auburn"
1004,4788,2022,"Kayla Beaver",192.1,165,45,15,156,12,"2.184",0.222,1.17,"2.525","Central Ark."
102,5808,2022,"Marissa Bertuccio",192,172,49,11,168,17,"2.406",0.231,1.208,"2.739","Sacramento St."
416,52786,2022,"Ashley Miller",191.2,152,56,11,244,4,"1.826",0.203,1.142,"1.174","Michigan St."
454,38100,2022,"Hannah James",191.1,117,25,7,234,8,"1.171",0.167,0.779,"0.999","Murray St."
650,22078,2022,"Clara Edwards",191,189,78,3,120,17,"2.784",0.244,1.413,"3.572","South Dakota"
774,26808,2022,"Reily Galloway",191,129,57,12,267,19,"2.125",0.179,1.036,"1.981","Western Mich."
49,4025,2022,"Maci Barnhart",190.1,155,23,9,167,12,"1.728",0.209,0.982,"1.969","Barry"
309,72842,2022,"Kenzee Smith",190.1,99,88,20,244,3,"1.104",0.146,1.088,"1.743","UIndy"
234,68452,2022,"Kathryn Sandercock",189.3,132,30,11,159,12,"1.474",0.189,0.911,"2.195","Florida St."
7,30182,2022,"Bailey Greenlee",189.2,173,59,16,131,17,"2.769",0.231,1.308,"3.370","Alabama St."
669,19717,2022,"Steffany Dickerson",189.2,153,32,7,172,10,"1.513",0.211,1.012,"1.889","Missouri St."
565,22444,2022,"Gracie Ellis",188.2,128,21,3,244,7,"1.261",0.18,0.806,"0.678","Randolph-Macon"
30202,39330,2022,"Kayleigh Jones",188.2,160,62,14,278,14,"2.708",0.217,1.251,"1.626","Okla. Baptist"
9680,14814,2022,"Kelsi Collins",188.1,145,66,24,148,6,"2.046",0.194,1.249,"2.676","Embry-Riddle (FL)"
108,9170,2022,"Kenedi Brown",187.3,139,60,6,224,7,"1.788",0.188,1.091,"1.554","UC Davis"
1176,26193,2022,"Emma Frost",187.2,171,37,11,213,17,"2.612",0.236,1.167,"2.075","Lincoln Memorial"
625,56265,2022,"Mckenzie Newcomb",187.1,160,28,5,175,14,"1.868",0.222,1.03,"2.032","Samford"
593,34659,2022,"Haile Hicks",186.3,134,48,13,167,7,"1.349",0.19,1.044,"2.079","St. Anselm"
30136,83142,2022,"Amanda Weyh",186.1,133,21,12,182,2,"0.939",0.193,0.891,"1.118","Lindenwood"
3,34610,2022,"Lindsey Hibbs",185,113,20,8,290,6,"1.399",0.164,0.762,"0.142","Adelphi"
177,34019,2022,"Cami Henry",184,102,61,12,263,8,"1.179",0.15,0.951,"1.297","DePauw"
528,49926,2022,"Mariah Mazon",184,138,42,18,221,16,"1.674",0.194,1.076,"2.107","Oregon St."
9630,36696,2022,"Hannah Hudson",184,132,41,7,178,6,"1.560",0.189,0.978,"1.672","West Va. Wesleyan"
8,25530,2022,"Montana Fouts",183.2,135,53,5,275,10,"2.172",0.19,1.051,"1.061","Alabama"
68,6869,2022,"Allison Boaz",183.2,157,40,6,118,8,"1.449",0.218,1.106,"2.433","Boston U."
1170,63356,2022,"Lauren Rakes",183.2,120,52,24,290,17,"2.324",0.177,1.067,"1.687","Lenoir-Rhyne"
285,56046,2022,"Kelly Nelson",182.3,155,47,5,228,15,"2.295",0.215,1.131,"1.826","Holy Cross"
92,83673,2022,"Ashley Wies",182.2,183,42,4,122,10,"2.375",0.245,1.253,"2.531","Cal St. Dom. Hills"
550,30327,2022,"Olivia Grey",182.2,136,63,20,214,13,"2.107",0.197,1.199,"2.345","Portland St."
702,358,2022,"Jessica Adams",182.2,199,55,10,76,19,"3.180",0.259,1.445,"3.987","UT Arlington"
626,3500,2022,"Maggie Balint",182.1,130,39,15,266,13,"2.151",0.19,1.01,"1.297","San Diego St."
715,59593,2022,"Cat Patterson",181.3,190,45,13,52,6,"2.538",0.256,1.363,"3.213","Trinity (TX)"
1157,5441,2022,"Melanie Bennett",181.2,198,56,9,171,12,"2.621",0.262,1.448,"2.450","Kennesaw St."
717,19767,2022,"Sophia Dicocco",181.1,138,13,6,93,1,"1.082",0.195,0.866,"1.760","Tufts"
30119,46244,2022,"Sydney Long",181.1,142,67,15,143,2,"1.661",0.206,1.236,"2.323","Ohio Dominican"
3,25177,2022,"Claire Fon",180.3,141,37,16,169,1,"1.044",0.197,1.072,"1.483","Adelphi"
437,30151,2022,"Courtney Greene",180.3,233,63,12,124,12,"4.061",0.298,1.702,"3.135","Molloy"
1094,17940,2022,"Ashley Davis",180.2,151,31,12,135,13,"2.014",0.213,1.074,"2.555","George Fox"
659,32412,2022,"Sarah Harness",180.1,179,74,15,149,15,"3.222",0.248,1.486,"3.310","Southern Ill."
1179,40490,2022,"Tayah Kelley",180.1,119,62,11,252,14,"1.787",0.178,1.065,"1.828","Linfield"
110,23587,2022,"Megan Faraimo",179.3,121,35,11,281,26,"2.061",0.177,0.928,"1.922","UCLA"
521,49751,2022,"Kelly Maxwell",179.3,93,65,15,300,9,"1.285",0.144,0.962,"1.048","Oklahoma St."
65,73593,2022,"Callie Sowers",179.2,168,66,6,185,16,"2.884",0.23,1.336,"2.701","Bloomsburg"
1274,7358,2022,"Sidney Booth",179.2,129,51,19,202,16,"1.753",0.19,1.107,"2.478","Northwest Nazarene"
148,35913,2022,"Melissa Holzopfel",179.1,179,66,8,211,16,"3.082",0.24,1.41,"2.445","Cleveland St."
305,5371,2022,"Lexi Benko",179.1,178,44,8,104,10,"2.773",0.247,1.283,"2.835","Indiana St."
600,48736,2022,"Rachel Marsden",179.1,170,51,4,141,10,"2.381",0.236,1.255,"2.473","Saint Francis (PA)"
2,35773,2022,"Sidney Holman-mansell",178.1,140,87,13,149,10,"2.982",0.204,1.345,"3.140","Abilene Christian"
61,58250,2022,"Hannah Ortega",178.1,184,41,17,117,9,"2.395",0.253,1.357,"2.720","Bethune-Cookman"
