"","team_id","player_id","season","player","ip","ha","bb","hb","so","hr_a","era","opp_avg","whip","fip"
"305",176,14155,2018,"Pat Moore",125.3,91,67,6,158,5,"2.111",0.195,1.302,"2.146"
"306",482,1487,2018,"Sierra Bertrand",125.3,135,61,12,99,14,"3.722",0.266,1.651,"4.011"
"307",554,16815,2018,"Allie Reynolds",125.1,171,47,5,55,17,"5.250",0.312,1.779,"4.530"
"308",563,9639,2018,"Kayla Huffman",125.1,104,25,8,108,10,"2.011",0.218,1.093,"2.504"
"309",600,18838,2018,"Adrian Smith",125.1,119,40,13,109,8,"2.569",0.237,1.372,"2.759"
"310",674,5611,2018,"Maddy Dwyer",125.1,102,36,14,81,11,"2.402",0.217,1.213,"3.445"
"311",87,7758,2018,"Alyssa Graves",124.3,100,78,11,121,6,"2.408",0.207,1.512,"3.224"
"312",340,7184,2018,"Reilly Gearhart",124.2,171,52,11,66,10,"4.717",0.309,1.877,"3.900"
"313",8,7250,2018,"Courtney Gettins",124.1,122,57,5,69,7,"2.477",0.248,1.48,"3.518"
"314",72,9925,2018,"Emma Jackson",124.1,136,45,11,73,9,"3.153",0.267,1.544,"3.518"
"315",66,2247,2018,"Kelsey Broadus",123.2,89,76,25,132,8,"2.547",0.188,1.536,"3.556"
"316",196,17886,2018,"Whitney Sanford",123.2,122,77,15,63,12,"3.736",0.251,1.73,"4.874"
"317",361,19050,2018,"Erynn Sobieski",123.2,192,33,8,66,15,"5.321",0.342,1.884,"3.904"
"318",509,14735,2018,"Morgan Newport",123.2,133,51,6,87,16,"3.226",0.261,1.536,"4.058"
"319",692,9668,2018,"Kayla Hughes",123.2,159,77,12,60,12,"4.642",0.299,2.005,"4.850"
"320",99,6499,2018,"Jessica Flores",122.2,109,73,9,80,9,"2.853",0.229,1.557,"4.055"
"321",253,21133,2018,"Rylee Waldrep",122.2,140,36,6,55,17,"3.595",0.272,1.484,"4.332"
"322",572,17327,2018,"Becca Rogers",122.2,105,56,9,129,11,"2.568",0.218,1.386,"3.052"
"323",459,2466,2018,"Stephanie Bryden",122.1,64,37,6,160,6,"1.488",0.148,0.875,"1.476"
"324",2743,11682,2018,"Sarah Leal",122,169,39,9,68,17,"5.221",0.316,1.779,"4.277"
"325",302,6699,2018,"Karissa Frazier",121.3,117,53,16,88,6,"3.443",0.241,1.525,"3.293"
"326",505,7388,2018,"Taylor Ginther",121.2,154,42,12,44,7,"3.855",0.299,1.71,"3.756"
"327",352,19101,2018,"Emily Sorem",121.1,129,56,12,74,6,"3.635",0.26,1.624,"3.504"
"328",610,21754,2018,"Katlyn Whitt",121.1,160,52,12,47,9,"5.019",0.301,1.846,"4.172"
"329",305,19484,2018,"Kylie Stober",120.1,131,56,17,70,12,"3.432",0.269,1.695,"4.353"
"330",368,2953,2018,"Lovina Capria",120,130,34,10,95,5,"2.917",0.268,1.45,"2.458"
"331",630,2010,2018,"Caroline Bowman",120,145,28,1,57,13,"3.150",0.285,1.45,"3.583"
"332",464,8322,2018,"Sydney Hampton",119.2,126,35,14,65,24,"3.802",0.261,1.462,"5.149"
"333",627,8835,2018,"Delaney Heller",119.2,145,37,5,86,5,"3.334",0.291,1.563,"2.559"
"334",688,7164,2018,"Annamarie Gatti",119.2,117,75,6,95,6,"3.042",0.244,1.655,"3.495"
"335",310,18773,2018,"Marnie Skinner",119,112,38,8,69,5,"2.412",0.234,1.328,"2.946"
"336",465,12916,2018,"Charlie Masterson",119,144,16,18,56,9,"3.412",0.29,1.496,"3.299"
"337",746,18937,2018,"Lacy Smith",118.2,151,91,6,59,14,"4.896",0.296,2.09,"5.392"
"338",249,4134,2018,"Sarah Costlow",118.1,133,49,12,54,2,"3.194",0.269,1.639,"3.254"
"339",494,1442,2018,"Hannah Bergh",118.1,130,39,8,52,11,"3.845",0.265,1.496,"3.921"
"340",539,18411,2018,"Madison Shaffer",118,177,81,11,79,10,"7.000",0.326,2.28,"4.502"
"341",257,754,2018,"Mary wilson Avant",117.2,98,50,11,93,6,"2.261",0.212,1.351,"3.037"
"342",703,1848,2018,"Brooke Bolinger",117.2,85,47,10,123,10,"2.201",0.194,1.207,"2.867"
"343",664,4368,2018,"Kim Crowson",117.1,138,49,6,49,6,"3.162",0.276,1.645,"3.636"
"344",691,8569,2018,"Tori Hart",117.1,169,50,14,29,17,"5.310",0.326,1.986,"5.426"
"345",813,10145,2018,"Terra Jerpbak",117.1,141,31,6,84,5,"3.222",0.285,1.517,"2.468"
"346",204,20505,2018,"Trisha Trujillo",117,157,54,11,82,8,"4.368",0.303,1.897,"3.554"
"347",189,20251,2018,"Nicole Timmons",116.3,86,65,10,129,5,"1.855",0.197,1.376,"2.674"
"348",648,16477,2018,"Dixie Raley",116.3,92,48,8,106,11,"2.094",0.21,1.265,"3.246"
"349",87,5361,2018,"Kaitlin Doud",116.2,144,29,7,53,8,"3.480",0.285,1.543,"3.309"
"350",101,20474,2018,"Taylor Troost",116.1,135,58,16,67,14,"3.851",0.276,1.797,"4.721"
"351",311,21510,2018,"Brianna Weilbacher",116.1,123,73,15,88,12,"4.032",0.262,1.814,"4.497"
"352",316,14166,2018,"Seana Mora",116,123,24,1,44,8,"3.017",0.261,1.276,"3.184"
"353",110,786,2018,"Holly Azevedo",115.2,99,45,10,88,6,"2.179",0.219,1.331,"2.979"
"354",172,6041,2018,"Breanna Ethridge",115.1,103,35,8,113,6,"2.671",0.228,1.266,"2.235"
"355",1320,320,2018,"Kaylee Allen",115.1,146,44,17,61,26,"6.009",0.294,1.795,"5.860"
"356",294,14373,2018,"Mariah Mulcahy",115,172,63,5,74,11,"5.843",0.326,2.087,"4.130"
"357",30024,18400,2018,"Makayla Shadle",114.2,126,72,7,83,17,"3.235",0.264,1.788,"4.947"
"358",71,15479,2018,"Brooke Parker",114.1,113,56,13,64,5,"3.429",0.251,1.592,"3.659"
"359",419,906,2018,"Amber Baldwin",114.1,116,34,5,46,10,"3.000",0.251,1.356,"3.756"
"360",493,11700,2018,"Kk Leddy",113.3,135,30,12,92,7,"3.193",0.279,1.553,"2.689"
"361",732,21014,2018,"Miranda Viramontes",113.2,128,40,14,127,5,"3.387",0.269,1.601,"2.162"
"362",48,16000,2018,"Arizona Pilgrim",113.1,116,61,10,83,17,"4.447",0.252,1.65,"4.765"
"363",579,16985,2018,"Madison Riggle",113.1,149,61,17,50,7,"4.447",0.3,2.003,"4.385"
"364",66,12582,2018,"Gianna Mancha",113,85,80,13,103,18,"3.035",0.204,1.575,"5.117"
"365",654,20059,2018,"Haley Thogmartin",112.3,108,25,4,78,11,"1.920",0.24,1.212,"3.055"
"366",308,6106,2018,"Shaina Eyre",112.2,156,77,7,46,9,"5.219",0.316,2.13,"4.859"
"367",189,18917,2018,"Kailee Smith",112.1,106,25,2,80,6,"1.184",0.24,1.184,"2.391"
"368",400,3840,2018,"Meg Colleran",112.1,126,35,11,67,12,"2.929",0.268,1.531,"3.824"
"369",104,14887,2018,"Felisha Noriega",112,146,42,28,55,7,"5.000",0.294,1.929,"4.105"
"370",285,8833,2018,"Alexandra Held",111.3,124,52,8,85,7,"3.563",0.263,1.643,"3.302"
"371",402,18374,2018,"Caroline Settle",111.2,126,53,5,45,11,"3.887",0.268,1.648,"4.433"
"372",97,15526,2018,"Trisha Parks",111,109,49,9,65,9,"2.459",0.251,1.505,"3.850"
"373",191,4559,2018,"Brooklyn Daly",111,120,65,10,44,19,"4.477",0.266,1.757,"5.859"
"374",127,18649,2018,"Peyton Silverman",110.2,115,42,11,76,14,"3.099",0.26,1.518,"4.108"
"375",129,21318,2018,"Hanna Warren",110.2,121,30,11,68,6,"2.277",0.265,1.464,"2.987"
"376",669,10675,2018,"Holly Kelley",110.1,88,54,6,113,14,"2.982",0.211,1.341,"3.633"
"377",2743,8946,2018,"Breanna Hernandez",110.1,146,29,10,46,8,"4.568",0.302,1.677,"3.569"
"378",115,9785,2018,"Haley Hutchins",110,122,38,15,53,15,"4.200",0.274,1.591,"4.655"
"379",193,9625,2018,"Katherine Huey",109.2,102,38,3,57,8,"2.426",0.23,1.304,"3.430"
"380",236,16596,2018,"Paige Rauch",109.1,81,43,9,79,3,"1.537",0.192,1.216,"2.738"
"381",306,7621,2018,"Emily Goodin",109.1,91,49,1,101,11,"2.241",0.209,1.29,"3.232"
"382",463,6305,2018,"Olivia Ferrell",109.1,141,47,6,53,19,"4.354",0.305,1.774,"5.144"
"383",660,17043,2018,"Corrina Rivas",109.1,107,47,7,92,10,"3.393",0.243,1.473,"3.388"
"384",2707,3945,2018,"Lynsey Conner",109.1,164,55,21,30,15,"6.723",0.337,2.195,"5.720"
"385",167,11875,2018,"Katie Lew",109,166,38,9,31,16,"4.624",0.335,1.954,"5.033"
"386",153,4353,2018,"Bella Crow",108.2,129,30,12,73,10,"3.865",0.28,1.574,"3.412"
"387",346,8023,2018,"Taylor Gruell",108.2,107,50,14,57,11,"3.479",0.249,1.574,"4.434"
"388",340,17081,2018,"Marlo Roadcap",108.1,130,64,18,84,14,"4.911",0.285,1.957,"4.800"
"389",416,16465,2018,"Bridgette Rainey",108.1,111,80,11,113,6,"4.135",0.251,1.865,"3.554"
"390",272,7241,2018,"Isabella Gerone",107.1,158,42,7,57,11,"5.217",0.324,1.929,"4.040"
"391",406,16264,2018,"Stella Preston",107.1,92,32,14,74,16,"2.804",0.221,1.286,"4.245"
"392",659,5376,2018,"Savanna Dover",107.1,116,52,15,55,12,"4.696",0.265,1.705,"4.701"
"393",28600,22380,2018,"Chloe Yeager",107,94,43,11,51,9,"2.421",0.23,1.383,"4.054"
"394",51,7830,2018,"Regan Green",106.2,112,30,3,71,12,"2.887",0.257,1.359,"3.459"
"395",102,4100,2018,"Savanna Corr",106.2,116,46,4,58,3,"3.347",0.267,1.556,"3.084"
"396",180,15972,2018,"Sarah Piening",106.2,168,71,10,37,14,"6.103",0.331,2.334,"5.691"
"397",202,13478,2018,"Murphy Mcroberts",106.2,91,56,9,56,4,"3.019",0.224,1.463,"3.666"
"398",485,8226,2018,"Hunter Halford",106.2,108,18,5,67,4,"2.887",0.238,1.228,"2.278"
"399",488,8750,2018,"Mohagony Headen",106,126,52,11,90,10,"4.292",0.281,1.783,"3.711"
"400",508,2384,2018,"Mikayla Brown",106,98,75,20,65,4,"3.368",0.238,1.821,"4.353"
"401",649,3907,2018,"Taylor Compton",106,117,66,6,54,18,"4.358",0.268,1.783,"5.626"
