"","team","game_id","opponent","last","first","ip","ha","er","bb","hb","so","bf","hr_a","go","fo","season","team_id","player"
"43","A&M-Corpus Christi","4501692","Tex. A&M-Commerce","Aholelei","Primrose",7,2,0,3,1,6,28,0,10,4,2024,26172,"Primrose Aholelei"
"44","A&M-Corpus Christi","4512688","UT Arlington","Winfrey","Kendra",1.1,5,3,1,0,0,9,0,0,3,2024,26172,"Kendra Winfrey"
"45","A&M-Corpus Christi","4501996","Tex. A&M-Commerce","Aholelei","Primrose",5,2,0,1,1,8,19,0,4,3,2024,26172,"Primrose Aholelei"
"46","A&M-Corpus Christi","4499371","Ohio","Aholelei","Primrose",7,6,2,0,0,7,27,0,3,9,2024,26172,"Primrose Aholelei"
"47","A&M-Corpus Christi","4507280","Southeastern La.","Aholelei","Primrose",7,6,1,0,0,1,28,0,9,10,2024,26172,"Primrose Aholelei"
"48","A&M-Corpus Christi","4497645","Louisiana Tech","Williams","Malia",0.1,1,0,1,0,0,3,0,0,1,2024,26172,"Malia Williams"
"49","A&M-Corpus Christi","4505942","Houston Christian","Aholelei","Primrose",7,2,0,3,0,9,26,0,2,10,2024,26172,"Primrose Aholelei"
"50","A&M-Corpus Christi","4503448","UIW","Galvan","Siarah",2,3,1,2,0,1,11,1,2,3,2024,26172,"Siarah Galvan"
"51","A&M-Corpus Christi","4500424","UTSA","Aholelei","Primrose",7,2,1,4,1,9,29,0,4,8,2024,26172,"Primrose Aholelei"
"52","A&M-Corpus Christi","5284788","Houston Christian","Williams","Malia",0.1,0,0,1,0,0,3,0,1,0,2024,26172,"Malia Williams"
"53","A&M-Corpus Christi","4499983","UT Arlington","Saenz","Ariella",0.1,5,5,1,0,0,7,0,0,1,2024,26172,"Ariella Saenz"
"54","A&M-Corpus Christi","4505160","Northwestern St.","Aholelei","Primrose",7,4,0,3,0,6,27,0,4,10,2024,26172,"Primrose Aholelei"
"55","A&M-Corpus Christi","4515025","Northwestern St.","Galvan","Siarah",6,3,2,1,1,4,23,0,4,10,2024,26172,"Siarah Galvan"
"56","A&M-Corpus Christi","4516190","Alabama A&M","Winfrey","Kendra",3,3,1,2,0,4,14,0,3,0,2024,26172,"Kendra Winfrey"
"57","A&M-Corpus Christi","4508722","Lamar University","Aholelei","Primrose",6.1,6,1,2,1,5,29,0,5,9,2024,26172,"Primrose Aholelei"
"58","A&M-Corpus Christi","4500303","Grambling","Saenz","Ariella",1.1,0,0,1,0,2,4,0,1,0,2024,26172,"Ariella Saenz"
"59","A&M-Corpus Christi","4500089","UTSA","Aholelei","Primrose",6,3,0,5,0,9,26,1,3,5,2024,26172,"Primrose Aholelei"
