"team_id","player_id","season","player","ip","ha","bb","hb","so","hr_a","era","opp_avg","whip","fip","team"
457,61148,2018,"Brittany Pickett",296.1,258,76,22,216,30,"2.338",0.223,1.201,"3.250","North Carolina"
670,67566,2018,"Randi Rupp",273.3,197,40,12,317,18,"1.278",0.188,0.909,"1.509","Texas St."
745,36952,2018,"Hanna Hull",266.2,129,67,16,376,10,"1.024",0.136,0.795,"1.000","Va. Wesleyan"
128,83288,2018,"Alea White",262.2,253,92,15,175,20,"2.372",0.244,1.37,"3.279","UCF"
244,5776,2018,"Lindsey Bert",257.2,157,52,20,353,14,"1.522",0.168,0.889,"1.204","Furman"
600,78474,2018,"Abby Trahan",252.1,207,69,45,186,23,"2.496",0.21,1.272,"3.466","Saint Francis (PA)"
428,24544,2018,"Amber Fiser",242.2,173,63,10,237,12,"1.702",0.19,1.014,"1.992","Minnesota"
29,51522,2018,"Taylor Mcquillin",240.2,148,82,13,287,23,"1.687",0.17,1.01,"2.442","Arizona"
255,1667,2018,"Emily Anderson",240.2,234,71,19,193,18,"2.299",0.24,1.347,"2.891","Georgia Tech"
288,33580,2018,"Savannah Heebner",236.2,174,34,15,150,11,"1.154",0.195,0.943,"2.358","Houston"
689,20550,2018,"Makaleigh Dooley",236.2,190,20,12,221,4,"1.331",0.211,0.938,"1.157","Tampa"
355,19961,2018,"Julia Dimartino",235.1,173,47,18,230,15,"1.755",0.193,1.011,"2.103","Liberty"
719,82210,2018,"Emily Watson",235.1,184,64,8,306,25,"1.607",0.207,1.088,"2.098","Tulsa"
12799,13095,2018,"Mallory Chapman",234.1,198,57,10,202,5,"1.793",0.213,1.132,"1.811","Wheeling"
671,22503,2018,"Summer Ellyson",233.3,150,62,11,220,18,"1.557",0.171,0.954,"2.456","Louisiana"
24639,75249,2018,"Lexie Storrer",232.3,228,55,6,85,8,"2.285",0.243,1.241,"2.903","Nova Southeastern"
1328,30170,2018,"Shannon Greene",231.2,257,41,13,112,7,"2.268",0.262,1.343,"2.525","Rockhurst"
1000,65356,2018,"Lacie Rinus",230.2,200,98,16,213,10,"2.337",0.222,1.362,"2.599","Carson-Newman"
519,74955,2018,"Danielle Stiene",229.3,156,58,19,281,13,"1.461",0.181,1.013,"1.696","Ohio"
661,45082,2018,"Jennifer Leonhardt",229.1,167,68,12,277,17,"2.350",0.19,1.077,"1.995","Southern Ind."
95,28320,2018,"Haley Gilham",228.3,162,64,12,187,3,"1.377",0.188,1.04,"1.932","Chico St."
410,15339,2018,"Megan Cook",228.1,181,51,27,188,8,"1.410",0.208,1.134,"2.234","Merrimack"
493,70597,2018,"Jacquelyn Sertic",227.3,162,65,21,307,10,"1.719",0.189,1.088,"1.409","North Dakota St."
659,39222,2018,"Brianna Jones",227.3,217,59,13,212,16,"2.120",0.236,1.269,"2.400","Southern Ill."
315,72084,2018,"Faith Sims",226.2,171,145,34,163,4,"2.503",0.197,1.545,"3.561","Jacksonville St."
489,53235,2018,"Courtney Mirabella",226.2,161,84,15,306,8,"1.700",0.189,1.148,"1.468","N.C. Central"
1376,76867,2018,"Victoria Taylor",225.2,166,55,16,224,15,"1.427",0.193,1.051,"2.223","Southern Ark."
30152,9156,2018,"Katelyn Brown",225,208,59,10,238,26,"2.488",0.229,1.231,"2.707","Southern Nazarene"
513,35740,2018,"Alexis Holloway",223.3,186,137,10,179,13,"2.627",0.21,1.488,"3.526","Notre Dame"
28,39619,2018,"Giselle Juarez",223.1,124,41,21,305,17,"1.222",0.156,0.833,"1.491","Arizona St."
