"","team_id","player_id","season","player","ip","ha","bb","hb","so","hr_a","era","opp_avg","whip","fip"
"1",493,18369,2017,"Jacquelyn Sertic",292.1,252,82,14,340,30,"2.778",0.223,1.19,"2.393"
"2",388,5216,2017,"Jordan Dixon",280.2,194,77,34,294,28,"1.846",0.19,1.087,"2.788"
"3",670,17614,2017,"Randi Rupp",264.2,201,56,12,325,9,"1.217",0.199,1.016,"1.157"
"4",90,9811,2017,"Sierra Hyland",262,164,56,12,275,9,"1.095",0.172,0.885,"1.526"
"5",96,5546,2017,"Kamalani Dung",254.1,204,98,15,218,17,"2.229",0.211,1.246,"2.888"
"6",756,401,2017,"Taran Alvelo",254,221,83,27,200,21,"1.984",0.228,1.303,"3.199"
"7",433,11726,2017,"Kaitlin Lee",249.2,217,37,27,118,9,"1.822",0.226,1.126,"2.692"
"8",439,16996,2017,"Amanda Riley",248.1,221,112,13,241,7,"2.621",0.227,1.393,"2.336"
"9",719,21390,2017,"Emily Watson",246.2,156,55,14,348,22,"1.249",0.175,0.912,"1.577"
"10",317,7611,2017,"Megan Good",244.2,125,35,10,271,9,"0.629",0.144,0.695,"1.215"
"11",1004,7534,2017,"Kayla Gomness",241.2,257,52,21,111,6,"2.230",0.262,1.366,"2.710"
"12",346,12326,2017,"Ciara Luna",240.1,230,45,13,157,12,"2.330",0.239,1.198,"2.467"
"13",301,22156,2017,"Breanna Wonderly",239.2,223,78,27,105,26,"2.570",0.237,1.369,"4.248"
"14",331,11381,2017,"Ronnie Ladines",238,180,67,13,213,11,"2.000",0.198,1.092,"2.219"
"15",702,3584,2017,"Samantha Clakley",238,224,69,26,130,14,"2.206",0.241,1.34,"3.270"
"16",418,1513,2017,"Megan Betsa",235.1,120,100,32,412,15,"1.458",0.147,1.071,"1.410"
"17",299,6371,2017,"Sarah Finck",234.1,227,67,9,91,16,"2.539",0.241,1.293,"3.484"
"18",490,18649,2017,"Peyton Silverman",234.1,338,57,24,135,45,"4.869",0.321,1.788,"4.781"
"19",67,5432,2017,"Jessica Dreswick",231,201,76,27,162,13,"2.727",0.224,1.316,"3.067"
"20",796,13625,2017,"Kaitlyn Menz",230.1,208,100,16,130,8,"2.522",0.228,1.407,"3.234"
"21",28600,10462,2017,"Mandy Jordan",230,169,59,10,261,15,"1.461",0.197,1.035,"1.878"
"22",782,12567,2017,"Kaitlyn Malone",227.2,221,61,9,162,26,"2.214",0.242,1.278,"3.384"
"23",5,8337,2017,"Lexie Handley",225.3,176,92,24,183,7,"2.447",0.201,1.292,"2.723"
"24",51,18342,2017,"Kelsee Selman",225.1,180,53,10,200,15,"1.864",0.21,1.078,"2.329"
"25",129,11018,2017,"Rachel Knapp",224,153,59,4,256,7,"1.438",0.183,0.964,"1.364"
"26",458,22110,2017,"Haley Wiseman",224,183,128,24,212,18,"3.531",0.216,1.496,"3.587"
"27",758,1832,2017,"Kirtlyn Bohling",223.2,249,59,14,145,19,"2.723",0.273,1.44,"3.187"
"28",107,3932,2017,"Zoe Conley",222.3,200,96,1,159,14,"2.668",0.23,1.332,"3.095"
"29",457,15963,2017,"Brittany Pickett",221.2,224,46,19,151,22,"2.779",0.249,1.304,"3.208"
"30",739,11624,2017,"Brette Lawrence",218.2,219,42,10,189,21,"2.753",0.252,1.239,"2.633"
"31",196,17035,2017,"Lydia Ritchie",216.2,219,74,18,143,18,"2.714",0.252,1.435,"3.434"
"32",77,2532,2017,"Mckenna Bull",214.1,154,60,10,230,11,"1.372",0.194,1.045,"1.901"
"33",189,18917,2017,"Kailee Smith",214,247,66,9,91,17,"3.206",0.276,1.505,"3.634"
"34",563,14275,2017,"Abby Morrow",213.2,223,39,12,104,19,"3.047",0.256,1.282,"3.299"
"35",498,4222,2017,"Melanie Coyne",213.1,157,72,40,137,24,"2.527",0.198,1.261,"4.153"
"36",659,10352,2017,"Brianna Jones",213.1,200,35,15,130,12,"2.395",0.238,1.172,"2.616"
"37",328,16715,2017,"Alexis Reid",213,242,65,10,121,12,"3.188",0.277,1.488,"3.053"
"38",371,10405,2017,"Kiley Jones",212.2,211,63,24,106,9,"2.238",0.246,1.401,"3.181"
"39",1068,13980,2017,"Kiandra Mitchum",211.2,180,45,10,180,21,"2.183",0.222,1.11,"2.769"
"40",630,12001,2017,"Katelyn Linford",211.1,192,32,7,194,22,"2.451",0.234,1.093,"2.471"
"41",522,15509,2017,"Paige Parker",210.1,136,47,7,262,22,"1.431",0.177,0.903,"2.039"
"42",454,17181,2017,"Mason Robinson",209.2,196,39,10,116,5,"2.203",0.233,1.169,"2.305"
"43",231,17713,2017,"Shannon Saile",208.1,104,112,10,240,9,"1.512",0.146,1.085,"2.414"
"44",37,3003,2017,"Kaylee Carlson",206.1,162,41,2,117,11,"1.357",0.208,0.994,"2.584"
"45",771,9875,2017,"Emily Ira",206.1,184,21,17,241,25,"2.850",0.227,1.076,"2.192"
"46",104,8082,2017,"Veronika Gulvin",205.2,200,63,21,82,18,"2.689",0.239,1.381,"3.966"
"47",367,1283,2017,"Maryssa Becker",205,219,49,13,163,8,"2.527",0.253,1.371,"2.224"
"48",772,5396,2017,"Kathryn Downing",205,204,102,8,105,8,"2.254",0.246,1.532,"3.493"
"49",277,9196,2017,"Brittany Hitchcock",204.2,167,28,4,169,14,"1.744",0.211,0.972,"2.107"
"50",428,7975,2017,"Sara Groenewegen",204.2,102,28,12,295,7,"0.616",0.139,0.694,"0.548"
"51",446,1301,2017,"Amy Begg",204,179,74,3,173,8,"2.402",0.222,1.255,"2.346"
"52",26172,3113,2017,"Liz Carter",204,201,78,12,179,16,"3.363",0.244,1.426,"2.988"
"53",817,12350,2017,"Maddi Lusk",203.1,208,68,10,143,8,"2.754",0.248,1.407,"2.656"
