"","team_id","player_id","rank","player","era"
"1",674,11319,1,"Nijaree Canady",0.774
"2",521,41088,2,"Lexi Kilfoyl",1.058
"3",694,61152,3,"Karlyn Pickens",1.133
"4",659,30589,4,"Maddia Groff",1.134
"5",68,64888,5,"Kasey Ricard",1.169
"6",600,80571,6,"Grace Vesco",1.204
"7",193,17107,7,"Cassidy Curd",1.356
"8",454,80320,8,"Jenna Veber",1.369
"9",694,29606,9,"Payton Gottshall",1.374
"10",283,2125,10,"Julia Apsel",1.401
"11",14927,39007,11,"Maya Johnson",1.448
"12",670,55071,12,"Jessica Mullins",1.45
"13",228,36917,13,"Zoryana Hughes",1.458
"14",193,85474,14,"Jala Wright",1.482
"15",487,83855,15,"Alivia Wilken",1.509
"16",646,43227,16,"Olivia Lackie",1.511
"17",180,84586,17,"Emily Winburn",1.517
"18",460,31908,18,"Kara Hammock",1.534
"19",97,63356,19,"Haley Rainey",1.541
"20",11504,16034,20,"Autumn Courtney",1.546
"21",115,72785,21,"Isabella Smith",1.589
"22",2678,369,22,"Kayla Adams",1.608
"23",509,52801,23,"Ashley Miller",1.617
"24",464,52429,24,"Kamryn Meyer",1.633
"25",202,67764,25,"Maddi Rutan",1.655
"26",31,34452,26,"Robyn Herron",1.689
"27",514,11250,27,"Sydney Campbell",1.715
"28",8,4788,28,"Kayla Beaver",1.727
"29",175,40631,29,"Izzy Kemp",1.741
"30",600,48749,30,"Rachel Marsden",1.766
"31",661,56335,31,"Josie Newman",1.771
"32",539,56129,32,"Bridget Nemeth",1.776
"33",655,6587,33,"Cera Blanchard",1.791
"34",28755,73685,34,"Allison Sparkman",1.795
"35",402,68533,35,"Shaelyn Sanders",1.802
"36",1104,28902,36,"Meghan Golden",1.822
"37",48,43449,37,"Nealy Lamb",1.823
"38",651,20163,38,"Payton Dixon",1.826
"39",817,36520,39,"Sophie Howell",1.827
"40",28755,7235,40,"Angelina Bonilla",1.828
"41",365,5817,40,"Sydney Berzon",1.828
"42",2711,5462,42,"Allison Benning",1.849
"43",147,73822,43,"Regan Spencer",1.855
"44",201,58411,44,"Mckenzie Oslanzi",1.871
"45",697,40713,45,"Emiley Kennedy",1.872
"46",483,51452,46,"Audrey Mcneill",1.874
"47",774,3285,47,"Rissa Bajusz",1.892
"48",222,71555,48,"Brooklyn Shroyer",1.911
"49",37,60226,49,"Maddie Penta",1.925
"50",275,64130,50,"Anna Reed",1.935
"51",68,6869,51,"Allison Boaz",1.961
"52",460,84701,52,"Emily Winstead",1.967
"53",172,31614,52,"Jensin Hall",1.967
"54",110,77969,54,"Taylor Tinsley",1.973
"55",169,62788,55,"Natalia Puchino",1.979
"56",639,22255,56,"Alissa Eimont",1.986
"57",521,66994,57,"Ivy Rosenberry",1.994
"58",72,40761,58,"Sydney Kennedy",2.003
"59",148,35922,59,"Melissa Holzopfel",2.004
"60",655,21045,60,"Ellie Dubois",2.016
"61",522,49765,60,"Kelly Maxwell",2.016
"62",416,30333,62,"Olivia Grey",2.038
"63",649,41879,63,"Tori Kniesche",2.052
"64",175,3248,64,"Sarah Bailitz",2.071
"65",14,31920,65,"Wendi Hammond",2.079
"66",346,81922,66,"Emma Wardlaw",2.117
"67",648,80292,67,"Alana Vawter",2.122
"68",703,40161,68,"Teagan Kavan",2.13
"69",434,32677,69,"Cierra Harrison",2.132
"70",464,57116,70,"Sydney Nuismer",2.141
"71",458,3817,71,"Georgeanna Barefoot",2.143
"72",504,34603,72,"Samantha Heyer",2.148
"73",2915,2854,73,"Margaret Axelson",2.149
"74",62,65757,74,"Brianna Roberts",2.152
"75",97,12970,74,"Staci Chambers",2.152
"76",31,44870,76,"Morgan Leinstock",2.173
"77",418,19287,77,"Lauren Derkowski",2.175
"78",671,43661,78,"Sam Landry",2.179
"79",732,46433,79,"Mariah Lopez",2.183
"80",361,57348,80,"Alyssa O'donnell",2.206
"81",688,33944,81,"Lindsey Hendrix",2.247
"82",253,60869,82,"Anslie Pettit",2.271
"83",43,5348,83,"Jordan Benefiel",2.285
"84",235,67158,84,"Keagan Rothrock",2.293
"85",30136,83172,85,"Amanda Weyh",2.315
"86",434,42722,86,"Laurin Krings",2.319
"87",386,55545,87,"Kiley Myers",2.322
"88",371,60247,88,"Peyton Pepkowski",2.335
"89",553,64714,89,"Breanna Reyna",2.343
"90",116,28202,90,"Megan Giese",2.36
"91",83,67177,91,"Madison Roukey",2.364
"92",102,5808,92,"Marissa Bertuccio",2.365
"93",90,63633,93,"Sophia Ramuno",2.38
"94",26172,644,94,"Primrose Aholelei",2.39
"95",67,21430,95,"Abby Dunning",2.403
"96",110,77109,96,"Kaitlyn Terry",2.415
"97",487,21592,97,"Cassidy Duskin",2.418
"98",587,7902,98,"Mattison Boyd",2.42
"99",609,67301,99,"Isabel Royle",2.422
"100",502,12698,100,"Erin Caviness",2.427
