"","team_id","player_id","rank","player","hr"
"1",11324,67692,1,"Collen Thorson",4
"2",271,33098,2,"Emily Jacobs",3
"3",394,2335,2,"Kaylee Atkins",3
"4",1036,54268,2,"Jess Pozezinski",3
"5",1400,32950,2,"Kylee Jack",3
"6",2810,4705,2,"Chloe Bennett",3
"7",30094,28202,2,"Jadyn Harlow",3
"8",73,48556,8,"Haley Nash",2
"9",105,71503,8,"Jessica Waters",2
"10",217,75301,8,"Ellie Zerr",2
"11",409,50990,8,"Avery Ouryear",2
"12",565,3936,8,"Rilee Baughan",2
"13",567,33026,8,"Leila Jackson",2
"14",573,68397,8,"Talia Travis",2
"15",573,10028,8,"Emma Caplinger",2
"16",652,66530,8,"Sydney Tackett",2
"17",715,1913,8,"Jordan Arce",2
"18",759,67417,8,"Paige Thomas",2
"19",785,19550,8,"Emma Elliott",2
"20",973,22878,8,"Morgan Frye",2
"21",1130,58674,8,"Riley Rudick",2
"22",1297,74401,8,"Casey Wright",2
"23",1297,23660,8,"Paola Garcia",2
"24",1390,73803,8,"Lily Wiser",2
"25",1400,68263,8,"Abby Touchet",2
"26",1454,17366,8,"Julia Dillon",2
"27",8490,26625,8,"Kylie Grisham",2
"28",11324,30674,8,"Preslee Hix",2
"29",23121,37697,8,"Erin Ladesma",2
"30",30041,45986,8,"Cassandra Miller",2
"31",30041,2342,8,"Savanah Atkins",2
"32",38,53407,32,"Lola Pilon",1
"33",40,9083,32,"Lilli Burton",1
"34",73,8752,32,"Bells Burdenski",1
"35",75,37785,32,"Delaney Lail",1
"36",84,26563,32,"Nicole Griggs",1
"37",132,58876,32,"Izzy Rushing",1
"38",132,56511,32,"Lydia Rice",1
"39",132,66521,32,"Morgan Tabor",1
"40",132,37917,32,"Emily Lammers",1
"41",132,21837,32,"Cheney Floyd",1
"42",134,72330,32,"Jordan Westerfield",1
"43",150,65510,32,"Skyler Stookey",1
"44",161,39109,32,"Mallory Leitner",1
"45",161,41768,32,"Jocelyn Maki",1
"46",203,34219,32,"Destiny Jones",1
"47",217,36309,32,"Sonia Klein",1
"48",263,22530,32,"Anna Frazier",1
"49",264,11966,32,"Samantha Chu",1
"50",266,26958,32,"Olivia Guggenberger",1
"51",266,48794,32,"Carly Nelson",1
"52",271,55538,32,"Lindsey Ratcliffe",1
"53",271,9996,32,"Jazlynn Cantu",1
"54",271,18991,32,"Ashley Easley",1
"55",271,44710,32,"Kristen Mcmillan",1
"56",286,75452,32,"Sydney Zombo",1
"57",297,1466,32,"Cheyenne Anderson",1
"58",325,58504,32,"Lexi Roush",1
"59",325,66110,32,"Alison Superka",1
"60",344,16638,32,"Cadence Dempsey",1
"61",364,45102,32,"Payton Meier",1
"62",374,54212,32,"Lexi Powell",1
"63",394,8721,32,"Jaclyn Burch",1
"64",394,33925,32,"Kaylynn Johnson",1
"65",394,42059,32,"Ashleigh Mannion",1
"66",396,36860,32,"Sara Koonce",1
"67",396,42132,32,"Ryleigh Maples",1
"68",396,2859,32,"Courtney Baine",1
"69",396,31979,32,"Cierra Hudson",1
"70",396,74194,32,"Kaitlin Woodruff",1
"71",396,17201,32,"Paige Dickinson",1
"72",412,19235,32,"Alexandra Edwards",1
"73",431,33724,32,"Maiya Joe",1
"74",462,36907,32,"Taylor Korecky",1
"75",462,35877,32,"Jenna Kimberling",1
"76",462,58445,32,"Hanna Roth",1
"77",491,40742,32,"Ava Lowry",1
"78",491,62642,32,"Makayla Simmons",1
"79",516,40517,32,"Evelyn Lorch",1
"80",516,52252,32,"Philycia Pedrosa",1
"81",542,26482,32,"Gracie Griffin",1
"82",542,11838,32,"Emma Chopko",1
"83",567,23441,32,"Katlyn Gandara",1
"84",578,44851,32,"Heather Mcqueeney",1
"85",581,38677,32,"Riley Laygo",1
"86",581,49150,32,"Bailey Nicholoff",1
"87",581,35919,32,"Marie Kinchington",1
"88",581,35186,32,"Hannah Keiper",1
"89",585,20382,32,"Gabriella Ezzell",1
"90",612,4870,32,"Peyton Berg",1
"91",612,49535,32,"Heather Nordlund",1
"92",612,22645,32,"Ali French",1
"93",612,6493,32,"Naleya Bork",1
"94",615,52781,32,"Hannah Peschel",1
"95",618,15261,32,"Aislind Dail",1
"96",622,41299,32,"Abby Mace",1
"97",637,44961,32,"Sarah Medellin",1
"98",652,24587,32,"Ansley Giffin",1
"99",679,36182,32,"Elizabeth Kirstein",1
"100",687,17944,32,"Jordan Dorrier",1
"101",687,50073,32,"Alyssa O'quinn",1
"102",687,42613,32,"Jordan Martin",1
"103",687,31989,32,"Kaylie Hudson",1
"104",750,39813,32,"Ella Link",1
"105",750,72832,32,"Jenna Wiebenga",1
"106",753,25134,32,"Gracelyn Goforth",1
"107",755,17820,32,"Kristina Donaldson",1
"108",759,35054,32,"Kaelyn Kearney",1
"109",795,43851,32,"Jordyn Mccormack",1
"110",800,52804,32,"Allison Peters",1
"111",800,33897,32,"Jordan Johnson",1
"112",803,4541,32,"Katelyn Belleau",1
"113",815,70644,32,"Emma Wade",1
"114",815,295,32,"Daphney Adams",1
"115",815,3675,32,"Gretchen Barstad",1
"116",973,31159,32,"Casey Holloway",1
"117",973,72566,32,"Katie White",1
"118",973,32961,32,"Anna Jackson",1
"119",973,13945,32,"Lauren Cothern",1
"120",1062,41458,32,"Tristen Maddox",1
"121",1066,29215,32,"Olivia Hebert",1
"122",1112,20940,32,"Faith Fennell",1
"123",1112,62827,32,"Morgan Singletary",1
"124",1112,33900,32,"Kaci Johnson",1
"125",1115,42326,32,"Sophie Markowizc",1
"126",1115,45937,32,"Alex Miller",1
"127",1124,22267,32,"Ashlynn Fowler",1
"128",1130,61356,32,"Sydney Sellers",1
"129",1130,31180,32,"Jordan Holman",1
"130",1162,46931,32,"Kelsea Moody",1
"131",1162,25410,32,"Cecillia Gonzalez",1
"132",1203,4460,32,"Bralyn Belk",1
"133",1203,69942,32,"Gabriela Vela",1
"134",1297,63645,32,"Zoe Smithson",1
"135",1355,52553,32,"Kimberlie Perez",1
"136",1390,29810,32,"Adriana Hernandez",1
"137",1400,25488,32,"Serena Gonzalez",1
"138",1400,33977,32,"Madison Johnson",1
"139",1454,46906,32,"Haley Montoya",1
"140",2694,42548,32,"Abbey Martin",1
"141",2741,9690,32,"Kayla Camacho",1
"142",2810,47256,32,"Delayne Moreno",1
"143",8530,3742,32,"Tristyn Barton",1
"144",8567,35502,32,"Maddie Kennedy",1
"145",8746,43661,32,"Meghan Mccarthy",1
"146",8746,33078,32,"Victoria Jackson-sears",1
"147",11324,43607,32,"Sadie Mccallum",1
"148",17094,43530,32,"Megan Mcanany",1
"149",21830,66864,32,"Kara Taylor",1
"150",23121,9419,32,"Addison Caddell",1
"151",23121,30882,32,"Mikayla Hoffman",1
"152",23121,29832,32,"Cadence Hernandez",1
"153",23121,53848,32,"Claire Pollack",1
"154",23121,33835,32,"Cole Johnson",1
"155",23260,69986,32,"Bella Velez",1
"156",24400,12806,32,"Grace Coleman",1
"157",24400,50391,32,"Molly Olivarez",1
"158",24400,36147,32,"Kylie Kirk",1
"159",24400,31395,32,"Megan Hooper",1
"160",24400,13163,32,"Ellie Congalton",1
"161",28749,74515,32,"Stella Wulker",1
"162",30031,35193,32,"Gabrielle Keith",1
"163",30041,47514,32,"Karma Morrison",1
"164",30160,48803,32,"Danielle Nelson",1
"165",30171,64104,32,"Aubrey Sowders",1
"166",30197,34229,32,"Ellie Jones",1
"167",30197,72825,32,"Mary moore Widemire",1
"168",30197,46089,32,"Madi Miller",1
"169",30197,51627,32,"Natalie Parker",1
"170",30243,53990,32,"Emma Popplewell",1
