"","team_id","player_id","rank","player","era"
"1",645,64135,1,"Bailee Reed",0.318
"2",1085,62124,2,"Alyssa Poston",0.581
"3",30177,43453,3,"Teoni Lamb",0.601
"4",24639,20977,4,"Alyssa Drogenmuller",0.66
"5",30198,72525,5,"Jayline Sloss",0.933
"6",584,85374,6,"Ashley Worrell",0.955
"7",468,14534,7,"Julianna Colbert",1.346
"8",9004,6679,8,"Janelle Blaszka",1.744
"9",1126,31624,9,"Kinsley Hall",1.75
"10",339,29927,10,"Haley Gravish",1.806
"11",1402,27775,11,"Annika Gels",1.818
"12",30063,32840,12,"Logan Hartman",1.853
"13",435,67266,13,"Charlye Rowland",2.156
"14",30126,82644,14,"Allison Weilnau",2.217
"15",608,70865,15,"Morgan Shannon",2.403
"16",1348,63732,16,"Eliana Raposo",2.471
"17",757,7246,17,"Alexis Bonk",2.567
"18",9004,15695,18,"Kahlen Cornell",2.812
"19",675,26004,19,"Alexandra Frenza",2.838
"20",30138,62976,20,"Ellie Quaethem",2.905
"21",720,31955,21,"Kamya Hampton",2.934
"22",30126,24588,22,"Grace Fisher",3.043
"23",1085,83980,23,"Abby Williams",3.08
"24",30052,19213,24,"Tybee Denton",3.107
"25",1059,44829,25,"Kendal Lehnen",3.319
"26",9081,50502,26,"Erica Mccullough",3.365
"27",174,38305,27,"Sammie Jarvis",3.5
"28",12810,33684,28,"Madison Heinle",3.552
"29",1438,60871,29,"Kadence Pettit",3.559
"30",470,51162,30,"Viana Mckinley",3.598
"31",93,11724,31,"Natalie Carlos",4.167
"32",70,62864,32,"Akirra Pullen",4.19
"33",205,38102,33,"Caitlyn James",4.667
"34",2755,44886,34,"Paige Leithead",4.74
"35",720,13912,35,"Caroline Clark",5.045
"36",8956,4559,36,"Emily Baxter",6.045
"37",243,77232,37,"Sydney Theobald",6.563
"38",1126,59637,38,"Makenna Patterson",6.604
"39",1266,67803,39,"Abby Rux",6.629
"40",1012,45241,40,"Brooklyn Levin",9.731
