"","team_id","season","player","ab","h","x2b","x3b","hr","rbi","r","bb","hbp","k","sb","cs","avg","obp","ops"
"379",1014,2020,"Payton Wade",39,13,3,0,3,7,9,5,2,8,0,0,"0.333",0.435,"1.076"
"380",305,2020,"Bella Peterson",69,28,7,0,2,21,18,11,0,12,4,0,"0.406",0.481,"1.075"
"381",72,2020,"Allison Apke",60,19,2,2,5,16,13,6,3,9,0,0,"0.317",0.406,"1.073"
"382",270,2020,"Lexi Lomax",41,11,3,2,3,12,14,10,3,8,6,3,"0.268",0.414,"1.073"
"383",617,2020,"Anja solveig Kane",36,11,5,1,2,5,9,4,2,9,4,0,"0.306",0.405,"1.072"
"384",697,2020,"Haley Lee",71,23,7,0,5,19,14,16,0,9,1,0,"0.324",0.438,"1.072"
"385",704,2020,"Kasey Flores",65,22,1,0,7,14,16,5,1,7,0,0,"0.338",0.394,"1.071"
"386",782,2020,"Neleigh Herring",82,30,8,1,5,22,20,5,1,19,0,0,"0.366",0.4,"1.071"
"387",175,2020,"Abby Ehrenborg",65,22,6,0,6,10,9,3,0,10,0,0,"0.338",0.362,"1.070"
"388",290,2020,"Kalita Dennis",76,29,6,0,5,22,17,3,1,10,3,0,"0.382",0.412,"1.070"
"389",796,2020,"Stephanie Lombardo",45,14,3,0,4,9,6,7,2,16,0,0,"0.311",0.426,"1.070"
"390",463,2020,"Olivia Ferrell",32,11,2,0,2,10,7,8,0,8,1,0,"0.344",0.475,"1.069"
"391",302,2020,"Kayla Pociejewski",55,19,4,0,5,18,12,3,1,13,3,0,"0.345",0.377,"1.068"
"392",381,2020,"Christine Gebhardt",46,19,5,1,1,6,11,2,0,1,0,0,"0.413",0.438,"1.068"
"393",716,2020,"Katie Lively",66,24,8,0,3,15,13,8,2,15,0,0,"0.364",0.447,"1.068"
"394",328,2020,"Brittany Jackson",83,32,4,3,3,15,22,8,3,8,1,0,"0.386",0.453,"1.067"
"395",391,2020,"Imani Dawson",21,6,2,0,2,9,3,2,2,7,0,1,"0.286",0.4,"1.067"
"396",529,2020,"Allee Bunker",70,30,6,0,2,12,21,5,0,3,3,0,"0.429",0.467,"1.067"
"397",782,2020,"Bailey Lange",56,20,7,0,3,15,13,6,1,11,1,2,"0.357",0.422,"1.065"
"398",101,2020,"Jessica Alexander",77,30,5,0,5,25,21,4,0,8,1,2,"0.390",0.415,"1.064"
"399",434,2020,"Hatti Moore",74,23,3,0,7,15,14,16,0,15,1,0,"0.311",0.429,"1.064"
"400",148,2020,"Mackenzie Tucker",44,18,5,2,0,4,13,4,0,3,0,0,"0.409",0.449,"1.063"
"401",334,2020,"Kayla Kowalik",83,31,4,8,0,13,31,11,2,10,11,0,"0.373",0.449,"1.063"
"402",28,2020,"Bella Loomis",59,19,3,2,3,20,20,17,2,16,8,1,"0.322",0.469,"1.062"
"403",191,2020,"Jessica Schable",16,7,0,1,0,6,2,1,1,5,0,0,"0.438",0.5,"1.062"
"404",193,2020,"Felise Collins",35,14,1,0,2,8,9,4,0,8,0,0,"0.400",0.462,"1.062"
"405",235,2020,"Hannah Adams",80,30,3,0,4,16,26,18,4,5,4,2,"0.375",0.5,"1.062"
"406",331,2020,"Morgan Bowers",16,6,0,0,1,4,3,3,1,4,0,0,"0.375",0.5,"1.062"
"407",428,2020,"Makenna Partain",83,29,7,1,4,19,22,14,3,9,6,0,"0.349",0.46,"1.062"
"408",692,2020,"Raleigh Lewis",55,18,3,0,5,14,10,5,3,14,0,0,"0.327",0.406,"1.061"
"409",716,2020,"Jade Sinness",60,18,2,1,6,15,17,9,1,10,1,0,"0.300",0.394,"1.061"
"410",434,2020,"Brooke Wilmes",86,35,8,0,3,12,30,4,6,7,4,2,"0.407",0.455,"1.060"
"411",660,2020,"Zoe Schafer",56,20,3,0,4,19,11,5,4,6,0,1,"0.357",0.433,"1.058"
"412",1157,2020,"Katie Greep",65,28,4,2,1,14,15,4,1,5,3,0,"0.431",0.458,"1.058"
"413",86,2020,"Anna Aguon",39,15,5,0,1,8,8,6,0,6,2,2,"0.385",0.467,"1.057"
"414",193,2020,"Jameson Kavel",69,26,3,3,2,17,29,8,4,9,14,1,"0.377",0.463,"1.057"
"415",430,2020,"Carter Spexarth",58,22,3,0,4,20,6,4,0,3,0,0,"0.379",0.419,"1.057"
"416",234,2020,"Anna Shelnutt",16,4,1,0,2,8,3,2,1,7,0,0,"0.250",0.368,"1.056"
"417",370,2020,"Andrea Gonzalez",72,26,6,0,5,23,17,4,1,9,1,0,"0.361",0.403,"1.056"
"418",367,2020,"Madison Ciaccio",10,4,2,0,0,1,2,1,0,3,0,0,"0.400",0.455,"1.055"
"419",334,2020,"Miranda Stoddard",21,7,2,0,1,8,7,5,2,4,0,0,"0.333",0.483,"1.054"
"420",1157,2020,"Cheyanne Sales",70,24,8,1,3,22,14,11,2,13,0,0,"0.343",0.44,"1.054"
"421",664,2020,"Amber Pack",52,16,2,1,4,19,12,9,3,15,1,0,"0.308",0.438,"1.053"
"422",37,2020,"Alyssa Rivera",81,29,2,0,6,18,24,13,0,8,10,1,"0.358",0.447,"1.052"
"423",72,2020,"Taise Thompson",50,18,4,0,2,11,15,11,3,6,0,0,"0.360",0.492,"1.052"
"424",77,2020,"Huntyr Ava",71,23,2,0,8,28,10,4,2,14,0,0,"0.324",0.362,"1.052"
"425",464,2020,"Emma Dargy",68,21,3,0,7,23,20,9,2,11,1,0,"0.309",0.39,"1.052"
"426",513,2020,"Abby Sweet",68,25,8,1,2,21,18,3,7,1,8,0,"0.368",0.449,"1.052"
"427",810,2020,"Grace Gressly",47,18,4,0,2,13,8,6,2,7,0,0,"0.383",0.456,"1.052"
