"","team_id","player_id","rank","player","k_7"
"1",1179,50816,1,"Tyler McNeley","9.0"
"2",973,29111,2,"Hannah Gore","8.5"
"3",1130,64904,3,"Allie Roberts","8.1"
"4",258,25054,4,"Paige Forry","7.6"
"5",329,46558,5,"Nikki Lusnia","7.6"
"6",335,31476,6,"Kylie Hamm","7.4"
"7",409,17865,7,"Lillie Davis","7.2"
"8",30038,51760,8,"Emily Meyer","7.1"
"9",374,20323,9,"Kailey Dorcsis","6.7"
"10",15,85251,10,"Lilly Zaskowski","6.5"
"11",30031,74625,11,"Ireland Strubbe","6.5"
"12",2810,36382,12,"Allison Hughes","6.4"
"13",30111,13756,13,"Charley Clark","6.2"
"14",30197,26080,14,"Macy Funderburk","6.1"
"15",462,80920,15,"Elise Warneke","6.1"
"16",2810,72590,16,"Victoria Sossaman","5.4"
"17",17094,7305,17,"Kimberly Bordeaux","5.3"
"18",21830,73685,18,"Megan Steinmeyer","5.2"
"19",542,9736,19,"Emma Bullin","4.7"
"20",1400,82252,20,"Amanda White","4.5"
"21",17094,73987,21,"Reagan Stewart","3.9"
"22",22989,35473,22,"Georgia Holzer","3.7"
"23",715,41564,23,"Josephine Koelewyn","3.6"
"24",412,47903,24,"Kiersten Margoupis","3.5"
"25",30039,68881,25,"Addison Schroer","3.5"
"26",21830,72996,26,"Taylor Spivey","3.5"
"27",516,18067,27,"Zada Day-Adams","3.3"
"28",775,39429,28,"Riley Kane","3.2"
"29",567,26568,29,"Katlyn Gandara","3.1"
"30",412,55217,30,"Emma Neeley","2.5"
"31",1124,67315,31,"Emma Salis","2.1"
"32",781,59273,32,"Bella Peinado","1.2"
