"","team_id","player_id","rank","player","so"
"1",14927,39007,1,"Maya Johnson",366
"2",694,61152,2,"Karlyn Pickens",305
"3",700,11319,3,"NiJaree Canady",296
"4",28,9172,4,"Kenzie Brown",289
"5",463,3158,5,"Jordyn Bahl",286
"6",603,70551,6,"Ana Serafinko",282
"7",464,30589,7,"Maddia Groff",251
"8",180,40895,8,"Billie Kerwood",250
"9",202,67764,9,"Maddi Rutan",247
"10",693,29408,10,"Peja Goold",244
"11",529,30295,11,"Lyndsey Grein",239
"12",521,52473,12,"Ruby Meylan",238
"13",68,64888,13,"Kasey Ricard",233
"14",414,64270,14,"Madilyn Reeves",232
"15",703,40161,15,"Teagan Kavan",221
"16",587,32682,16,"Ella Harrison",213
"17",430,12901,17,"Raelin Chaffin",205
"18",661,56335,18,"Josie Newman",204
"19",742,44939,19,"Emma Lemley",196
"20",175,40631,20,"Izzy Kemp",193
"21",603,25684,21,"Loreley Francia",189
"22",386,61623,21,"Maddie Pleasants",189
"23",670,2935,23,"Maddy Azua",187
"24",366,25044,24,"Allie Floyd",185
"25",2711,5462,25,"Allison Benning",181
"26",355,22944,25,"Elena Escobar",181
"27",590,42489,27,"Sam Kowalski",180
"28",522,43661,27,"Sam Landry",180
"29",110,77109,29,"Kaitlyn Terry",179
"30",220,82650,30,"Alyssa Weinberg",175
"31",148,35922,30,"Melissa Holzopfel",175
"32",528,36978,32,"Logan Hulon",174
"33",1395,69870,33,"Shelby Schultz",173
"34",110,77969,33,"Taylor Tinsley",173
"35",229,16034,35,"Autumn Courtney",172
"36",62,65757,35,"Brianna Roberts",172
"37",433,30782,35,"Miali Guachino",172
"38",149,61186,35,"Nicolette Picone",172
"39",418,19287,39,"Lauren Derkowski",168
"40",80,30900,40,"Alexis Guevara",166
"41",748,86354,41,"Karson Zavala",165
"42",466,51255,42,"Hailey McLean",163
"43",222,71555,43,"Brooklyn Shroyer",162
"44",306,15521,44,"Brianna Copeland",160
"45",31,34452,44,"Robyn Herron",160
"46",693,46259,44,"Taylor Long",160
"47",371,60247,47,"Peyton Pepkowski",159
"48",257,3045,48,"Lilli Backes",156
"49",193,17107,49,"Cassidy Curd",155
"50",428,69966,50,"Sydney Schwartz",154
"51",716,23476,51,"Alyssa Faircloth",153
"52",2743,38038,52,"Larissa Jacquez",152
"53",562,36128,52,"Sydney Horan",152
"54",391,49603,54,"Kya Matter",151
"55",674,36370,55,"Alyssa Houston",150
"56",697,40713,56,"Emiley Kennedy",149
"57",72,40761,57,"Sydney Kennedy",147
"58",794,22171,58,"Genesis Eggart",146
"59",659,56280,59,"McKenzie Newcomb",144
"60",579,19450,60,"Madison DeVault",143
"61",255,81095,61,"Sophia Voyles",142
"62",576,30630,62,"Anna-Mari Groskritz",140
"63",473,30896,63,"McKenna Guest",139
"64",756,63633,63,"Sophia Ramuno",139
"65",30136,81841,65,"Avery Wapp",138
"66",365,33514,65,"Jayden Heavener",138
"67",559,29573,65,"Julia Gossett",138
"68",529,73316,68,"Elise Sokolsky",137
"69",112,10934,69,"India Caldwell",136
"70",283,23518,70,"Emma Falen",135
"71",457,63926,71,"Makenna Raye Dark",134
"72",27,54732,72,"Sophie Moshos",133
"73",308,39192,73,"Alanah Jones",132
"74",1157,26075,73,"Emma Friedel",132
"75",312,354,73,"Jalen Adams",132
"76",650,86091,73,"McKenna Young",132
"77",201,58411,73,"McKenzie Oslanzi",132
"78",96,55988,73,"Serayah Neiss",132
"79",1395,6731,79,"Hannah Blincoe",130
"80",514,7174,79,"Kenna Bommarito",130
"81",610,80219,79,"Odhi Vasquez",130
"82",563,64104,82,"Dakota Redmon",129
"83",769,39667,82,"Tessa Juett",129
"84",655,44042,84,"Macie LaRue",128
"85",772,73000,84,"Rylan Smith",128
"86",196,2108,84,"Taylor Apple",128
"87",305,30384,87,"Hailey Griffin",127
"88",518,7681,87,"Lorin Boutte",127
"89",519,53014,87,"Skipp Miller",127
"90",2678,369,90,"Kayla Adams",126
"91",10411,48190,90,"Sierra Maness",126
"92",249,64130,92,"Anna Reed",125
"93",746,6107,92,"Eden Bigham",125
"94",489,18024,92,"Jaden Davis",125
"95",178,83391,92,"Kristin White",125
"96",756,64409,92,"Morgan Reimer",125
"97",368,18543,92,"Olivia DeCitise",125
"98",380,65234,98,"Alysen Rieth",124
"99",29,56197,98,"Devyn Netz",124
"100",104,38999,98,"Malaya Johnson",124
