"","team_id","player_id","rank","player","slg"
"1",461,962,1,"Kaijah Alexander","1.088"
"2",30037,34848,2,"Debbie Hill","1.030"
"3",1179,70275,3,"Claire Seats","1.007"
"4",18,64494,4,"Jessica Remm","0.982"
"5",1094,78153,5,"Sharon Tomei","0.977"
"6",789,24849,6,"Sydney Fleming","0.952"
"7",641,33635,7,"Megan Heidelbauer","0.948"
"8",30197,39279,8,"Ellie Jones","0.946"
"9",1062,47597,9,"Tristen Maddox","0.924"
"10",800,19837,10,"Melissa Dietz","0.911"
"11",461,67751,11,"Morgan Russo","0.874"
"12",24400,41477,11,"Kylie Kirk","0.874"
"13",182,10905,13,"Annabelle Calderon","0.869"
"14",1130,35778,14,"Jordan Holman","0.864"
"15",139,30037,15,"Brooke Greaver","0.863"
"16",278,74213,15,"Gabbie Stallbaum","0.863"
"17",396,84019,17,"Brecca Williams","0.862"
"18",30037,48473,17,"Tyra Marcum","0.862"
"19",1130,78596,19,"Miranda Treadway","0.857"
"20",1036,62317,20,"Jess Pozezinski","0.855"
"21",389,49781,21,"Hadley May","0.853"
"22",117,41445,22,"Kyleigh Kirby","0.849"
"23",1297,73078,23,"Zoe Smithson","0.839"
"24",4,67710,24,"Peyton Russell","0.833"
"25",526,70562,25,"Julia Serena","0.830"
"26",22626,47318,26,"Mady Lyons","0.822"
"27",281,39939,27,"Darian Kanno","0.821"
"28",801,2731,28,"Kelly Aultman","0.811"
"29",321,9518,29,"Kendal Bryant","0.810"
"30",1179,2802,30,"Ashlyn Aven","0.806"
"31",394,38932,31,"Kaylynn Johnson","0.798"
"32",581,56433,32,"Bailey Nicholoff","0.793"
"33",1297,20239,33,"Kalamani Doctor","0.792"
"34",18,83545,34,"Molly Whitmyer","0.791"
"35",17094,18239,35,"Adanya Day","0.789"
"36",409,74265,36,"Ashbee Standridge","0.787"
"37",549,81152,37,"Devin Waddell","0.783"
"38",1066,33531,38,"Olivia Hebert","0.780"
"39",641,74517,39,"Ashlyn Steen","0.774"
"40",1179,45427,40,"Jacey Leyvas","0.773"
"41",19,19509,41,"Olivia Devries","0.771"
"42",1315,75566,42,"Sara Stroup","0.770"
"43",804,47375,43,"Ellie Macal","0.768"
"44",1036,25960,44,"Jasmine Freeze","0.767"
"45",30084,71122,45,"Molly Shelley","0.766"
"46",622,38023,46,"Carrie Jacoby","0.765"
"47",30085,14156,47,"Phoebe Clemens","0.764"
"48",139,72463,48,"Candace Slaw","0.763"
"49",491,71957,49,"Makyiah Simmons","0.761"
"50",1315,14164,49,"Krislyn Clement","0.761"
"51",399,7304,51,"Kelsey Booker","0.755"
"52",581,44407,51,"Riley Laygo","0.755"
"53",808,44126,53,"Lucy Latour","0.750"
"54",1400,29248,53,"Serena Gonzalez","0.750"
"55",549,45912,55,"Kylie Liu","0.742"
"56",733,5101,55,"Brooke Beleza","0.742"
"57",745,79024,55,"Morgan Tucker","0.742"
"58",182,135,58,"Jacqui Abogado","0.740"
"59",397,59136,58,"Tori Para","0.740"
"60",580,15338,60,"Maddy Cook","0.738"
"61",804,5445,60,"Peyton Bennett","0.738"
"62",1179,34500,62,"Cydney Hess","0.734"
"63",30037,66082,63,"Macy Rocha","0.730"
"64",30042,83534,64,"Brooke Whitmarsh","0.728"
"65",121,64612,65,"Clare Rettler","0.726"
"66",297,46651,66,"Brooke Loveall","0.725"
"67",2810,5401,67,"Chloe Bennett","0.722"
"68",443,71797,68,"Marcie Silberman","0.720"
"69",303,57810,69,"Jess Oldham","0.718"
"70",673,27794,69,"Callie Gendron","0.718"
"71",612,74550,71,"Mikayla Steffes","0.717"
"72",14795,41714,72,"Alexis Kline","0.716"
"73",30084,32764,72,"Julia Hart","0.716"
"74",717,57848,74,"Heaven Oliva","0.715"
"75",614,2218,75,"Allison Ardito","0.714"
"76",793,48682,75,"Molly Marquardt","0.714"
"77",1133,30255,77,"Julia Gregoire","0.713"
"78",622,75080,78,"Emily Stockman","0.712"
"79",139,20939,79,"Sammy Drew","0.710"
"80",1434,33721,80,"Meysa Heitmann","0.707"
"81",764,58251,81,"Abby Orso","0.706"
"82",9684,27098,82,"Josilynn Garcia","0.705"
"83",341,11169,83,"Alyssa Campbell","0.702"
"84",973,15938,83,"Lauren Cothern","0.702"
"85",300,40988,85,"Ava Khoury","0.701"
"86",20220,38007,85,"Alyssa Jacobson","0.701"
"87",4,45217,87,"Maggie Leveille","0.700"
"88",272,85003,87,"Olivia Wolk","0.700"
"89",777,1016,87,"Mia Alfonso","0.700"
"90",245,20980,90,"Lacey Drolsbaugh","0.698"
"91",30031,37770,91,"Jadyn Iverson","0.697"
"92",46,8583,92,"Bridie Bricker","0.696"
"93",681,14561,92,"Emma Coldsnow","0.696"
"94",30038,20824,94,"Emily Doyle","0.695"
"95",179,8512,95,"Angelina Bresnen","0.692"
"96",203,18427,95,"Meaghan Dean","0.692"
"97",344,19083,97,"Cadence Dempsey","0.689"
"98",22235,28306,97,"Samantha Gildersleeve","0.689"
"99",190,47749,99,"Olivia Magliacano","0.688"
"100",121,33909,100,"Gwen Hendrick","0.686"
"101",452,10816,100,"Kendyll Cahill","0.686"
