"","team_id","player_id","rank","player","avg","season"
"1",522,1274,1,"Jocelyn Alo","0.526",2022
"2",782,51175,2,"Sydney Mckinney","0.520",2023
"3",671,22356,3,"Lexie Elkins","0.514",2016
"4",368,12345,4,"Courtney Cashman","0.512",2019
"5",782,51175,5,"Sydney Mckinney","0.511",2022
"6",199,38150,6,"Mariah Jameyson","0.508",2018
"7",386,646,7,"Haley Ahr","0.506",2025
"8",165,72730,8,"Danielle Smith","0.505",2016
"9",408,26226,8,"Madison Fry","0.505",2022
"10",178,27675,10,"Nicole Gazzola","0.497",2016
"11",334,42482,11,"Kayla Kowalik","0.495",2021
"12",487,13904,12,"Brooklynn Clark","0.494",2016
"13",306,53206,13,"Taylor Minnick","0.491",2025
"14",294,10201,14,"Kacie Burnett","0.487",2017
"15",388,30165,15,"Kaelynn Greene","0.486",2016
"16",631,78711,15,"Ashley Trierweiler","0.486",2023
"17",108,66591,17,"Alyse Rojas","0.485",2020
"18",688,57392,18,"Sydney O'hara","0.484",2017
"19",312,12162,19,"Nia Carter","0.483",2023
"20",331,73761,19,"Holly Speers","0.483",2018
"21",498,65824,19,"Rochelle Roberts","0.483",2016
"22",704,64962,19,"Ajia Richard","0.483",2025
"23",66,41906,23,"Sophia Knight","0.482",2025
"24",388,86469,23,"Morgan Zerkle","0.482",2016
"25",400,16236,23,"Jena Cozza","0.482",2018
"26",149,25255,26,"Taty Forbes","0.479",2016
"27",191,67619,26,"Linda Rush","0.479",2021
"28",559,4890,26,"Rachel Becker","0.479",2021
"29",1092,7342,29,"Andria Booth","0.477",2018
"30",388,86469,30,"Morgan Zerkle","0.476",2017
"31",522,1274,31,"Jocelyn Alo","0.475",2021
"32",148,51471,32,"Erica Mcnew","0.474",2016
"33",302,82318,32,"Lexi Watts","0.474",2019
"34",172,69752,34,"Micah Schroder","0.473",2019
"35",287,27002,34,"Ab Garcia","0.473",2025
"36",275,39961,36,"Maddy Kaplan","0.472",2016
"37",352,3848,37,"Carley Barjaktarovich","0.471",2021
"38",521,71399,37,"Vanessa Shippy","0.471",2018
"39",30095,4343,37,"Janessa Bassett","0.471",2016
"40",782,85057,40,"Cc Wong","0.470",2024
"41",147,10803,41,"Valerie Cagle","0.469",2023
"42",175,69919,42,"Emma Schutter","0.467",2023
"43",90,14171,43,"Jessica Clements","0.464",2024
"44",290,39513,43,"Maryn Jordan","0.464",2024
"45",193,38481,45,"D'auna Jennings","0.462",2023
"46",463,3158,45,"Jordyn Bahl","0.462",2025
"47",522,38506,45,"Tiare Jennings","0.462",2021
"48",51,70181,48,"Jessica Scroggins","0.461",2018
"49",702,52068,48,"Sandra Mendoza","0.461",2016
"50",371,37778,50,"Allyson Ivey","0.460",2019
"51",796,42270,50,"Kayla Konwent","0.460",2019
"52",111,64973,52,"Madeline Richard","0.459",2016
"53",661,35311,53,"Haley Hodges","0.458",2016
"54",466,38402,54,"Aaliyah Jenkins","0.457",2025
"55",2743,1312,54,"Victoria Altamirano","0.457",2024
"56",2743,1312,56,"Victoria Altamirano","0.456",2025
"57",158,78841,57,"Taylor Troutt","0.455",2018
"58",518,10250,57,"Jasmyn Burns","0.455",2025
"59",654,1751,57,"Rachel Anderson","0.455",2019
"60",769,5166,57,"Lily Bell","0.455",2025
"61",294,10201,61,"Kacie Burnett","0.454",2016
"62",487,8552,61,"Kara Brewer","0.454",2018
"63",626,60305,61,"Jenavee Peres","0.454",2017
"64",371,55622,64,"Erica Nagel","0.453",2016
"65",676,59702,64,"Kaylee Paul","0.453",2025
