"","team_id","player_id","rank","player","ip","season"
"1",383,65222,1,"Coley Ries",293.2,2017
"2",1176,59670,2,"Halle Grace Patton",263,2025
"3",197,17824,3,"Sarah Davenport",259.2,2025
"4",765,36306,4,"Amanda Houck",255.3,2017
"5",533,27072,5,"Gisselle Garcia",254.3,2025
"6",30180,54148,6,"Andrea Morales",253.2,2022
"7",262,45773,7,"Allison Lipovsky",252,2019
"8",689,20554,8,"Makaleigh Dooley",245.3,2019
"9",1116,37004,9,"Autumn Humes",241.2,2017
"10",309,72866,10,"Kenzee Smith",237.3,2023
"11",30028,28837,10,"Tatum Goff",237.3,2023
"12",689,20554,12,"Makaleigh Dooley",236.2,2018
"13",30154,42459,12,"Nikkie Kovalsky",236.2,2019
"14",309,35957,14,"Lauren Honkomp",235.1,2017
"15",757,10530,15,"Lyndsay Butler",234.1,2017
"16",12799,13097,15,"Mallory Chapman",234.1,2018
"17",1013,49365,17,"Addison Mass",233.1,2025
"18",309,21744,18,"Cheyenne Eads",232.3,2025
"19",24639,75270,18,"Lexie Storrer",232.3,2018
"20",734,65012,20,"Samantha Richards",232.2,2022
"21",437,33225,21,"Chelsea Hawks",232,2017
"22",1328,30176,22,"Shannon Greene",231.2,2018
"23",1000,65375,23,"Lacie Rinus",230.2,2018
"24",757,30979,24,"Megan Guitar",230.1,2019
"25",95,28326,25,"Haley Gilham",228.3,2018
"26",2814,28496,26,"Jaycee Ginter",226.1,2022
"27",339,29927,27,"Haley Gravish",225.3,2025
"28",3,34619,27,"Lindsey Hibbs",225.3,2023
"29",1376,76888,29,"Victoria Taylor",225.2,2018
"30",30052,72880,30,"Kylee Smith",225.1,2017
"31",30152,9156,31,"Katelyn Brown",225,2018
"32",30055,23911,32,"Hayley Fein",224.3,2017
"33",1314,65846,33,"Emmie Robertson",224,2017
"34",360,72450,34,"Bekah Slattery",223.2,2019
"35",1071,75081,35,"Eryn Stockman",223.1,2017
"36",995,61942,36,"Sydney Ponto",222.2,2017
"37",30052,72880,37,"Kylee Smith",220.2,2018
"38",30152,9156,38,"Katelyn Brown",219.3,2017
"39",383,81883,38,"Mackenzie Ward",219.3,2022
"40",436,41362,40,"Carly Kingery",219.2,2017
"41",765,36306,41,"Amanda Houck",219.1,2018
"42",30180,54148,41,"Andrea Morales",219.1,2019
"43",1460,83487,41,"Caitlyn Whiteside",219.1,2019
"44",41,28592,44,"Grace Glanzer",218,2025
"45",1371,51758,45,"Kelsey Meeks",217.3,2018
"46",12799,13097,46,"Mallory Chapman",217.2,2017
"47",947,31006,47,"Jalissa Gum",217.1,2017
"48",1240,5784,48,"Becky Berth",215.2,2019
"49",92,57792,49,"Alyssa Olague",215.1,2022
"50",1376,66483,49,"Brinson Rogers",215.1,2025
"51",30050,31361,51,"Ali Haesele",214.3,2018
"52",9630,80590,52,"Hannah Vet",214.2,2017
"53",74,9932,53,"Katie Burawski",214.1,2022
"54",25,48645,54,"Brandy Marlett",212.3,2017
"55",354,27218,54,"Delaney Garden",212.3,2025
"56",734,65012,54,"Samantha Richards",212.3,2023
"57",11740,30911,57,"Haley Guffey",212.1,2025
"58",358,22039,58,"Andrea Edmonds",212,2017
"59",9680,1876,59,"Ilona Andringa",211.3,2018
"60",790,59768,59,"Liz Pautz",211.3,2022
"61",30202,39339,61,"Kayleigh Jones",210.3,2023
"62",291,84155,62,"Maddie Williams",210.1,2017
"63",1266,24595,63,"Jamie Fisher",209.1,2018
"64",1328,30176,64,"Shannon Greene",207.3,2019
"65",230,55341,65,"Melanie Murphy",206.3,2019
"66",11740,76766,66,"Becca Taylor",206.2,2017
"67",65,73617,67,"Callie Sowers",206.1,2023
"68",790,41681,68,"Jordyn Kleman",205.3,2019
"69",638,3513,69,"Alicia Ball",205.1,2025
"70",216,458,69,"Avery Adkins",205.1,2023
"71",30055,47891,69,"Jensen Main",205.1,2022
"72",1057,5910,69,"Kristina Bettis",205.1,2022
"73",30199,57129,73,"Callie Nunes",205,2019
"74",593,60568,74,"Morgan Perry",204.3,2019
"75",309,82160,75,"Hallie Waters",204.2,2019
"76",30058,56919,75,"Tiaria Norman",204.2,2018
"77",49,79782,77,"Gabby Vallee",204.1,2019
"78",30181,8251,77,"Taylor Brandts",204.1,2017
"79",468,4056,79,"Maddy Barone",204,2019
"80",791,32343,80,"Mercedes Hargett",203.3,2017
"81",41,52573,81,"Ashley Mickschl",203.2,2019
"82",1013,50407,81,"Brianna Mccown",203.2,2023
"83",8411,14660,81,"Kendra Coleman",203.2,2017
"84",339,56585,84,"Savannah Nierintz",202.3,2017
"85",510,44879,85,"Hailey Leister",202.2,2023
"86",1123,73465,85,"Michelle Sorensen",202.2,2017
"87",645,38822,87,"Charlie Johnson",202.1,2025
"88",54,85983,87,"Jessica Yost",202.1,2017
"89",30052,72880,89,"Kylee Smith",202,2019
"90",9630,80590,90,"Hannah Vet",201.2,2018
"91",197,86550,91,"Paige Zigmund",200.1,2023
"92",790,43996,92,"Mckenna Larsen",199.2,2017
"93",93,84037,93,"Cassandra Williams",199.1,2017
"94",30221,77164,94,"Mallory Teunissen",199,2018
"95",3,55042,95,"Ally Muller",198.3,2019
"96",1346,38741,96,"Staci Johns",198.2,2019
"97",499,17490,97,"Lauren Dale",198.1,2017
"98",1009,47256,98,"Kylee Lynch",197.2,2022
"99",262,4755,99,"Hannah Beatus",197.1,2021
"100",436,41362,100,"Carly Kingery",195.1,2018
