"","team_id","player_id","rank","player","rc","season"
"1",9004,64399,1,"Samantha Reilly","101.66",2018
"2",1376,28726,2,"Brooke Goad"," 99.57",2018
"3",159,15577,3,"Hannah rose Corbin"," 93.55",2023
"4",3,49228,4,"Brenna Martini"," 92.45",2017
"5",638,48840,5,"Hannah Marsteller"," 90.64",2022
"6",41,40759,6,"Sarah Kennedy"," 90.24",2017
"7",499,64461,7,"Christa Reisinger"," 89.47",2019
"8",499,64461,8,"Christa Reisinger"," 86.77",2017
"9",30138,32593,9,"Lauren Harris"," 86.57",2024
"10",757,10530,10,"Lyndsay Butler"," 86.44",2016
"11",11416,2468,11,"Myah Arrieta"," 84.16",2024
"12",11416,35330,12,"Brooke Hodgson"," 84.07",2018
"13",1097,84330,13,"Zoe Willis"," 83.10",2023
"14",1376,20746,14,"Maddie Dow"," 82.96",2017
"15",383,51801,15,"Jess Meidl"," 80.89",2017
"16",10,3677,16,"Kaitlyn Bannister"," 80.84",2017
"17",30051,11209,17,"Jessica Campbell"," 77.87",2023
"18",1010,11212,18,"Kailyn Campbell"," 77.58",2017
"19",638,48840,19,"Hannah Marsteller"," 77.45",2023
"20",30138,74329,20,"Olivia Stansbury"," 77.24",2022
"21",309,57305,21,"Emily O'connor"," 76.88",2024
"22",1013,66940,22,"Hannah Rose"," 76.36",2023
"23",30028,60322,23,"Ashley Perez"," 76.23",2018
"24",41,39760,24,"Maggie Kadrlik"," 75.87",2019
"25",767,55456,25,"Diana Murtha"," 75.75",2024
"26",995,53668,26,"Marisa Monasseri"," 75.72",2017
"27",11416,42452,27,"Makayla Kovac"," 75.13",2016
"28",790,79906,28,"Lani Van zyl"," 75.12",2019
"29",767,32277,29,"Ashley Hardin"," 74.76",2018
"30",11403,22131,30,"Sami Edwards"," 74.74",2022
"31",638,48840,31,"Hannah Marsteller"," 74.59",2021
"32",728,16604,32,"Katie Crogan"," 74.49",2022
"33",262,28737,33,"Lydia Goble"," 74.16",2023
"34",2720,14568,34,"Caitlyn Cole"," 73.82",2024
"35",13,49812,35,"Malea Maye"," 73.64",2017
"36",30052,32857,36,"Stephanie Hartness"," 73.62",2017
"37",30052,53950,37,"Sophie Mooney"," 73.19",2023
"38",790,79906,38,"Lani Van zyl"," 72.97",2018
"39",11416,78310,39,"Annmarie Torres"," 72.60",2019
"40",9004,75661,40,"Kaitlyn Stufft"," 72.00",2024
"41",1170,48478,41,"Julia Mardigian"," 71.68",2024
"42",30013,54229,42,"Taylor Moran"," 71.63",2018
"43",11416,82565,43,"Lauren Wedman"," 71.54",2021
"44",734,60207,44,"Nikki Pennington"," 71.31",2021
"45",1013,66940,45,"Hannah Rose"," 71.19",2024
"46",1076,37435,46,"Courtney Iacobacci"," 71.18",2016
"47",30137,10620,47,"Bailey Byers"," 70.42",2021
"48",734,75885,48,"Abby Sulte"," 70.37",2024
"49",30055,27099,49,"Julia Garcia"," 70.33",2017
"50",11416,2468,50,"Myah Arrieta"," 70.26",2025
"51",30002,57656,51,"Makray Odom"," 70.00",2019
"52",30002,1852,52,"Kendall Andrews"," 69.81",2024
"53",767,32277,53,"Ashley Hardin"," 69.62",2016
"54",767,54046,54,"Kylee Moore"," 69.55",2019
"55",11416,72754,55,"Ellie Smith"," 69.39",2021
"56",477,10497,56,"Amber Butenhoff"," 69.00",2016
"57",1000,21680,57,"Hayden Dye"," 68.70",2024
"58",1238,21822,58,"Sierra Easterwood"," 68.54",2022
"59",1438,20546,59,"Kat Donzella"," 68.44",2021
"60",568,38884,60,"Jaiden Johnson"," 68.28",2018
"61",767,7927,61,"Emilee Boyer"," 68.25",2025
"62",1371,82233,62,"Elexis Watson"," 68.22",2018
"63",423,83959,63,"Faith Willenbrock"," 67.94",2021
"64",1245,22566,64,"Kylie Emanuele"," 67.65",2022
