"","team_id","player_id","rank","player","slg","season"
"1",420,67604,1,"Noelle Ruschil","1.108",2022
"2",30047,45983,2,"Shannon Lloyd","1.101",2019
"3",264,83228,3,"Darice Wheeler","1.093",2018
"4",461,962,4,"Kaijah Alexander","1.088",2025
"5",218,44576,5,"Morgan Ledbetter","1.080",2019
"6",622,47412,6,"Abby Mace","1.050",2024
"7",117,44798,7,"Lexie Leggett","1.022",2023
"8",1179,70275,8,"Claire Seats","1.015",2025
"9",321,68468,9,"Rylea Sandel","1.009",2022
"10",321,68698,10,"Jailene Santiago","1.000",2024
"11",2694,81259,10,"Eriana Wagner","1.000",2024
"12",24317,18260,10,"Jordan Day","1.000",2022
"13",542,60189,13,"Makenzie Pennell","0.993",2019
"14",622,47412,13,"Abby Mace","0.993",2022
"15",1192,43271,15,"Laurren Ladwig","0.990",2018
"16",30037,34848,16,"Debbie Hill","0.989",2025
"17",809,19387,17,"Sydney Despres","0.987",2016
"18",542,71258,18,"Vada blue Sherrill","0.984",2018
"19",30037,25597,18,"Kaylee Fox","0.984",2018
"20",18,64494,20,"Jessica Remm","0.982",2025
"21",1094,78153,21,"Sharon Tomei","0.977",2025
"22",139,33021,22,"Kaitlyn Hasty","0.976",2022
"23",303,35030,23,"Keani Hindle","0.972",2019
"24",1062,47597,24,"Tristen Maddox","0.963",2025
"25",264,83228,25,"Darice Wheeler","0.958",2019
"26",1036,62317,25,"Jess Pozezinski","0.958",2024
"27",122,53004,27,"Sarah Miller","0.956",2021
"28",160,3509,28,"Melissa Balkema","0.953",2018
"29",789,24849,29,"Sydney Fleming","0.952",2025
"30",641,33635,30,"Megan Heidelbauer","0.948",2025
"31",30197,39279,31,"Ellie Jones","0.946",2025
"32",644,70869,32,"Juno Shantz","0.945",2024
"33",28749,18519,33,"Krista Deburger","0.942",2016
"34",303,4280,34,"Annemarie Bartow","0.941",2016
"35",278,74213,35,"Gabbie Stallbaum","0.938",2024
"36",28593,44722,36,"Savannah Lee","0.935",2017
"37",30037,34848,36,"Debbie Hill","0.935",2023
"38",542,71258,38,"Vada blue Sherrill","0.932",2019
"39",750,25380,39,"Mara Forsyth","0.929",2017
"40",1450,10210,40,"Erica Burney","0.927",2016
"41",467,67041,41,"Daelyn Ross","0.926",2019
"42",8911,48964,42,"Lexi Martin","0.925",2022
"43",30064,56773,42,"Shelby Noel","0.925",2017
"44",1111,39169,44,"Kate Jolliff rosado","0.922",2018
"45",125,21373,45,"Anna Dunn","0.920",2018
"46",218,21488,46,"Kerrigan Dura","0.917",2016
"47",22626,29487,46,"Emily Gorecki","0.917",2017
"48",399,59529,48,"Ab'c'de Patane","0.915",2023
"49",24317,18260,49,"Jordan Day","0.914",2021
"50",800,19837,50,"Melissa Dietz","0.911",2025
"51",27892,70976,51,"Lyndsey Shaw","0.908",2022
"52",987,50707,52,"Josie Mcelroy","0.905",2018
"53",105,48543,53,"Kendall Marinesi","0.904",2019
"54",24317,18260,53,"Jordan Day","0.904",2019
"55",279,19627,55,"Maranda Diaz","0.898",2018
"56",717,67610,56,"Cassie Ruscz","0.897",2016
"57",21,79404,57,"Haley Ullrich","0.895",2022
"58",139,33021,57,"Kaitlyn Hasty","0.895",2019
"59",12973,3880,57,"Taylor Barker","0.895",2024
"60",21,79404,60,"Haley Ullrich","0.894",2021
"61",633,74720,60,"Sarah Stepnowski","0.894",2024
"62",1094,80140,60,"Savannah Vargas","0.894",2021
"63",1062,47597,63,"Tristen Maddox","0.892",2024
"64",815,81178,64,"Emma Wade","0.890",2024
"65",321,26755,65,"Maleea Gallaspy","0.889",2023
"66",160,61256,66,"Becky Pieroni","0.884",2021
"67",382,32359,66,"Sarah Harker","0.884",2024
"68",22626,26858,66,"Kaelani Gamble","0.884",2022
"69",789,17187,69,"Lexi Curt","0.883",2018
"70",1297,33075,69,"Kathryn Hatlen","0.883",2019
"71",42,6100,71,"Faith Biggs","0.880",2024
"72",300,5627,71,"Sam Berghoff","0.880",2018
"73",809,19387,73,"Sydney Despres","0.877",2018
"74",987,36764,73,"Brittany Huff","0.877",2018
"75",618,36488,75,"Olivia Howe","0.876",2021
"76",808,85094,76,"Caraline Wood","0.875",2019
"77",461,67751,77,"Morgan Russo","0.874",2025
"78",24400,41477,77,"Kylie Kirk","0.874",2025
"79",795,50378,79,"Jordyn Mccormack","0.871",2023
"80",182,10905,80,"Annabelle Calderon","0.869",2025
"81",215,15223,81,"Olivia Conti","0.868",2022
"82",1111,7903,82,"Mia Boyd","0.867",2023
"83",573,41326,83,"Lauren King","0.865",2021
"84",22235,1755,83,"Riley Anderson","0.865",2023
"85",1130,35778,85,"Jordan Holman","0.864",2025
"86",139,30037,86,"Brooke Greaver","0.863",2025
"87",150,39294,86,"Haley Jones","0.863",2019
"88",278,74213,86,"Gabbie Stallbaum","0.863",2025
"89",1179,56022,86,"Brynn Nelson","0.863",2024
"90",396,84019,90,"Brecca Williams","0.862",2025
"91",451,33728,90,"Rachel Heizer","0.862",2016
"92",525,6813,92,"Kinslea Blouin","0.861",2019
"93",622,72073,92,"Molly Simpson","0.861",2016
"94",218,59842,94,"Raelyn Payne","0.860",2022
"95",1340,50212,94,"Mallory Mcclafferty","0.860",2016
"96",30047,69254,94,"Hunter Schantz","0.860",2017
"97",372,75488,97,"Anna Strien","0.859",2017
"98",22626,29487,98,"Emily Gorecki","0.858",2016
"99",382,9589,99,"Desiree Buboi","0.857",2016
"100",1130,78596,99,"Miranda Treadway","0.857",2025
