"","team_id","player_id","rank","player","avg","season"
"1",30002,57656,1,"Makray Odom","0.565",2019
"2",499,64461,2,"Christa Reisinger","0.544",2019
"3",675,65087,3,"Patricia Riches","0.542",2019
"4",413,65686,4,"Shelby Robb","0.535",2021
"5",30138,32593,5,"Lauren Harris","0.529",2024
"6",675,65087,6,"Patricia Riches","0.523",2017
"7",638,48840,7,"Hannah Marsteller","0.521",2022
"8",1245,15413,8,"Courtlynn Cooney","0.519",2023
"9",1460,10376,9,"Rosa'lynn Burton","0.517",2019
"10",9081,53898,10,"Alexis Monty","0.516",2024
"11",30028,27162,10,"Nicole Garcia","0.516",2018
"12",9004,64399,12,"Samantha Reilly","0.515",2018
"13",11403,66721,13,"Charlotte Romero","0.514",2016
"14",11416,82565,13,"Lauren Wedman","0.514",2021
"15",339,40337,15,"Sara Keeny","0.511",2019
"16",1001,26709,15,"Brianna Gallagher","0.511",2025
"17",1010,11212,17,"Kailyn Campbell","0.510",2017
"18",41,40759,18,"Sarah Kennedy","0.509",2017
"19",499,64461,18,"Christa Reisinger","0.509",2017
"20",11416,48352,20,"Maggie Manwarren","0.507",2018
"21",995,53668,21,"Marisa Monasseri","0.503",2017
"22",1314,2385,21,"Heather Arnett","0.503",2025
"23",568,12295,23,"Jessi Case","0.500",2021
"24",638,48840,23,"Hannah Marsteller","0.500",2021
"25",30028,62359,23,"Kaylee Prather","0.500",2017
"26",30028,27162,23,"Nicole Garcia","0.500",2019
"27",30093,4593,23,"Chloe Baynes","0.500",2024
"28",1085,83401,28,"Madalyn White","0.497",2025
"29",13,14684,29,"Toni Coleman","0.496",2017
"30",568,38884,29,"Jaiden Johnson","0.496",2018
"31",995,81045,29,"Grace Vondracek","0.496",2024
"32",9004,75661,29,"Kaitlyn Stufft","0.496",2024
"33",30137,10620,29,"Bailey Byers","0.496",2021
"34",144,85261,34,"Sharnitra Woods","0.495",2016
"35",1238,80876,34,"Kelsey Vining","0.495",2016
"36",584,78831,36,"Ashley Troutman","0.494",2023
"37",720,77458,37,"Sharde Thomas","0.493",2016
"38",929,33372,37,"Tyler Hays","0.493",2017
"39",30002,57656,37,"Makray Odom","0.493",2018
"40",537,9399,40,"Tatum Brummitt","0.490",2021
"41",720,64061,40,"T'yauna Rector","0.490",2023
"42",1402,18611,40,"Alix Dedreu","0.490",2019
"43",30153,55885,40,"Macey Neal","0.490",2023
"44",347,44710,44,"Raelynn Lee","0.489",2022
"45",1013,66940,44,"Hannah Rose","0.489",2023
"46",720,53408,46,"Marissa Mitchell","0.488",2023
"47",11416,35330,46,"Brooke Hodgson","0.488",2018
"48",9223,83927,48,"Lexis Wilkinson","0.487",2023
"49",30051,11209,48,"Jessica Campbell","0.487",2023
