"","team_id","player_id","rank","player","so","season"
"1",601,77208,1,"Lindsey Thayer",441,2017
"2",745,36961,2,"Hanna Hull",376,2018
"3",745,36961,3,"Hanna Hull",372,2017
"4",60,71891,4,"Kayla Simacek",355,2023
"5",60,71891,5,"Kayla Simacek",349,2022
"6",745,36961,6,"Hanna Hull",339,2019
"7",615,29716,7,"Julie Graf",326,2019
"8",601,77208,8,"Lindsey Thayer",323,2018
"9",565,22449,9,"Gracie Ellis",300,2025
"10",615,29716,9,"Julie Graf",300,2021
"11",789,45068,11,"Sadie Leonard",282,2025
"12",615,29716,12,"Julie Graf",272,2017
"13",1064,69231,13,"Elisabeth Schaffer",266,2019
"14",1036,25173,14,"Gina Followell",265,2022
"15",177,34027,15,"Cami Henry",263,2022
"16",300,83682,16,"Ally Wiegand",260,2019
"17",615,29716,16,"Julie Graf",260,2018
"18",18,83775,18,"Jessica Wilcox",257,2021
"19",789,45068,18,"Sadie Leonard",257,2023
"20",30038,70530,20,"Kayla Senne",256,2023
"21",1451,66584,21,"Jazmyn Rohrer",254,2018
"22",1179,40502,22,"Tayah Kelley",252,2022
"23",1133,72943,23,"Mckenna Smith",249,2022
"24",1179,40502,24,"Tayah Kelley",247,2023
"25",565,22449,25,"Gracie Ellis",244,2022
"26",578,50467,25,"Maggie McCray",244,2025
"27",45,57499,25,"Moira O'reilly",244,2023
"28",121,30821,25,"Stefanie Guercio",244,2019
"29",45,57499,29,"Moira O'reilly",243,2022
"30",114,27969,30,"Anna Gernant",241,2017
"31",30038,52421,30,"Emily Meyer",241,2025
"32",286,39442,32,"Sydney Jones",240,2018
"33",1133,72943,33,"Mckenna Smith",239,2023
"34",20220,44828,34,"Kennedy Lehn",236,2022
"35",1064,69231,35,"Elisabeth Schaffer",232,2018
"36",966,62453,36,"Juliana Presto",230,2022
"37",300,83682,37,"Ally Wiegand",229,2018
"38",286,39442,37,"Sydney Jones",229,2017
"39",46,11082,39,"Nikki Camarati",228,2021
"40",161,27643,40,"Megan Gavin",226,2021
"41",565,22449,41,"Gracie Ellis",223,2023
"42",1036,25173,42,"Gina Followell",221,2023
"43",30197,12059,43,"Kennedy Carruth",220,2023
"44",170,66507,44,"Jillian Rogers",217,2025
"45",60,71891,45,"Kayla Simacek",215,2021
"46",258,25371,45,"Paige Forry",215,2025
"47",364,33824,47,"Ashlyn Hemm",214,2022
"48",685,55309,48,"Katie Murphy",210,2022
"49",1400,63922,48,"Maitlin Raycroft",210,2017
"50",12973,62161,50,"Megan Potter",208,2022
"51",1179,51462,50,"Tyler McNeley",208,2025
"52",263,16150,52,"Cheyanne Cox",207,2022
"53",321,68698,52,"Jailene Santiago",207,2023
"54",30197,12059,52,"Kennedy Carruth",207,2022
"55",20220,44828,52,"Kennedy Lehn",207,2023
"56",122,53321,52,"Lexi Miskey",207,2023
"57",30040,58741,52,"Sara Packard",207,2017
"58",372,15472,58,"Kendra Cooper",206,2023
"59",492,15561,59,"Gianna Corban",203,2022
"60",973,36440,59,"Kassie Howard",203,2018
"61",12973,62161,61,"Megan Potter",202,2019
"62",200,52553,62,"Alexis Michon",201,2022
"63",150,57976,62,"Alyssa Olson",201,2019
"64",313,15691,62,"Anna Cornell",201,2025
"65",396,72849,65,"Katlyn Smith",200,2019
"66",177,34027,66,"Cami Henry",199,2021
"67",46,11082,66,"Nikki Camarati",199,2022
"68",1468,15152,68,"Cindy Connoly",198,2018
"69",30038,61443,69,"Anna Pipenhagen",197,2017
"70",46,11082,69,"Nikki Camarati",197,2019
"71",161,27643,71,"Megan Gavin",196,2022
"72",9500,16566,71,"Trinity Critelli",196,2025
"73",114,27969,73,"Anna Gernant",194,2018
"74",382,71375,74,"Charli Shinstine",193,2023
"75",30037,52553,75,"Alexis Michon",192,2025
"76",382,71375,75,"Charli Shinstine",192,2022
"77",20220,61931,75,"Lorrin Pondo",192,2021
"78",707,43615,78,"Becca Landis",191,2025
"79",1036,25173,78,"Gina Followell",191,2021
"80",1468,15152,80,"Cindy Connoly",190,2017
"81",30197,12059,80,"Kennedy Carruth",190,2021
"82",12973,62161,80,"Megan Potter",190,2017
"83",372,8327,83,"Samantha Bratland",189,2018
"84",221,72135,84,"Erin Sinatra",188,2025
"85",745,36961,84,"Hanna Hull",188,2021
"86",426,17872,84,"Kayla Davidson",188,2017
"87",640,12459,84,"Maddie Castigliego",188,2022
"88",38,1761,88,"Sam Anderson",186,2019
"89",120,58446,89,"Amanda Osterhus",185,2018
"90",281,39939,89,"Darian Kanno",185,2025
"91",177,34027,91,"Cami Henry",184,2019
"92",122,31827,91,"Ilissa Hamilton",184,2018
"93",30038,70530,91,"Kayla Senne",184,2022
"94",146,86634,91,"Olivia Zoeller",184,2021
"95",511,39050,91,"Rachel Johnson",184,2017
"96",467,3784,91,"Taylor Barbour",184,2019
"97",1400,75544,97,"Ashlyn Strother",183,2022
"98",259,47179,97,"Rylee Lutz",183,2023
"99",1255,5846,97,"Sydnee Bessler",183,2018
"100",9500,16566,97,"Trinity Critelli",183,2023
