"","team_id","player_id","rank","player","opp_avg","season"
"1",391,15550,1,"Courtney Coppersmith",0.105,2022
"2",189,56343,2,"Nicole Newman",0.115,2019
"3",8,58417,3,"Alexis Osorio",0.117,2017
"4",235,4031,4,"Kelly Barnhill",0.118,2018
"5",600,80571,5,"Grace Vesco",0.12,2024
"6",235,4031,5,"Kelly Barnhill",0.12,2017
"7",694,66480,7,"Ashley Rogers",0.121,2023
"8",391,15550,7,"Courtney Coppersmith",0.121,2021
"9",651,15787,7,"Georgina Corrick",0.121,2022
"10",674,11319,10,"Nijaree Canady",0.125,2023
"11",257,29942,11,"Brittany Gray",0.13,2018
"12",694,66480,12,"Ashley Rogers",0.131,2021
"13",418,4759,13,"Meghan Beaubien",0.134,2018
"14",600,80571,14,"Grace Vesco",0.135,2021
"15",418,75242,15,"Alex Storako",0.137,2021
"16",519,20620,15,"Savannah jo Dorsey",0.137,2017
"17",444,51330,17,"Chelsea Mcmanaway",0.138,2018
"18",688,66715,18,"Alexa Romero",0.139,2018
"19",522,3158,18,"Jordyn Bahl",0.139,2022
"20",68,64888,18,"Kasey Ricard",0.139,2024
"21",428,30583,18,"Sara Groenewegen",0.139,2017
"22",99,52475,22,"Cielo Meza",0.14,2018
"23",235,29637,22,"Delanie Gourley",0.14,2017
"24",370,60352,22,"Jenna Perez",0.14,2022
"25",110,23592,25,"Megan Faraimo",0.141,2021
"26",487,27421,25,"Megan Garst",0.141,2019
"27",189,56343,25,"Nicole Newman",0.141,2018
"28",674,11319,25,"Nijaree Canady",0.141,2024
"29",317,980,25,"Odicci Alexander",0.141,2021
"30",110,27172,25,"Rachel Garcia",0.141,2018
"31",522,39629,31,"Giselle Juarez",0.142,2019
"32",193,17107,32,"Cassidy Curd",0.143,2023
"33",649,41879,32,"Tori Kniesche",0.143,2021
"34",193,17107,34,"Cassidy Curd",0.144,2024
"35",521,49765,34,"Kelly Maxwell",0.144,2022
"36",317,29284,34,"Megan Good",0.144,2017
"37",464,52429,37,"Kamryn Meyer",0.146,2022
"38",231,68035,37,"Shannon Saile",0.146,2017
"39",418,5896,39,"Megan Betsa",0.147,2017
"40",756,61582,40,"Gabbie Plain",0.148,2019
"41",651,15787,40,"Georgina Corrick",0.148,2021
"42",459,9554,40,"Stephanie Bryden",0.148,2018
"43",391,49603,43,"Kya Matter",0.149,2022
"44",700,11319,43,"NiJaree Canady",0.149,2025
"45",649,41879,45,"Tori Kniesche",0.15,2022
"46",671,43443,46,"Kandra Lamb",0.151,2022
"47",742,66090,46,"Keely Rochard",0.151,2021
"48",235,4031,48,"Kelly Barnhill",0.152,2019
"49",649,41879,48,"Tori Kniesche",0.152,2023
"50",10411,6095,50,"Christina Biggerstaff",0.153,2019
"51",391,15550,50,"Courtney Coppersmith",0.153,2019
"52",234,32196,50,"Kylee Hanson",0.153,2018
"53",14927,39007,50,"Maya Johnson",0.153,2025
"54",522,59296,50,"Paige Parker",0.153,2018
"55",110,27172,50,"Rachel Garcia",0.153,2019
"56",683,6941,56,"Dawn Bodrug",0.154,2021
"57",463,3158,56,"Jordyn Bahl",0.154,2025
"58",694,61152,56,"Karlyn Pickens",0.154,2024
"59",110,23592,56,"Megan Faraimo",0.154,2019
"60",671,22508,56,"Summer Ellyson",0.154,2019
"61",315,72105,61,"Faith Sims",0.155,2019
"62",234,10317,61,"Jessica Burroughs",0.155,2017
"63",521,49765,61,"Kelly Maxwell",0.155,2023
"64",37,60226,61,"Maddie Penta",0.155,2023
"65",31,31369,61,"Mary Haff",0.155,2018
"66",756,1411,61,"Taran Alvelo",0.155,2018
"67",28,39629,67,"Giselle Juarez",0.156,2018
"68",363,3053,67,"Sydney Backstrom",0.156,2022
"69",30095,33395,69,"Cambrie Hazel",0.157,2018
"70",414,80709,69,"Courtney Vierstra",0.157,2021
"71",522,46433,69,"Mariah Lopez",0.157,2019
"72",128,48145,72,"Gianna Mancha",0.158,2022
"73",8,25535,73,"Montana Fouts",0.159,2023
"74",522,49795,73,"Nicole May",0.159,2023
"75",8,58417,75,"Alexis Osorio",0.16,2018
"76",229,16034,75,"Autumn Courtney",0.16,2025
"77",464,52429,75,"Kamryn Meyer",0.16,2023
"78",522,3158,78,"Jordyn Bahl",0.161,2023
"79",522,46693,78,"Paige Lowary",0.161,2017
"80",164,41403,78,"Payton Kinney",0.161,2023
"81",418,75242,81,"Alex Storako",0.162,2022
"82",509,52801,81,"Ashley Miller",0.162,2024
"83",28,9172,81,"Kenzie Brown",0.162,2025
"84",110,23592,81,"Megan Faraimo",0.162,2023
"85",509,84048,85,"Danielle Williams",0.163,2019
"86",651,15787,85,"Georgina Corrick",0.163,2019
"87",716,38969,85,"Leanna Johnson",0.163,2021
"88",624,51291,85,"Lindsey Mcleod",0.163,2019
"89",756,61582,89,"Gabbie Plain",0.164,2018
"90",418,4759,89,"Meghan Beaubien",0.164,2021
"91",504,34603,89,"Samantha Heyer",0.164,2023
"92",649,41879,89,"Tori Kniesche",0.164,2024
"93",365,33514,93,"Jayden Heavener",0.165,2025
"94",31,34452,93,"Robyn Herron",0.165,2024
"95",365,36039,95,"Carley Hoover",0.166,2018
"96",648,28739,95,"Donnie Gobourne",0.166,2023
"97",590,58213,95,"Emily Orosco",0.166,2018
"98",742,66090,95,"Keely Rochard",0.166,2019
"99",742,66090,95,"Keely Rochard",0.166,2022
"100",10411,71560,95,"Lexi Shubert",0.166,2017
"101",487,27421,95,"Megan Garst",0.166,2018
"102",518,63902,95,"Morgan Ray",0.166,2019
"103",646,43227,95,"Olivia Lackie",0.166,2022
