"","team_id","player_id","rank","player","xbh","season"
"1",300,5627,1,"Sam Berghoff",38,2018
"2",809,19387,1,"Sydney Despres",38,2016
"3",1062,47597,1,"Tristen Maddox",38,2025
"4",321,26755,4,"Maleea Gallaspy",37,2023
"5",622,47412,4,"Abby Mace",37,2022
"6",1179,70275,4,"Claire Seats",37,2025
"7",218,21488,7,"Kerrigan Dura",36,2016
"8",542,60189,7,"Makenzie Pennell",36,2019
"9",1179,74480,7,"Darian Stedman",36,2019
"10",30037,34848,7,"Debbie Hill",36,2023
"11",122,53004,11,"Sarah Miller",35,2021
"12",150,39294,11,"Haley Jones",35,2019
"13",200,49681,11,"Brooke Matyasovsky",35,2022
"14",382,32788,11,"Aarin Hartenstein",35,2016
"15",622,47412,11,"Abby Mace",35,2024
"16",139,1854,16,"Leah Andrews",34,2018
"17",321,68468,16,"Rylea Sandel",34,2022
"18",374,13488,16,"Mackenzie Chitwood",34,2019
"19",795,50378,16,"Jordyn Mccormack",34,2023
"20",30044,21315,16,"Susan Duncan",34,2022
"21",264,83228,21,"Darice Wheeler",33,2018
"22",745,28941,21,"Jessica Goldyn",33,2021
"23",789,17187,21,"Lexi Curt",33,2018
"24",160,3509,24,"Melissa Balkema",32,2018
"25",303,4280,24,"Annemarie Bartow",32,2016
"26",1130,35778,24,"Jordan Holman",32,2025
"27",30044,71536,24,"Arizona Shreck",32,2022
"28",30197,29430,24,"Allie Gordon",32,2023
"29",139,33021,29,"Kaitlyn Hasty",31,2022
"30",303,4280,29,"Annemarie Bartow",31,2018
"31",455,36879,29,"Krissy Hughes",31,2019
"32",542,71258,29,"Vada blue Sherrill",31,2019
"33",712,41386,29,"Julia Kinnally",31,2023
"34",745,72185,29,"Julia Sinnett",31,2022
"35",789,24849,29,"Sydney Fleming",31,2025
"36",1179,61051,29,"Katie Phillips",31,2023
"37",1297,50911,29,"Erin Mcgrath",31,2022
"38",30037,25597,29,"Kaylee Fox",31,2018
"39",30047,45983,29,"Shannon Lloyd",31,2019
"40",139,57749,40,"Patty maye Ohanian",30,2018
"41",215,15223,40,"Olivia Conti",30,2022
"42",808,85094,40,"Caraline Wood",30,2019
"43",966,73447,40,"Megan Sooy",30,2022
"44",973,26254,40,"Morgan Frye",30,2024
"45",1062,47597,40,"Tristen Maddox",30,2024
"46",1094,62155,40,"Kamryn Potter",30,2023
"47",1111,39169,40,"Kate Jolliff rosado",30,2017
"48",2694,75587,40,"Katie Struewing",30,2016
"49",11036,21406,40,"Morgan Dunn",30,2016
"50",22626,62856,40,"Jill Pulek",30,2022
"51",23260,48470,40,"Grayce Marcum",30,2023
"52",18,64494,52,"Jessica Remm",29,2025
"53",44,46226,52,"Jessica Long",29,2017
"54",278,74213,52,"Gabbie Stallbaum",29,2024
"55",443,71797,52,"Marcie Silberman",29,2024
"56",573,34042,52,"Kendall Henry",29,2019
"57",622,72073,52,"Molly Simpson",29,2016
"58",622,61278,52,"Annie Pietanza",29,2018
"59",815,81178,52,"Emma Wade",29,2024
"60",1099,65517,52,"Ami Rivera",29,2023
"61",1297,41069,52,"Kennedy Kila",29,2023
"62",1454,77421,52,"Maddy Thomas",29,2021
"63",8567,78995,52,"Alehia Tucker",29,2021
"64",17094,83723,52,"Lindsey Wiggins",29,2016
