"","team_id","player_id","rank","player","k_bb","season"
"1",54,85983,1,"Jessica Yost","21.9",2017
"2",546,34809,2,"Alyssa Hileman","12.3",2022
"3",3,34619,3,"Lindsey Hibbs","11.7",2023
"4",3,34619,4,"Lindsey Hibbs","10.4",2022
"5",30137,10626,5,"Kelsey Byers"," 9.8",2021
"6",1167,41119,6,"Abby Killian"," 9.5",2019
"7",10870,67440,7,"Madelayne Ruffner"," 8.8",2025
"8",197,86347,8,"Katie Zaun"," 8.7",2022
"9",30002,70534,9,"Ashlan Sensing"," 8.6",2023
"10",734,65012,10,"Samantha Richards"," 7.9",2021
"11",30180,54148,11,"Andrea Morales"," 7.5",2022
"12",689,20554,12,"Makaleigh Dooley"," 7.3",2019
"13",734,79834,13,"Caylie Van auken"," 7.2",2019
"14",262,45773,14,"Allison Lipovsky"," 7.2",2018
"15",608,5917,15,"Kayla Betts"," 7.1",2023
"16",689,26678,16,"Mariah Galhouse"," 7.1",2023
"17",1402,18611,17,"Alix Dedreu"," 7.0",2019
"18",30138,62976,18,"Ellie Quaethem"," 7.0",2023
"19",689,20554,19,"Makaleigh Dooley"," 6.9",2018
"20",8875,65893,20,"Kayla Robins"," 6.8",2017
"21",347,10702,21,"Jersey Cabana"," 6.8",2023
"22",3,55042,22,"Ally Muller"," 6.6",2021
"23",790,5578,23,"Jayda Berg"," 6.5",2025
"24",262,45773,24,"Allison Lipovsky"," 6.5",2019
"25",354,27218,25,"Delaney Garden"," 6.4",2025
"26",9630,80590,26,"Hannah Vet"," 6.2",2018
"27",689,50839,28,"Gwen McGinnis"," 6.2",2025
"28",1438,1498,28,"Makenzie Amend"," 6.2",2021
"29",1174,67766,29,"Caroline Ruth"," 6.1",2019
"30",543,18954,30,"Gianna Delorenzo"," 6.1",2023
"31",10,32732,31,"Tyler Harrison"," 6.0",2017
"32",41,28592,32,"Grace Glanzer"," 5.9",2025
"33",757,10530,33,"Lyndsay Butler"," 5.9",2017
"34",360,72450,34,"Bekah Slattery"," 5.8",2019
"35",12810,84926,35,"Jennifer Wolf"," 5.8",2017
"36",216,458,36,"Avery Adkins"," 5.8",2023
"37",30138,62976,37,"Ellie Quaethem"," 5.8",2022
"38",1343,45225,38,"Chloe Leverington"," 5.7",2022
"39",790,59768,39,"Liz Pautz"," 5.7",2022
"40",1462,39835,40,"Sydney Kale"," 5.6",2022
"41",30180,54148,41,"Andrea Morales"," 5.6",2019
"42",437,33225,42,"Chelsea Hawks"," 5.6",2017
"43",533,27072,43,"Gisselle Garcia"," 5.6",2025
"44",30050,4242,44,"Rosie Bartletti"," 5.5",2025
"45",41,52573,45,"Ashley Mickschl"," 5.4",2022
"46",1448,42244,46,"Kaiana Kong"," 5.4",2025
"47",11416,34425,47,"Kimbri Herring"," 5.4",2018
"48",383,65222,48,"Coley Ries"," 5.3",2017
"49",9630,80590,49,"Hannah Vet"," 5.3",2017
"50",1462,17252,50,"Raechel Cutcher"," 5.3",2023
"51",30050,86368,51,"Taylor Zawacki"," 5.2",2023
"52",1176,26198,52,"Emma Frost"," 5.2",2021
"53",30138,36647,53,"Sami Huck"," 5.2",2025
"54",49,4025,54,"Maci Barnhart"," 5.2",2022
"55",383,2300,55,"Mckayla Armbruster"," 5.2",2023
"56",790,41681,56,"Jordyn Kleman"," 5.2",2021
"57",1013,4476,57,"Danielle Bauer"," 5.2",2023
"58",30199,1380,58,"Daniela Alvarez"," 5.2",2023
"59",765,13774,59,"Danielle Ciliberto"," 5.2",2023
"60",1348,18921,60,"Carissa Della vecchia"," 5.2",2022
"61",103,59022,61,"Delaney Pamplin"," 5.1",2022
"62",423,69193,62,"Alex Schaefer"," 5.1",2023
"63",1083,44498,63,"Brianna Leavell"," 5.0",2021
"64",30052,72880,64,"Kylee Smith"," 5.0",2018
"65",280,67685,65,"Joni Russell"," 5.0",2023
"66",216,8338,66,"Alex Braun"," 5.0",2021
"67",593,60568,67,"Morgan Perry"," 4.9",2021
"68",658,60613,68,"Jessica Perucki"," 4.9",2023
"69",1116,76595,69,"Lily Tanski"," 4.9",2021
"70",1402,18611,70,"Alix Dedreu"," 4.9",2017
"71",30180,54148,71,"Andrea Morales"," 4.8",2021
"72",30050,31361,72,"Ali Haesele"," 4.8",2018
"73",30134,60627,73,"Laci Peskey"," 4.8",2025
"74",30191,19377,74,"Paityn Desormeaux"," 4.8",2022
"75",30063,18930,75,"Lauren Dellett"," 4.8",2021
"76",1348,18921,76,"Carissa Della vecchia"," 4.8",2023
"77",9004,28325,77,"Mikayla Gilgert"," 4.8",2021
"78",427,20158,78,"Lauren Dixon"," 4.8",2022
"79",383,81883,79,"Mackenzie Ward"," 4.8",2021
"80",734,38919,80,"Kasie Johnson"," 4.8",2019
