"","team_id","player_id","rank","player","slg","season"
"1",9004,64399,1,"Samantha Reilly","1.169",2018
"2",638,48840,2,"Hannah Marsteller","1.103",2021
"3",423,83959,3,"Faith Willenbrock","1.056",2021
"4",30138,74329,4,"Olivia Stansbury","1.052",2022
"5",767,55456,5,"Diana Murtha","1.050",2024
"6",3,49228,6,"Brenna Martini","1.027",2017
"7",11416,2468,6,"Myah Arrieta","1.027",2024
"8",30137,10620,8,"Bailey Byers","1.016",2021
"9",734,60207,9,"Nikki Pennington","1.008",2021
"10",13,49812,10,"Malea Maye","1.007",2017
"11",1097,84330,10,"Zoe Willis","1.007",2023
"12",1376,28726,12,"Brooke Goad","1.006",2018
"13",568,38884,13,"Jaiden Johnson","1.000",2018
"14",767,54046,13,"Kylee Moore","1.000",2019
"15",159,15577,15,"Hannah rose Corbin","0.993",2023
"16",13028,6866,15,"Kayson Boatner","0.993",2022
"17",734,75885,17,"Abby Sulte","0.992",2024
"18",30002,14835,17,"Mary Collins","0.992",2019
"19",1097,84330,19,"Zoe Willis","0.991",2022
"20",767,32277,20,"Ashley Hardin","0.987",2018
"21",11416,35330,21,"Brooke Hodgson","0.976",2018
"22",9004,75661,22,"Kaitlyn Stufft","0.971",2024
"23",11416,72754,23,"Ellie Smith","0.961",2021
"24",1238,21822,24,"Sierra Easterwood","0.960",2022
"25",144,85261,25,"Sharnitra Woods","0.958",2016
"26",358,53408,26,"Marissa Mitchell","0.956",2024
"27",30028,60322,27,"Ashley Perez","0.955",2018
"28",1448,5487,28,"Emily Benson","0.953",2019
"29",41,40759,29,"Sarah Kennedy","0.948",2017
"30",1156,67802,30,"Katie Ruwe","0.943",2016
"31",11740,25282,31,"Jessica Ford","0.937",2024
"32",55,17638,32,"Starkeira Daniel","0.936",2019
"33",429,21853,33,"Kamryn Eaton","0.934",2023
"34",11416,42452,33,"Makayla Kovac","0.934",2016
"35",307,4983,35,"Kaitlyn Beers","0.933",2021
"36",638,48840,35,"Hannah Marsteller","0.933",2022
"37",11416,62743,37,"Miranda Pruitt","0.932",2024
"38",159,15577,38,"Hannah rose Corbin","0.930",2021
"39",767,7927,38,"Emilee Boyer","0.930",2025
