"","team_id","player_id","rank","player","k_7","season"
"1",189,56343,1,"Nicole Newman","13.5",2019
"2",391,15550,2,"Courtney Coppersmith","13.3",2022
"3",235,4031,3,"Kelly Barnhill","13.0",2017
"4",418,75242,4,"Alex Storako","13.0",2021
"5",497,78557,5,"Hope Trautwein","12.8",2021
"6",14927,39007,6,"Maya Johnson","12.4",2025
"7",418,5896,7,"Megan Betsa","12.3",2017
"8",674,11319,8,"Nijaree Canady","12.0",2023
"9",28,9172,9,"Kenzie Brown","11.8",2025
"10",8,58417,10,"Alexis Osorio","11.8",2017
"11",521,49765,11,"Kelly Maxwell","11.7",2022
"12",8,25535,12,"Montana Fouts","11.6",2021
"13",683,6941,13,"Dawn Bodrug","11.6",2022
"14",391,15550,14,"Courtney Coppersmith","11.5",2021
"15",521,49765,15,"Kelly Maxwell","11.4",2023
"16",649,41879,16,"Tori Kniesche","11.4",2022
"17",742,66090,17,"Keely Rochard","11.4",2022
"18",391,49603,18,"Kya Matter","11.4",2022
"19",317,980,19,"Odicci Alexander","11.3",2021
"20",464,52429,20,"Kamryn Meyer","11.3",2022
"21",504,34603,21,"Samantha Heyer","11.2",2023
"22",688,66715,22,"Alexa Romero","11.2",2018
"23",14927,39007,23,"Maya Johnson","11.1",2023
"24",189,56343,24,"Nicole Newman","10.9",2018
"25",110,23592,25,"Megan Faraimo","10.9",2022
"26",14927,39007,26,"Maya Johnson","10.9",2024
"27",742,44939,27,"Emma Lemley","10.8",2022
"28",299,18275,28,"Morgan Day","10.7",2021
"29",110,27172,29,"Rachel Garcia","10.7",2018
"30",418,75242,30,"Alex Storako","10.7",2022
"31",648,28739,31,"Donnie Gobourne","10.7",2023
"32",519,20620,32,"Savannah jo Dorsey","10.7",2017
"33",219,25016,33,"Morgan Florey","10.6",2018
"34",172,31614,34,"Jensin Hall","10.6",2024
"35",603,70551,35,"Ana Serafinko","10.6",2025
"36",235,4031,36,"Kelly Barnhill","10.6",2018
"37",444,51330,37,"Chelsea Mcmanaway","10.6",2017
"38",671,43443,38,"Kandra Lamb","10.6",2022
"39",674,11319,39,"Nijaree Canady","10.6",2024
"40",464,52429,40,"Kamryn Meyer","10.6",2023
"41",651,15787,41,"Georgina Corrick","10.6",2022
"42",522,3158,42,"Jordyn Bahl","10.6",2022
"43",414,80709,43,"Courtney Vierstra","10.6",2021
"44",683,6941,44,"Dawn Bodrug","10.6",2021
"45",414,80709,45,"Courtney Vierstra","10.5",2019
"46",529,85739,46,"Brooke Yanez","10.5",2021
"47",391,15550,47,"Courtney Coppersmith","10.5",2019
"48",756,1411,48,"Taran Alvelo","10.5",2019
"49",8,25535,49,"Montana Fouts","10.5",2022
"50",231,68035,50,"Shannon Saile","10.4",2018
"51",71,29606,51,"Payton Gottshall","10.4",2022
"52",651,15787,52,"Georgina Corrick","10.3",2021
"53",110,27172,53,"Rachel Garcia","10.3",2019
"54",554,6582,54,"Ali Blanchard","10.3",2022
"55",386,61623,55,"Maddie Pleasants","10.3",2025
"56",522,39629,56,"Giselle Juarez","10.2",2019
"57",626,3500,57,"Maggie Balint","10.2",2022
"58",2699,9525,58,"Madison Bryant","10.2",2023
"59",235,29637,59,"Delanie Gourley","10.2",2017
"60",716,38969,60,"Leanna Johnson","10.2",2021
"61",674,36370,61,"Alyssa Houston","10.2",2025
"62",428,30583,62,"Sara Groenewegen","10.1",2017
"63",96,20333,63,"Hailey Dolcini","10.1",2021
"64",742,66090,64,"Keely Rochard","10.1",2021
"65",529,22339,65,"Miranda Elish","10.1",2018
"66",310,86379,66,"Kara Zazzaro","10.1",2022
"67",444,51330,67,"Chelsea Mcmanaway","10.0",2018
"68",756,61582,68,"Gabbie Plain","10.0",2021
"69",8,25535,69,"Montana Fouts","10.0",2023
"70",719,82235,70,"Emily Watson"," 9.9",2017
"71",234,10317,71,"Jessica Burroughs"," 9.9",2017
"72",772,672,72,"Kelsey Aikey"," 9.9",2019
"73",10411,36324,73,"Hannah Houge"," 9.9",2022
"74",71,29606,74,"Payton Gottshall"," 9.9",2021
"75",590,58213,75,"Emily Orosco"," 9.9",2018
"76",334,69695,76,"Stephanie Schoonover"," 9.9",2023
"77",522,46433,77,"Mariah Lopez"," 9.8",2019
"78",370,60352,78,"Jenna Perez"," 9.8",2023
"79",418,75242,79,"Alex Storako"," 9.8",2019
"80",37,60226,80,"Maddie Penta"," 9.8",2023
"81",774,26813,81,"Reily Galloway"," 9.8",2022
"82",463,3158,82,"Jordyn Bahl"," 9.8",2025
"83",110,23592,83,"Megan Faraimo"," 9.8",2023
"84",111,34796,84,"Chrys Hildebrand"," 9.7",2022
"85",37,60226,85,"Maddie Penta"," 9.7",2022
"86",649,41879,86,"Tori Kniesche"," 9.7",2021
"87",2678,369,87,"Kayla Adams"," 9.7",2024
"88",8,58417,88,"Alexis Osorio"," 9.7",2018
"89",509,84048,89,"Danielle Williams"," 9.7",2019
"90",110,23592,90,"Megan Faraimo"," 9.7",2021
"91",222,71555,91,"Brooklyn Shroyer"," 9.6",2024
"92",175,40631,92,"Izzy Kemp"," 9.6",2025
"93",244,5776,93,"Lindsey Bert"," 9.6",2018
"94",331,69108,94,"Andrea Scali"," 9.6",2019
"95",301,71664,95,"Sydney Sickels"," 9.6",2022
"96",694,66480,96,"Ashley Rogers"," 9.6",2021
"97",694,61152,97,"Karlyn Pickens"," 9.6",2025
"98",772,75849,98,"Kennedy Sullivan"," 9.6",2019
"99",418,4759,99,"Meghan Beaubien"," 9.6",2021
"100",28,39629,100,"Giselle Juarez"," 9.6",2018
