"","team_id","player_id","rank","player","h","season"
"1",66,41906,1,"Sophia Knight",106,2025
"2",149,25255,2,"Taty Forbes",104,2016
"3",782,51175,3,"Sydney Mckinney",103,2023
"4",110,61781,4,"Savannah Pola",101,2025
"5",312,12162,5,"Nia Carter",100,2023
"6",334,42482,5,"Kayla Kowalik",100,2021
"7",29,71437,7,"Regan Shockey",99,2025
"8",37,36471,8,"Tiffany Howard",96,2016
"9",234,78335,8,"Isa Torres",96,2025
"10",1104,78711,8,"Ashley Trierweiler",96,2024
"11",1092,7342,11,"Andria Booth",94,2018
"12",433,16154,12,"Elantra Cox",93,2017
"13",782,51175,12,"Sydney Mckinney",93,2022
"14",68,66790,14,"Kayla Roncin",92,2023
"15",365,43651,14,"Bailey Landry",92,2017
"16",758,68229,14,"Takesha Saltern",92,2017
"17",257,22560,17,"Cortni Emanuel",91,2018
"18",386,646,17,"Haley Ahr",91,2025
"19",522,38506,17,"Tiare Jennings",91,2021
"20",671,18108,17,"Mihyia Davis",91,2024
"21",1395,34887,17,"Kelci Hill",91,2024
"22",235,23497,22,"Kendra Falby",90,2025
"23",625,49934,22,"Shelby Maze",90,2017
"24",703,48096,22,"Ashton Maloney",90,2025
"25",51,81483,25,"Kyla Walker",89,2017
"26",110,85301,25,"Jordan Woolery",89,2025
"27",178,27675,25,"Nicole Gazzola",89,2016
"28",711,70113,25,"Kendyl Scott",89,2018
"29",51,70181,29,"Jessica Scroggins",88,2018
"30",487,13904,29,"Brooklynn Clark",88,2016
"31",513,83105,29,"Karley Wester",88,2016
"32",386,62929,32,"Peyton Pusey",87,2025
"33",522,66753,32,"Sydney Romero",87,2019
"34",522,1274,32,"Jocelyn Alo",87,2021
"35",529,47130,32,"Kai Luschar",87,2025
"36",671,9473,32,"Ciara Bryan",87,2021
"37",782,51175,32,"Sydney Mckinney",87,2021
"38",2711,60222,32,"Navia Penrod",87,2017
"39",68,40410,39,"Lauren Keleher",86,2024
"40",68,66790,39,"Kayla Roncin",86,2024
"41",97,18865,39,"Megan Delgadillo",86,2024
"42",110,60360,39,"Kylee Perez",86,2017
"43",149,13496,39,"Bri Chiusano",86,2016
"44",388,30165,39,"Kaelynn Greene",86,2016
"45",402,50221,39,"Justyce Mcclain",86,2019
"46",702,17179,39,"Laura Curry",86,2019
"47",66,41906,47,"Sophia Knight",85,2024
"48",110,14171,47,"Jessica Clements",85,2025
"49",175,69919,47,"Emma Schutter",85,2023
"50",235,23497,47,"Kendra Falby",85,2022
"51",257,22564,47,"Sydni Emanuel",85,2017
"52",402,50221,47,"Justyce Mcclain",85,2018
"53",513,83104,47,"Ali Wester",85,2019
"54",700,18108,47,"Mihyia Davis",85,2025
"55",703,38370,47,"Janae Jefferson",85,2022
"56",68,14515,56,"Caitlin Coker",84,2024
"57",110,39472,56,"Aaliyah Jordan",84,2018
"58",235,23497,56,"Kendra Falby",84,2024
"59",51,11663,59,"Lindsey Cargill",83,2017
"60",87,44830,59,"Cate Lehner",83,2025
"61",147,10803,59,"Valerie Cagle",83,2023
"62",249,43751,59,"Sierra Lange",83,2019
"63",355,6296,59,"Amber Bishop",83,2017
"64",366,67956,59,"Sierra Sacco",83,2022
"65",404,16751,59,"Lindsay Crowdus",83,2017
"66",529,47131,59,"Kedre Luschar",83,2025
"67",107,37870,67,"Jazmyn Jackson",82,2016
"68",193,80331,67,"Aminah Vega",82,2025
"69",202,55352,67,"Paige Murphy",82,2018
"70",257,22560,67,"Cortni Emanuel",82,2016
"71",311,84206,67,"Sami Williams",82,2021
"72",386,50618,67,"Miah Mcdonald",82,2024
"73",433,4876,67,"Kylan Becker",82,2019
"74",498,51061,67,"Sydney Mckay",82,2017
"75",522,52858,67,"Erin Miller",82,2016
"76",563,24628,67,"Sydney Fisher",82,2019
"77",625,20768,67,"Megan Dowdy",82,2016
"78",694,44448,67,"Aubrey Leach",82,2018
"79",742,65466,67,"Emma Ritter",82,2024
"80",30024,11925,67,"Madison Carr",82,2022
"81",29,71437,81,"Regan Shockey",81,2024
"82",31,28131,81,"Danielle Gibson",81,2022
"83",68,66790,81,"Kayla Roncin",81,2022
"84",110,60325,81,"Briana Perez",81,2018
"85",110,60360,81,"Kylee Perez",81,2018
"86",147,9043,81,"Alex Brown",81,2025
"87",234,71257,81,"Sydney Sherrill",81,2018
"88",301,71230,81,"Kiana Sherlund",81,2018
"89",302,82318,81,"Lexi Watts",81,2019
"90",311,84206,81,"Sami Williams",81,2019
"91",346,66252,81,"Brittany Rodriguez",81,2017
"92",430,67956,81,"Sierra Sacco",81,2025
"93",521,71399,81,"Vanessa Shippy",81,2018
"94",521,4890,81,"Rachel Becker",81,2023
"95",522,1274,81,"Jocelyn Alo",81,2022
"96",654,1751,81,"Rachel Anderson",81,2019
"97",703,70135,81,"Mia Scott",81,2025
"98",725,83326,81,"Ashton White",81,2025
"99",732,19154,81,"Haley Denning",81,2024
"100",97,18865,100,"Megan Delgadillo",80,2022
"101",110,56521,100,"Bubba Nickles",80,2019
"102",191,67619,100,"Linda Rush",80,2019
"103",193,38481,100,"D'auna Jennings",80,2023
"104",257,22560,100,"Cortni Emanuel",80,2017
"105",306,53206,100,"Taylor Minnick",80,2025
"106",317,29447,100,"Kate Gordon",80,2019
"107",352,26061,100,"Kelly Fricker",80,2025
"108",408,26226,100,"Madison Fry",80,2023
"109",464,57262,100,"Maggie O'brien",80,2024
"110",466,38402,100,"Aaliyah Jenkins",80,2025
"111",522,66753,100,"Sydney Romero",80,2017
