"","team_id","player_id","rank","player","era","season"
"1",30045,10393,1,"Abbey Busby",0.425,2021
"2",30052,72880,2,"Kylee Smith",0.603,2018
"3",3,34619,3,"Lindsey Hibbs",0.681,2023
"4",757,10530,4,"Lyndsay Butler",0.687,2017
"5",30052,72880,5,"Kylee Smith",0.693,2019
"6",280,67685,6,"Joni Russell",0.698,2023
"7",689,23940,7,"Mary beth Feldman",0.708,2022
"8",608,5917,8,"Kayla Betts",0.734,2023
"9",533,27072,9,"Gisselle Garcia",0.741,2025
"10",689,26678,10,"Mariah Galhouse",0.745,2025
"11",30199,57129,11,"Callie Nunes",0.77,2018
"12",1376,66483,12,"Brinson Rogers",0.781,2025
"13",262,45773,13,"Allison Lipovsky",0.806,2018
"14",30202,39339,14,"Kayleigh Jones",0.83,2023
"15",280,67685,15,"Joni Russell",0.837,2025
"16",30220,2756,16,"Paige Austin",0.84,2022
"17",947,44053,17,"Shannon Lasey",0.841,2022
"18",10870,67440,18,"Madelayne Ruffner",0.842,2025
"19",8875,65893,19,"Kayla Robins",0.843,2017
"20",1057,5910,20,"Kristina Bettis",0.852,2022
"21",790,59768,21,"Liz Pautz",0.894,2019
"22",383,81883,22,"Mackenzie Ward",0.911,2021
"23",30028,5511,23,"Colleen Bentke",0.919,2018
"24",383,81883,24,"Mackenzie Ward",0.924,2022
"25",262,4755,25,"Hannah Beatus",0.932,2022
"26",30199,1380,26,"Daniela Alvarez",0.937,2023
"27",262,45773,27,"Allison Lipovsky",0.944,2019
"28",9630,80590,28,"Hannah Vet",0.946,2017
"29",262,4755,29,"Hannah Beatus",0.947,2023
"30",675,12653,30,"Jacqueline Cautela",0.96,2017
"31",9223,14467,31,"Amanda Coffrin",0.994,2018
"32",30181,8251,31,"Taylor Brandts",0.994,2017
"33",30191,19377,33,"Paityn Desormeaux",0.995,2022
"34",593,60568,34,"Morgan Perry",1.007,2021
"35",230,55341,35,"Melanie Murphy",1.012,2018
"36",262,30777,36,"Alexandra Grys",1.041,2018
"37",30181,8251,37,"Taylor Brandts",1.043,2018
"38",3,25182,38,"Claire Fon",1.044,2022
"39",383,65222,39,"Coley Ries",1.049,2017
"40",1174,72725,40,"Courtney Smith",1.051,2018
"41",689,20554,41,"Makaleigh Dooley",1.053,2019
"42",689,26678,42,"Mariah Galhouse",1.081,2022
"43",1314,65846,43,"Emmie Robertson",1.093,2017
"44",309,72866,44,"Kenzee Smith",1.104,2022
"45",30063,67854,45,"Morgan Ryan",1.11,2022
"46",1274,360,46,"Jordan Adams",1.111,2018
"47",470,24687,47,"Ava Fitzmaurice",1.113,2021
"48",30052,72880,48,"Kylee Smith",1.118,2017
"49",1072,36324,49,"Hannah Houge",1.123,2019
"50",790,43996,49,"Mckenna Larsen",1.123,2017
"51",98,63157,51,"Marissa Quintero",1.128,2025
"52",30028,25483,51,"Payton Foster",1.128,2021
"53",1116,37004,53,"Autumn Humes",1.13,2017
"54",30028,57429,54,"Shealyn O'leary",1.132,2023
"55",765,36306,55,"Amanda Houck",1.15,2018
"56",533,5711,56,"Emma Bernet",1.154,2018
"57",30045,457,57,"Ashton Adkins",1.168,2018
"58",30028,34853,57,"Erin Hill",1.168,2021
"59",41,52573,59,"Ashley Mickschl",1.179,2022
"60",3,55042,60,"Ally Muller",1.181,2021
"61",593,34668,60,"Haile Hicks",1.181,2023
"62",30180,54148,62,"Andrea Morales",1.186,2022
"63",2755,52842,62,"Claire Miller",1.186,2017
"64",25,79522,62,"Kenedy Urbany",1.186,2017
"65",24639,69578,62,"Miriam Schmoll",1.186,2019
"66",41,43596,66,"Lexi Lander",1.192,2025
"67",309,72866,67,"Kenzee Smith",1.236,2021
"68",8411,14660,68,"Kendra Coleman",1.237,2017
"69",584,85374,69,"Ashley Worrell",1.243,2022
"70",54,85983,70,"Jessica Yost",1.245,2017
"71",41,28592,71,"Grace Glanzer",1.252,2025
"72",30028,6587,72,"Cera Blanchard",1.253,2025
"73",30199,57129,73,"Callie Nunes",1.263,2019
"74",468,4056,74,"Maddy Barone",1.269,2019
"75",1402,18611,75,"Alix Dedreu",1.274,2017
"76",30002,70534,75,"Ashlan Sensing",1.274,2023
"77",262,4755,77,"Hannah Beatus",1.278,2021
"78",1328,68810,78,"Bridgette Sappington",1.284,2017
"79",9630,80590,78,"Hannah Vet",1.284,2018
"80",30180,45958,78,"Sara Llamas-howell",1.284,2023
"81",1403,23076,81,"Ella Esterby",1.285,2025
"82",734,65012,82,"Samantha Richards",1.288,2021
"83",74,9932,83,"Katie Burawski",1.29,2021
"84",533,27072,84,"Gisselle Garcia",1.309,2022
"85",30244,60750,84,"Jodasea Peterson",1.309,2023
"86",9680,1876,86,"Ilona Andringa",1.312,2017
"87",25,48645,87,"Brandy Marlett",1.315,2017
"88",30093,12649,88,"Reese Cauley",1.316,2025
"89",584,85374,89,"Ashley Worrell",1.317,2019
"90",309,72866,90,"Kenzee Smith",1.324,2023
"91",30028,5511,91,"Colleen Bentke",1.325,2019
"92",689,20554,92,"Makaleigh Dooley",1.331,2018
"93",30093,28736,93,"Alanna Goble",1.334,2022
